experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,0,transformer,best,,,1.1969588128003208,1.1199344635009765,0.001834771849892356,,,,2.1249692114916714,2.201993560791016,,0.4924888888888889,0.4645,,,-1.4729302058336222,-1.5260522507485,15.557984872297807,,,,0.004614017148138006,1.002890930934386,1.0086321234703064,10.926767999475652,11.074161529541016,1.5290160233324224,1.55404736995697
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,2,transformer,best,,,1.0338814475319602,0.9830830574035644,0.0023333917964588518,,,,2.288046576760032,2.3388449668884284,,0.4561333333333333,0.4427,,,-1.5859475086052384,-1.6207009110398591,15.557476043701172,,,,0.005001718521814532,0.9469403272325342,0.9687990188598632,10.7060039693659,10.909620666503908,2.1615470105951484,2.2139206409454344
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,1,transformer,best,,,1.1611696481704712,1.0939009189605713,0.00194781476801092,,,,2.160758376121521,2.228027105331421,,0.4834666666666666,0.4596,,,-1.4977219372472002,-1.5441420768611134,15.557873899286443,,,,0.0053532489332329325,1.0106094669211994,1.0476296305656434,8.867173324931752,9.10154628753662,1.5800014354965903,1.6345552206039429
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,0,transformer,best,,,0.7297258377075195,0.7262413501739502,0.0014552744952115145,,,,2.5922021865844727,2.595686674118042,,0.3710444444444445,0.3752,,,-1.7967814433144198,-1.7991781094849109,15.558363957838578,,,,0.0034492729440489226,0.99592370336706,1.0094188809394835,14.083790302276613,14.3294282913208,2.855095050551675,2.9165743827819823
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,1,transformer,best,,,0.714882948181846,0.709895658493042,0.001158096573569558,,,,2.6070450761101465,2.6120323657989504,,0.3694888888888889,0.3654,,,-1.8070716724809672,-1.810336524668336,15.55866358496926,,,,0.0038077558814804662,1.0083642601966858,1.0396060824394229,7.834911714900624,8.022661495208741,1.589097564870661,1.6376822471618653
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,2,transformer,best,,,0.7114239714362405,0.7012825012207031,0.0017921924591064453,,,,2.610504052855752,2.620645523071289,,0.3675111111111111,0.3652,,,-1.8094707076460124,-1.8163297561600804,15.558016907085072,,,,0.003879295591456736,0.9697691120884636,0.9839683175086976,11.115893017161977,11.340249252319335,2.0795409950343045,2.130166530609131
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,0,transformer,best,,,3.3194704380902387,-2.936544704437256,0.044556173411282624,,,,0.00245759049853818,6.258472728729247,,1.0,0.489,,,-0.001703289997525367,-4.335338649908223,15.515263123945756,,,,0.016763502875136914,1.0041899464347146,0.9949798941612245,0.4597415084188634,0.459496808052063,0.007474838248030706,0.00747630912810564
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,1,transformer,best,,,3.318961880423806,-3.067637634277344,0.05146926099603826,,,,0.002966121198948134,6.389565658569336,,1.0,0.4849,,,-0.002056008725248173,-4.427137584401693,15.508352409709588,,,,0.01742727301250457,0.9939025505022571,0.9832626342773436,0.4056240211833607,0.40507927536964417,0.007238503164527091,0.007234575226902963
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,dib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,2,transformer,best,,,3.3190007318149912,-3.109246349334717,0.05327105522155762,,,,0.0029273055155168877,6.431174373626709,,1.0,0.4764,,,-0.002028894608303073,-4.456267957785908,15.506538434462113,,,,0.020075686267798463,1.0003159858963706,0.9860934376716614,0.38636279648000543,0.3846099436283112,0.0074326622892509795,0.007425227575004101
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,0,transformer,best,,,3.321686549620195,-2.6673015594482417,,0.017140984535217285,,,0.00024144957834240898,5.989229583740236,,1.0,0.4975,,,-0.00016734245077199957,-4.148744995549912,,12.220747817646373,,,0.010016539881115371,0.9988569698550483,0.9822516560554504,0.2417087656530467,0.23960455656051635,0.006883124418726022,0.0068813013844192025
