model,beta,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_DIQ_xz_mean,train_DIQ_xz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_DIQ_xzCy_mean,train_DIQ_xzCy_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCzy_mean,train_H_Q_xCzy_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,test_z_mean_norm_mean,test_z_mean_norm_std,train_z_std_mean,train_z_std_std,test_z_std_mean,test_z_std_std,run_count
cdib,0.001,3.321852586486123,4.059348676948487e-05,-2.0422563552856445,0.1608949137305866,,,0.18090568166790585,0.08448551456264655,7.543713637102029e-05,4.059208855755894e-05,5.364184379577637,0.16089491373058729,,,1.0,0.0,0.5176999999999999,0.0023388031127052904,-5.227985069518755e-05,2.8132290942365006e-05,-3.7163573529424903,0.11235923287151514,,,12.056981708064223,0.08448069761067477,,,0.06785370500705473,0.020220578999871494,1.0016848770054905,0.004808732405229023,0.9841554562250773,0.0045049734903202,0.3623821527668924,0.009697296173364227,0.3594348470369975,0.009549881682795115,0.007918841417201542,0.000283930834392923,0.00791053886835774,0.0002796045716823091,3
cdib,0.1,3.321702942703709,1.4202488255832955e-05,-2.7657696088155106,0.09783438127912542,,,0.016449148004705257,0.0005992466999055965,0.00022508085715923121,1.4182114554886035e-05,6.087697633107503,0.09783438127912467,,,1.0,0.0,0.4927333333333334,0.004375309512861175,-0.00015599977878895532,9.827462163285667e-06,-4.217778810986361,0.0686297047745511,,,12.221438147804953,0.0005978508285446685,,,0.01008789240769898,0.00016686865168393848,0.9996891265565698,0.005648073050573127,0.9831043481826782,0.006973251358128635,0.24006129011060254,0.003978969053809534,0.23804055353005726,0.0038089373100155663,0.006883814973248677,4.5488100710844926e-06,0.006882086830834547,4.821576969143402e-06,3
cdib,1.0,3.319342710755089,6.186278144146058e-05,-3.0990399996439613,0.13258925981828282,,,0.03626291679613517,0.0004529187611432043,0.002585318003019149,6.186456030558019e-05,6.420968023935955,0.13258925981828265,,,1.0,0.0,0.478,0.005356304696336799,-0.0017919692612400218,4.287113129600044e-05,-4.447268793819494,0.0896269384777096,,,12.201624364563912,0.0004536173548200891,,,0.017433087582336925,0.0005858998731940071,1.0007036364439763,0.005725223923274853,0.988393175601959,0.00444081198727975,0.30222304752378754,0.012476419676787582,0.3007142663002014,0.01256188985244554,0.006836087033717019,2.257848086366001e-05,0.006834463495761156,2.1869583239683607e-05,3
cdib,10.0,3.3066930120641533,0.002387901431723551,-1.9829037030537922,0.15543857834551764,,,0.013788898785909018,0.003208770604265374,0.015235004876034733,0.0023879200026762403,5.304831727345785,0.15543857834551847,,,0.9999925925925925,1.2830005982075735e-05,0.49193333333333333,0.0018147543451754922,-0.010560411855946923,0.0016556174195680679,-3.6753861746334215,0.10751147774912959,,,12.224098335612902,0.003216527504117534,,,0.009645188828229586,0.001891572274417889,0.9964095317956173,0.00444727279328809,0.9903534531593324,0.0025719198171126776,1.1706407341090117,0.1336135988895541,1.1740056991577148,0.13499488647939886,0.009029937639945385,0.0002903764756213221,0.00904158434520165,0.00029765936059745834,3
cdib,100.0,2.6394512472730693,0.06073380448643189,1.0064837455749511,0.06566839725120546,,,0.004395470474705551,0.00017914014947610805,0.6824767752127214,0.06073381996491027,2.315444278717041,0.06566839725120535,,,0.8706666666666667,0.01736647828148341,0.5052666666666666,0.007059981114233478,-0.4730786399898153,0.04210242797117544,-1.6047994781670007,0.045170545976620645,,,12.233491839784564,0.00018153320545611146,,,0.006543582295564836,0.0009277526460665619,1.0012757994911885,0.005941081991896107,1.0037142793337506,0.005575902753924127,4.487956675616177,0.06601532765246353,4.543753623962402,0.07060590835478484,0.1667874414812435,0.04370136429474208,0.16947671870390577,0.04465118173068116,3
cdib,1000.0,1.0744905796918,0.043565318125698714,1.0203272183736165,0.03789599709855514,,,0.0017021135850386188,0.00024649844335106636,2.2474374446001923,0.043565318125698825,2.3016008059183757,0.03789599709855552,,,0.4659333333333333,0.010726153568282019,0.44870000000000004,0.005047771785649568,-1.5578109321154516,0.030195391496027027,-1.5950092013814796,0.026302340520810704,,,12.236185117201373,0.0002404935566942336,,,0.005149764244002525,0.0008614935672051686,0.9917430796406487,0.009415205510928271,1.0098501682281495,0.015297225317340036,10.358702861901486,0.6566967411052659,10.57988052368164,0.6429154592041741,1.8342656854427222,0.45684164121635606,1.8828648646672568,0.46515595050747666,3
cdib,10000.0,0.7107182199304752,0.03491227918793259,0.7041452566782634,0.029777018683637177,,,0.001537897370078347,0.0008204317191092061,2.6112098043615166,0.034912279187932514,2.617782767613729,0.029777018683636875,,,0.3681851851851852,0.005004952280002606,0.36896666666666667,0.0018009256878986969,-1.8099629346780202,0.024199924208574402,-1.814368399207294,0.02089808581961445,,,12.236349380377566,0.000816707689775182,,,0.004427429474051509,0.0016407625317716565,0.9816109682574417,0.03275447909510561,1.0030438979466756,0.03774198770812163,10.167326060208408,0.8766345299237537,10.344353675842283,0.8003768030209415,2.07398009300232,0.38562466402879025,2.118928551673889,0.3774727325987836,3
cdibexact,0.001,3.3219258387883506,1.6754034044624537e-06,-1.943487008412679,0.22839347459598136,,,,,2.221942049180308e-06,1.6221596700464165e-06,5.265415032704671,0.22839347459598103,12.237786596471613,9.44873599495753e-05,1.0,0.0,0.5341666666666667,0.0037978063843925832,-1.5336774832066853e-06,1.1243873148329933e-06,-3.64788161318319,0.15760487476861437,,,,,3.1188868874640754e-05,2.0991364620257818e-05,0.0,0.0,1.0017081923557052,0.006339931703608983,0.9776027480761211,0.005950976453920194,0.5180183224605791,0.0116975143218098,0.5129655162493388,0.011797765738061274,0.006120591784234751,7.366354339097537e-05,0.006118524322907129,7.232247800263895e-05,3
cdibexact,0.1,3.3216304128820244,3.5673244813279026e-05,-1.3954760551452636,0.08770674094341803,,,,,0.00029760079324301904,3.565794351512523e-05,4.717404079437256,0.08770674094341877,0.054443930303960136,0.0018184973519020206,1.0,0.0,0.5102333333333333,0.006115826463637892,-0.000206267250599254,2.4716509832618585e-05,-3.2675422908759924,0.06189220181431494,,,,,12.183373711325906,0.001828732445252348,0.0,0.0,0.9906149623971997,0.018727648960075165,0.9856394290924072,0.01934469816179388,4.177340966282469,0.45183965517240965,4.227666775385538,0.4534936496273626,0.050055273667429435,0.006824221167111462,0.05080164025227229,0.006964065291623469,3
cdibexact,1.0,3.3187733635757906,0.00042292536471233465,-1.1397469838460286,0.030302039600468515,,,,,0.003154665404563826,0.00042293932934171953,4.4616750081380205,0.03030203960046875,0.06527100672776048,0.0071139411962595845,0.9999925925925925,1.2830005982075735e-05,0.5137,0.003600000000000006,-0.002186732539234556,0.00029297036838296046,-3.090643629673235,0.02200282519304463,,,,,12.172546661261357,0.007031356312198028,0.0,0.0,0.9796429375807444,0.031398784828944044,0.9652060429255167,0.05267758138487944,2.406892812613285,0.2212744466112203,2.401957607269287,0.24835670767864704,0.012439495389998861,0.0013495379880849282,0.012359110824763776,0.0009766964276161888,3
cdibexact,10.0,3.2690762606534087,0.001807086208759731,-0.172982390721639,0.01632214434665109,,,,,0.052851769452293716,0.0018070900310045367,3.4949104150136314,0.016322144346651194,0.05029644472806743,0.0022943510972764074,0.9995037037037036,0.00026697513023620824,0.49616666666666664,0.007543429812315674,-0.03663454277050563,0.0012522076950854525,-2.4221570821337512,0.011101531541608272,,,,,12.187521240927957,0.002185875268537153,0.0,0.0,0.968277265628179,0.02353178724046296,0.9967432022094727,0.10033573543888342,2.6538474054047554,0.19770090257845424,2.6725589434305825,0.1751176820362848,0.054019928825172515,0.0033392628221308373,0.05550291414062183,0.007116007533834752,3
cdibexact,100.0,1.9739450703967705,0.039765364049169645,1.078082227706909,0.008629430187331156,,,,,1.3479829484766181,0.03976537327915771,2.243845796585083,0.008629430187330736,0.0162557384394335,0.0007427756050141091,0.6839185185185186,0.009028277479047898,0.45813333333333334,0.006035174672976207,-0.9343606900545353,0.02755029906324481,-1.555096063057313,0.0059198226691438,,,,,12.221562096566865,0.000803265569326456,0.0,0.0,1.0144582625591394,0.07296784372796143,1.037146830558777,0.12920695125977713,1.4098734801465813,0.14028798005786444,1.494116834799449,0.28616934784028275,0.27982505094824417,0.05586653129218378,0.3015877713759741,0.09480111951273468,3
cdibexact,1000.0,0.5233066912853356,0.04522926393970145,0.49375821749369303,0.045878174371418376,,,,,2.798621333006657,0.045229263939701,2.8281698067982997,0.0458781743714187,0.011650317228596772,0.0004598298984573355,0.3046962962962963,0.009289455945831694,0.29413333333333336,0.0028378395538390163,-1.9398549110615901,0.0313505230210575,-1.9604436881977445,0.031712339716724734,,,,,12.226167360941567,0.0005620056230604319,0.0,0.0,1.0344839917890953,0.10373925948343947,1.0423743645350136,0.1316189260910728,1.0137072602907817,0.12491829681319173,1.0842664599418639,0.2562661281085512,0.3016066783756921,0.02745881459433124,0.31869539022445675,0.031183486362161447,3
cdibexact,10000.0,0.12138812108473344,0.02031873966236929,0.12061047554016113,0.022268571009501407,,,,,3.200539903207259,0.02031873966236908,3.201317548751831,0.022268571009501432,0.01149090069035689,3.239249412161854e-05,0.25645925925925933,0.024789895724692992,0.2517333333333333,0.027982554088812776,-2.218445725237916,0.014086310249588074,-2.219053282576489,0.015402444063621528,,,,,12.226326841296569,0.00013449073166558727,0.0,0.0,1.03987414096341,0.09221305087918216,1.0625604311625163,0.06674062283904643,1.0480765050107783,0.11213135238600948,1.116531999905904,0.1880935352628738,0.275955135623614,0.022353417377845006,0.29340335230032605,0.016127722305363235,3
dib,0.001,3.3218128970175074,2.6437280597622257e-05,-2.002748489379883,0.07215934445626614,0.4032244682312011,0.07920915829829227,,,0.00011512040355503841,2.642623869597502e-05,5.324676513671875,0.07215934445626584,,,1.0,0.0,0.5167,0.001802775637732031,-7.978561061673584e-05,1.831806658624046e-05,-3.689521652671789,0.048571782378613294,15.156592282381927,0.07921573043078575,,,,,0.0851989396981867,0.009070773923285718,0.9998986594604725,0.005705603678711471,0.983051606019338,0.006279470390171301,0.36087733462001337,0.0075297102984240045,0.35799142122268673,0.007472112299404248,0.00818313816280076,0.00023454106428119365,0.00817263399561246,0.00023283663164756102,3
dib,0.1,3.321576855399392,3.1109238044213996e-05,-2.9198643048604325,0.10232759458641011,0.041437358567208954,0.0021131848790640817,,,0.0003511725486587789,3.111684820648973e-05,6.241792329152425,0.10232759458641023,,,1.0,0.0,0.4913,0.004504442251822081,-0.00024340594548448086,2.1570574748397738e-05,-4.324751895903745,0.07092885388899076,15.518379485968387,0.0021082791100020654,,,,,0.016337746820615798,0.000888408022911845,1.0014793538686,0.006795643863731442,0.9844612876574197,0.007025980416142788,0.2117464912660194,0.0049017686965619365,0.20987168848514556,0.005084097573995806,0.006940221075307239,4.3752866440393164e-05,0.006938223137209813,4.313905105690044e-05,3
dib,1.0,3.319144350109679,0.0002830678115727738,-3.037809562683105,0.09013184747271873,0.0497654965429595,0.004600478369196679,,,0.0027836724043344002,0.00028306133838062406,6.359737586975098,0.09013184747271875,,,1.0,0.0,0.4834333333333333,0.006426766942509534,-0.0019293977770255377,0.00019628382459413582,-4.406248064031941,0.0631130210170823,15.51005132270582,0.0046037789557141625,,,,,0.01808882071847998,0.0017523908616848987,0.9994694942777809,0.0051956751065711715,0.9881119887034098,0.006113874058028207,0.4172427753607432,0.038044124749129216,0.41639534235000614,0.03870465921221078,0.007382001233936259,0.00012604949352482982,0.007378703976670902,0.00012740546946292438,3
dib,10.0,3.309646353577122,0.0027520986817645664,-1.4517573992411297,0.06643084640558086,0.008707414973865856,0.0024189084672840084,,,0.012281653372514427,0.0027521021448319322,4.773685423533123,0.06643084640558009,,,1.0,0.0,0.4935666666666667,0.005147167505855355,-0.008513384206240643,0.001908032900990911,-3.3089305003303036,0.04668306981929155,15.551109285065621,0.0024246806206957507,,,,,0.006421014312933552,0.0015438412874026553,0.9998650523749264,0.007010590611793022,0.9947738806406656,0.0056521844125234635,2.180527596762686,0.18637549921947985,2.197198049227397,0.19481079550936742,0.020641099887363838,0.003261668979879611,0.020789999018112817,0.0033400546129629294,3
dib,100.0,2.5843185547626377,0.12240568868345889,1.101779858271281,0.04804145081213116,0.005198095784042821,0.0008228501461416587,,,0.737609475851059,0.12240570633573346,2.220148166020711,0.04804145081213147,,,0.8636148148148148,0.03376559965652335,0.5102666666666666,0.0055302200076790394,-0.5112909243554645,0.08483544722863018,-1.5386748248188302,0.033526101726799054,15.554618748751553,0.0008292099467869584,,,,,0.0070336447589600835,0.0008144102397731407,1.0071741568319725,0.0053040590607624965,1.0155446370442707,0.02013383652053537,5.61976804155292,0.2243447909211792,5.68665018081665,0.21973609977807204,0.25183546791474026,0.08338783943823191,0.255965522925059,0.08525447443079476,3
dib,1000.0,1.1306699695009172,0.08571014855270696,1.0656394799550373,0.07267123597894379,0.0020386594714540424,0.00026142882948566604,,,2.1912580547910747,0.0857101485527071,2.256288544336955,0.07267123597894402,,,0.477362962962963,0.018930742302277214,0.4556,0.011437219941926468,-1.5188665505620202,0.05940158824154228,-1.563631746216491,0.05024418008509775,15.557778271761807,0.0002675539250122349,,,,,0.004989661534395157,0.00036976335166276434,0.9868135750293732,0.03474623529025883,1.008353590965271,0.03941604395096169,10.166648431257768,1.130778870167962,10.361776161193847,1.0944875169438137,1.756854823141387,0.3513996343238995,1.8008410771687824,0.3599950319259707,3
