datasize,beta,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
e50,0.01,0,0,1.2253058593576605,1.609605605506897,0.4398,0.4590222222222222
e50,0.01,0,1,0.38476535623940555,1.5168321752548217,0.4998,0.8613111111111111
e50,0.01,0,2,0.1053060008073395,1.5655158224105834,0.5162,0.9549555555555556
e50,0.01,0,3,-0.011339902445403012,1.6480125652313233,0.5198,0.9797555555555556
e50,0.01,0,4,-0.07199734372171489,1.7374691541671754,0.526,0.9882666666666666
e50,0.01,0,5,-0.11171614796031605,1.8339663534164428,0.5252,0.9922
e50,0.01,0,6,-0.14701434891007165,1.9477493076324464,0.5246,0.9945333333333334
e50,0.01,0,7,-0.17181748369390315,2.062612300872803,0.5238,0.9956
e50,0.01,0,8,-0.19375358065475118,2.167153798294067,0.5198,0.9959777777777777
e50,0.01,0,9,-0.2116448215788061,2.2668116703033445,0.5214,0.9965555555555555
e50,0.01,0,10,-0.22755474165569653,2.375116114807129,0.5222,0.9965777777777778
e50,0.01,0,11,-0.2409066315347498,2.4456965896606446,0.528,0.9966
e50,0.01,0,12,-0.2556634443759918,2.529037805938721,0.5236,0.9972444444444445
e50,0.01,0,13,-0.27003247072046455,2.645802919387817,0.5254,0.9963111111111111
e50,0.01,0,14,-0.28633565491546287,2.734520355606079,0.527,0.9968
e50,0.01,0,15,-0.2994810261292891,2.8570096118927,0.5122,0.9965111111111111
e50,0.01,0,16,-0.31276247740658847,2.912841609954834,0.5198,0.9963777777777778
e50,0.01,0,17,-0.3238268492828716,2.977879187774658,0.5204,0.9962444444444445
e50,0.01,0,18,-0.33580415277914566,3.082674103927612,0.5158,0.9965555555555555
e50,0.01,0,19,-0.3463346177317879,3.1727756896972656,0.5122,0.9963555555555555
e50,0.01,0,20,-0.35598386122530157,3.2429215423583986,0.5096,0.9966222222222222
e50,0.01,0,21,-0.3677859970309518,3.387331135940552,0.5062,0.996
e50,0.01,0,22,-0.37755948869965295,3.3790883819580078,0.5124,0.9959555555555556
e50,0.01,0,23,-0.38726093742630696,3.4483895385742187,0.5082,0.9956666666666667
e50,0.01,0,24,-0.3961088700424541,3.5934064025878905,0.5006,0.9954222222222222
e50,0.01,0,25,-0.40495802589329805,3.617060546875,0.509,0.9954888888888889
e50,0.01,0,26,-0.4191287795153531,3.677083629608154,0.505,0.9954444444444445
e50,0.01,0,27,-0.4276101759477095,3.7792958908081054,0.5038,0.9954888888888889
e50,0.01,0,28,-0.43774452048215,3.8071342613220214,0.4986,0.9954222222222222
e50,0.01,0,29,-0.44974958138032395,3.9057741847991942,0.496,0.9952222222222222
e50,0.01,0,30,-0.45668851526433774,3.923169835281372,0.4998,0.9950444444444444
e50,0.01,0,31,-0.46176569690704344,3.9184616249084474,0.5038,0.9952
e50,0.01,0,32,-0.4707099655498158,4.016683607101441,0.498,0.9956
e50,0.01,0,33,-0.4769808608055115,4.026029000473023,0.4992,0.9949333333333333
e50,0.01,0,34,-0.4832132964264263,4.060890916824341,0.4978,0.9952666666666666
e50,0.01,0,35,-0.4887076228055087,4.105174131774902,0.4992,0.9960222222222223
e50,0.01,0,36,-0.4961451338074424,4.132485395812989,0.5,0.9955111111111111
e50,0.01,0,37,-0.5004931896383112,4.137067095184326,0.5012,0.9950222222222223
e50,0.01,0,38,-0.5082380735917524,4.206983877563476,0.5004,0.9956888888888888
e50,0.01,0,39,-0.51027389496023,4.312549624633789,0.492,0.9956
e50,0.01,0,40,-0.5196913179874421,4.312380033874511,0.49,0.9950222222222223
e50,0.01,0,41,-0.5245790517893705,4.304482138824463,0.4934,0.9948888888888889
e50,0.01,0,42,-0.5263014459956776,4.319507748413086,0.4966,0.9952666666666666
e50,0.01,0,43,-0.5331284479921514,4.388467003631591,0.4962,0.9959555555555556
e50,0.01,0,44,-0.538575198763067,4.351321803283692,0.4996,0.9950666666666667
e50,0.01,0,45,-0.5431773994012312,4.367303569793701,0.4984,0.9954666666666667
e50,0.01,0,46,-0.5469629158540206,4.383728082275391,0.4964,0.9954
e50,0.01,0,47,-0.5516934411352331,4.448120383453369,0.4974,0.9952666666666666
e50,0.01,0,48,-0.5560239454746246,4.4942795959472654,0.4934,0.9952444444444445
e50,0.01,0,49,-0.5620013950694691,4.546836530303955,0.4928,0.9952444444444445
e50,0.01,0,50,-0.563906315387379,4.536282392883301,0.4954,0.9957111111111111
e50,0.01,0,51,-0.5679806078910827,4.599567266082763,0.4902,0.9952666666666666
e50,0.01,0,52,-0.5731243540070273,4.508319114685059,0.4956,0.9953333333333333
e50,0.01,0,53,-0.5737198398763483,4.66210788192749,0.4904,0.9954888888888889
e50,0.01,0,54,-0.5781017921534451,4.629975852203369,0.4924,0.9949111111111111
e50,0.01,0,55,-0.5835544211300937,4.668515551757812,0.488,0.9951777777777778
e50,0.01,0,56,-0.5835232466697693,4.70621092376709,0.488,0.9957333333333334
e50,0.01,0,57,-0.5888300590688532,4.7062380981445315,0.4892,0.9953555555555555
e50,0.01,0,58,-0.5909611705433239,4.715510607147217,0.489,0.9953777777777778
e50,0.01,0,59,-0.5944033600287004,4.699046084594727,0.4864,0.9950888888888889
e50,0.01,0,60,-0.5974883075367321,4.75862505569458,0.488,0.9951555555555556
e50,0.01,0,61,-0.6002166549379175,4.766828527832031,0.4882,0.9954
e50,0.01,0,62,-0.6031732883800159,4.743155503082275,0.4908,0.9955777777777778
e50,0.01,0,63,-0.6059492942983454,4.761462098693848,0.4894,0.9958666666666667
e50,0.01,0,64,-0.6083950979839672,4.733916019439698,0.4912,0.9949555555555556
e50,0.01,0,65,-0.610438682382757,4.820467379760742,0.4888,0.9952888888888889
e50,0.01,0,66,-0.612883750967546,4.85735866241455,0.4892,0.9958666666666667
e50,0.01,0,67,-0.6161911003112793,4.835782617950439,0.4886,0.9956222222222222
e50,0.01,0,68,-0.6157426997618242,4.849485136413574,0.4878,0.9954444444444445
e50,0.01,0,69,-0.6233472408641468,4.793046189880371,0.4896,0.9946888888888888
e50,0.01,0,70,-0.622849673167142,4.854606723022461,0.488,0.9956
e50,0.01,0,71,-0.6217766821254384,4.8572461250305174,0.4878,0.9955777777777778
e50,0.01,0,72,-0.6250400994127447,4.876781455993652,0.4882,0.9954222222222222
e50,0.01,0,73,-0.628693569764224,4.865545320129394,0.491,0.9953555555555555
e50,0.01,0,74,-0.6314455277616328,4.838320504760742,0.4916,0.9954444444444445
e50,0.01,0,75,-0.6325416857979514,4.89733342590332,0.4882,0.9949555555555556
e50,0.01,0,76,-0.633276097280329,4.9093040718078615,0.4878,0.9953111111111111
e50,0.01,0,77,-0.6363740669597279,4.919505077362061,0.4874,0.9953777777777778
e50,0.01,0,78,-0.6371636796777899,4.893069905853271,0.4892,0.9953111111111111
e50,0.01,0,79,-0.6392327125462619,4.951685119628906,0.4832,0.9956888888888888
e50,0.01,0,80,-0.6408159031131051,4.929603620910645,0.4894,0.9951111111111111
e50,0.01,0,81,-0.6451713974259117,4.909305264282226,0.4888,0.9954
e50,0.01,0,82,-0.6464166873758489,4.977206270599365,0.4864,0.9956666666666667
e50,0.01,0,83,-0.6490115976073525,4.916258432006836,0.492,0.9955555555555555
e50,0.01,0,84,-0.6455327192436565,4.974450700378418,0.487,0.9958
e50,0.01,0,85,-0.6482428005045111,4.9734424919128415,0.4898,0.9957555555555555
e50,0.01,0,86,-0.6491609955115751,4.979786715698242,0.488,0.9955111111111111
e50,0.01,0,87,-0.6503646593267267,4.969202818298339,0.4858,0.9954444444444445
e50,0.01,0,88,-0.6545067855011333,4.986491906738281,0.4882,0.9955111111111111
e50,0.01,0,89,-0.6541946980736473,5.009300266265869,0.4878,0.9955333333333334
e50,0.01,0,90,-0.6555535186594182,5.004150351715088,0.4864,0.9954888888888889
e50,0.01,0,91,-0.6556037096717141,4.985694110870361,0.4894,0.9954888888888889
e50,0.01,0,92,-0.6573520221623508,5.034059003448486,0.4846,0.9955777777777778
e50,0.01,0,93,-0.6603432259299539,5.006020474243164,0.4892,0.9957777777777778
e50,0.01,0,94,-0.6588002198826183,5.0191036842346195,0.4866,0.9958666666666667
