datasize,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
e50,0.01,0,0.4593,-5.77203789391784,0.9976888888888888,-0.01085946368775196
e50,0.01,1,0.4544,-6.0389500680018315,0.9976888888888888,-0.010197400548202677
e50,0.01,2,0.4571,-5.833082872862635,0.9974222222222222,-0.011542073408561936
e50,0.1,0,0.4459,-5.280479920840791,0.9938222222222224,-0.0205908798631524
e50,0.1,1,0.4591,-5.37067693932068,0.9954,-0.016913636768852953
e50,0.1,2,0.4519,-5.259157016842925,0.9949777777777776,-0.017455343142680973
e50,10.0,0,0.4458,-3.350221662686034,0.9970888888888888,-0.024826907261246558
e50,10.0,1,0.4426,-3.5087715284363323,0.9962888888888888,-0.025999604703755702
e50,10.0,2,0.4445,-3.5114262226650594,0.9958222222222224,-0.027256324963182157
e50,1.0,1,0.4374,-4.4330106660758295,0.9953333333333332,-0.02088834564920573
e50,1.0,2,0.4313,-4.263322886051011,0.9942222222222222,-0.023908157114175217
e50,1.0,0,0.4402,-4.3753857920737245,0.9944666666666668,-0.02345782515340529
e50,100.0,1,0.4556,-2.9116307331388107,0.8360444444444445,-0.4579374394030152
e50,100.0,2,0.4627,-2.802835633122089,0.8464,-0.4204455367179458
e50,100.0,0,0.4668,-2.7377040710647487,0.8587777777777778,-0.3778267694624885
e100,0.1,1,0.4565,-5.4367095265931615,0.9951111111111112,-0.01756625744838148
e100,0.1,2,0.4519,-5.259157016842925,0.9949777777777776,-0.017455343142680973
e100,0.1,0,0.4459,-5.280479920840791,0.9938222222222224,-0.0205908798631524
e100,0.01,1,0.4544,-6.0389500680018315,0.9976888888888888,-0.010197400548202677
e100,0.01,2,0.4571,-5.833082872862635,0.9974222222222222,-0.011542073408561936
e100,0.01,0,0.4593,-5.77203789391784,0.9976888888888888,-0.01085946368775196
e100,1.0,2,0.4313,-4.263322886051011,0.9942222222222222,-0.023908157114175217
e100,1.0,0,0.4402,-4.3753857920737245,0.9944666666666668,-0.02345782515340529
e100,1.0,1,0.4374,-4.4330106660758295,0.9953333333333332,-0.02088834564920573
e100,10.0,1,0.4426,-3.5087715284363323,0.9962888888888888,-0.025999604703755702
e100,10.0,2,0.4445,-3.5114262226650594,0.9958222222222224,-0.027256324963182157
e100,10.0,0,0.4437,-3.4369750294550734,0.9967777777777778,-0.02415511283794124
e100,100.0,0,0.4668,-2.7377040710647487,0.8587777777777778,-0.3778267694624885
e100,100.0,1,0.4553,-2.919331774647381,0.8346666666666667,-0.4634712553163385
e100,100.0,2,0.4627,-2.802835633122089,0.8464,-0.4204455367179458
