datasize,beta,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,run_count
e100,0.01,0.45693333333333336,0.0024542480178933366,-5.881356944927435,0.13985105181531127,0.9975999999999999,0.00015396007178389127,-0.010866312548172191,0.0006723625922918968,3
e100,0.1,0.45143333333333335,0.005315386470740718,-5.325448821425625,0.096942637391957,0.9946370370370371,0.0007087925163795021,-0.018537493484738283,0.001779149293930877,3
e100,1.0,0.43629999999999997,0.0045508241011931036,-4.357239781400189,0.0862869859825965,0.9946740740740742,0.0005838710044129133,-0.022751442638928743,0.0016291247691809692,3
e100,10.0,0.4436,0.0009539392014169512,-3.4857242601854885,0.04223893314191835,0.9962962962962963,0.00047782084215901305,-0.025803680834959698,0.0015598617833668207,3
e100,100.0,0.46159999999999995,0.005828378848359119,-2.819957159611407,0.09201638810107914,0.8466148148148148,0.012056990868644769,-0.4205811871655909,0.042822404066978036,3
e50,0.01,0.45693333333333336,0.0024542480178932962,-5.881356944927435,0.1398510518153113,0.9975999999999999,0.00015396007178386723,-0.010866312548172191,0.000672362592291897,3
e50,0.1,0.4523,0.006609084656743317,-5.3034379590014655,0.05919862257266943,0.9947333333333334,0.0008167989310883113,-0.018319953258228775,0.0019852436078662814,3
e50,1.0,0.43629999999999997,0.004550824101193079,-4.357239781400189,0.08628698598259708,0.9946740740740742,0.0005838710044129173,-0.022751442638928743,0.00162912476918097,3
e50,10.0,0.4443,0.0016093476939431008,-3.456806471262475,0.09231469501016355,0.9964,0.0006406015691287166,-0.026027612309394807,0.0012149509916452334,3
e50,100.0,0.4617,0.00566656862660287,-2.817390145775216,0.08787204517924778,0.8470740740740741,0.011381647200827915,-0.41873658186114976,0.040082667758108675,3
