datasize,optim,lr,wdecay,dropout,encoder,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,run
b128,sgd,0.00032,0.0,0.5,cnnninw2d2,3.2692724317312236,1.7706037865409368,0.0526555882348806,1.5513242332241204,0.9899777777777776,0.7629,-0.036505340629182585,-1.0824915568715827,0
b128,sgd,0.00032,0.0,0.5,cnnninw8d4,3.3216863545504483,1.0332833468159544,0.000241666664057949,2.2886446789850163,0.9999555555555556,0.8135,-0.0001677465284989078,-1.5769360367770562,0
b128,sgd,0.00032,0.0,0.5,cnnninw2d8,1.8119790838523344,1.6556013490580306,1.5099489404396578,1.6663266752339616,0.6204,0.5859,-1.0466420460678596,-1.1532179500343334,0
b128,sgd,0.00032,0.0,0.5,cnnninw4d8,1.7043414305556903,1.5856928116158595,1.6175865940749643,1.736235212676133,0.5846666666666667,0.5672,-1.1212766222445485,-1.2023243115697055,0
b128,sgd,0.00032,0.0,0.5,cnnninw8d2,3.321765723553571,1.01289897025386,0.00016229525243493577,2.309029053283643,0.9999555555555556,0.8093,-0.00011266273561474551,-1.5884355668850096,0
b128,sgd,0.00032,0.0,0.5,cnnninw2d4,3.2725796421820466,2.220456772212741,0.04934838406783952,1.1014712566061864,0.9904888888888888,0.8148,-0.03422693265686992,-0.7656873964404621,0
b128,sgd,0.00032,0.0,0.5,cnnninw4d4,3.3216283172369003,1.6266256585905825,0.0002997076558234436,1.6953023702283452,0.9999111111111112,0.8153,-0.00020802724271872186,-1.1823026738262796,0
b128,sgd,0.00032,0.0,0.0,cnnninw8d4,3.316660696809942,0.6413450874859774,0.005267328320376857,2.6805829368060152,0.9987333333333334,0.7292,-0.0036492600819289923,-1.8709384866081475,0
b128,sgd,0.00032,0.0,0.0,cnnninw2d2,3.3106321861798107,0.26828373082076445,0.01129584090631397,3.053644293471228,0.9978,0.7049,-0.007824001073110827,-2.127274512989887,0
b128,sgd,0.00032,0.0,0.0,cnnninw8d8,3.318582528016784,-0.341553651833836,0.003345493208764145,3.663481676125828,0.9993333333333332,0.66,-0.0023212584096749837,-2.55059145351474,0
