data,datasize,encoder,epochs,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std,run_count
cifar10,b128,mlp,0,2.582478053325956,0.017198061319340104,0.7394499709660357,0.017198061319340104,2.3366103172302246,0.03016582498412827,0.9853177070617676,0.030165824984128124,2.5827908195495604,0.017504069773523926,2.3364888994598387,0.024091704882005203,0.42664,0.00815769575309106,-1.619530734718121,0.016699111937092493,0.37265333333333334,0.004579708330785033,5
cifar10,b128,mlp,1,2.126162890006195,0.01224137782464016,1.195765134285797,0.01224137782464028,2.204193115234375,0.02217710558347063,1.1177349090576172,0.022177105583470722,2.1262194077555336,0.01221028587012256,2.204848786468506,0.017782844523168747,0.46719999999999995,0.008370185183136633,-1.5282847372866892,0.012326103796158247,0.4850444444444445,0.0028177129330078103,5
cifar10,b128,mlp,2,1.8878650190478024,0.010584348014464211,1.4340630052441898,0.010584348014464211,2.138565365473429,0.029049033999289795,1.1833626588185626,0.02904903399928987,1.8878865001805625,0.010663693533601177,2.136275647506714,0.0218161823098603,0.48324,0.008428997567919944,-1.4807534669006088,0.015121824899336191,0.54576,0.0036368959767470416,5
cifar10,b128,mlp,3,1.6900940074162047,0.013231950855039266,1.631834016740322,0.0132319508941322,2.1185578028361,0.03219620968451082,1.203370221455892,0.03219620968451082,1.689959245974223,0.013233686778385314,2.1132184030151366,0.029242699241056026,0.49296000000000006,0.008125761502776226,-1.4647714228950064,0.02026947541540413,0.5971288888888889,0.003916265542895317,5
cifar10,b128,mlp,4,1.5124711386859417,0.015854602147619284,1.809456886147911,0.015854601763900744,2.1128345012664798,0.03735061128487823,1.2090935230255129,0.03735061128487831,1.5123062381150987,0.01594681697088686,2.10474053237915,0.02717459515770186,0.50236,0.008470419115958774,-1.4588949906944877,0.01883604699766447,0.64324,0.005925533783321457,5
cifar10,b128,mlp,5,1.3442189133980056,0.0171150998143735,1.9777091096748005,0.017115099906100894,2.106214348475138,0.026855562412865724,1.2157136758168536,0.026855562412865647,1.3442934415139094,0.017251162552958534,2.098982494125366,0.02347752145101176,0.50804,0.005923512471498652,-1.454903832381334,0.01627338988880834,0.6879422222222222,0.005524392598308613,5
cifar10,b128,mlp,6,1.1876984130591155,0.01950090944447252,2.1342296093702315,0.019500910296212898,2.124686654408773,0.014792832587817396,1.1972413698832196,0.014792832587817425,1.187682592716217,0.01920431305718885,2.115338671646118,0.011141797324838897,0.5110000000000001,0.011338430226446707,-1.4662410707094429,0.007722903831723543,0.7283066666666667,0.006615570858042259,5
cifar10,b128,mlp,7,1.040158327025446,0.02009547642002674,2.281769696081226,0.02009547464557742,2.158699941635132,0.01386037124636874,1.1632280826568604,0.013860371246368342,1.0400304916063943,0.020066360934071985,2.149561795196533,0.019066872672405158,0.5152,0.006477653896280665,-1.489962732079348,0.013216131597841529,0.7679288888888889,0.0052492774341091,5
cifar10,b128,mlp,8,0.9044781655073166,0.01943071307877016,2.4174498560753737,0.0194307120340287,2.2201946417490643,0.011794556046475975,1.101733382542928,0.01179455604647592,0.9044570534345839,0.01952026549349038,2.2117747501373293,0.01622777336173329,0.5138,0.009638464608017167,-1.533085464372265,0.011248228014979428,0.802831111111111,0.00563322594681782,5
cifar10,b128,mlp,9,0.7791341317309575,0.022255659774180567,2.5427938909693197,0.02225565874056945,2.2945997397104896,0.023222407065731462,1.0273282845815022,0.02322240706573141,0.77913825720893,0.02217682252643624,2.2834959687805174,0.019494022428592238,0.5094399999999999,0.004517521444332046,-1.5827988391025394,0.013512232869735333,0.8354088888888889,0.007271670041000564,5
cifar10,b128,mlp,10,0.6665257499299266,0.02344108794112637,2.6554022736170078,0.023441087915251655,2.327825133005778,0.028502986802711988,0.9941028912862142,0.028502986802711988,0.6665288128450182,0.0234636799514897,2.3150103632354737,0.02716760400379927,0.5141199999999999,0.0039410658456818385,-1.60464291760549,0.018831156741014928,0.8645688888888889,0.006944801768584815,5
cifar10,b128,mlp,11,0.5636160303245891,0.022311180547222146,2.7583119936964726,0.022311180267478047,2.4297291914621986,0.020540455852164626,0.8921988328297934,0.02054045585216474,0.5635784253756205,0.02231717189710682,2.4165037134552003,0.01993890552619002,0.51884,0.007975462369041677,-1.6749928089386947,0.013820587771280318,0.8897511111111112,0.005804668193747662,5
cifar10,b128,mlp,12,0.47294370338998054,0.021566348497561456,2.848984319378029,0.02156634804668058,2.496128702163696,0.009376721790788975,0.8257993221282959,0.00937672179078907,0.4729314440875584,0.021530348457890924,2.4841378327178956,0.015662796044232933,0.51956,0.00473159592526664,-1.7218731589702572,0.010856634926757156,0.9123555555555555,0.005283727640385861,5
cifar10,b128,mlp,13,0.39729296409270975,0.01734438427266892,2.924635057964108,0.017344387426614614,2.6265755176544188,0.037305276076497744,0.6953525066375732,0.03730527607649771,0.3971961164654626,0.0173429134974398,2.610533643417358,0.04368593058889298,0.5134,0.003215587038162679,-1.8094840590851657,0.03028075427156395,0.9296266666666666,0.0040465013084769975,5
cifar10,b128,mlp,14,0.3295613869347355,0.017967813615230328,2.992366634038362,0.0179678100259313,2.7002546628316244,0.036377856146896176,0.6216733614603678,0.03637785614689618,0.32951991971015926,0.0179213398577827,2.683714730987549,0.02802275896161721,0.517,0.007578918128598566,-1.8602093304772414,0.019423895565487122,0.9457555555555555,0.0039451486069429905,5
cifar10,b128,mlp,15,0.2723091108893806,0.013895086216690507,3.0496189136396756,0.013895086648367054,2.828399610519409,0.03910722459143218,0.493528413772583,0.03910722459143221,0.2722288433180915,0.013951117956119695,2.808280372848511,0.04135473392499776,0.5179199999999999,0.0026252618916976556,-1.946551662758986,0.02866489230798638,0.9581333333333333,0.0030813657385670504,5
cifar10,b128,mlp,16,0.22616378690793434,0.009672144002175777,3.095764237371358,0.00967214483191856,2.9431100050608316,0.044903247614341446,0.37881801923116043,0.04490324761434147,0.22616963892618816,0.009697460343189322,2.924156748199463,0.044352939810101674,0.51496,0.009264340235548337,-2.0268710119972275,0.03074307214420463,0.9670755555555555,0.0018876858914266836,5
cifar10,b128,mlp,17,0.186506629625166,0.01270541490343896,3.1354213959791446,0.012705413865534775,3.042753219604492,0.06070692012542211,0.2791748046875,0.06070692012542215,0.18644516289869945,0.012760197029903338,3.0172950257873534,0.04781088644270098,0.5180400000000001,0.006547365882551529,-2.0914296160400907,0.033139974916618534,0.9744933333333334,0.0027691599653288735,5
cifar10,b128,mlp,18,0.15762906895781106,0.010659963224934309,3.164298955147917,0.01065996264452941,3.154391686121623,0.06320093836830319,0.16753633817036945,0.06320093836830298,0.15759878865030078,0.010702044173214902,3.131397178039551,0.06334644436394321,0.5170399999999999,0.006318860656795689,-2.1705191736325937,0.04390845552602016,0.9796888888888888,0.001769564360143878,5
cifar10,b128,mlp,19,0.13072103027423676,0.009760137333880588,3.1912069950591437,0.009760138222809743,3.275003433227539,0.07124770347430953,0.046924591064453125,0.07124770347430959,0.13063425200568304,0.009817804256997065,3.2505289426422115,0.0663291008038411,0.51872,0.004092920717531677,-2.253095033518961,0.045975785951293785,0.9843333333333332,0.002058166509958814,5
cifar10,b128,mlp,20,0.1129241906953129,0.004005202321682364,3.2090038336136124,0.004005200647835473,3.39797101020813,0.08495195875095429,-0.0760429859161377,0.0849519587509542,0.11287015479485193,0.004039098287219477,3.372605464401245,0.07936323628180016,0.51736,0.0053486446881429155,-2.3377120677222054,0.05501037768229889,0.9868266666666667,0.0010700640340825616,5
cifar10,b128,mlp,21,0.10261795222759247,0.010306445477419882,3.2193100704388184,0.01030644728515635,3.474970165888468,0.04921647082412688,-0.15304214159647622,0.0492164708241268,0.10260315769301523,0.010267102446695198,3.4481975347900393,0.028855495562676976,0.5184,0.006700746227100365,-2.390108444409477,0.020001094566624553,0.987728888888889,0.002092042536687181,5
