data,datasize,encoder,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg
svhn,b2048,resnet18,3,3.2263679793386744,0.9764269131880541,7.651082628537111e-05,2.25001756961529,0.9999848326280504,0.7688229870928088,-5.353971563364962e-05,-1.5607301419472843
svhn,b2048,resnet18,2,3.226373116175333,1.2443459675862238,7.136213951691225e-05,1.9820985152171209,0.9999848326280504,0.7864167178856791,-5.0022843036236716e-05,-1.3755504645479308
svhn,b2048,resnet18,0,3.2263693592765117,1.012251982322106,7.514387415898399e-05,2.2141925004812393,0.9999848326280504,0.763560233558697,-5.272203726233408e-05,-1.5388998077665028
svhn,b2048,resnet18,1,3.2263719240824376,1.1797063534076395,7.254770235070309e-05,2.046738129395705,0.9999848326280504,0.7796173939766441,-5.09174920942124e-05,-1.4202093142689156
svhn,b2048,resnet18,4,3.2263682755556973,1.0360229015350342,7.619378315708178e-05,2.1904215812683105,0.9999848326280504,0.7696296865396435,-5.345351186817358e-05,-1.517088709232587
svhn,b2048,mlp,0,3.1903266617746064,1.4959829220404992,0.03611781267505704,1.7304615607628455,0.999180961914729,0.7954056545789797,-0.02518555151697264,-1.1964085869031365
svhn,b2048,mlp,1,3.1985084143551914,1.4688126765764675,0.02793607211699992,1.757631806226877,0.9996814851890612,0.7969038106945298,-0.01933356975544389,-1.2142856887429845
svhn,b2048,mlp,4,3.1917173573465063,1.5392358669867885,0.03472711405519283,1.6872086158165565,0.99943880723787,0.8008988936693301,-0.02409329288736848,-1.1668144163299683
svhn,b2048,mlp,3,3.196419701431737,1.4864225295873792,0.030024778267199344,1.7400219532159658,0.9997269873049096,0.7969038106945298,-0.02086769354853937,-1.2038797286923029
svhn,b2048,mlp,2,3.2001412348313765,1.3863324385422926,0.02630324306135828,1.840112044261052,0.9997118199329602,0.7976336816226183,-0.018267702395708987,-1.2704428619066592
svhn,b32,mlp,3,3.22638893849922,-1.3322497697976918,5.550080316719562e-05,4.558694252601037,0.9999696652561012,0.8305547019053473,-3.9463530703078933e-05,-2.684367628716531
