experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,,epochs,train_z_norm_toagg,train_z_mean_norm_toagg,train_z_std_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_d_DIQ_xz_toagg,train_H_Q_yCz_toagg,train_DIQ_yz_toagg,train_aux_loss_toagg,valid_z_norm_toagg,valid_z_mean_norm_toagg,valid_z_std_toagg,valid_d_H_Q_xCz_toagg,valid_h_delta_acc_toagg,valid_d_DIQ_xz_toagg,valid_H_Q_yCz_toagg,valid_DIQ_yz_toagg,valid_aux_loss_toagg,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,valid_loglike_toagg,train_acc_toagg
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,0,0.9999869953502308,1.0687409761277111,0.018986654626628893,6.800261524590579,0.556017178622159,5.437626998532902,4.6632037650455125,-1.3412757407535205,-0.06800261376933618,1.010279615720113,1.0686897436777751,0.01901395246386528,11.469280878702799,0.12288807556692478,0.7700541814168295,4.3250203132629395,-1.0030922889709473,-0.11469280471404393,4.595191680823432,4.305833708953857,0.1374,-2.984576451328583,0.10568888888888889
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,1,0.9999963996762579,2.1806097735058176,0.06459369200324132,9.984115798364986,0.26850319602272726,2.253775337880308,2.398015750402754,0.9239122738892381,-0.09984115557745099,0.985819935798645,2.3843541145324707,0.045928811033566795,12.086869557698568,0.05402565565081121,0.1524657408396403,2.1948281129201255,1.127099911371867,-0.12086869527896245,2.298595798026191,2.1955366287231444,0.4658,-1.5218300759953447,0.42395555555555553
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,2,0.9999959350309588,2.0338944494724274,0.02540585415607149,10.295017155733975,0.24688276811079543,1.9429113776846365,1.8322298404845325,1.4896981838074597,-0.10295016898519614,1.0174356698989868,1.9011747042338054,0.019317479183276493,11.979990005493164,0.06306822110066372,0.25934473673502606,2.092802127202352,1.2291258970896404,-0.11979989955822627,1.729207683520847,2.092341469192505,0.4906,-1.450300637343392,0.5588
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,3,0.9999935660849918,1.636709108271382,0.014405988564249128,9.856346000324596,0.29108198686079545,2.381507891822945,1.4962139177051457,1.8257141065868465,-0.09856345733119683,0.9927788972854614,1.5198096831639607,0.012211819489796957,11.901307423909506,0.07583699184181415,0.3380273183186849,2.0965734322865806,1.2253545920054119,-0.11901307106018066,1.3977923163731893,2.100129848861694,0.5078,-1.4556991482678685,0.6446222222222222
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,4,0.9999905133789236,1.318361370400949,0.010454787502319297,9.22038541056893,0.35060280539772726,3.0175159736113115,1.1624449213797396,2.159483098170974,-0.09220385217023166,0.9921059807141622,1.2313756942749023,0.009693960659205914,11.864836057027182,0.07931509552452065,0.3744988441467285,2.0789296627044678,1.2429983615875244,-0.11864835768938065,1.0702478862338596,2.074492115402222,0.5142,-1.4379283919347203,0.737
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,5,0.9999872273342176,1.0944805890321732,0.008888407044155016,8.506640954451127,0.4154441139914773,3.731252421032299,0.8564723333851858,2.465455686504191,-0.08506640762260015,0.984586755434672,1.0286163886388142,0.008612733334302902,11.823412577311197,0.09155561509033923,0.4159221649169922,2.1580731868743896,1.1638548374176025,-0.1182341252764066,0.7713579714033338,2.146395359039307,0.5164,-1.4877679429433763,0.8185777777777777
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,6,0.9999842508272692,0.9521279782056808,0.008146749282869596,7.764897164973346,0.48003861860795455,4.473000854253769,0.5925139065154574,2.7294141230258075,-0.07764896979047493,0.9856264193852743,0.8986534476280212,0.007804811621705691,11.885656674702963,0.09897993869837758,0.3536779085795085,2.2284390131632485,1.0934890111287434,-0.11885656168063481,0.5148929189046224,2.2247103816986082,0.5248,-1.542051785390553,0.8895111111111111
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,7,0.9999816536226056,0.8523234003646807,0.007595087319549004,6.99106901884079,0.53576171875,5.246819482608275,0.3997032940387726,2.9222247234799643,-0.06991068862209265,0.9831651846567789,0.8128515084584554,0.007396863618244727,11.896687507629395,0.10191466745022122,0.3426472345987956,2.324394623438517,0.997533400853475,-0.11896687497695287,0.32980109879175823,2.313019258117676,0.5158,-1.603262892775776,0.9377333333333333
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,8,0.9999795813452114,0.7891970703547652,0.007302140663589605,6.21513158082962,0.5894602272727273,6.022747186097232,0.2655936425382441,3.056334380399097,-0.062151314203881404,0.9671527147293091,0.7627394596735636,0.0071738155869146185,11.95953337351481,0.10046566763458702,0.279801607131958,2.374501387278239,0.9474266370137533,-0.11959532896677653,0.20341871125963,2.3627741733551026,0.5258,-1.6377503179780415,0.9658222222222222
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,9,0.9999778599224307,0.7452031563628804,0.0071093159494921565,5.523715617981824,0.6343694513494319,6.714128066192973,0.17403084979477254,3.147897179831158,-0.05523715489967303,0.9810158014297485,0.7303592165311178,0.007035138706366221,12.088315963745117,0.1016147129655236,0.15101941426595053,2.42677895228068,0.8951490720113119,-0.12088315685590108,0.11877588605615828,2.4161471603393556,0.5284,-1.674745553764118,0.9816222222222222
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,10,0.9999764822423458,0.7148200930519537,0.006982321914454753,4.902082966132597,0.6719509055397727,7.335862828926607,0.11058028207414529,3.211347743868828,-0.04902082857337187,0.9811417857805887,0.6986063917477926,0.006908475731809934,12.135965983072916,0.10345008872603245,0.10336931546529134,2.52207358678182,0.7998544375101725,-0.12135965625445048,0.0615862792385949,2.513314538574219,0.524,-1.7420969598612097,0.9921555555555556
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,11,0.9999753477221186,0.6935259662568569,0.006879184974505651,4.366172717376188,0.7005930397727272,7.871672939170491,0.07645353878086264,3.245474473996596,-0.043661726067181335,0.9763966004053751,0.6756805578867594,0.006824091387291749,12.226628621419271,0.09746756314528023,0.012706438700358072,2.586623271306356,0.7353047529856364,-0.12226628263791402,0.0327592894507779,2.5694654605865477,0.5276,-1.7810177123471025,0.9952222222222222
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,12,0.9999742877076973,0.6728037439964034,0.0068043525150807745,3.917070762677626,0.7249800248579545,8.320818668062037,0.051850836321880873,3.270077182488008,-0.03917070668698712,0.9783448576927185,0.6659643054008484,0.006775732152163982,12.239335060119629,0.09810456132466815,0.0,2.669759829839071,0.6521681944529215,-0.12239334732294083,0.012673860120111041,2.6606700984954834,0.5306,-1.8442360044787136,0.9972666666666666
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,13,0.999973613768816,0.6628834185275164,0.00675228462734429,3.530452545393597,0.7428118341619317,8.707473646510731,0.03875399656085805,3.2831740230321884,-0.03530452468178489,0.9807024796803793,0.6543399294217428,0.006723583675920963,12.239335060119629,0.0920845864445059,0.0,2.752755641937256,0.5691723823547363,-0.12239334732294083,0.0034304828928576575,2.7315109142303466,0.53,-1.8933390673821224,0.9984444444444445
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,14,0.9999730742790482,0.6543090255423025,0.006730317786357112,3.2923533767461777,0.7533935546875,8.945553990927609,0.03362255863083357,3.2883054708892647,-0.032923533115535975,0.9842139879862467,0.6451886693636576,0.006703753024339676,12.239335060119629,0.08954523587297197,0.0,2.7992254892985025,0.5227025349934896,-0.12239334732294083,0.0006821806205643548,2.784694723892212,0.527,-1.9302033837869483,0.9986222222222222
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,15,0.9999725246293978,0.6461820683696053,0.00670417122786272,3.024019531228326,0.7657770330255681,9.213886331428181,0.02140667159321972,3.300521360202269,-0.030240194702690296,0.9899048407872518,0.636236310005188,0.006675541090468566,12.239335060119629,0.09241838933443952,0.0,2.8672863642374673,0.4546416600545247,-0.12239334732294083,-0.008831960703266991,2.852836223983765,0.5332,-1.977435480550165,0.9996222222222222
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,16,0.9999721101061865,0.6406515508212827,0.006683648460735144,2.81505433131348,0.7749831321022728,9.422834428873928,0.016140863934362478,3.3057871596379713,-0.028150542702695184,0.9746315876642863,0.6356812119483948,0.006678577357282241,12.239335060119629,0.08889491438514012,0.0,2.915801763534546,0.4061262607574463,-0.12239334732294083,-0.012037459307909011,2.8936140815734865,0.533,-2.005700514166152,0.9998
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,17,0.9999718835408037,0.6355038457973436,0.006677345491797579,2.780573019927198,0.7739342151988636,9.457295228134502,0.016328709438146852,3.3055993169546127,-0.027805729599838905,0.9951808849970499,0.6324895819028219,0.006694871466606855,12.239335060119629,0.08797056485066372,0.0,2.9758118788401284,0.3461161454518636,-0.12239334732294083,-0.011486018000046411,2.9591476016998293,0.5352,-2.0511247797728425,0.9996
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,transformer,18,0.9999729147688909,0.6485902165824716,0.006733922883127393,3.430287393656644,0.7336012961647728,8.80758117816665,0.10215257809878411,3.2197754464366217,-0.03430287320886485,0.986286481221517,0.6511342326800028,0.006713313516229391,12.239335060119629,0.08753053558259587,0.0,3.0716192722320557,0.2503087520599365,-0.12239334732294083,0.06777849697271983,3.050154652786255,0.5176,-2.11420609292014,0.9826222222222222
