experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,,epochs,run_count,train_z_norm_mean,train_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,train_z_std_mean,train_z_std_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,train_aux_loss_mean,train_aux_loss_std,valid_z_norm_mean,valid_z_norm_std,valid_z_mean_norm_mean,valid_z_mean_norm_std,valid_z_std_mean,valid_z_std_std,valid_d_H_Q_xCz_mean,valid_d_H_Q_xCz_std,valid_h_delta_acc_mean,valid_h_delta_acc_std,valid_d_DIQ_xz_mean,valid_d_DIQ_xz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,valid_aux_loss_mean,valid_aux_loss_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,0,5,0.999987514587966,3.009401521484743e-07,1.1006684452295303,0.02656786946873932,0.019458207496526568,0.0012496629697706643,6.923240635611793,0.07414252815916575,0.5455202858664773,0.006290290711022351,5.314670024134896,0.07412978069154452,4.587733132188971,0.14658043466852966,-1.265805107896978,0.14658043466852977,,,1.016898016134898,0.012910199194444303,1.1041918834050497,0.029262462938631613,0.01966576762497425,0.001106245485225764,11.457023684183756,0.049149316177592356,0.12147998190910769,0.004739753686809451,0.7815253416697184,0.050944624632370365,4.153042125701904,0.13043248218501785,-0.8311141014099122,0.13043248218501802,,,4.587702312503391,0.14664348777295488,4.149530643920899,0.13386620519074113,0.14356,0.010394613989946908,-2.876235563616194,0.09278893078553974,0.09705333333333334,0.008105303857184127
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,1,5,0.9999963034960355,1.0634954174741487e-07,2.1272583522579884,0.056645521401018445,0.06229795946697281,0.007884541951643474,9.946250961043617,0.053683810712621606,0.2723251065340909,0.0040737486391751905,2.2916312691840255,0.05368870544441426,2.395986727557399,0.011187067735088374,0.925941296734593,0.011187067735088268,,,0.9969587445259094,0.01603422223041585,2.303293991088867,0.06879070231973868,0.0512584904829661,0.007031055404800503,12.060135396321616,0.026550435192245554,0.052608055632374626,0.002888519175190246,0.17841358184814451,0.026997494714635927,2.1663916905721026,0.03440827449318248,1.1555363337198892,0.034408274493182324,,,2.396329991285536,0.011238960782833804,2.166053377685547,0.030090082374984093,0.47232,0.011936163537753666,-1.5013938222192134,0.020856847801104725,0.42293777777777775,0.002014601023515712
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,2,5,0.9999955636533825,1.5950055796073865e-07,1.9471763419834052,0.05602946517622701,0.02800656239798462,0.0031484054764887954,10.159736481579866,0.035580750472139044,0.2586122602982954,0.00403426239770138,2.0781717070124364,0.035591720596344356,1.819669614190405,0.00795223940368854,1.5022584101015872,0.00795223940368854,,,0.9914936741193134,0.013319079285411303,1.8066649278004963,0.05650214076097388,0.02032123791674773,0.0017520427895625645,11.969514274597167,0.03326180304123649,0.0643840598497419,0.0017760948559998443,0.26903479894002275,0.03476127882422743,2.069861125946045,0.029058534813658908,1.2520668983459473,0.029058534813659314,,,1.8196584169726902,0.008013511401817055,2.0670197275543214,0.026095559354836446,0.49871999999999994,0.007059178422451165,-1.4327489010306744,0.018088045269125164,0.5604444444444445,0.0012770529345061505
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,3,5,0.9999929035251791,2.411852614907544e-07,1.543820619718595,0.04179572650006619,0.014506531140597707,0.0009983601989067294,9.654923047802665,0.05177644970414687,0.31104074928977277,0.0051815929286881945,2.582955631342801,0.05177463720307502,1.4757205694913864,0.008495101905104064,1.8462074552070014,0.008495101905259114,,,0.9954875985781353,0.008103380640557845,1.4373108307520548,0.04111848703370161,0.012308242544531823,0.0006923240431859897,11.906006940205891,0.043462939463762874,0.07390727265394542,0.005040110095879017,0.33254199028015136,0.044528894465806865,2.0626528183619177,0.040886888022132986,1.259275205930074,0.040886888022132785,,,1.4755935711500379,0.008616698584239248,2.059463328056336,0.0410122341197992,0.5081199999999999,0.007306982961523839,-1.4275112188212247,0.028427510145170184,0.6499111111111112,0.0018272288942819959
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,4,5,0.9999898179010913,2.6272259486025e-07,1.2483222056518901,0.03104395988322562,0.010394712883598086,0.0004826520328101122,9.031463489749216,0.05953294576356732,0.3701530539772727,0.005861700563500269,3.2064380745996126,0.05950822601722562,1.1452957945113833,0.008692588028095416,2.176632231609388,0.008692585059225917,,,0.9974003314971924,0.007297723935340647,1.1637015024820963,0.03095771042640375,0.009721124420563379,0.00048353491525218636,11.817285029093425,0.03430324133610977,0.08505297635508849,0.002113551830790076,0.4212639490763347,0.035924635751298235,2.078921016057332,0.028959248633853327,1.2430070082346598,0.028959248633853442,,,1.1452562996843125,0.008703670901965806,2.0758086851501467,0.02824838400426689,0.51692,0.006546143903092922,-1.4388409900693735,0.019580327283188863,0.7394444444444443,0.003128956754314525
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,5,5,0.9999866325746882,3.3734196797864293e-07,1.0451874038035218,0.024708897081603114,0.00892271991205317,0.0003856751601514065,8.314350470629606,0.06602155750353542,0.43424476207386353,0.005212461974923121,3.923551197756421,0.06603677313529946,0.8415494147349488,0.006085243443823779,2.480378607186404,0.006085243959840987,,,1.0006415446599326,0.012567406865184299,0.9862547993659974,0.019821107082939157,0.008508166670799256,0.00030789088315724466,11.80896224975586,0.03827281337978557,0.09218584358867996,0.0032496163824757194,0.42958695093790694,0.03986333797208418,2.148961607615153,0.028979938651557527,1.1729664166768392,0.02897993865155742,,,0.8415463011127049,0.0061453318243091404,2.1394133893585208,0.026779464379972237,0.51544,0.006263226005821624,-1.4829283944816811,0.018562134771047765,0.8236800000000001,0.002536674210335779
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,6,5,0.9999836630441926,3.660357385307403e-07,0.90998684567484,0.019701941071814704,0.008094350370811298,0.0003090509942775048,7.566034573858434,0.05145248755715954,0.4943346946022727,0.004299039949044757,4.671869855035435,0.051447395744394685,0.5889826530759985,0.005712800526222928,2.732945369319483,0.005712802239106687,,,0.99655522108078,0.007301220217763612,0.8688917835553488,0.020625426336154516,0.007871182107677063,0.00026820296129700797,11.880299441019694,0.023873348441204686,0.09542535202341446,0.0048782881787536175,0.35824961662292487,0.023286006570267834,2.2102606296539307,0.027143676237774906,1.1116673946380615,0.027143676237775003,,,0.5889973346307542,0.005735323693490961,2.2046625274658203,0.017796126986085927,0.52328,0.004526809030652813,-1.5281556341200346,0.012335342859988224,0.8918355555555555,0.0013886310871848802
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,7,5,0.9999811487441713,3.999742191137186e-07,0.8199702940881253,0.018240940604886888,0.007638427655381913,0.00025831364247399743,6.765570072152397,0.06412560489175803,0.55395458984375,0.004679810289125091,5.472317697243257,0.06411282230812414,0.3908783320337534,0.0043058778905309585,2.9310496934435584,0.004305877932033411,,,0.9937954942385355,0.011702649055480982,0.791627319653829,0.013921640113192078,0.0074774043324093015,0.00025565371170973325,11.9461451848348,0.023463590244911552,0.09768217643805309,0.005631633907203833,0.2924039045969645,0.02496628607902252,2.2974345684051514,0.05142062006736238,1.0244934558868408,0.051420620067362484,,,0.3908234457683563,0.004287321922292515,2.288418352508545,0.04651714540946418,0.52172,0.004083136049655959,-1.586210773295362,0.032243228825656015,0.9404755555555555,0.0010103904635777564
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,8,5,0.9999790080569007,4.2694759598081477e-07,0.758921526169235,0.016168791610343885,0.007347336971857162,0.00023133459494510024,5.968321071429687,0.05740168817386711,0.6082709073153408,0.004478249341801957,6.26958755959164,0.057392001226800535,0.2547723947092891,0.006381348522639622,3.0671556293964386,0.006381347628979053,,,0.9859186371167501,0.01260282583835738,0.7353092471758524,0.014656476031848832,0.007234631385654211,0.00019383216900867358,11.982207997639973,0.01606930155610669,0.09860198884587021,0.0037521539722364947,0.2563411553700765,0.01741414371975255,2.3487215518951414,0.04401357360383867,0.9732064723968505,0.0440135736038386,,,0.25470729710208045,0.006391626328354203,2.3382286846923828,0.04040605912779942,0.5257200000000001,0.0021428952377566353,-1.6207366532198946,0.02800735828993847,0.9688533333333333,0.0017471387544097914
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,1,default,transformer,9,5,0.9999772328544747,4.288551460249672e-07,0.7161696280268106,0.014178953207687528,0.007140014511638914,0.000190866222045362,5.228633958101273,0.048128903903809854,0.6536133256392047,0.0031114440810232485,7.009253511645577,0.048126275209201506,0.16306276964023708,0.0037754885118073474,3.1588652570139275,0.0037754873385958134,,,0.9884974638621014,0.010228402068366385,0.7007667700449627,0.014613700937412745,0.007066547280798356,0.0001955040108717478,12.059050877888996,0.024816507911352256,0.09887400039177728,0.002643635572519801,0.17949819564819336,0.02482200219537575,2.431931161880493,0.04931105105484938,0.889996862411499,0.04931105105484946,,,0.16306551706314087,0.0037739334138674955,2.4207386887359617,0.03797847022188562,0.52932,0.003938527643676002,-1.6779282242091142,0.02632468206833407,0.9847688888888889,0.0008162848691812569
