model,enc_zx_nhid,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdibS,2,1000.0,2,0.4048,-1.64639895780012,0.41517777777777776,-1.6269135879668095
cdibS,2,1000.0,4,0.3969,-1.6793325729720294,0.4030222222222222,-1.6627641121933858
cdibS,2,1000.0,3,0.3974,-1.6849578575529158,0.3995111111111111,-1.6707493763719996
cdibS,2,10.0,0,0.4619,-4.771802249258903,0.9962,-0.01804902741178809
cdibS,2,10.0,2,0.4668,-4.565579588587728,0.9970888888888888,-0.016159444295500446
cdibS,2,10.0,1,0.474,-4.723434700251038,0.9966,-0.015247464160537197
cdibS,2,10.0,4,0.4714,-4.607924975982956,0.9962,-0.018282758151058492
cdibS,2,10.0,3,0.4654,-4.7776202068542215,0.9964,-0.016577659002013398
cdibS,2,1.0,0,0.436,-6.4910705350440345,0.9982888888888888,-0.009015236767089142
cdibS,2,1.0,2,0.4295,-6.509198436128025,0.9988222222222222,-0.00882174682055927
cdibS,2,1.0,1,0.4314,-6.604830065123438,0.9988222222222222,-0.008424352932145714
cdibS,2,1.0,3,0.43200000000000005,-6.41693684914759,0.9982888888888888,-0.009463288228765413
cdibS,2,1.0,4,0.436,-6.371265215646008,0.9985777777777778,-0.00868877770766733
cdibS,2,0.01,0,0.4067,-7.892277843312532,0.9994,-0.004655075058867243
cdibS,2,0.01,1,0.4053,-7.843629252258053,0.9995555555555556,-0.004601983083483765
cdibS,2,0.01,3,0.4091,-7.811374414185918,0.9995333333333334,-0.005201641679149272
cdibS,2,0.01,2,0.4113,-7.781003359839978,0.9997555555555556,-0.003443498131840735
cdibS,2,0.01,4,0.414,-7.762935989369982,0.9996666666666668,-0.003567571640836042
cdibS,2,0.1,0,0.429,-7.344311852670153,0.9995555555555556,-0.00503138638686715
cdibS,2,0.1,2,0.4203,-7.446188301237832,0.9995777777777778,-0.005093630312628414
cdibS,2,0.1,1,0.4166,-7.534654102325707,0.9993555555555556,-0.00557672034696883
cdibS,2,0.1,3,0.4244,-7.337116513382185,0.9994222222222222,-0.005577783083349536
cdibS,2,0.1,4,0.4183,-7.465826837454835,0.9995777777777778,-0.0049346416823009215
cdibS,2,0.0001,4,0.4103,-8.20714042349967,0.9997333333333334,-0.0029841430174105247
cdibS,2,0.0001,3,0.39,-8.355380772030822,0.9997111111111112,-0.004768804945653246
cdibS,2,0.0001,2,0.4004,-8.16197797561254,0.9998666666666668,-0.0026425663528806343
cdibS,2,0.0001,1,0.3982,-8.261750154862876,0.9997333333333334,-0.003571655984992801
cdibS,2,0.0001,0,0.3946,-8.336657910742652,0.9996666666666668,-0.00394638297268965
cdibS,2,0.001,4,0.4008,-8.15731635411459,0.9997333333333334,-0.0034629055399972627
cdibS,2,0.001,3,0.3937,-8.222230902057497,0.9993111111111111,-0.005265071636289219
cdibS,2,0.001,2,0.3965,-8.142257967167753,0.9998444444444444,-0.0030295726630453056
cdibS,2,0.001,1,0.4019,-8.102541735187843,0.9993777777777778,-0.004233682044140224
cdibS,2,0.001,0,0.3981,-8.1236249889526,0.9993777777777778,-0.005033862055419748
