model,enc_zx_nhid,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdib,128,0.0,2,0.3857,-8.397576387418821,0.9995333333333334,-0.0033329679163239113
cdib,128,0.0,1,0.3822,-8.42891741062219,0.9992888888888888,-0.005037828217206177
cdib,128,0.0,0,0.3928,-8.423447363638129,0.9997333333333334,-0.003729034665311904
cdib,128,0.0,4,0.3879,-8.478481446857662,0.9996444444444444,-0.0035018391638468238
cdib,128,0.0,3,0.3887,-8.547005444265961,0.9997777777777778,-0.0036190149244076436
cdib,128,0.01,2,0.4583,-5.422302907410982,0.9979555555555556,-0.009136520359369585
cdib,128,0.01,3,0.4575,-5.524507027505523,0.9970222222222224,-0.011119989874071071
cdib,128,0.01,1,0.4586,-5.489603477611484,0.9977777777777778,-0.010850829899813676
cdib,128,0.01,0,0.4596,-5.410296659007965,0.9967111111111112,-0.01264247702431335
cdib,128,0.01,4,0.4537,-5.461170209036256,0.9970222222222224,-0.012572983518232292
cdib,128,1000.0,1,0.2792,-2.0269782837331296,0.2745777777777777,-2.027433960024516
cdib,128,1000.0,0,0.2303,-2.1086463143229484,0.22346666666666667,-2.1130131164100434
cdib,128,1000.0,3,0.2254,-2.110716005140543,0.22404444444444446,-2.1124964702222084
cdib,128,1000.0,2,0.2533,-2.0956973631680014,0.24584444444444445,-2.098321237477992
cdib,128,1000.0,4,0.2408,-2.0959965909302234,0.2447111111111111,-2.0972783748586967
cdib,128,100.0,1,0.3532,-1.8539080504775047,0.3496444444444444,-1.8536737981246576
cdib,128,100.0,4,0.3748,-1.7748341170206663,0.3719777777777778,-1.7674756752143304
cdib,128,100.0,0,0.3691,-1.7774409388080241,0.3707111111111111,-1.7722208254476388
cdib,128,100.0,3,0.3598,-1.83904023848325,0.3496666666666667,-1.8365357437216572
cdib,128,100.0,2,0.368,-1.804030569455028,0.3665777777777778,-1.7979621556229062
cdib,128,0.1,0,0.4733,-3.644723133917217,0.9805111111111112,-0.058642121921332516
cdib,128,0.1,2,0.4725,-4.168889403990782,0.9972888888888888,-0.011504160806339684
cdib,128,0.1,3,0.4623,-4.05761359223439,0.9957777777777778,-0.0167675079675972
cdib,128,0.1,4,0.46799999999999997,-4.0501053579575546,0.9954666666666668,-0.018113922266622246
cdib,128,0.1,1,0.478,-3.9043016699526136,0.9915555555555556,-0.028798396584984093
cdib,128,1.0,2,0.4967,-2.3747796838357567,0.9902444444444444,-0.05794543458148429
cdib,128,1.0,3,0.4747,-2.275173646465253,0.9328222222222222,-0.2218685276071049
cdib,128,1.0,1,0.5029,-2.488790877153823,0.9903555555555555,-0.04902741058953474
cdib,128,1.0,0,0.4625,-2.533306028136956,0.9479777777777778,-0.1750559897112179
cdib,128,1.0,4,0.49,-2.32472769608004,0.9829333333333332,-0.08584509724746148
cdib,128,10.0,4,0.5164,-1.4082696965682633,0.6655555555555556,-0.9628657550919774
cdib,128,10.0,0,0.5297,-1.4448611861292364,0.7355111111111111,-0.7666590777877579
cdib,128,10.0,1,0.5276,-1.3685192691058592,0.6678,-0.9591674332922208
cdib,128,10.0,2,0.5185,-1.4101732949558274,0.6667333333333333,-0.9474259396041128
cdib,128,10.0,3,0.524,-1.4412060290952178,0.7111333333333333,-0.8536137982643333
cdib,128,0.001,0,0.4074,-7.961162877247872,0.9994888888888888,-0.004451281932089622
cdib,128,0.001,2,0.4066,-7.832655746178738,0.9996222222222222,-0.003541515288307505
cdib,128,0.001,3,0.3968,-8.080343739405278,0.9994666666666666,-0.005327704461546728
cdib,128,0.001,4,0.4113,-7.928086018486629,0.9998,-0.0035108376137158413
cdib,128,0.001,1,0.4113,-7.851108866239956,0.9996,-0.0039882069597975715
cdib,128,0.0001,1,0.3918,-8.259526033578396,0.9993777777777778,-0.004926841206682987
cdib,128,0.0001,0,0.3995,-8.211509703097018,0.9996666666666668,-0.0038978768207779072
cdib,128,0.0001,3,0.3958,-8.190920556803954,0.9994666666666666,-0.004687245640205444
cdib,128,0.0001,2,0.3992,-8.164561876679862,0.9997777777777778,-0.0028278669931864698
cdib,128,0.0001,4,0.4038,-8.165181798712004,0.9998,-0.00306570193505727
vib,128,10.0,0,0.4562,-2.7887134565185,1.0,-0.016493716607724303
vib,128,10.0,1,0.4551,-2.7856529417495453,1.0,-0.016279151123421615
vib,128,10.0,2,0.4498,-2.9176527713584934,1.0,-0.017025905405442052
vib,128,10.0,3,0.4506,-2.863140393250123,1.0,-0.0167534197583601
vib,128,10.0,4,0.4441,-2.92501739571471,1.0,-0.0167752663687657
vib,128,1.0,1,0.4624,-3.476418167321568,1.0,-0.0119093299715843
vib,128,1.0,0,0.4673,-3.337455767275332,1.0,-0.009799740459440513
vib,128,1.0,2,0.4685,-3.3839929829897577,1.0,-0.008857944883646041
vib,128,1.0,3,0.4638,-3.3691374000422347,1.0,-0.010720155842094231
vib,128,1.0,4,0.4584,-3.4410491503158487,1.0,-0.009205617669909944
vib,128,100.0,0,0.3816,-1.8146332546164865,0.7741555555555556,-0.8182029337375942
vib,128,100.0,1,0.3866,-1.7546795835040234,0.7694444444444445,-0.8560463551472666
vib,128,100.0,2,0.3582,-1.8751863153568,0.8036,-0.8128347143365587
vib,128,100.0,3,0.3877,-1.8057225734871347,0.7891777777777778,-0.7694901767981549
vib,128,100.0,4,0.3844,-1.8296700096162732,0.7821111111111111,-0.7993439006853331
vib,128,1000.0,0,0.0988,-2.3107936988115307,0.09902222222222222,-2.3073253248347183
vib,128,1000.0,1,0.1014,-2.3071569134354597,0.09633333333333334,-2.3081036685281333
vib,128,1000.0,3,0.1037,-2.3078196898221965,0.09753333333333332,-2.3084733720355564
vib,128,1000.0,2,0.0976,-2.3114814857959747,0.0971111111111111,-2.307600107248624
vib,128,1000.0,4,0.094,-2.3116326807379717,0.09986666666666667,-2.3066991220023896
vib,128,0.01,0,0.4613,-4.999519855752915,0.9994,-0.007526817520871873
vib,128,0.01,1,0.4559,-5.031667088666111,0.9993777777777778,-0.007693898569892326
vib,128,0.01,2,0.4552,-5.0286302927963415,0.9996444444444444,-0.007472365289140809
vib,128,0.01,3,0.4469,-5.021607290859938,0.9992666666666666,-0.008458938909091641
vib,128,0.01,4,0.4538,-5.04488400139208,0.9996888888888888,-0.00687819310276234
vib,128,0.1,0,0.4723,-4.1472905310041135,0.9999111111111112,-0.008205832186251262
vib,128,0.1,1,0.4673,-4.16309041205936,0.9998444444444444,-0.008677765248841736
vib,128,0.1,2,0.4708,-4.050047391045556,0.9999111111111112,-0.007771014993301839
vib,128,0.1,3,0.4573,-4.119762799610819,0.9998888888888888,-0.009372065077593968
vib,128,0.1,4,0.4664,-4.147881289176787,0.9998666666666668,-0.007830509873892309
vib,128,0.0,0,0.3822,-8.498620180154708,0.9995777777777778,-0.0046896284051808
vib,128,0.0,1,0.3646,-8.79591582588197,0.9995777777777778,-0.004531495917665379
vib,128,0.0,2,0.3749,-8.657938700476087,0.9997555555555556,-0.0032900553929616386
vib,128,0.0,3,0.381,-8.545165267720924,0.9995111111111112,-0.0045163031168924525
vib,128,0.0,4,0.3855,-8.481830056808608,0.9997111111111112,-0.003569770691534819
vib,128,0.0001,0,0.4065,-7.200030261391183,0.9990666666666668,-0.006455556759524148
vib,128,0.0001,1,0.4046,-7.2027124195599965,0.9991111111111112,-0.006576690042909839
vib,128,0.0001,3,0.4031,-7.148425661412227,0.9995777777777778,-0.006485820751166231
vib,128,0.0001,2,0.4034,-7.196760343055326,0.9994,-0.005696654780129655
vib,128,0.0001,4,0.4058,-7.106809339686905,0.9992888888888888,-0.006609096898190635
vib,128,0.001,0,0.42700000000000005,-6.2421737832787,0.9990444444444444,-0.007376465025851109
vib,128,0.001,4,0.4207,-6.288881797902497,0.9993555555555556,-0.006952705825113393
vib,128,0.001,3,0.4206,-6.219934916908139,0.9992888888888888,-0.007527822186162947
vib,128,0.001,1,0.4232,-6.3358983892497776,0.9990888888888888,-0.007172401584592606
vib,128,0.001,2,0.4229,-6.285107729943905,0.9992888888888888,-0.006664242491310728
cdibL,8192,10.0,0,0.2073,-2.1749517360389232,0.20422222222222225,-2.1760020217908758
cdibL,8192,10.0,1,0.2425,-2.099964086139202,0.2381111111111111,-2.1029812289913496
cdibL,8192,10.0,2,0.2383,-2.1035651037096983,0.2368666666666667,-2.104030501463678
cdibL,8192,10.0,4,0.244,-2.09056106659174,0.2382888888888889,-2.0910881968829367
cdibL,8192,10.0,3,0.2592,-2.059367960813641,0.2570666666666667,-2.0521825870911283
cdibL,8192,1000.0,0,0.2624,-2.052398291257024,0.2591111111111111,-2.055552625576655
cdibL,8192,1000.0,1,0.2346,-2.1092261706650257,0.23157777777777774,-2.109575491650899
cdibL,8192,1000.0,4,0.2605,-2.0580828130334616,0.2600888888888889,-2.0569184171994532
cdibL,8192,1000.0,2,0.2908,-1.987381375475228,0.2868,-1.9855461247639523
cdibL,8192,1000.0,3,0.3035,-1.952659197896719,0.30035555555555554,-1.9468261060807444
cdibL,8192,100.0,0,0.3214,-1.8965123061835767,0.32355555555555554,-1.8889907860239348
cdibL,8192,100.0,1,0.2104,-2.163046941226721,0.21257777777777775,-2.1640249560395874
cdibL,8192,100.0,2,0.2595,-2.053739057230949,0.2610666666666667,-2.054080560212665
cdibL,8192,100.0,4,0.2373,-2.1283384326457977,0.23575555555555555,-2.1251767032384867
cdibL,8192,100.0,3,0.2926,-1.9849867413461209,0.2908888888888889,-1.9796463060372405
cdibL,8192,0.0,1,0.3822,-8.42891741062219,0.9992888888888888,-0.005037828217206177
cdibL,8192,0.0,0,0.3928,-8.423447363638129,0.9997333333333334,-0.003729034665311904
cdibL,8192,0.0,2,0.3857,-8.397576387418821,0.9995333333333334,-0.0033329679163239113
cdibL,8192,0.0,3,0.3887,-8.547005444265961,0.9997777777777778,-0.0036190149244076436
cdibL,8192,0.0,4,0.4022,-8.249547730079055,0.9997555555555556,-0.003209889105348079
cdibL,8192,0.1,2,0.3061,-1.9436707765460013,0.30406666666666665,-1.9401158655593795
cdibL,8192,0.1,0,0.2682,-2.0304803457438947,0.26597777777777776,-2.0305623134149444
cdibL,8192,0.1,1,0.3147,-1.9172712616413832,0.311,-1.9180395750549104
cdibL,8192,0.1,4,0.299,-1.983073369315267,0.2952444444444444,-1.9824489033692412
cdibL,8192,0.1,3,0.2668,-2.0477793483406304,0.2650666666666667,-2.048955110071765
cdibL,8192,1.0,2,0.2512,-2.0683793055415154,0.2485111111111111,-2.071667623946402
cdibL,8192,1.0,0,0.1951,-2.1987431084513664,0.19526666666666667,-2.203771091249254
cdibL,8192,1.0,1,0.257,-2.0749430222690104,0.2486888888888889,-2.0773343026598297
cdibL,8192,1.0,4,0.281,-2.0013776457130907,0.2782444444444445,-2.0002052856908903
cdibL,8192,1.0,3,0.2764,-2.0054805406749248,0.2746888888888889,-2.004775171397792
cdibL,8192,0.01,2,0.4762,-3.215009988003115,0.9013555555555556,-0.2849547609178333
cdibL,8192,0.01,0,0.4669,-1.5306150201004958,0.5920888888888889,-1.1723839403747438
cdibL,8192,0.01,1,0.4785,-1.5431743836185574,0.6350888888888889,-1.0455631575772124
cdibL,8192,0.01,3,0.3116,-1.9232904561281203,0.3190444444444445,-1.9166077859332165
cdibL,8192,0.01,4,0.48700000000000004,-1.5182986276511266,0.6419333333333334,-1.0273960414524046
cdibL,8192,0.0001,1,0.4089,-7.698539418594719,0.9992666666666666,-0.005426344489110669
cdibL,8192,0.0001,0,0.4071,-7.518551273746826,0.9992888888888888,-0.006985887418045383
cdibL,8192,0.0001,2,0.40700000000000003,-7.66996422622598,0.9992888888888888,-0.005773210232771425
cdibL,8192,0.0001,3,0.4101,-7.611536823725169,0.9994666666666666,-0.005879961578676703
cdibL,8192,0.0001,4,0.4085,-7.689106630565206,0.9996666666666668,-0.0048375887637235795
cdibL,8192,0.001,0,0.4325,-6.982779870245577,0.9992222222222222,-0.0072485285027794125
cdibL,8192,0.001,2,0.4294,-6.773879517002322,0.9987777777777778,-0.009817846227112651
cdibL,8192,0.001,1,0.4217,-7.222380138235628,0.9994666666666666,-0.006382499204089483
cdibL,8192,0.001,4,0.4286,-6.913150377708884,0.9994444444444444,-0.0076564018699468925
cdibL,8192,0.001,3,0.4183,-7.106930452917893,0.9990222222222224,-0.008347808893814453
cdibS,2,100.0,1,0.5042,-1.4719281901644978,0.6395111111111111,-1.0231408689214183
cdibS,2,100.0,0,0.4939,-1.6139872823556891,0.7068222222222222,-0.8308461702011438
cdibS,2,100.0,2,0.498,-1.5662663814422548,0.6783111111111111,-0.9109003646520808
cdibS,2,100.0,4,0.4882,-1.4855117981944448,0.6254888888888889,-1.056007996804364
cdibS,2,100.0,3,0.5014,-1.5784752236243844,0.6996444444444444,-0.8488653589151832
cdibS,2,0.0,2,0.3857,-8.397576387418821,0.9995333333333334,-0.0033329679163239113
cdibS,2,0.0,0,0.3928,-8.423447363638129,0.9997333333333334,-0.003729034665311904
cdibS,2,0.0,1,0.3822,-8.42891741062219,0.9992888888888888,-0.005037828217206177
cdibS,2,0.0,3,0.3887,-8.547005444265961,0.9997777777777778,-0.0036190149244076436
cdibS,2,0.0,4,0.4022,-8.249547730079055,0.9997555555555556,-0.003209889105348079
cdibS,2,1000.0,1,0.4112,-1.642231679446995,0.4152666666666667,-1.628556497703741
cdibS,2,1000.0,0,0.3973,-1.67176954995133,0.408,-1.6523731381732556
