model,enc_zx_nhid,beta,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,run_count
cdib,128,0.0,0.38746,0.003905508929704285,-8.455085610560554,0.059138999583977524,0.9995955555555556,0.00019525229010219556,-0.003844136977419292,0.0006832438911447035,5
cdib,128,0.0001,0.39802,0.00448909790492478,-8.198339993774248,0.03941017587421156,0.9996177777777777,0.0001881685611556915,-0.0038811065191820147,0.0009378033771843874,5
cdib,128,0.001,0.40668000000000004,0.005933548685230448,-7.930671449511695,0.09909022244612606,0.9995955555555556,0.0001327766155225937,-0.0041639092510914535,0.0007552732044239029,5
cdib,128,0.01,0.45754,0.002274423003752826,-5.461576056114443,0.04721748882706638,0.9972977777777778,0.0005383101130182452,-0.011264560135159994,0.0014431955219374776,5
cdib,128,0.1,0.47081999999999996,0.005938602529215107,-3.9651266316105116,0.20226997214112405,0.9921200000000001,0.006826086491550093,-0.026765221909375147,0.018894243893278484,5
cdib,128,1.0,0.48536,0.016537774941025162,-2.399355586334366,0.10901358089724272,0.9688666666666667,0.026702998398247125,-0.11794849194736065,0.07655349504172507,5
cdib,128,10.0,0.52324,0.005713405289317377,-1.4146058951708809,0.030849320151434642,0.6893466666666666,0.03220036270020405,-0.8979464008080804,0.08604141876543346,5
cdib,128,100.0,0.36497999999999997,0.008487166782855169,-1.8098507828488946,0.03571941667902233,0.36171555555555557,0.011188854683827238,-1.8055736396262378,0.03838644595519618,5
cdib,128,1000.0,0.24580000000000002,0.021524520900591513,-2.087606911458969,0.034598985946345376,0.24252888888888888,0.020904122105165124,-2.089708631798691,0.03560897820136067,5
cdibL,8192,0.0,0.39032,0.0077004545320390125,-8.40929886720483,0.1063085261260203,0.9996177777777777,0.0002081072847724122,-0.003785746965719543,0.0007306408936449403,5
cdibL,8192,0.0001,0.40832000000000007,0.0013007690033207309,-7.63753967457158,0.07460874455165949,0.9993955555555555,0.00017170172241860404,-0.0057805984964655515,0.0007869898745859229,5
cdibL,8192,0.001,0.42610000000000003,0.0058800510201868,-6.9998240712220605,0.17310167206025184,0.9991866666666667,0.0002916957657441324,-0.007890616939548577,0.0012908127840006115,5
cdibL,8192,0.01,0.44404000000000005,0.07438120058186747,-1.9460776951002832,0.729493602696453,0.6179022222222222,0.20688219323214654,-1.0893811372510822,0.5796674382783575,5
cdibL,8192,0.1,0.29096,0.022131267473870536,-1.984455020317435,0.05546895985490955,0.2882711111111111,0.02150679134771326,-1.984024353494048,0.056272136099539634,5
cdibL,8192,1.0,0.25214,0.03427649340291391,-2.069784724529981,0.07980194940482044,0.24908000000000002,0.03317654087148828,-2.071550694988834,0.0822569677232338,5
cdibL,8192,10.0,0.23826,0.01902585083511379,-2.1056819906586406,0.04245322417855216,0.23491111111111113,0.01909286596779534,-2.1052569072439935,0.04480287331155064,5
cdibL,8192,100.0,0.26424000000000003,0.043927588142305296,-2.0453246957266336,0.10794258323610254,0.26476888888888894,0.0439247043737461,-2.042383862310383,0.1109656025015709,5
cdibL,8192,1000.0,0.27036,0.02718185056246171,-2.0319495696654917,0.06193960097205578,0.26758666666666664,0.026775193974006614,-2.030883753054341,0.06442036806351556,5
cdibS,2,0.0,0.39032,0.0077004545320390055,-8.40929886720483,0.10630852612602008,0.9996177777777777,0.00020810728477238874,-0.003785746965719543,0.0007306408936449401,5
cdibS,2,0.0001,0.3987,0.007586171630012064,-8.264581447349713,0.08257495653705627,0.9997422222222223,7.47010502842945e-05,-0.0035827106547253714,0.0008338695869678772,5
cdibS,2,0.001,0.3982,0.003301514803843825,-8.149594389496055,0.04549141905148802,0.9995288888888888,0.00024211006577713385,-0.004205018787778353,0.0009674606517706377,5
cdibS,2,0.01,0.40928000000000003,0.0034959977116697087,-7.818244171793293,0.051522940318651664,0.9995822222222224,0.00013553733939541095,-0.004293953918835412,0.0007583030023842271,5
cdibS,2,0.1,0.42172,0.005002699271393368,-7.425619521414143,0.08421989406974925,0.9994977777777777,0.00010255982897081008,-0.0052428323624229695,0.0003104936872261106,5
cdibS,2,1.0,0.43298,0.002907232360854559,-6.478660220217819,0.08992898566622501,0.9985599999999998,0.0002668517875960925,-0.008882680491245373,0.00038924666481119524,5
cdibS,2,10.0,0.4678999999999999,0.004819751030914363,-4.6892723441869695,0.0970835835019947,0.9964977777777777,0.00036971794387704254,-0.016863270604179526,0.0012853734891006693,5
cdibS,2,100.0,0.49714,0.00630777298259851,-1.5432337751562542,0.061633660646749126,0.6699555555555555,0.03610590389806487,-0.9339521518988381,0.1015557078862312,5
cdibS,2,1000.0,0.40152,0.006336166033178113,-1.6649381235446783,0.01945470110855,0.40819555555555553,0.007088251451661069,-1.6482713424818383,0.019855451971196765,5
vib,128,0.0,0.37764,0.008237293244749769,-8.595894006208459,0.13124829439713695,0.9996266666666667,0.00010231879496196296,-0.004119450704847018,0.0006407847541731688,5
vib,128,0.0001,0.40468000000000004,0.0014754660280738255,-7.170947605021128,0.04225534526262676,0.9992888888888889,0.00021023208809360392,-0.006364763846384102,0.000378774076681019,5
vib,128,0.001,0.42288,0.0025994230129011645,-6.2743993234566044,0.04503166705064472,0.9992133333333333,0.00013752665286014074,-0.007138727422606156,0.00034234041426979,5
vib,128,0.01,0.4546200000000001,0.005168849001470254,-5.025261705893477,0.016683887322182046,0.9994755555555555,0.00018230350490660443,-0.007606042678351799,0.0005676843120825062,5
vib,128,0.1,0.46682000000000007,0.005850384602741963,-4.1256144845793274,0.045040910731778225,0.9998844444444446,2.8974232912046187e-05,-0.008371437475976223,0.0006662633191783185,5
vib,128,1.0,0.46408000000000005,0.004033236913448079,-3.4016106935889483,0.05619675943969015,1.0,0.0,-0.010098557765335007,0.001234001040365046,5
vib,128,10.0,0.45116000000000006,0.004820062240262061,-2.8560353917182746,0.06725256801509863,1.0,0.0,-0.016665491852742752,0.00028655086104267455,5
vib,128,100.0,0.37970000000000004,0.012242957159118046,-1.8159783473161433,0.04346715343837439,0.7836977777777777,0.013443008187745855,-0.8111836161409816,0.03139738859453237,5
vib,128,1000.0,0.09910000000000001,0.003701351104664353,-2.3097768937206267,0.0021259360282395003,0.09797333333333333,0.00144148414601406,-2.3076403189298844,0.0006883604148068707,5
