model,enc_zx_nhid,beta,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cdib,128,0.0,2,0,0.8160718873923475,1.6604188508987427,0.4716,0.607
cdib,128,0.0,2,1,0.01730038356564262,1.7408508722305298,0.5052,0.9629333333333333
cdib,128,0.0,2,2,-0.11231056075529619,1.864267409133911,0.5132,0.9904222222222222
cdib,128,0.0,2,3,-0.16402848173271525,1.9962069427490234,0.516,0.9961777777777778
cdib,128,0.0,2,4,-0.19596336112672633,2.1428690322875976,0.5184,0.9979111111111111
cdib,128,0.0,2,5,-0.22280283176031979,2.2869377758026124,0.5186,0.9986
cdib,128,0.0,2,6,-0.24669658376953818,2.4525865116119383,0.5178,0.9989333333333333
cdib,128,0.0,2,7,-0.2701111236420545,2.612685239028931,0.5156,0.999
cdib,128,0.0,2,8,-0.2954224107135426,2.81498191947937,0.5112,0.9989777777777777
cdib,128,0.0,2,9,-0.3209692637140101,3.0142430690765383,0.5044,0.9988666666666667
cdib,128,0.0,2,10,-0.34749852105920964,3.223948373794556,0.4984,0.9979777777777777
cdib,128,0.0,2,11,-0.37404672032269565,3.421969916152954,0.494,0.9975333333333334
cdib,128,0.0,2,12,-0.39999605287205087,3.6341235321044922,0.4932,0.9969777777777777
cdib,128,0.0,2,13,-0.42551996333165604,3.7885133266448974,0.489,0.9962888888888889
cdib,128,0.0,2,14,-0.4485212163448334,3.978686311721802,0.4866,0.9960666666666667
cdib,128,0.0,2,15,-0.47203903141888703,4.096256823730469,0.485,0.9962888888888889
cdib,128,0.0,2,16,-0.4933343013373288,4.250783100891113,0.4804,0.9962222222222222
cdib,128,0.0,2,17,-0.5121939060384577,4.351637210083008,0.4816,0.9964888888888889
cdib,128,0.0,2,18,-0.5324581463727084,4.49747628326416,0.4786,0.9967777777777778
cdib,128,0.0,2,19,-0.5512905035018921,4.593392658996582,0.476,0.9958222222222223
cdib,128,0.0,2,20,-0.5684954855051908,4.687846446228027,0.474,0.9964
cdib,128,0.0,2,21,-0.5834441187511791,4.791007113647461,0.4736,0.9960444444444444
cdib,128,0.0,2,22,-0.5987460428498008,4.871739929962158,0.471,0.9962222222222222
cdib,128,0.0,2,23,-0.614402460080927,4.950732794952392,0.4726,0.9964222222222222
cdib,128,0.0,2,24,-0.6279292633576826,5.048254190826416,0.4706,0.9961555555555556
cdib,128,0.0,2,25,-0.6417574959364805,5.0706978622436525,0.4708,0.9967111111111111
cdib,128,0.0,2,26,-0.6540544150005687,5.1612219131469725,0.4692,0.9959333333333333
cdib,128,0.0,2,27,-0.6658994900530035,5.223438687896729,0.4676,0.9965555555555555
cdib,128,0.0,2,28,-0.6786532205321572,5.2460351654052735,0.4672,0.9965777777777778
cdib,128,0.0,2,29,-0.6890539897918702,5.3415654808044435,0.465,0.9964444444444445
cdib,128,0.0,2,30,-0.6989010081031106,5.372745672607422,0.4652,0.9967333333333334
cdib,128,0.0,2,31,-0.709444231076674,5.413538453674317,0.465,0.9965777777777778
cdib,128,0.0,2,32,-0.7192073358102278,5.463828301239014,0.4666,0.9964444444444445
cdib,128,0.0,2,33,-0.7296479171666232,5.514886093139649,0.465,0.9965555555555555
cdib,128,0.0,2,34,-0.7379184416250749,5.555255205535889,0.4648,0.9966222222222222
cdib,128,0.0,2,35,-0.7472768929828297,5.6383727867126465,0.46,0.9966444444444444
cdib,128,0.0,2,36,-0.7558866405573759,5.598492904663086,0.4638,0.9966222222222222
cdib,128,0.0,2,37,-0.76356587006829,5.691853134155274,0.4618,0.9968222222222223
cdib,128,0.0,2,38,-0.7704901328260249,5.675153157043457,0.463,0.9965555555555555
cdib,128,0.0,2,39,-0.7772977363413031,5.724561478424072,0.4618,0.9966666666666667
