model,enc_zx_nhid,beta,epochs,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std,run_count
cdib,128,0.0,0,0.8123879001606594,0.03436966660572619,1.7093102224731447,0.04694934377175412,0.46819999999999995,0.008781799360040046,0.6187066666666667,0.017039774820282332,5
cdib,128,0.0,1,0.010719847767786546,0.011390041526302326,1.798499176864624,0.05476065348192008,0.49944,0.007365324161230123,0.9669866666666668,0.004280492645006046,5
cdib,128,0.0,2,-0.11738096649126573,0.0064596951353385135,1.9430494705581665,0.0688584037360738,0.50756,0.0072088834086840425,0.9921733333333334,0.001512532011700797,5
cdib,128,0.0,3,-0.16914555085008792,0.0052163800283899,2.096093554992676,0.08187319893730058,0.50964,0.006899855070941712,0.9967955555555555,0.0007261262006423106,5
cdib,128,0.0,4,-0.20244151867172935,0.005347167195851002,2.258928640670777,0.09117248135932976,0.50944,0.007570204752845179,0.9982,0.0003115076837528367,5
cdib,128,0.0,5,-0.23025460821021687,0.005612968775021357,2.4340457012176513,0.11100001156546112,0.5078400000000001,0.007389722592898891,0.9988311111111111,0.000166740724287092,5
cdib,128,0.0,6,-0.2566291977743669,0.00698083623572905,2.6375553897094726,0.13239763677235922,0.50524,0.008473960113193839,0.9990311111111112,9.762614505105983e-05,5
cdib,128,0.0,7,-0.2834886967151815,0.00907505860032823,2.8541691383361814,0.1588025678563239,0.5022,0.008135109095765045,0.9989866666666666,0.00018895423706202834,5
cdib,128,0.0,8,-0.3117300485350869,0.010673589117562016,3.087079068984985,0.17831429623735656,0.49788,0.00779435693306377,0.9985644444444445,0.00037237973450056274,5
cdib,128,0.0,9,-0.3395136187726801,0.012069355202575644,3.306361338119507,0.18985849626131654,0.49383999999999995,0.006240833277696177,0.9981022222222222,0.0005281226943115995,5
cdib,128,0.0,10,-0.367811089850339,0.013114169617016606,3.5358415610504155,0.1996715075213505,0.48928000000000005,0.006322341338460012,0.9974755555555556,0.0004393036015342835,5
