experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_further_mean,train_H_Q_xCz_further_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Q_xCz_nofreeze_mean,train_d_H_Q_xCz_nofreeze_std,train_d_H_Q_xCz_maxep_mean,train_d_H_Q_xCz_maxep_std,train_d_H_Q_xCz_minep_mean,train_d_H_Q_xCz_minep_std,train_H_Q_xCzy_mean,train_H_Q_xCzy_std,test_d_H_Q_xCz_test_mean,test_d_H_Q_xCz_test_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw4d4,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.6494,,-2.543777562409003,,0.9993555555555556,,-0.0022247089992619984,,795033.0503031146,,6.232180567167234e-06,,1474.9863558690977,,0.007879840210080147,,11.364794059233231,,,,14.51398060538552,,,,,,,,,,,,15.549745202064516,,0.650404213165695,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw4d4,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.6588,,-2.6498971122730968,,0.9991777777777778,,-0.0026013525615217145,,733900.1744628134,,5.7365555221622336e-06,,696.6056093658735,,0.00771343521773815,,11.789259282025425,,,,15.019902120937,,,,,,,,,,,,15.54205153205178,,3.706625599752773,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw4d8,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.6043,,-2.7007561873752666,,0.9998666666666668,,-0.0006945525758940395,,1065154.0197160395,,9.006143955048174e-06,,18844.49712780896,,0.003954853862524033,,12.042132019996645,,,,15.319401242516255,,,,,,,,,,,,15.55820788036693,,14.88260112025521,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw4d8,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.6045,,-2.7276153380305104,,0.9996666666666668,,-0.0015210559641255599,,817116.2513198573,,7.639147042937111e-06,,9937.81223408855,,0.006362821441143751,,12.147264805707064,,,,15.439976106990466,,,,,,,,,,,,15.555393359877849,,14.22065882249312,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw4d8,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.6288,,-2.690531482837857,,0.9996888888888888,,-0.0012581560883101028,,889181.1595673101,,6.004261649650289e-06,,5085.7911872195455,,0.004914816468954086,,12.201244126666674,,,,15.519268501888623,,,,,,,,,,,,15.553993051702326,,14.982259392738342,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d2,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.6728,,-2.3358642957597042,,0.9987555555555556,,-0.004455595850961521,,840132.4849136877,,1.228753490067902e-06,,851.7537055980442,,0.01042116526514292,,10.79554906758395,,,,13.695836511525242,,,,,,,,,,,,15.554069464856928,,0.1577462733257562,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d2,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.6921,,-1.9863674261836184,,0.9996,,-0.0018821258542792434,,696980.3717797882,,7.376779080914275e-07,,536.6925621340397,,0.007772283162921667,,11.315058708190918,,,,14.498198834332554,,,,,,,,,,,,15.550517786632886,,0.2339361240579323,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d2,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7041,,-2.1079053855606342,,0.9990000000000001,,-0.003723194234187046,,654620.8346288676,,5.496284529726836e-07,,220.37850075211514,,0.008829721249639988,,11.678417574275624,,,,15.064324465664955,,,,,,,,,,,,15.540637774900956,,2.0059021453965795,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d4,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.6729,,-2.210480626498573,,0.9990222222222224,,-0.003978664834157746,,840132.4849136877,,1.2218264373586862e-06,,959.8452023633812,,0.01200311165302992,,10.78086331757632,,,,13.712102023037998,,,,,,,,,,,,15.555991757999768,,0.14236542643894526,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d4,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.6923,,-1.876450940601176,,0.9996666666666668,,-0.0019290606247849874,,971217.6597885692,,7.918043252175265e-07,,600.1746620776322,,0.008922377601265906,,11.3486811356111,,,,14.507691838524556,,,,,,,,,,,,15.550779711116444,,0.2527612783438103,
