model,beta,mchead,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_d_DIQ_xz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
cdib,1.0,3,0,3.2323527986353096,0.7325889110565186,0.21780462969433176,0.0895752219313925,2.5893391132354737,0.9982888888888888,0.4869,-0.06208561723501582,-1.793280299976757,12.020082993940873,0.044816056959846966,0.9862907908179545,1.0057321190834043,11.036107193339959,11.152252769470213,0.006056388924744996,0.005996801983565093
cdib,1.0,3,2,3.095467459071766,0.35557918548583983,0.4066656313159249,0.2264605909585953,2.9663488388061525,0.9632222222222222,0.474,-0.1569911312390014,-2.0571596960713223,11.831228342923252,0.06247596327545029,0.9381870437752116,0.9456873059272766,9.118763143366033,9.191613578796387,0.006622055905278435,0.0066506538540124895
cdib,1.0,3,1,3.2414354519410566,0.7546681404113771,0.254688367924907,0.08049256354570389,2.5672598838806158,0.9973555555555556,0.5072,-0.05579360378716805,-1.7782555745430395,11.983202284032648,0.05225224406147317,0.998852320692756,1.0097476482391357,8.931319843639027,9.008667373657227,0.005838121710853143,0.005811066925525665
cdib,1.0,5,0,3.249731096354398,0.7645718097686768,0.2328650213100693,0.07219691066579385,2.5573562145233155,0.9978888888888888,0.4929,-0.050045764955637916,-1.7721178860419171,12.005024433135985,0.04591412970775146,0.9873030808838932,0.9981732368469238,9.833787657997824,9.902872848510745,0.005055533764375882,0.005029776599258184
cdib,1.0,5,1,3.214127844030207,0.7431943416595459,0.3179540634155273,0.10780019211498174,2.5787336826324463,0.9957555555555556,0.4949,-0.07472338756129343,-1.7883724194679085,11.919933795928955,0.05912530626768436,1.0039316226135602,1.0011808514595029,7.694021506742997,7.721243858337402,0.006558714963665063,0.006496416870504618
cdib,1.0,5,2,3.2253099246458574,0.7047981739044189,0.7458967403932051,0.09661808880892668,2.617129850387573,0.9954,0.4944,-0.0669695602467424,-1.8138706476863653,11.49199321053245,0.09489457296515608,0.9242596355351534,0.9106792688369753,6.246705293655396,6.245054721832275,0.005602493247186596,0.005524589773267507
cdib,1.0,1,0,2.3092775669964882,-0.2796019077301025,0.17632658915086227,1.0126504627141086,3.6015299320220953,0.8158444444444445,0.4122,-0.7019347508756132,-2.4942276300131576,12.06156232140281,0.05085605650585296,0.9878933158787814,0.9990209817886352,12.565921263261275,12.739197540283206,0.0060558340046554795,0.006082195509225129
cdib,1.0,1,1,3.1676913066343833,0.8760262489318847,0.620333194732666,0.15423672917214307,2.4459017753601078,0.9919333333333332,0.5129,-0.1069156971902248,-1.6944147181635687,11.617545344612815,0.08358638745322199,0.9947156499732625,1.014731514453888,10.496180751106957,10.655216598510744,0.007694737541235307,0.007758116722106935
cdib,1.0,1,2,3.143449414860118,0.8978222370147705,0.28930556774139404,0.17847860536792062,2.4241057872772216,0.9916666666666668,0.5026,-0.12371259850593687,-1.6794054587441205,11.948588891462846,0.06451892887601543,0.9650846204974436,0.977229905128479,11.573861772363836,11.712724876403806,0.007636098127642816,0.007721138652414083
cdib,10.0,3,0,2.5465621839870107,1.3094799518585205,0.02460307873446833,0.7753658457235857,2.012448072433472,0.8855555555555555,0.5211,-0.5374444271230715,-1.3949957147250476,12.213284622539177,0.017789894782729396,0.9960108616135336,0.9999746561050415,15.461884065107865,15.700274276733401,0.005432026206769728,0.005422019213438035
cdib,10.0,3,2,2.541919794949618,1.2832589149475098,0.02348918637091463,0.780008240179582,2.0386691093444824,0.8831777777777777,0.5178,-0.5406669974244815,-1.4128493162872473,12.214404929767955,0.01914278503692801,1.01519775390625,1.0124614715576172,15.876660303636033,16.080300521850585,0.008661713916808367,0.008639810979366303
cdib,10.0,3,1,2.7020039666782725,1.2471774578094483,0.0239591748369011,0.6199240657416257,2.074750566482544,0.9299111111111112,0.5217,-0.4297089813362308,-1.43771845081746,12.213931517167525,0.016468357746801603,0.9823864996433258,0.9868743658065796,14.656459028070623,14.889642333984375,0.005016614746471698,0.0049996825866401185
cdib,10.0,5,0,2.8775604421442207,1.2055651187896728,0.016539214178919792,0.4443676105954431,2.1163629055023194,0.9696888888888888,0.5122,-0.3080084364972336,-1.466821842042921,12.22135049646551,0.014456792903146682,0.9968989328904584,0.9940164566040041,15.572061625393955,15.732297134399412,0.00888393929397518,0.008886938355863095
cdib,10.0,5,1,2.8253356976942583,1.2206715106964112,0.020770251158286224,0.496592329307036,2.101256513595581,0.9571111111111112,0.5165,-0.344228082607733,-1.4562121245839836,12.21711743961681,0.015585571155360078,0.9903164587237618,0.9974960803985596,14.904979402368719,15.147847557067873,0.008971448776058176,0.009050836414098741
cdib,10.0,5,2,2.80114128372886,1.0586707592010498,0.03508647404272448,0.5207867514003407,2.2632572650909424,0.9474888888888888,0.4916,-0.3610006829954036,-1.5685634818261285,12.202803438360041,0.020165997798010232,1.0023180002515966,1.0046794533729553,14.59637416492809,14.795014381408693,0.007815113989636302,0.007847191020846366
cdib,10.0,1,0,2.1543505083430903,1.4017817735671998,0.008442596955732866,1.1675775159489026,1.9201462507247924,0.7476,0.5393,-0.8093221059175809,-1.3309307157447547,12.229446281086314,0.01135790944317041,0.996254246343266,0.9995791912078856,22.73516238819469,22.98642349243164,0.003931886484761807,0.003918276354670525
cdib,10.0,1,1,1.8970411799170757,1.4025034189224244,0.012181065299294212,1.4248868443749168,1.919424605369568,0.6850222222222222,0.5362,-0.9876754387659306,-1.3302710374696995,12.225697474046187,0.012038343359232385,0.9904690059748564,0.99691162109375,20.546996896917168,20.903862762451173,0.0040700664024122726,0.004013005644083023
cdib,10.0,1,2,1.9091482812708076,1.3734445333480836,0.006418325684287332,1.4127797430211848,1.9484834909439088,0.6834222222222223,0.5299,-0.9792236955898344,-1.3501621755136053,12.231476176868785,0.013596511400716505,0.9982321777127006,1.0007644772529602,18.72691674665971,19.005898666381835,0.0045961960515176715,0.004533757735043764
