data,encoder,beta,run,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
cifar10,resnet18,0.1,3,63.61054611206055,64.30378983237527,3.321229241111062,2.09514741897583,2045.7458274147727,1979.508349609375,0.0006987729257988659,1.2267806768417358,0.9999777777777776,0.8406,-0.0004842085832629844,-0.8498928010628342,1.018739646131342,0.9281450867652892,0.2013533555648544,0.17763485610485075,0.9704181308096106,0.9294134140014648
cifar10,resnet18,0.1,2,73.89821166992188,76.32306046919389,3.321292519569397,2.061943817138672,2038.5713168057528,1977.541748046875,0.0006355058219262652,1.2599841594696044,0.9999777777777776,0.8467,-0.0004405231362336289,-0.8738266822239158,1.0253135887059301,0.9394811987876892,0.21393643658269532,0.18869498372077945,0.9673267873850736,0.9297435283660888
cifar10,resnet18,0.1,4,79.3551803588867,82.93959738991477,3.320885181427002,1.944741916656494,2029.9511829723008,1966.901904296875,0.0010428686880252578,1.3771860837936398,0.9999111111111112,0.8368,-0.0007229356899554731,-0.9552263989878348,1.0226171125065198,0.932457423210144,0.2219607735222036,0.19461533725261687,0.9621606983921744,0.9233535528182985
cifar10,resnet18,0.1,0,82.533154296875,77.80733628706498,3.3207337639548564,1.9539370775222775,2007.8281582919035,1932.1888427734373,0.0011942490792452274,1.3679909467697144,0.9998222222222222,0.8370000000000001,-0.0008278897271949795,-0.9465005828199936,0.9857620271769436,0.8898893237113953,0.2103779437867078,0.1894012987613678,0.9476718631657688,0.9023514628410341
cifar10,resnet18,0.1,1,74.21318206787109,79.61136973987927,3.320850296453996,2.0098822355270385,2039.953779740767,1984.84150390625,0.001077702517663552,1.3120457887649537,0.9999333333333332,0.836,-0.0007472262010678678,-0.9099856547439056,1.0316415374929255,0.9496883392333983,0.22155799987641248,0.1947523146867752,0.9680141779509458,0.9337215781211852
cifar10,resnet18,0.001,4,2526.59306640625,2578.22011496804,3.306735537268899,1.7915611267089844,378.7926497025923,226.68433227539063,0.015192476143552496,1.5303668975830078,0.9963333333333332,0.8209,-0.01053681126477198,-1.0612585209102718,2.165262970057401,1.8890276670455928,0.8732703653248873,0.7958716750144958,0.5228571620854464,0.4751287698745728
cifar10,resnet18,0.001,0,3201.48232421875,3403.056795987216,3.3148994229056616,1.811307668685913,817.8819607821378,640.045166015625,0.007028589416718619,1.510620355606079,0.9983333333333332,0.8333,-0.004875672181473454,-1.0477944193909743,3.8763610449704258,3.3628680229187013,1.245610231702978,1.1330612421035766,0.7004036578265104,0.6288946747779847
cifar10,resnet18,0.001,1,1945.296826171875,1958.5869806463068,3.317785295573148,1.7903772592544556,669.3264881480824,501.0162231445312,0.0041427429479716175,1.5315507650375366,0.9992,0.828,-0.0028743529059193696,-1.0614460865768294,1.7200176824222912,1.474140453338623,0.8047166954387318,0.7261411190032959,0.5501884303309701,0.4971911787986755
cifar10,resnet18,0.001,3,2236.6197265625,2243.317948774858,3.3157169060273604,1.729414963722229,556.0796397816051,372.67963256835935,0.006211089658212255,1.5925130605697633,0.9986666666666668,0.8333,-0.004306260584438377,-1.1044871361101112,1.9520739316940308,1.6949059009551999,0.8550555841489271,0.7750373482704163,0.5438184196298773,0.4904896080493927
cifar10,resnet18,0.001,2,2967.425390625,3139.019675514915,3.311909274621444,1.7213205575942994,795.7926358309659,592.156103515625,0.010018756126307628,1.6006074666976928,0.9978222222222224,0.8325,-0.00694557241124387,-1.1098066326398501,3.4888440045443447,2.9813892364501955,1.1581508734009482,1.0463526487350463,0.6939630047841505,0.6149332761764527
cifar10,resnet18,0.01,3,530.6124267578125,547.1864790482955,3.3174068277532403,1.7644912958145142,1815.5105313387785,1694.4640625,0.004521170805674046,1.557436728477478,0.9988666666666668,0.825,-0.0031357489711758453,-1.0800668540960108,1.360830079425465,1.1743093967437743,0.5262239196083762,0.4781554937362671,0.8868485634977167,0.8218605279922485
cifar10,resnet18,0.01,2,506.1876708984375,520.3480418812145,3.317335984923623,1.8087797164916992,1791.4044910777698,1675.6320068359375,0.004592044723474167,1.5131483078002932,0.9989555555555556,0.8273,-0.0031777810324998945,-1.0480495924849456,1.2918576706539502,1.1161012411117557,0.5165608173066919,0.4650208413600922,0.8664733144369993,0.806133508682251
cifar10,resnet18,0.01,4,446.9949645996094,450.1454426158558,3.3207302418622104,1.884729838371277,1783.4931918057528,1664.39345703125,0.0011977947618685325,1.4371981859207152,0.9998222222222222,0.8386,-0.0008285353387073353,-0.9955784795352832,1.1860924471508374,1.0205799341201782,0.4861218888651241,0.4370703876018524,0.8501960851929404,0.7891262292861938
cifar10,resnet18,0.01,0,477.13988037109374,506.75356223366475,3.3204281330108643,2.019287657737732,1857.4346257990055,1754.357666015625,0.0014998747580896384,1.3026403665542603,0.9996888888888888,0.8438,-0.001040325483666335,-0.9040015542644888,1.3627401481975208,1.18329336643219,0.5362539237195795,0.4819906115531921,0.8943630077622153,0.8377424478530884
cifar10,resnet18,0.01,1,517.8199340820313,522.0594551780007,3.3196365616538306,1.769648814201355,1757.3833618164062,1635.2138916015624,0.0022914642917881297,1.5522792100906373,0.9995555555555556,0.8297,-0.0015885465025379864,-1.0763229307346924,1.2479801286350598,1.077117419242859,0.5052057667212053,0.4556082963943481,0.8493041910908439,0.7875130772590637
cifar10,resnet18,100.0,0,6.5376026153564455,7.1667492823167285,2.808909773826599,1.775197696685791,2091.0297407670455,2089.9966796875,0.5130182396281849,1.5467303276062012,0.8847555555555555,0.7077,-0.35559163494881163,-1.070620303818001,1.002753967588598,1.00066397190094,0.07421053234826434,0.07027392983436584,0.9965266937559302,0.9958323121070862
cifar10,resnet18,100.0,1,5.9755793571472156,6.502257845618508,2.3940933726050635,1.4639320611953734,2091.9260475852275,2091.28427734375,0.9278346652334388,1.8579959630966187,0.7624444444444445,0.5791,-0.6431395719112001,-1.2869254730063024,1.003022687001662,1.0013688802719116,0.07043493606827476,0.06702995598316193,0.9971224177967418,0.9966896057128908
cifar10,resnet18,100.0,4,6.64624137878418,7.2381532408974385,2.700023651123047,1.536194658279419,2084.3638139204545,2083.458447265625,0.6219043840061534,1.7857333660125732,0.8670666666666667,0.6594,-0.4310852557372613,-1.2367806230062153,0.9938350699164652,0.9919027805328368,0.0758938965472308,0.07210763692855834,0.992028767412359,0.99142187833786
cifar10,resnet18,100.0,3,4.395968246459962,4.424567027525469,3.302957285534252,1.0815921783447269,2091.462235884233,2091.393505859375,0.018970759416168385,2.240335845947265,1.0,0.8189,-0.013150187839130105,-1.5489858853958118,0.9995694973252036,0.9994982838630676,0.003679321337999268,0.0038848393131047493,0.9982572225007144,0.9982607007026671
cifar10,resnet18,100.0,2,5.5730061531066895,6.074527003548362,2.356918454170227,1.6119909524917602,2088.0993319424715,2087.6626953125,0.9650095755403691,1.709937071800232,0.7021111111111111,0.5939,-0.6688743385048117,-1.1845253330865468,0.9972891997207296,0.9960793852806092,0.06552041355859149,0.06240668743848801,0.9945415962826122,0.994248390197754
cifar10,resnet18,1.0,0,17.219716262817382,18.43933036110618,3.320863940499045,1.8472523212432859,2082.4713800603695,2075.223193359375,0.0010641005885025318,1.474675703048706,1.0,0.8555,-0.0007378186588997467,-1.0213741285794935,1.0064399350773203,0.9951505661010742,0.1105123209682378,0.10333560705184937,0.9911230314861644,0.9865508437156676
