experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_further_mean,train_H_Q_xCz_further_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Q_xCz_nofreeze_mean,train_d_H_Q_xCz_nofreeze_std,train_d_H_Q_xCz_maxep_mean,train_d_H_Q_xCz_maxep_std,train_d_H_Q_xCz_minep_mean,train_d_H_Q_xCz_minep_std,train_H_Q_xCzy_mean,train_H_Q_xCzy_std,test_d_H_Q_xCz_test_mean,test_d_H_Q_xCz_test_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,0.001,0,1024,0,3,default,128,2,0,0,best,5,0.5305,0.004132795663954385,-4.1236151061731245,0.08248394025049204,1.0,0.0,-0.00025966015612265294,4.6045520301986686e-05,8052.679643299574,502.984221345618,,,,,0.0026856400072574615,0.0005214475736837092,9.968711012059993,0.3081616885653654,,,12.732620406150819,0.3555096539071175,,,,,,,,,,,15.525869859348642,0.00452484146632221,5.02950852079825,1.9832490779705427
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,0.01,0,1024,0,3,default,128,2,0,0,best,5,0.52704,0.004059310286243217,-3.8534948773599424,0.08236183920154397,1.0,0.0,-0.00025585895347375717,6.048087913743672e-05,15555.704026261203,1192.8068122394484,,,,,0.0023130895104259254,0.0004177778818356518,11.59644012451172,0.07521835310446577,,,14.815007773312658,0.07387496380778805,,,,,,,,,,,15.548550993745977,0.0014948627996855118,12.767055463790893,0.3683205101031195
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,0.1,0,1024,0,3,default,128,2,0,0,best,5,0.52898,0.005567494948358762,-3.26527107313359,0.06870634358472939,1.0,0.0,-0.0005969024483911139,5.7166322158596215e-05,12967.415309722463,1139.7732055519034,,,,,0.004718172550201416,0.0003391085860883475,12.224726091731679,0.0006844057059368363,,,15.54628829089078,0.0012714466977554665,,,,,,,,,,,15.5567884423516,0.0005548875324261741,15.53920994455164,0.003924234451989602
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,1.0,0,1024,0,3,default,128,2,0,0,best,5,0.5345799999999999,0.00469968084022733,-2.791853196630077,0.02807221979784787,1.0,0.0,-0.0011502047251677825,5.5986008948183424e-05,12706.557489547939,2488.128198697939,,,,,0.008482944313436746,0.0005478377222350891,12.234882551973516,0.0004520723405792717,,,15.556717681884766,0.00019645847942720163,,,,,,,,,,,15.559054923057555,0.00010097808895246976,15.554803679206156,0.00024936244361523557
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,10.0,0,1024,0,3,default,128,2,0,0,best,5,0.50754,0.008882454615701675,-3.3115919295473524,0.19227957618250616,1.0,0.0,-0.0034820606134278653,0.00024978472812867955,27402.3290094627,7157.582408863315,,,,,0.02381763905286789,0.0016705503849123165,12.236788539452988,0.000140533344982051,,,15.558450026945636,0.00011270567591707777,,,,,,,,,,,15.559467072920365,0.00013844431084537764,15.555818668278778,0.0001967212528625142
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,100.0,0,1024,0,3,default,128,2,0,0,best,5,0.37214,0.031912740402541426,-4.207869757989226,0.8760076984594154,0.9954444444444445,0.004439191339994917,-0.12607387814642315,0.06487338258617484,517110.5894763273,287063.5860710534,,,,,0.5292042940855026,0.21397314658454164,12.236892418427901,0.00035408067433493934,,,15.558427598259666,0.00017179849712685232,,,,,,,,,,,15.559439635276794,0.00014489465735474105,15.556055838411504,0.00021030427416584576
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,resnet18,128,2,0,128,2,0,0.001,0,1024,0,3,default,128,2,0,0,best,5,0.8295999999999999,0.005339475629685085,-1.0769585591256075,0.02817132201099922,0.9980711111111111,0.0010931210272641415,-0.0059077338695694105,0.002972235457152524,134920.16894146183,34597.301126669634,,,,,0.009502679854631425,0.004779955143352856,12.165567343885249,0.03349080955605306,,,15.491089541261847,0.024577974164021067,,,,,,,,,,,15.555696242505855,0.0005923407465650847,15.493659556995738,0.02437274788739708
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,resnet18,128,2,0,128,2,0,0.01,0,1024,0,3,default,128,2,0,0,best,5,0.83288,0.007989180183222854,-1.0208038822230843,0.07351173047178917,0.9993777777777778,0.00043744488188946276,-0.0019541874657174794,0.0011323867001921304,108591.0689337219,13865.217285239038,,,,,0.00467259343713522,0.0016972408282153856,12.214995509927922,0.002137962789034529,,,15.537031214887445,0.0019177517647507684,,,,,,,,,,,15.556547546386719,0.00020880338392529954,15.542794173414057,0.0028613844341646337
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,resnet18,128,2,0,128,2,0,0.1,0,1024,0,3,default,128,2,0,0,best,4,0.8376,0.002046134567096394,-0.915401359403642,0.04786751350632702,0.9999111111111111,6.542045086164807e-05,-0.0006955650503703262,0.00014787314686079184,83132.93484836163,14111.114997712784,,,,,0.0034827799536287785,0.000556884888215557,12.231884715231983,0.0002526619929802175,,,15.552641611207616,0.00016889467392983414,,,,,,,,,,,15.557756556705993,0.00041387533404064515,15.55368761582808,0.0005273135564914227
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,resnet18,128,2,0,128,2,0,1.0,0,1024,0,3,default,128,2,0,0,best,5,0.8562800000000002,0.0029642874354556016,-1.019370599840196,0.04944086794576424,1.0,0.0,-0.0007727755941326297,6.0091470521457515e-05,77984.68769546105,5380.67351820111,,,,,0.00569381401874125,0.0003773452661849643,12.234165963801471,0.0006395200018097198,,,15.555879107930442,0.0003798747058009762,,,,,,,,,,,15.5586784129793,0.0003924330250528236,15.554790239442479,0.0001047876426998437
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,resnet18,128,2,0,128,2,0,10.0,0,1024,0,3,default,128,2,0,0,best,5,0.85808,0.0032104516816173563,-1.0658275048325636,0.10406673444481548,1.0,0.0,-0.005336399508938735,0.001971070624806038,81567.97582281672,7269.973827303773,,,,,0.03762650154531002,0.012253684323646118,12.236214681105178,0.0005037429760524711,,,15.557818191701713,0.0007212692247452919,,,,,,,,,,,15.559406293522226,0.00017743131339726862,15.555503580786967,0.00041628794362722773
corrVIBnewBob,cifar10,all,False,False,decay,adam,0.001,last,0,vib,0,resnet18,128,2,0,128,2,0,100.0,0,1024,0,3,default,128,2,0,0,best,5,0.6718,0.09713737694626101,-1.2655675236625754,0.1776112824369627,0.8432755555555556,0.11544503860396774,-0.422368197788243,0.26528275158487163,2326655.2180846967,2067787.8985136237,,,,,1.0329087316989898,0.5570046386490267,12.236623005433518,0.0003818245688377827,,,15.558211907473478,0.0003675375403835089,,,,,,,,,,,15.559299926324325,0.00016957454377313408,15.5558781970631,0.0001851512512652758
corrVIBnewBob,svhn,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,0.001,0,1024,0,3,default,128,2,0,0,best,5,0.8285648432698217,0.001239537140426673,-1.5693469365039043,0.01082489550592106,0.9998786610244043,0.00014024694005031646,-0.0006376588849445717,0.00046929308220382694,7900.218308645203,1609.0275334011876,,,,,0.002733871224336326,0.0010277091239081918,11.977958074466203,0.31938211045427156,,,14.496622730225553,0.34841678355913114,,,,,,,,,,,16.047892639988156,0.002673138632123576,12.18068973186404,1.2867165883257237
corrVIBnewBob,svhn,all,False,False,decay,adam,0.001,last,0,vib,0,mlp,128,2,0,128,2,0,0.01,0,1024,0,3,default,128,2,0,0,best,5,0.8342347879532882,0.0006738391076089039,-1.2818486857337534,0.010537668894812889,0.9999726987304911,1.2689933817539588e-05,-0.0002462587903749191,2.3518394915073893e-05,15908.386503580095,803.9940223893277,,,,,0.0018461989471688866,0.0001123568306276938,12.799068742205005,0.018723454735127758,,,15.421333308552585,0.058289959730770946,,,,,,,,,,,16.06348575030186,0.0014991396936166082,14.865561937731366,0.33811097736834833
