data,encoder,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
cifar10,resnet18,0.1,3,0.8406,-0.8498928010628342,0.9999777777777776,-0.0004842085832629844,82620.94675284703,0.0030188029631972317,12.231758854605935,15.5524935613979,15.558086785403164,15.553878870877352
cifar10,resnet18,0.1,4,0.8368,-0.9552263989878348,0.9999111111111112,-0.0007229356899554731,74565.40444444443,0.003328548744320869,12.231613137505269,15.5528766783801,15.557934089140458,15.55434040589766
cifar10,resnet18,0.1,0,0.8370000000000001,-0.9465005828199936,0.9998222222222222,-0.0008278897271949795,103204.71203383314,0.003291779197752476,12.231976335698908,15.552550066601146,15.557852246544574,15.55335294116627
cifar10,resnet18,0.1,1,0.836,-0.9099856547439056,0.9999333333333332,-0.0007472262010678678,72140.67616232195,0.0042919889092445365,12.232190533117814,15.552646138451314,15.557153105735779,15.553178245371036
cifar10,resnet18,0.001,4,0.8209,-1.0612585209102718,0.9963333333333332,-0.01053681126477198,169889.1379296705,0.017762845382094383,12.143269668925893,15.46810007095337,15.556017951531846,15.45381685820493
cifar10,resnet18,0.001,0,0.8333,-1.0477944193909743,0.9983333333333332,-0.004875672181473454,128250.09095523904,0.008720537647604942,12.207785844802856,15.51101239161058,15.554864005608993,15.499801397323608
cifar10,resnet18,0.001,1,0.828,-1.0614460865768294,0.9992,-0.0028743529059193696,101210.46507682157,0.005445881746709347,12.121956846930766,15.461531595750287,15.556017897345805,15.496095126325436
cifar10,resnet18,0.001,3,0.8333,-1.1044871361101112,0.9986666666666668,-0.004306260584438377,103204.71203383314,0.007445800118148327,12.180910283868963,15.500881921161303,15.556283658201046,15.497972542589359
cifar10,resnet18,0.001,2,0.8325,-1.1098066326398501,0.9978222222222224,-0.00694557241124387,172046.4387117449,0.00813833437860012,12.173914074897766,15.51392172683369,15.555297699841587,15.52061186053536
cifar10,resnet18,0.01,3,0.825,-1.0800668540960108,0.9988666666666668,-0.0031357489711758453,97391.54866213152,0.005756915081292391,12.214286641641095,15.537132252346385,15.556456424973225,15.540488004684448
cifar10,resnet18,0.01,2,0.8273,-1.0480495924849456,0.9989555555555556,-0.0031777810324998945,115304.23087868132,0.0070522031746804706,12.213396419178356,15.53829038143158,15.556645241650667,15.545887329361653
cifar10,resnet18,0.01,4,0.8386,-0.9955784795352832,0.9998222222222222,-0.0008285353387073353,103204.71203383314,0.0031318399123847485,12.216459079222245,15.537352052601902,15.556856914000075,15.545702273195438
cifar10,resnet18,0.01,0,0.8438,-0.9040015542644888,0.9996888888888888,-0.001040325483666335,97391.54866213152,0.003230909816920757,12.21794014627283,15.538598960096186,15.556463501670144,15.542082450606609
cifar10,resnet18,0.01,1,0.8297,-1.0763229307346924,0.9995555555555556,-0.0015885465025379864,129663.3044318319,0.00419109920039773,12.212895263325086,15.533782427961176,15.556315649639476,15.539810809222136
cifar10,resnet18,100.0,0,0.7077,-1.070620303818001,0.8847555555555555,-0.35559163494881163,1684135.78904029,1.040624737739563,12.236313126303935,15.557709282094784,15.559149677103214,15.555644577199766
cifar10,resnet18,100.0,1,0.5791,-1.2869254730063024,0.7624444444444445,-0.6431395719112001,5577426.891973054,1.490811467170715,12.236347165974705,15.558137156746604,15.55921260877089,15.555842421271587
cifar10,resnet18,100.0,4,0.6594,-1.2367806230062153,0.8670666666666667,-0.4310852557372613,2935600.6978512537,1.1698765754699707,12.236669215289028,15.558176777579568,15.559263565323567,15.55593175237829
cifar10,resnet18,100.0,3,0.8189,-1.5489858853958118,1.0,-0.013150187839130105,181099.98718164949,0.08703544735908507,12.237255649133164,15.558734146031467,15.559588519009678,15.556152105331421
cifar10,resnet18,100.0,2,0.5939,-1.1845253330865468,0.7021111111111111,-0.6688743385048117,1255012.7243772373,1.3761954307556152,12.236529870466752,15.558302174914965,15.559285261414267,15.55582012913444
cifar10,resnet18,1.0,0,0.8555,-1.0213741285794935,1.0,-0.0007378186588997467,78438.29527357733,0.005683119408786297,12.234485810453243,15.555833805691114,15.558914184570312,15.554830746217208
cifar10,resnet18,1.0,1,0.8582,-0.9455915325509756,1.0,-0.000706301393405087,84089.73482653301,0.005165239796042442,12.234629219228573,15.555400707504964,15.558116674423218,15.55464966730638
cifar10,resnet18,1.0,4,0.8535,-1.0677867768233078,1.0,-0.0008185916655090643,78438.29527357733,0.005997047759592533,12.234323696656661,15.555960871956565,15.558978774330832,15.554783116687426
cifar10,resnet18,1.0,3,0.8538,-1.0603186655754653,,,,,,,,
cifar10,resnet18,1.0,2,0.8604,-1.0017818956717377,1.0,-0.0008283906587166201,70972.42540815653,0.005929849110543728,12.23322512886741,15.556321046569133,15.558704018592836,15.5548974275589
cifar10,resnet18,10.0,4,0.8567,-1.1407230871193983,1.0,-0.0054422585917858575,79796.50891795481,0.03898100554943085,12.23620646650141,15.558249451897359,15.559498992833225,15.555487621914256
cifar10,resnet18,10.0,0,0.8555,-1.0251655620470141,1.0,-0.00728463609489783,92056.05486968448,0.0499669536948204,12.235603365031155,15.557189973917875,15.559364958242936,15.555244673382154
cifar10,resnet18,10.0,1,0.8622,-0.9006224961136959,1.0,-0.00718603783133184,75823.87006567333,0.04845472052693367,12.235850756818598,15.556898962367663,15.559138254685836,15.55497239936482
cifar10,resnet18,10.0,3,0.8608,-1.1216344924297128,1.0,-0.002795926435000344,85598.04081632652,0.021586932241916656,12.236818703738125,15.558249094269492,15.559615395285867,15.555809432810006
cifar10,resnet18,10.0,2,0.8552,-1.140991886452997,1.0,-0.0039731385916778016,74565.40444444443,0.029142895713448524,12.236594113436613,15.558503476056185,15.559413866563276,15.556003776463596
cifar10,mlp,0.001,3,0.5314,-4.0605347117358725,1.0,-0.0003058104026046763,8285.044938271605,0.003164373803883791,9.598335645415569,12.220199552449314,15.524038195610045,2.3743321326645943
cifar10,mlp,0.001,2,0.5294,-4.163709373248127,1.0,-0.0002697013322318761,8285.044938271605,0.0028279193211346865,9.82941402088512,12.762353127652949,15.524391802874478,5.625717293132436
cifar10,mlp,0.001,0,0.5259,-4.0179174633703285,1.0,-0.0002997816567544523,8568.273995339781,0.0031648243311792608,10.32637660069899,13.040336262096062,15.527288382703608,5.824196029793132
cifar10,mlp,0.001,1,0.5288,-4.220941587178088,1.0,-0.00021043953082939054,7281.777777777777,0.0020945167634636164,9.840025316585194,12.563111803748393,15.520792310888117,3.8046414743770254
cifar10,mlp,0.001,4,0.537,-4.154972395333208,1.0,-0.00021256785819286932,7843.256566837107,0.0021765658166259527,10.249403476715088,13.077101284807377,15.53283860466697,7.518655674024061
cifar10,mlp,0.1,1,0.5288,-3.2772117785445114,1.0,-0.0005761692133026987,12767.44142687277,0.004505813121795654,12.22436813874678,15.545322179794312,15.55725674195723,15.537461085753007
cifar10,mlp,0.1,0,0.5359,-3.227116180352785,1.0,-0.0006435106210296688,14728.96877914952,0.0051486194133758545,12.22521617195823,15.545124422420153,15.555977116931567,15.533671151507983
cifar10,mlp,0.1,4,0.5287,-3.3310926629667463,1.0,-0.0005773445346954479,11772.968554010791,0.00449950248003006,12.223727020350369,15.545820420438593,15.556477080691945,15.539822903546419
cifar10,mlp,0.1,2,0.5205,-3.3234642162393966,1.0,-0.0006646921583560033,12255.088385682979,0.005019944161176682,12.224903247573161,15.547046368772333,15.556969024918294,15.54093325138092
cifar10,mlp,0.1,3,0.531,-3.1674705275645123,1.0,-0.0005227957145717512,13312.60940289625,0.00441698357462883,12.225415880029852,15.548128063028507,15.557262247258967,15.544161330569874
cifar10,mlp,0.01,4,0.5223,-3.956780188504081,1.0,-0.0002525260637771584,16643.031558063118,0.0023012973833829165,11.664871031587774,14.90746505693956,15.549885370514607,13.051549586382778
cifar10,mlp,0.01,0,0.5264,-3.801449349322585,1.0,-0.0003613704251792968,14513.162629757786,0.003039366332814097,11.551731012084268,14.78385608846491,15.548603372140365,12.416031046347186
cifar10,mlp,0.01,1,0.5335,-3.9063765271736814,1.0,-0.00022347827586216969,16643.031558063118,0.0020653994288295507,11.642315051772378,14.851645296270197,15.546322085640647,12.844818234443665
cifar10,mlp,0.01,3,0.5271,-3.748802457259761,1.0,-0.00022229905654536265,15883.75479289941,0.0020687978249043226,11.486066807400096,14.710482055490667,15.548014857552268,12.353778329762545
cifar10,mlp,0.01,2,0.5259,-3.854065864539602,1.0,-0.0002196209460047985,14095.539592522578,0.002090586582198739,11.637216719714074,14.821590369397946,15.549929282881994,13.169100122018294
cifar10,mlp,100.0,3,0.3412,-4.994589810891036,0.9962,-0.116541832544823,733900.1744628134,0.507091224193573,12.237013936042786,15.558395765044473,15.559339317408474,15.556154977191579
cifar10,mlp,100.0,2,0.4116,-2.7826620629479795,0.9899555555555556,-0.2045581123353202,190887.43537777782,0.7608557343482971,12.236376870762218,15.558433164249768,15.559287017041989,15.555716037750244
cifar10,mlp,100.0,4,0.3967,-4.274243467926543,0.9994,-0.10033685700623504,480945.91931916797,0.4845313429832458,12.236949476328762,15.558400706811385,15.559388117356734,15.556031660600144
cifar10,mlp,100.0,0,0.3413,-4.13942010192554,0.9918222222222224,-0.17150142908078125,876523.9379591837,0.6848899126052856,12.236777262254195,15.558214512738314,15.559563387524,15.556098916313864
cifar10,mlp,100.0,1,0.3699,-4.848433346255027,0.9998444444444444,-0.0374311597649563,303295.4802626933,0.2086532562971115,12.237344546751542,15.55869384245439,15.55962033705278,15.556277600201694
cifar10,mlp,10.0,0,0.5,-3.4242730888188917,1.0,-0.003156464317238972,22593.6752798586,0.02151959016919136,12.236572807485409,15.558334003795276,15.55962313305248,15.55569892579859
cifar10,mlp,10.0,1,0.5204,-3.0628949735863964,1.0,-0.003524632602176593,21022.43370663325,0.02421021275222301,12.236867102709684,15.558546673167836,15.559413779865613,15.555603861808775
cifar10,mlp,10.0,4,0.5038,-3.5089295555954774,1.0,-0.003643130099611125,25302.61626920539,0.02466629445552826,12.236906170845034,15.558499325405467,15.559454809535634,15.5557645667683
cifar10,mlp,10.0,3,0.513,-3.153423760022608,1.0,-0.00331026726696462,29127.111111111113,0.02285454608500004,12.236720020120794,15.558322971517391,15.559271443973888,15.555923927914012
cifar10,mlp,10.0,2,0.5005,-3.4084382697133866,1.0,-0.0037758087811480172,38965.80868050515,0.02583755180239677,12.236876596104016,15.558547160842204,15.559572198174214,15.556102059104226
cifar10,mlp,1.0,4,0.5333,-2.7665648750354057,1.0,-0.001187766499426723,8568.273995339781,0.009248621761798859,12.235097895969044,15.556742364710027,15.559006029909305,15.554801962592386
cifar10,mlp,1.0,1,0.5392,-2.8050429219281416,1.0,-0.0012124066547700289,12945.382716049382,0.00868311617523432,12.235038822347468,15.556443983858282,15.559056271206249,15.554546041922135
cifar10,mlp,1.0,0,0.5373,-2.759833033253591,1.0,-0.0011454729905185127,14949.62441523725,0.008403924293816091,12.235153263265437,15.55672317201441,15.559222644025631,15.55521344054829
cifar10,mlp,1.0,2,0.5271,-2.8008702090665336,1.0,-0.0011395658266799235,14302.064894240502,0.008335077203810215,12.234078114682978,15.556996258822355,15.559033838185398,15.554688908837056
cifar10,mlp,1.0,3,0.536,-2.8269549438667134,1.0,-0.0010658116544437247,12767.44142687277,0.007743982132524252,12.235044663602656,15.556682630018756,15.558955831961198,15.554768042130904
svhn,resnet18,0.1,4,0.9490626920712968,-0.3000666247859932,0.9998634936524547,-0.00089464344256949,18334.502834505838,0.004346453119069339,13.252744844717572,16.068634047988773,16.070873363997585,16.069321107494734
svhn,resnet18,0.1,1,0.9518285187461586,-0.2905379870477087,0.9997876567927076,-0.0008318123434925532,16908.254976064498,0.002806557575240731,13.252786651138187,16.067934553752576,16.070818376171495,16.06836877867233
svhn,resnet18,0.1,0,0.9483328211432084,-0.3176725110458873,0.9997421546768592,-0.0013875206714535069,19949.127229488702,0.00510225398465991,13.253948758738911,16.06823081378789,16.070340637088748,16.068638764610586
svhn,resnet18,0.1,2,0.9472188076213892,-0.3120252155697598,0.9996663178171118,-0.0015201387707535884,16643.031558063118,0.006717294454574585,13.252992940503496,16.068295811497887,16.07032944435297,16.06903373363406
svhn,resnet18,0.1,3,0.9479486785494776,-0.292846062888595,0.9997421546768592,-0.0015255846755344428,19949.127229488702,0.007445441093295813,13.25115440427795,16.06794942811478,16.070255649182222,16.06893917941308
svhn,resnet18,0.001,3,0.9403042409342348,-0.3954496917588241,0.9988017776159924,-0.0035321373293086757,26314.621703754525,0.006054752506315708,13.241712496262188,16.056622763936833,16.07013808849246,16.056616716606673
svhn,resnet18,0.001,2,0.9443761524277812,-0.32544734491431904,0.999180961914729,-0.0029637594756850533,23014.013717421123,0.006097543518990278,13.242837654527767,16.05270897325619,16.069342384042667,15.996497368627741
svhn,resnet18,0.001,0,0.9382682851874616,-0.3838276399096413,0.9973608772807936,-0.008342569552659338,47091.874216043165,0.009161542169749737,13.247338487196338,16.061031903407372,16.069360112034992,16.063838426456893
svhn,resnet18,0.001,1,0.9415334972341732,-0.3434403386849853,0.998422593317256,-0.004193816337765661,34273.095981359125,0.008463227190077305,13.23766346864922,16.04972194701202,16.069739615270333,16.052040100097653
svhn,resnet18,0.001,4,0.946681007990166,-0.33382816250982617,0.99943880723787,-0.0016339959832298908,23890.660021359923,0.00411510095000267,13.240225799323973,16.05767582738122,16.06986706755882,16.06141111092974
svhn,resnet18,0.01,4,0.9494468346650276,-0.30175301316005776,0.9995601462134656,-0.0019734419924186263,26843.5456,0.0063283881172537795,13.248412716296293,16.063093717708146,16.069662759470383,16.062636900317766
svhn,resnet18,0.01,0,0.9436078672403196,-0.32835333268810785,0.998756275500144,-0.003962070753735023,39439.55276400368,0.008698015473783016,13.250549826511117,16.06214422773021,16.069642355275708,16.06458538262419
svhn,resnet18,0.01,1,0.9475261216963736,-0.32047261560388923,0.9997118199329602,-0.0011671927361226484,18641.351111111107,0.003486050060018897,13.247769015704018,16.059750312982604,16.069201757741528,16.061748785565992
svhn,resnet18,0.01,3,0.9490626920712968,-0.3075570010316349,0.999408472493971,-0.001980670006603221,18334.502834505838,0.004971797112375498,13.248681578525277,16.0640504674394,16.069543409717177,16.064701716105144
svhn,resnet18,0.01,2,0.9475261216963736,-0.3067964309326269,0.9996966525610108,-0.001182577861700868,21022.43370663325,0.0038650706410408024,13.248561526453773,16.06310746836108,16.06972652997157,16.06542142232259
svhn,resnet18,100.0,2,0.9494084204056544,-0.5595653854434915,0.9999696652561012,-0.016260597818537382,47721.858844444454,0.10536355525255203,13.253375445225444,16.07127315314241,16.07234765577686,16.069955308307968
svhn,resnet18,100.0,3,0.9522126613398894,-0.3895673461207381,0.997906902670974,-0.02309442862654322,50372.575717770684,0.10492349416017532,13.252966422443242,16.07134721445483,16.072352431541265,16.069900837979574
svhn,resnet18,100.0,1,0.9519821757836509,-0.4942037262450973,0.9998483262805054,-0.016566588636074325,39921.989292088045,0.10442963242530824,13.252887829329614,16.07133551900701,16.07239894719087,16.069822060045347
svhn,resnet18,100.0,0,0.9490626920712968,-0.4582839624848167,0.9999544978841516,-0.02774093588482088,61624.301193755746,0.17695766687393188,13.253364895665367,16.07135720955309,16.072315984918166,16.069734159366103
svhn,resnet18,100.0,4,0.9483712354025814,-0.5365313422640343,0.9980737437624184,-0.027032857676702413,68719.476736,0.10789435356855392,13.2534113891365,16.071369585140733,16.072365782981695,16.069806727328046
svhn,resnet18,1.0,1,0.9563614013521821,-0.3520336776454792,0.9999848326280504,-0.0007264346182679399,13312.60940289625,0.004763422533869743,13.252510211264438,16.070216141929922,16.071414075156515,16.06923687365628
svhn,resnet18,1.0,0,0.9567455439459128,-0.3410381522582752,0.9999848326280504,-0.0008360451831453384,11318.749198853096,0.005336793605238199,13.252509442410727,16.07005483050679,16.071653026018957,16.06924950059994
svhn,resnet18,1.0,4,0.9570528580208972,-0.3201879374396247,1.0,-0.0008340568154409705,11772.968554010791,0.005645669065415859,13.253337771393532,16.070371908734938,16.071628452271455,16.069422744041265
svhn,resnet18,1.0,2,0.9558236017209588,-0.361451804774482,0.9999848326280504,-0.0006387789274519531,11772.968554010791,0.004283590707927942,13.2528567942538,16.070589169051296,16.071779546811598,16.06916319677072
