data,model,minimax,gamma,run,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_h_acc_toagg
cifar100,dib,3,-1.0,0,,,6.355126836083152,1.4419590473175048,-4.371744155883788,,,0.2887292162261226,5.201897001266478,0.9938222222222224,0.2725,-0.20012669810392344,-3.6032228783465032,19.931568145751953,0.03530173172410786
cifar100,dib,3,-1.0,1,,,6.315854619849813,1.4731667995452882,-4.371744155883788,,,0.3280014236542312,5.1706892490386975,0.9917777777777778,0.265,-0.22734384963012286,-3.5878733192332746,19.931568145751953,0.031582578327477066
cifar100,dib,3,-1.0,2,,,6.331269518895582,1.4197071552276612,-4.371744155883788,,,0.312586555426771,5.2241488933563245,0.9923333333333332,0.2599,-0.21665819637821165,-3.6235786605734197,19.931568145751953,0.008741752953050241
cifar100,dib,3,1.0,0,,,6.355126836083152,1.4419590473175048,-4.371744155883788,,,0.2887292162261226,5.201897001266478,0.9938222222222224,0.2725,-0.20012669810392344,-3.6032228783465032,19.931568145751953,0.03530173172410786
cifar100,dib,3,1.0,2,,,6.331269518895582,1.4197071552276612,-4.371744155883788,,,0.312586555426771,5.2241488933563245,0.9923333333333332,0.2599,-0.21665819637821165,-3.6235786605734197,19.931568145751953,0.008741752953050241
cifar100,dib,3,1.0,1,,,6.315854619849813,1.4731667995452882,-4.371744155883788,,,0.3280014236542312,5.1706892490386975,0.9917777777777778,0.265,-0.22734384963012286,-3.5878733192332746,19.931568145751953,0.031582578327477066
cifar100,dib,3,-0.1,0,,,6.355126836083152,1.4419590473175048,-4.371744155883788,,,0.2887292162261226,5.201897001266478,0.9938222222222224,0.2725,-0.20012669810392344,-3.6032228783465032,19.931568145751953,0.03530173172410786
cifar100,dib,3,-0.1,2,,,6.331269518895582,1.4197071552276612,-4.371744155883788,,,0.312586555426771,5.2241488933563245,0.9923333333333332,0.2599,-0.21665819637821165,-3.6235786605734197,19.931568145751953,0.008741752953050241
cifar100,dib,3,-0.1,1,,,6.315854619849813,1.4731667995452882,-4.371744155883788,,,0.3280014236542312,5.1706892490386975,0.9917777777777778,0.265,-0.22734384963012286,-3.5878733192332746,19.931568145751953,0.031582578327477066
cifar100,dib,3,0.0,0,,,6.355126836083152,1.4419590473175048,-4.371744155883788,,,0.2887292162261226,5.201897001266478,0.9938222222222224,0.2725,-0.20012669810392344,-3.6032228783465032,19.931568145751953,0.03530173172410786
cifar100,dib,3,0.0,2,,,6.331269518895582,1.4197071552276612,-4.371744155883788,,,0.312586555426771,5.2241488933563245,0.9923333333333332,0.2599,-0.21665819637821165,-3.6235786605734197,19.931568145751953,0.008741752953050241
cifar100,dib,3,0.0,1,,,6.315854619849813,1.4731667995452882,-4.371744155883788,,,0.3280014236542312,5.1706892490386975,0.9917777777777778,0.265,-0.22734384963012286,-3.5878733192332746,19.931568145751953,0.031582578327477066
cifar100,dib,3,-0.01,0,,,6.355126836083152,1.4419590473175048,-4.371744155883788,,,0.2887292162261226,5.201897001266478,0.9938222222222224,0.2725,-0.20012669810392344,-3.6032228783465032,19.931568145751953,0.03530173172410786
cifar100,dib,3,-0.01,2,,,6.331269518895582,1.4197071552276612,-4.371744155883788,,,0.312586555426771,5.2241488933563245,0.9923333333333332,0.2599,-0.21665819637821165,-3.6235786605734197,19.931568145751953,0.008741752953050241
cifar100,dib,3,-0.01,1,,,6.315854619849813,1.4731667995452882,-4.371744155883788,,,0.3280014236542312,5.1706892490386975,0.9917777777777778,0.265,-0.22734384963012286,-3.5878733192332746,19.931568145751953,0.031582578327477066
cifar100,vib,0,-0.1,0,1096.2364562988282,1074.566330649636,6.4083269021727824,1.9152146577835083,,1135.614156549627,1158.3174865722656,0.2355291304940527,4.728641390800477,0.9979333333333332,0.2837,-0.16325310589247896,-3.27488055770602,,
cifar100,vib,0,-0.1,2,1092.7977905273438,1071.538036693226,6.408933504061266,1.881218194961548,,1134.4424410733307,1156.1243835449218,0.23492252149365164,4.7626378536224365,0.9978888888888888,0.28,-0.16282696223315998,-3.299735874471739,,
cifar100,vib,0,-0.1,1,1090.6558898925782,1068.904262195934,6.410719887776808,1.9192915678024287,,1143.068824074485,1162.807550048828,0.2331361520019445,4.724564480781555,0.9980888888888888,0.2852,-0.16159031436521593,-3.2756362433691315,,
cifar100,vib,0,1.0,1,1090.6558898925782,1068.904262195934,6.410719887776808,1.9192915678024287,,1143.068824074485,1162.807550048828,0.2331361520019445,4.724564480781555,0.9980888888888888,0.2852,-0.16159031436521593,-3.2756362433691315,,
cifar100,vib,0,1.0,0,1096.2364562988282,1074.566330649636,6.4083269021727824,1.9152146577835083,,1135.614156549627,1158.3174865722656,0.2355291304940527,4.728641390800477,0.9979333333333332,0.2837,-0.16325310589247896,-3.27488055770602,,
cifar100,vib,0,1.0,2,1092.7977905273438,1071.538036693226,6.408933504061266,1.881218194961548,,1134.4424410733307,1156.1243835449218,0.23492252149365164,4.7626378536224365,0.9978888888888888,0.28,-0.16282696223315998,-3.299735874471739,,
cifar100,vib,0,-1.0,2,1092.7977905273438,1071.538036693226,6.408933504061266,1.881218194961548,,1134.4424410733307,1156.1243835449218,0.23492252149365164,4.7626378536224365,0.9978888888888888,0.28,-0.16282696223315998,-3.299735874471739,,
cifar100,vib,0,-1.0,1,1090.6558898925782,1068.904262195934,6.410719887776808,1.9192915678024287,,1143.068824074485,1162.807550048828,0.2331361520019445,4.724564480781555,0.9980888888888888,0.2852,-0.16159031436521593,-3.2756362433691315,,
cifar100,vib,0,0.0,0,1096.2364562988282,1074.566330649636,6.4083269021727824,1.9152146577835083,,1135.614156549627,1158.3174865722656,0.2355291304940527,4.728641390800477,0.9979333333333332,0.2837,-0.16325310589247896,-3.27488055770602,,
cifar100,vib,0,0.0,2,1092.7977905273438,1071.538036693226,6.408933504061266,1.881218194961548,,1134.4424410733307,1156.1243835449218,0.23492252149365164,4.7626378536224365,0.9978888888888888,0.28,-0.16282696223315998,-3.299735874471739,,
cifar100,vib,0,0.0,1,1090.6558898925782,1068.904262195934,6.410719887776808,1.9192915678024287,,1143.068824074485,1162.807550048828,0.2331361520019445,4.724564480781555,0.9980888888888888,0.2852,-0.16159031436521593,-3.2756362433691315,,
cifar100,vib,0,-0.01,0,1096.2364562988282,1074.566330649636,6.4083269021727824,1.9152146577835083,,1135.614156549627,1158.3174865722656,0.2355291304940527,4.728641390800477,0.9979333333333332,0.2837,-0.16325310589247896,-3.27488055770602,,
cifar100,vib,0,-0.01,2,1092.7977905273438,1071.538036693226,6.408933504061266,1.881218194961548,,1134.4424410733307,1156.1243835449218,0.23492252149365164,4.7626378536224365,0.9978888888888888,0.28,-0.16282696223315998,-3.299735874471739,,
cifar100,vib,0,-0.01,1,1010.2589111328124,1021.9269575639205,6.428753847425634,6.432546591758728,,1169.359057339755,1190.7892272949218,0.2151022104715759,0.2113094836473465,0.9978666666666668,0.9984,-0.14909151510600838,-0.14687341494956818,,
cifar100,stochasticErm,0,-0.01,1,,,6.5750552795150075,1.155903172492981,,,,0.06880077550357039,5.487952876091003,0.9996666666666668,0.2738,-0.04769025214716187,-3.8069122485783,,
cifar100,stochasticErm,0,-0.01,0,,,6.575114721601659,1.1372248888015748,,,,0.06874127749522979,5.50663115978241,0.9996666666666668,0.2744,-0.047643621467406284,-3.8157171367790625,,
