data,model,minimax,gamma,run,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_h_acc_toagg
cifar100,stochasticErm,0,-1.0,1,,,6.5750552795150075,1.155903172492981,,,,0.06880077550357039,5.487952876091003,0.9996666666666668,0.2738,-0.04769025214716187,-3.8069122485783,,
cifar100,stochasticErm,0,-1.0,0,,,6.575114721601659,1.1372248888015748,,,,0.06874127749522979,5.50663115978241,0.9996666666666668,0.2744,-0.047643621467406284,-3.8157171367790625,,
cifar100,stochasticErm,0,-0.1,1,,,6.5750552795150075,1.155903172492981,,,,0.06880077550357039,5.487952876091003,0.9996666666666668,0.2738,-0.04769025214716187,-3.8069122485783,,
cifar100,stochasticErm,0,-0.1,0,,,6.575114721601659,1.1372248888015748,,,,0.06874127749522979,5.50663115978241,0.9996666666666668,0.2744,-0.047643621467406284,-3.8157171367790625,,
cifar10mnist,dib,3,-1.0,2,,,3.300857749852267,0.2808924198150635,-1.0498161315917969,,,0.0210702776781876,3.041035604476929,1.0,0.4847,-0.014604902881218938,-2.1004339928980555,16.60964012145996,0.11886385997842615
cifar10mnist,dib,3,-1.0,1,,,3.3021074425090444,0.3309778690338135,-1.0498161315917969,,,0.0198205832222646,2.9909501552581785,1.0,0.4903,-0.013737937577550995,-2.0716089207351853,16.60964012145996,0.11824827961238328
cifar10mnist,dib,3,-1.0,0,,,3.3008154901591213,0.2889233112335205,-1.0498161315917969,,,0.021112541922114116,3.033004713058472,1.0,0.4803,-0.014634129737214688,-2.099003646998879,16.60964012145996,0.10220005246603724
cifar10mnist,dib,3,1.0,1,,,3.3021074425090444,0.3309778690338135,-1.0498161315917969,,,0.0198205832222646,2.9909501552581785,1.0,0.4903,-0.013737937577550995,-2.0716089207351853,16.60964012145996,0.11824827961238328
cifar10mnist,dib,3,1.0,0,,,3.3008154901591213,0.2889233112335205,-1.0498161315917969,,,0.021112541922114116,3.033004713058472,1.0,0.4803,-0.014634129737214688,-2.099003646998879,16.60964012145996,0.10220005246603724
cifar10mnist,dib,3,1.0,2,,,3.300857749852267,0.2808924198150635,-1.0498161315917969,,,0.0210702776781876,3.041035604476929,1.0,0.4847,-0.014604902881218938,-2.1004339928980555,16.60964012145996,0.11886385997842615
cifar10mnist,dib,3,0.0,1,,,3.3021074425090444,0.3309778690338135,-1.0498161315917969,,,0.0198205832222646,2.9909501552581785,1.0,0.4903,-0.013737937577550995,-2.0716089207351853,16.60964012145996,0.11824827961238328
cifar10mnist,dib,3,0.0,2,,,3.300857749852267,0.2808924198150635,-1.0498161315917969,,,0.0210702776781876,3.041035604476929,1.0,0.4847,-0.014604902881218938,-2.1004339928980555,16.60964012145996,0.11886385997842615
cifar10mnist,dib,3,0.0,0,,,3.3008154901591213,0.2889233112335205,-1.0498161315917969,,,0.021112541922114116,3.033004713058472,1.0,0.4803,-0.014634129737214688,-2.099003646998879,16.60964012145996,0.10220005246603724
cifar10mnist,dib,3,-0.1,0,,,3.3008154901591213,0.2889233112335205,-1.0498161315917969,,,0.021112541922114116,3.033004713058472,1.0,0.4803,-0.014634129737214688,-2.099003646998879,16.60964012145996,0.10220005246603724
cifar10mnist,dib,3,-0.1,2,,,3.300857749852267,0.2808924198150635,-1.0498161315917969,,,0.0210702776781876,3.041035604476929,1.0,0.4847,-0.014604902881218938,-2.1004339928980555,16.60964012145996,0.11886385997842615
cifar10mnist,dib,3,-0.1,1,,,3.3021074425090444,0.3309778690338135,-1.0498161315917969,,,0.0198205832222646,2.9909501552581785,1.0,0.4903,-0.013737937577550995,-2.0716089207351853,16.60964012145996,0.11824827961238328
cifar10mnist,dib,3,-0.01,1,,,3.3021074425090444,0.3309778690338135,-1.0498161315917969,,,0.0198205832222646,2.9909501552581785,1.0,0.4903,-0.013737937577550995,-2.0716089207351853,16.60964012145996,0.11824827961238328
cifar10mnist,dib,3,-0.01,0,,,3.3008154901591213,0.2889233112335205,-1.0498161315917969,,,0.021112541922114116,3.033004713058472,1.0,0.4803,-0.014634129737214688,-2.099003646998879,16.60964012145996,0.10220005246603724
cifar10mnist,dib,3,-0.01,2,,,3.300857749852267,0.2808924198150635,-1.0498161315917969,,,0.0210702776781876,3.041035604476929,1.0,0.4847,-0.014604902881218938,-2.1004339928980555,16.60964012145996,0.11886385997842615
cifar10mnist,vib,0,-0.1,0,505.10359649658204,477.3329672379927,3.268399108539928,0.899522864818573,,1726.3207244873047,1738.1338134765624,0.053528930526226766,2.4224051594734197,1.0,0.4876,-0.037102711914652066,-1.6757566800439236,,
cifar10mnist,vib,0,-0.1,1,504.45733947753916,476.3810875632546,3.268378108739853,0.9110336899757384,,1723.3471860018647,1736.8379638671875,0.05354992266405712,2.4108943343162537,1.0,0.495,-0.03711870080284144,-1.6690050701350438,,
cifar10mnist,vib,0,-1.0,0,505.10359649658204,477.3329672379927,3.268399108539928,0.899522864818573,,1726.3207244873047,1738.1338134765624,0.053528930526226766,2.4224051594734197,1.0,0.4876,-0.037102711914652066,-1.6757566800439236,,
cifar10mnist,vib,0,-1.0,2,502.0552230834961,474.75601959228516,3.2708363722671163,0.885863721370697,,1722.598028009588,1736.5081604003906,0.05109165600416335,2.4360643029212947,1.0,0.4911,-0.035415430718868414,-1.6843258226635964,,
cifar10mnist,vib,0,-1.0,1,504.45733947753916,476.3810875632546,3.268378108739853,0.9110336899757384,,1723.3471860018647,1736.8379638671875,0.05354992266405712,2.4108943343162537,1.0,0.495,-0.03711870080284144,-1.6690050701350438,,
cifar10mnist,vib,0,-0.01,0,505.10359649658204,477.3329672379927,3.268399108539928,0.899522864818573,,1726.3207244873047,1738.1338134765624,0.053528930526226766,2.4224051594734197,1.0,0.4876,-0.037102711914652066,-1.6757566800439236,,
cifar10mnist,vib,0,-0.01,2,502.0552230834961,474.75601959228516,3.2708363722671163,0.885863721370697,,1722.598028009588,1736.5081604003906,0.05109165600416335,2.4360643029212947,1.0,0.4911,-0.035415430718868414,-1.6843258226635964,,
cifar10mnist,vib,0,-0.01,1,504.45733947753916,476.3810875632546,3.268378108739853,0.9110336899757384,,1723.3471860018647,1736.8379638671875,0.05354992266405712,2.4108943343162537,1.0,0.495,-0.03711870080284144,-1.6690050701350438,,
cifar10mnist,vib,0,0.0,0,505.10359649658204,477.3329672379927,3.268399108539928,0.899522864818573,,1726.3207244873047,1738.1338134765624,0.053528930526226766,2.4224051594734197,1.0,0.4876,-0.037102711914652066,-1.6757566800439236,,
cifar10mnist,vib,0,0.0,2,502.0552230834961,474.75601959228516,3.2708363722671163,0.885863721370697,,1722.598028009588,1736.5081604003906,0.05109165600416335,2.4360643029212947,1.0,0.4911,-0.035415430718868414,-1.6843258226635964,,
cifar10mnist,vib,0,0.0,1,504.45733947753916,476.3810875632546,3.268378108739853,0.9110336899757384,,1723.3471860018647,1736.8379638671875,0.05354992266405712,2.4108943343162537,1.0,0.495,-0.03711870080284144,-1.6690050701350438,,
cifar10mnist,vib,0,1.0,1,504.45733947753916,476.3810875632546,3.268378108739853,0.9110336899757384,,1723.3471860018647,1736.8379638671875,0.05354992266405712,2.4108943343162537,1.0,0.495,-0.03711870080284144,-1.6690050701350438,,
cifar10mnist,vib,0,1.0,2,502.0552230834961,474.75601959228516,3.2708363722671163,0.885863721370697,,1722.598028009588,1736.5081604003906,0.05109165600416335,2.4360643029212947,1.0,0.4911,-0.035415430718868414,-1.6843258226635964,,
cifar10mnist,vib,0,1.0,0,505.10359649658204,477.3329672379927,3.268399108539928,0.899522864818573,,1726.3207244873047,1738.1338134765624,0.053528930526226766,2.4224051594734197,1.0,0.4876,-0.037102711914652066,-1.6757566800439236,,
cifar10mnist,stochasticErm,0,1.0,0,,,3.3127421249042857,0.2182028651237488,,,,0.009185898720964113,3.1037251591682438,1.0,0.4869,-0.00636741754442684,-2.1457968673653807,,
cifar10mnist,stochasticErm,0,1.0,2,,,3.3157674236731096,3.315722525119781,,,,0.006160611598964103,0.006205484922975302,1.0,1.0,-0.004270409435688464,-0.004292052239528572,,
cifar10mnist,stochasticErm,0,1.0,1,,,3.314082170074636,0.5806448936462403,,,,0.007845850428566338,2.741283130645752,1.0,0.5397,-0.005438182358832545,-1.89667170820645,,
cifar10mnist,stochasticErm,0,-1.0,1,,,3.3135867904533036,0.22178738117218014,,,,0.008341229028618809,3.100140643119812,1.0,0.4985,-0.005781508295323791,-2.1468510771118687,,
cifar10mnist,stochasticErm,0,-1.0,2,,,3.313345044851303,0.5692163109779358,,,,0.008582969069142233,2.7527117133140564,1.0,0.5287,-0.005949491447085671,-1.9008322321504068,,
cifar10mnist,stochasticErm,0,-0.1,2,,,3.3138151466846466,0.19407505989074708,,,,0.0081128682623702,3.127852964401245,1.0,0.4925,-0.00562353821591713,-2.1609215333893195,,
cifar10mnist,stochasticErm,0,0.0,2,,,3.3138151466846466,0.19407505989074708,,,,0.0081128682623702,3.127852964401245,1.0,0.4925,-0.00562353821591713,-2.1609215333893195,,
