experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,,epochs,run_count,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_h_acc_mean,train_h_acc_std,train_DIQ_xz_mean,train_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,train_aux_loss_mean,train_aux_loss_std,valid_H_Q_xCz_mean,valid_H_Q_xCz_std,valid_h_acc_mean,valid_h_acc_std,valid_DIQ_xz_mean,valid_DIQ_xz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,valid_aux_loss_mean,valid_aux_loss_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std,train_H_zCx_mean,train_H_zCx_std,train_I_xz_mean,train_I_xz_std,valid_H_zCx_mean,valid_H_zCx_std,valid_I_xz_mean,valid_I_xz_std
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,0,3,16.49995470046997,0.12006383954842803,0.06766447952489534,0.00027110697675043565,-0.9401307106018066,0.12006383954842766,6.101298012516715,0.025859444795346808,0.5425580360672692,0.025859444795346662,-16.49995470046997,0.12006383954842803,16.733287556966147,0.9541215082324681,0.06012569090136055,0.0032597653501901433,-1.1734635670979818,0.9541215082324677,5.584315443038942,0.04343206229191419,1.059540605545044,0.043432062291913945,-16.733287556966147,0.9541215082324681,-10.39812793432165,0.1188136444747104,-11.151241298929852,0.9114555030458433,0.15213333333333334,0.0032578111260988273,-3.8693413817622386,0.03023310808553264,0.11194814814814814,0.0010539363799604367,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,1,3,15.902540636785103,0.11310198751020734,0.06583715638602305,0.00010292982997421515,-0.34271664691693854,0.11310198751020782,4.995990321491704,0.052737168735251014,1.6478657270922803,0.05273716873525097,-15.902540636785103,0.11310198751020734,15.850732517242433,0.016577390295133276,0.06084449404761905,0.0027188609505972555,-0.2909085273742676,0.016577390295133342,5.307677427927653,0.04351355916831248,1.3361786206563313,0.0435135591683122,-15.850732517242433,0.016577390295133276,-10.906537302539967,0.06295910691172542,-10.544736444091797,0.058349264875473074,0.1826,0.0032186953878862133,-3.67810825412195,0.031302277167963556,0.20747407407407406,0.0041825819501292855,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,2,3,15.70151966268366,0.026846301764229304,0.06662235533791866,0.0008756398383091003,-0.14169567281549625,0.026846301764229412,4.3566915826364,0.0752702606387586,2.2871644659475847,0.0752702606387588,-15.70151966268366,0.026846301764229304,15.711109066009522,0.036175205750985075,0.062380088754251696,0.0007514646397455045,-0.15128507614135742,0.03617520575098485,5.165849399566651,0.03658451343616122,1.478006649017334,0.03658451343616098,-15.711109066009522,0.036175205750985075,-11.344908907628941,0.05162898247402774,-10.548170933532715,0.0215711811162249,0.19566666666666666,0.00700095231617338,-3.5789047637335805,0.024932049844859427,0.28402962962962963,0.008814587609894764,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,3,3,15.638150626962835,0.012820789855011146,0.06712760702211257,0.00026810724968611256,-0.07832663709467108,0.012820789855011644,3.793685327876698,0.04440332658525549,2.850170720707286,0.04440332658525549,-15.638150626962835,0.012820789855011146,15.660163656870523,0.005548516828820216,0.059771936118197276,0.003638414028085909,-0.10033966700236002,0.0055485168288199275,5.053533188501994,0.0521767571972824,1.5903228600819908,0.0521767571972824,-15.660163656870523,0.005548516828820216,-11.84466958799009,0.03402099153631758,-10.60836249593099,0.049566443335033517,0.212,0.008793179174792241,-3.50198748270179,0.03701510564898941,0.36402222222222225,0.005938324991418352,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,4,3,15.611585729049915,0.008604908244630493,0.06838560940926534,0.0006189255650371836,-0.05176173918174975,0.008604908244630697,3.334540420409405,0.038144636870105685,3.3093156281745792,0.038144636870105685,-15.611585729049915,0.008604908244630493,15.659869321187337,0.012533759045598013,0.06223111314838436,0.0009435731958556553,-0.10004533131917319,0.012533759045598065,4.979298655192058,0.013699323933868609,1.6645573933919273,0.013699323933868525,-15.659869321187337,0.012533759045598013,-12.27720699315954,0.03190884426387421,-10.682469297790528,0.025288683806191082,0.22419999999999998,0.004161730409336972,-3.4504912516759703,0.010166368739657788,0.4383851851851852,0.005605391290769417,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,5,3,15.594045938867511,0.010571032623833508,0.06940842688812467,0.0010277771846571478,-0.03422194899934711,0.010571032623833436,2.9326272950027934,0.05555017526155895,3.711228753581191,0.05555017526155895,-15.594045938867511,0.010571032623833508,15.633960628509522,0.017553811485077227,0.06289577354379251,0.0005277723794654212,-0.07413663864135742,0.01755381148507692,5.011698420842489,0.023835428681278466,1.6321576277414958,0.023835428681279074,-15.633960628509522,0.017553811485077227,-12.661567044689036,0.04567109313379366,-10.624493149312338,0.040223490492879634,0.22419999999999998,0.005737595315112431,-3.472586636590877,0.016590496431967007,0.5134444444444445,0.011966682141741788,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,6,3,15.581549575834563,0.00878318318621012,0.07005336828399122,0.0008676789646517669,-0.02172558596639922,0.008783183186210174,2.570104984623013,0.041172517876521104,4.073751048608259,0.04117251416879829,-15.581549575834563,0.00878318318621012,15.66778596242269,0.026143471184306346,0.06380590322066326,0.0003181889943431783,-0.10796197255452473,0.02614347118430687,4.937647326787313,0.011097831926629621,1.7062087217966717,0.01109783192662962,-15.66778596242269,0.026143471184306346,-13.011536972893609,0.03636684043852417,-10.732346465555826,0.011349293470048233,0.23540000000000003,0.003649657518178929,-3.4213313563719474,0.01003072404262822,0.583925925925926,0.008865979737616091,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,7,3,15.571561098098755,0.008085196860215284,0.07130492969373008,0.0009963373112635925,-0.01173710823059082,0.008085196860215674,2.269301916613723,0.056102202243275015,4.374554131970261,0.05610222230929939,-15.571561098098755,0.008085196860215284,15.633833853403727,0.012723641905094608,0.06328673070790816,0.0007905006469236723,-0.07400986353556314,0.012723641905094235,4.929833698272705,0.03412942877841677,1.7140223503112793,0.03412942877841713,-15.633833853403727,0.012723641905094608,-13.302319518986456,0.05443159793291699,-10.705519090779623,0.046712855586884705,0.24286666666666668,0.004163331998932266,-3.41634504024697,0.025189104189142084,0.6449925925925926,0.010901542156923358,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,8,3,15.56043999484091,0.009967557173331748,0.072062774771772,0.000918518508992162,-0.0006160049727468782,0.009967557173331601,1.9973756400021638,0.05247606089361745,4.6464804049694175,0.052476061542353264,-15.56043999484091,0.009967557173331748,15.629582913716632,0.011102016534683285,0.06399324378188774,0.0006452184064150818,-0.06975892384847004,0.011102016534683802,4.932553911209106,0.02318703731711707,1.7113021373748778,0.023187037317116774,-15.629582913716632,0.011102016534683285,-13.563189375305177,0.04648091360952486,-10.699587525939942,0.03282594601239008,0.2452,0.0007211102550927858,-3.4175459816280145,0.015889962009516815,0.6999851851851853,0.010229136148152858,,,,,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,transformer,9,3,15.556103056127375,0.011003272964017288,0.07253535106928662,0.000769007315039326,0.0037209337407892403,0.011003272964017763,1.769174622315349,0.051613873001603174,4.874681424010883,0.05161387819151778,-15.556103056127375,0.011003272964017288,15.620134766896564,0.004723338152215606,0.06361590534651361,0.0005659700055680819,-0.0603107770284017,0.004723338152215575,4.915058692296346,0.043171466239819795,1.7287973562876384,0.043171466239819746,-15.620134766896564,0.004723338152215606,-13.787012201944988,0.04242650561910497,-10.706937625122071,0.044467888292979485,0.2472,0.0043312815655415235,-3.405731468552115,0.030061174387476713,0.7487925925925926,0.01002856003925313,,,,,,,,
