experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,,epochs,run_count,test_I_xz_mean,test_I_xz_std,train_I_xz_mean,train_I_xz_std,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_DIQ_xz_mean,train_DIQ_xz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_zCx_mean,train_H_zCx_std,test_H_zCx_mean,test_H_zCx_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_DIQ_xzCy_mean,train_DIQ_xzCy_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCzy_mean,train_H_Q_xCzy_std,train_h_acc_mean,train_h_acc_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,test_z_mean_norm_mean,test_z_mean_norm_std,train_z_std_mean,train_z_std_std,test_z_std_mean,test_z_std_std
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,8,0,3,default,transformer,best,5,,,,,3.321924864162098,3.887179816896565e-06,-6.300871047973633,0.840301536648902,,,,,,,,,3.142018110870802e-06,3.90397618001113e-06,9.622799072265625,0.8403015366489008,,,1.0,0.0,0.49870000000000003,0.004447471191587412,,,,,-2.2694818726416896e-06,2.6974425360711003e-06,-6.495157007576009,0.5080118276392269,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,32,0,3,default,transformer,best,5,,,,,3.321923643892462,6.311007940855815e-06,-5.846359958648682,0.9151201151527335,,,,,,,,,4.381179661679239e-06,6.318597734244906e-06,9.168287982940672,0.9151201151527352,,,1.0,0.0,0.50994,0.005107641334314695,,,,,-3.1468629795882753e-06,4.359972554264685e-06,-6.176446976015859,0.5434510215725162,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,128,0,3,default,transformer,best,5,,,,,3.321923958171497,4.020095920161373e-06,-5.490859832763673,0.6839029930690754,,,,,,,,,4.072328954924325e-06,4.01022626431001e-06,8.812787857055664,0.6839029930690752,,,1.0,0.0,0.5104599999999999,0.006232014120651527,,,,,-2.923375615802242e-06,2.76029311020932e-06,-5.973546064185286,0.41995972951454885,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,512,0,3,default,transformer,best,5,,,,,3.321925681287592,1.9577049814521878e-06,-5.780091361999512,0.3188190216684607,,,,,,,,,2.349598418825074e-06,1.9415769043558697e-06,9.102019386291506,0.31881902166846093,,,1.0,0.0,0.51222,0.0034615025639164166,,,,,-1.752503173693501e-06,1.316966206477378e-06,-6.14319706477417,0.19163986435774275,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,2048,0,3,default,transformer,best,5,,,,,3.3219255360690028,2.8560680246977986e-06,-6.05846263885498,0.6954268867551899,,,,,,,,,2.5015189945324066e-06,2.8502907571747546e-06,9.380390663146972,0.6954268867551905,,,1.0,0.0,0.512,0.0028062430400804454,,,,,-1.8473832491782596e-06,1.965021285086136e-06,-6.32105664145652,0.4173531931437299,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,8,0,3,default,transformer,best,5,,,,,3.3219274976036766,2.692561010288947e-07,-2.642084693908691,0.18384016141232448,,,,,,,,,5.274262576904219e-07,2.729959520001422e-07,5.964012718200683,0.18384016141232365,,,1.0,0.0,0.5550599999999999,0.0107999074070105,,,,,-4.2956534447316446e-07,1.9139116873379377e-07,-4.1285924221429955,0.1284088161046059,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,32,0,3,default,transformer,best,5,,,,,3.3219276514920324,1.2512165758300886e-07,-2.2453067207336423,0.15676813044346302,,,,,,,,,3.6915529671494535e-07,1.085116336849467e-07,5.567234745025635,0.15676813044346266,,,1.0,0.0,0.56296,0.00875659751273291,,,,,-3.342140124779134e-07,8.014700336565709e-08,-3.854197939854907,0.10666248817452822,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,128,0,3,default,transformer,best,5,,,,,3.321927785873413,1.1340298213511646e-07,-2.3630873489379884,0.1293256488122256,,,,,,,,,2.3452135160730654e-07,9.989091834656573e-08,5.68501537322998,0.12932564881222516,,,1.0,0.0,0.5640000000000001,0.009056213336709766,,,,,-2.2861421945290458e-07,7.149166285859179e-08,-3.9381768383436415,0.0909756837790582,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,512,0,3,default,transformer,best,5,,,,,3.32192766232924,1.1381648548296612e-07,-1.846848087310791,0.059468929760821576,,,,,,,,,3.4014072864155506e-07,8.501594653829402e-08,5.168776111602783,0.05946892976082151,,,1.0,0.0,0.5776,0.004692014492731227,,,,,-3.181491833683165e-07,5.383204847122616e-08,-3.579700027094036,0.04164869985172598,,,,,,,,,,,,,,,,,,,,,,
corrZdimBob,cifar10,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,2048,0,3,default,transformer,best,5,,,,,3.3219278617338697,9.693093612619735e-08,-3.169146900177002,0.18182868139629157,,,,,,,,,1.568863135242344e-07,6.162316033249836e-08,6.491074924468995,0.18182868139629096,,,1.0,0.0,0.5696399999999999,0.006117434102628373,,,,,-1.446644921367124e-07,4.498749879271768e-08,-4.4880605483468194,0.12431364952831994,,,,,,,,,,,,,,,,,,,,,,
