data,encoder,zdim,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
svhn,resnet18,512,0,0.8837584511370621,-0.849199568810453,0.9999848326280504,-2.1221294238376847e-05,1117317.19458897,3597.1517899582723,3.444770118221641e-05,13.222712524177492,16.04263317492581,16.06991256299869,15.476099117781766
svhn,resnet18,512,1,0.8891748617086662,-0.8317793352671883,0.9999848326280504,-2.115104976857059e-05,1032382.0193497988,4125.299261871798,3.308121449663304e-05,13.224743761757548,16.034868846568028,16.069373271262,15.444135636322258
svhn,resnet18,512,4,0.8912876459741856,-0.8227611538610666,0.9999848326280504,-2.1169008573300453e-05,1016560.306745562,3525.5335766377266,3.329238097649068e-05,13.12710796030917,16.041804054910823,16.068594215452205,15.446116868839708
svhn,resnet18,512,3,0.8900583896742471,-0.8086559102084839,0.9999848326280504,-2.1276070761467362e-05,1255012.7243772373,3401.6135876962867,3.5019100323552266e-05,13.210943281188493,16.035824768302973,16.068095732104872,15.382198245026345
svhn,resnet18,512,2,0.8870620774431469,-0.8644969102710534,0.9999848326280504,-2.1142991011831965e-05,1233831.4553289285,3677.1796257457972,3.2969037420116365e-05,13.211170824923256,16.03958027861839,16.069186794665434,15.39566641814949
svhn,resnet18,32,2,0.8798401966810079,-0.9523213475889166,0.9999848326280504,-2.1367008337562107e-05,1117317.19458897,6746.338562509296,3.398827902856283e-05,13.03700730966967,15.727602655573408,16.070934073869573,8.100141850552818
svhn,resnet18,32,3,0.8889827904118008,-0.8356551621689462,0.9999848326280504,-2.1221798785005177e-05,928842.4083044984,4898.84986501934,3.4242770198034116e-05,13.035468308500539,15.748671442963355,16.071084118628686,9.542930569759637
svhn,resnet18,32,1,0.8839121081745543,-0.8969986651123052,0.9999848326280504,-2.163224021159048e-05,1233831.4553289285,5835.462963638789,3.3547541534062475e-05,12.947451458420865,15.560860559921856,16.070094234259553,5.548078910324925
svhn,resnet18,32,0,0.8849108789182545,-0.8581263715807879,0.9999848326280504,-2.1481905093965673e-05,985988.8191000919,6573.029134272873,3.3442305721109726e-05,13.031373060950935,15.718892319257867,16.071610635565232,8.395894194758215
svhn,resnet18,32,4,0.8889827904118008,-0.8315109855525483,0.9999848326280504,-2.127236726668985e-05,1213181.9210507732,5216.713524816175,3.3154261473100626e-05,13.043023020722144,15.738094425940698,16.071438427119293,8.518897381863853
svhn,resnet18,128,4,0.8839121081745543,-0.9282633894222292,0.9999848326280504,-2.1176762620738595e-05,1213181.9210507732,5956.078575707343,3.3410615287721164e-05,13.189004129217574,16.00494612464609,16.069711152897323,13.5127958696942
svhn,resnet18,128,1,0.881799323909035,-0.9503215890593728,0.9999848326280504,-2.120837128240076e-05,1345435.757224528,6167.675737261161,3.3861120755318545e-05,13.173328791477886,15.996198188426886,16.06850629998732,13.21895063385483
svhn,resnet18,128,0,0.8803011677934849,-0.9349568260681952,0.9999848326280504,-2.126020445779183e-05,1299044.9288468808,5750.777512649921,3.4134853194700554e-05,13.187376288480538,15.987947183061939,16.0671527182409,13.300225560979323
svhn,resnet18,128,2,0.8801475107559926,-0.9273898866046294,0.9999848326280504,-2.119713448507825e-05,1135558.8065305045,5284.534605809673,3.3934567909454934e-05,13.207319459249804,16.004479334335922,16.07008882271227,13.691038641818734
svhn,resnet18,128,3,0.8864090350338045,-0.8495634493898732,0.9999848326280504,-2.130443225740567e-05,1154250.8185971512,5332.209298217766,3.3788681321311735e-05,13.168568071468856,15.992093692454256,16.068196570226387,13.836303378260412
svhn,resnet18,2048,2,0.8916333743085433,-0.99381399349752,0.9999848326280504,-2.1806073339606633e-05,1065154.0197160395,5398.630381865386,3.098342131124809e-05,13.187172165212704,15.99705756727115,16.054617386455682,14.352332026459448
svhn,resnet18,2048,3,0.8858712354025814,-0.995547097456502,0.9999848326280504,-2.1489931446821796e-05,1193046.4711111109,5142.381549437964,3.177037797286175e-05,13.152009195135546,15.998105633166409,16.061375447946002,14.500893496727759
svhn,resnet18,2048,1,0.8873693915181315,-0.9963043676052972,0.9999848326280504,-2.1148015086698294e-05,1255012.7243772373,5622.417629454432,3.1475836294703186e-05,13.174060045286664,15.989005776338796,16.062093808669452,14.51959991455078
svhn,resnet18,2048,0,0.8852950215119852,-1.0623301532056204,0.9999848326280504,-2.1130246707857013e-05,1255012.7243772373,5438.821195810725,3.1985528039513156e-05,13.182382827581362,16.006007660266963,16.06447928081187,14.300180656965386
svhn,resnet18,2048,4,0.8873693915181315,-1.047401684579331,0.9999848326280504,-2.113814349452181e-05,1154250.8185971512,5640.773705796041,3.14501958200708e-05,13.202986147976661,16.01679832251497,16.059864458187608,14.761642862660015
svhn,resnet18,8,0,0.8846419791026429,-0.9567320298030854,0.9999848326280504,-2.12112434474888e-05,1082128.3184681279,5014.549630824287,3.3702726796036586e-05,12.952863242275033,15.65655833990999,16.069248229034187,12.297984130622805
svhn,resnet18,8,1,0.8846035648432699,-0.9677905953420384,0.9999848326280504,-2.1249472324935385e-05,1082128.3184681279,5205.666143732231,3.374907464603893e-05,12.978397384170414,15.630205376203671,16.069492754086045,12.422257563864536
svhn,resnet18,8,4,0.8824523663183774,-0.9623243889455844,0.9999848326280504,-2.1158858910539554e-05,1135558.8065305045,4980.286939524671,3.262106474721804e-05,12.979180668675625,15.64326286315918,16.069812996442927,11.065712012061775
