experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,0,-2.8455709205280653,8.355310400390625,0.0084,0.010333333333333333
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,1,-1.5261933162342418,8.394531105041503,0.0108,0.011777777777777778
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,2,-1.6164772683490407,8.038086534118653,0.0132,0.0132
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,3,-1.5959556470697576,8.079519779968262,0.0138,0.0138
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,4,-1.6405525670831853,7.828889068603516,0.0114,0.015688888888888888
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,5,-1.6407235730084506,7.856285739898682,0.0118,0.0154
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,6,-1.6702079496513713,7.975415267944336,0.0104,0.017733333333333334
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,7,-1.6453652497464961,7.279512787628174,0.0148,0.01588888888888889
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,8,-1.6205378575585105,7.764807502746582,0.017,0.017222222222222222
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,9,-1.686269390331615,7.380359400177002,0.0108,0.016288888888888887
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,10,-1.6901317638744007,7.338869207763672,0.0148,0.016955555555555557
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,11,-1.7247902469808405,7.265483291625976,0.0108,0.018333333333333333
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,12,-1.7246165854367344,7.328867359161377,0.0174,0.0172
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,13,-1.7449867474469272,7.276058192443847,0.012,0.016444444444444446
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,14,-1.7115659124547784,7.340179577636719,0.0086,0.015955555555555556
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,15,-1.7475286902427674,7.319241448974609,0.0112,0.017
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,16,-1.7476544184598055,7.221668733978271,0.0104,0.015933333333333334
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,17,-1.785614059560949,7.071779346466064,0.0134,0.017044444444444445
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,18,-1.7791707376740196,7.231331771850586,0.0122,0.017355555555555555
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,19,-1.802726892419295,7.110841181182861,0.0132,0.016666666666666666
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,20,-1.799776282301816,6.979710929870605,0.0106,0.016444444444444446
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,21,-1.810665763352134,6.97375387878418,0.0126,0.015822222222222224
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,22,-1.8402322955218229,7.048700877380371,0.0098,0.014866666666666667
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,23,-1.829245036836104,7.090408274841309,0.0116,0.016755555555555555
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,0,1024,1,0,24,-1.8601627002022483,7.108600052642823,0.0098,0.016888888888888887
