data,model,minimax,gamma,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cifar100,dib,3,-1.0,0,0.0078,-8.347713241884996,0.009733333333333332,-8.239562429529345
cifar100,dib,3,-1.0,1,0.0077,-9.042721616046162,0.010377777777777776,-8.995075595471059
cifar100,dib,3,-1.0,2,0.011000000000000001,-8.626341280836613,0.010644444444444444,-8.519668418612373
cifar100,dib,3,1.0,0,0.1476,-3.978065105411829,0.1528,-3.874818082380152
cifar100,dib,3,1.0,2,0.1477,-3.987099641204812,0.14837777777777778,-3.8965286249049513
cifar100,dib,3,1.0,1,0.1534,-3.904648257304821,0.1514,-3.853564384180041
cifar100,dib,3,-0.1,0,0.125,-4.243003930367087,0.17542222222222226,-3.6384999001881857
cifar100,dib,3,-0.1,2,0.1247,-4.302931842854316,0.16728888888888888,-3.706234998860455
cifar100,dib,3,-0.1,1,0.1279,-4.197791218254388,0.17202222222222222,-3.648484466980765
cifar100,dib,3,0.0,0,0.1249,-4.211026660425007,0.1661777777777778,-3.721446891933103
cifar100,dib,3,0.0,2,0.1244,-4.262423956378503,0.16113333333333332,-3.772339358264327
cifar100,dib,3,0.0,1,0.129,-4.158887227258133,0.16744444444444445,-3.7074698460969455
cifar100,dib,3,-0.01,0,0.1364,-4.126824699037057,0.18404444444444445,-3.5689942640855574
cifar100,dib,3,-0.01,2,0.1337,-4.191897377628484,0.17675555555555555,-3.631034677456331
cifar100,dib,3,-0.01,1,0.1355,-4.087912695664796,0.18255555555555555,-3.5683747525593112
cifar100,vib,0,-0.1,0,0.2511,-3.4889625178487624,0.9571111111111112,-0.5557736499531156
cifar100,vib,0,-0.1,2,0.2524,-3.5155635329672177,0.9614444444444444,-0.5482763094946975
cifar100,vib,0,1.0,1,0.3376,-2.7745956119328268,0.7363777777777778,-1.5973093052615264
cifar100,vib,0,1.0,0,0.3433,-2.7722832549530083,0.7352,-1.606018964423617
cifar100,vib,0,1.0,2,0.3408,-2.7850562474217733,0.7357333333333334,-1.5903367257630918
cifar100,vib,0,-1.0,2,0.0082,-6.645201751825214,0.026866666666666667,-4.637020567301578
cifar100,vib,0,0.0,0,0.2715,-3.263903873465516,0.9481555555555556,-0.6332565877296339
cifar100,vib,0,0.0,2,0.2695,-3.2897749967376875,0.9544666666666668,-0.6221128651405007
cifar100,vib,0,0.0,1,0.268,-3.2608508951357074,0.9511777777777778,-0.6243973303928154
cifar100,vib,0,-0.01,0,0.2721,-3.319482551961581,0.9613333333333334,-0.5262163903902664
cifar100,vib,0,-0.01,2,0.2713,-3.3455459222094723,0.9654444444444444,-0.5203925677580298
cifar100,stochasticErm,0,-0.01,1,0.2386,-3.6708262993618352,0.7595777777777778,-1.0577274328459079
cifar100,stochasticErm,0,-0.01,0,0.2424,-3.6512148895643532,0.7463555555555555,-1.1042595121865826
cifar100,stochasticErm,0,-1.0,1,0.0034,-8.339105574469269,0.056711111111111115,-5.279293130844286
cifar100,stochasticErm,0,-1.0,0,0.0025,-8.408959217070882,0.05484444444444445,-5.319596834336704
cifar100,stochasticErm,0,-0.1,1,0.2045,-4.048210056571983,0.7326888888888888,-1.1220139609911317
cifar100,stochasticErm,0,-0.1,0,0.2038,-4.040219590209003,0.7210444444444445,-1.169976927211373
cifar100,stochasticErm,0,0.0,0,0.2441,-3.5727285242795164,0.6926222222222223,-1.2864692865795433
cifar100,stochasticErm,0,1.0,0,0.429,-2.3500302070323458,0.4072,-2.333202878116313
cifar10mnist,dib,3,-1.0,2,0.046,-7.025678749974529,0.062311111111111116,-5.846429457716662
cifar10mnist,dib,3,-1.0,1,0.0764,-6.426026833716396,0.09906666666666666,-5.297354194083786
cifar10mnist,dib,3,-1.0,0,0.0592,-6.487614802660103,0.07675555555555555,-5.314938218142326
cifar10mnist,dib,3,1.0,1,0.4388,-1.6658527529136045,0.6866888888888889,-0.9344303275188328
cifar10mnist,dib,3,1.0,0,0.4291,-1.6986354610371228,0.6651555555555556,-0.9756766334341684
cifar10mnist,dib,3,0.0,1,0.433,-1.7977159184053773,0.8052666666666667,-0.6339633359445002
cifar10mnist,dib,3,0.0,0,0.419,-1.8526133957862505,0.7690888888888889,-0.7151889009622348
cifar10mnist,dib,3,-0.1,0,0.4236,-1.8997055103270557,0.8078,-0.6148246214931066
cifar10mnist,dib,3,-0.1,2,0.4378,-1.8415809846810949,0.8653555555555555,-0.4822592869198734
cifar10mnist,dib,3,-0.1,1,0.4342,-1.8427638963875737,0.8446,-0.532330200049149
cifar10mnist,dib,3,-0.01,1,0.441,-1.7997468174578672,0.8516888888888889,-0.5229268309658756
cifar10mnist,dib,3,-0.01,0,0.4283,-1.8532206357875969,0.8172888888888888,-0.5980441967256707
cifar10mnist,vib,0,-0.1,0,0.4685,-2.1289333170159432,1.0,-0.024434935716321788
cifar10mnist,vib,0,-0.1,2,0.4707,-2.1444218673035484,1.0,-0.02367137718444475
cifar10mnist,vib,0,-0.1,1,0.4779,-2.1397279912387703,1.0,-0.024614816789588902
cifar10mnist,vib,0,-1.0,0,0.1487,-5.2748355091478825,0.38193333333333335,-1.1323460507324046
cifar10mnist,vib,0,-1.0,2,0.1511,-5.2984782621500255,0.386,-1.1087949953585827
cifar10mnist,vib,0,-1.0,1,0.1508,-5.194948537831769,0.3824666666666667,-1.1418410484754578
cifar10mnist,vib,0,-0.01,0,0.48,-1.879731041978696,1.0,-0.02783209997061997
cifar10mnist,vib,0,-0.01,2,0.4858,-1.876165121802212,1.0,-0.02649823238608377
cifar10mnist,vib,0,-0.01,1,0.4908,-1.875007811056616,1.0,-0.02742958212933997
cifar10mnist,vib,0,0.0,0,0.4826,-1.8008845480147782,1.0,-0.03507147724187062
cifar10mnist,vib,0,0.0,2,0.4869,-1.7989544450503716,1.0,-0.03300924650613809
cifar10mnist,vib,0,0.0,1,0.49200000000000005,-1.8010341562779202,1.0,-0.033779172048705584
cifar10mnist,vib,0,1.0,1,0.5214,-1.3855859779943915,0.9999555555555556,-0.21955755090687734
cifar10mnist,vib,0,1.0,2,0.5212,-1.382727050401099,0.9998888888888888,-0.22196952988996635
cifar10mnist,vib,0,1.0,0,0.513,-1.3925985545414354,0.9999111111111112,-0.2257704314572663
cifar10mnist,stochasticErm,0,1.0,0,0.609,-1.1429552908316911,0.9647333333333332,-0.2705828277865052
cifar10mnist,stochasticErm,0,1.0,2,0.6333,-1.0941106821241382,0.9675555555555556,-0.2646765808950085
cifar10mnist,stochasticErm,0,1.0,1,0.6522,-1.0356025810273328,0.9789777777777776,-0.2119579141135239
cifar10mnist,stochasticErm,0,-1.0,1,0.121,-7.52964159779364,0.3439111111111111,-2.457980449534616
cifar10mnist,stochasticErm,0,-1.0,2,0.1141,-7.336890178335153,0.3099333333333333,-2.727810321307809
cifar10mnist,stochasticErm,0,-0.1,2,0.4072,-4.108219048181562,0.9950888888888888,-0.0271791383533002
