experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,clf_nhid,clf_nlay,clf_kpru,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,0,3,-2.5928803072380298,0.3769392457033305,8.644298489888511,0.32781467228482364,0.009399999999999999,0.0009165151389911691,0.00965185185185185,0.0010302422904126635
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,1,3,-1.530941175767147,0.03852564200262794,8.227273380788168,0.28758796454846897,0.0124,0.00348711915483254,0.010837037037037036,0.0013867687521776878
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,2,3,-1.5964001293847057,0.03763388346037282,8.19784072672526,0.20514344511764337,0.012533333333333332,0.0006110100926607776,0.012866666666666667,0.0007571877794400365
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,3,3,-1.5715935449499072,0.037194767859019345,7.961814305877685,0.2913010591436644,0.013266666666666668,0.002444040370643115,0.014548148148148149,0.0013151225513627542
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,4,3,-1.5867713072285508,0.05042445177504042,7.745808893330892,0.23528294825394006,0.0106,0.0010583005244258362,0.014866666666666667,0.0008963575124488306
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,5,3,-1.6155197901162233,0.028537357766890325,7.607279325866699,0.24894967875563917,0.015,0.002946183972531247,0.015503703703703705,0.0006506723335110439
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,6,3,-1.6068448183392032,0.060051785845236176,7.923020118459067,0.15187546410800165,0.013666666666666666,0.0067240860593342595,0.01608888888888889,0.001498641360007765
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,7,3,-1.6177084315654005,0.029496833845489682,7.352871172332764,0.07903909321084088,0.014333333333333335,0.0008082903768654761,0.015214814814814815,0.0005922684298560202
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,8,3,-1.6429108679858124,0.0267840543324777,7.439380759684244,0.2850519410432637,0.016,0.0017320508075688776,0.01631851851851852,0.0019221044708100084
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,9,3,-1.6460530365048032,0.062211759579832736,7.387919120279949,0.04498998245845885,0.014199999999999999,0.0038626415831655935,0.016474074074074075,0.0008050253683092208
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,10,3,-1.6814095411098364,0.03031949249922705,7.323031181335449,0.05220882939831428,0.015666666666666666,0.0007571877794400362,0.016977777777777776,0.0018778763945175995
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,11,3,-1.6855053631233448,0.041678162999631445,7.256559921010335,0.11925299005536438,0.013800000000000002,0.0029051678092667887,0.017259259259259262,0.0009355353213260108
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,12,3,-1.701619522562894,0.04599393859790923,7.2635367090861,0.12531227128812478,0.014799999999999999,0.002306512518934158,0.016451851851851853,0.00129583060418116
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,13,3,-1.7156053156224165,0.03236099126188881,7.228793285369872,0.05165947768122309,0.013066666666666666,0.0020231987873991363,0.016525925925925927,0.001124438588771168
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,14,3,-1.72001102810484,0.05385474242682856,7.248026634470622,0.10978765145747045,0.011733333333333333,0.0036896250938724573,0.01642962962962963,0.0018029240082221617
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,15,3,-1.7342497056180781,0.0338045835457254,7.201441251118979,0.24790300343036917,0.014400000000000001,0.0027784887978899602,0.01693333333333333,0.0016565619610700343
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,16,3,-1.735783880112388,0.059124004440334825,7.1169507169087725,0.09087462525586107,0.012266666666666667,0.002138535324312725,0.015866666666666668,0.0017009801096230773
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-1.0,default,1024,1,0,17,3,-1.75321352799011,0.05436952496255818,6.939016993204753,0.16871008601849155,0.0148,0.0012489995996796796,0.01654074074074074,0.0024174604911637028
