data,encoder,epochs,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std,run_count
cifar10,width128,0,2.9558085373856806,0.0189226979180187,0.36611948690631174,0.018922697918018684,2.597547260920207,0.01687348325974685,0.7243807633717855,0.01687348325974678,2.9561976490275064,0.01882565797737891,2.602421540527344,0.013902309931036862,0.36492,0.004346492839060035,-1.8038612024109066,0.00963633715489921,0.29432888888888886,0.006110088803379615,5
cifar10,width128,1,2.4728139964017,0.01222710973386396,0.8491140278902922,0.012227109733863952,2.4475771745045978,0.012800198873580405,0.8743508497873943,0.01280019887358029,2.4727346425713432,0.012209079366836092,2.449198336486816,0.013405970572848737,0.40204000000000006,0.004394086935871904,-1.6976549565885404,0.009292285247471952,0.39848,0.0041047879300418425,5
cifar10,width128,2,2.314600629156286,0.007657647131773535,1.007327395135706,0.00765764713177364,2.362325890858968,0.013905563055933622,0.959602133433024,0.013905563055933698,2.31461534840054,0.007696749392231145,2.3627298639678957,0.013184664912029433,0.4234,0.006907966415668202,-1.637719564053975,0.009138938852964013,0.43941333333333327,0.003113990730815502,5
cifar10,width128,3,2.206011948260394,0.00627798914048446,1.115916076031598,0.006277989140484475,2.3143691539764406,0.017388995700176903,1.0075588703155518,0.017388995700177105,2.2060586589389377,0.006407376268153542,2.315401112289429,0.013927450781880879,0.43304,0.00800799600399498,-1.6049137282375434,0.009653792540210156,0.4664,0.0026143950979901865,5
cifar10,width128,4,2.121154612438245,0.007160426479571114,1.200773411853747,0.0071604264795709065,2.277239195505778,0.01880224015082935,1.0446888287862142,0.018802240150829163,2.1211086784023707,0.007194772277564355,2.2774104212188724,0.019119790115832425,0.44636,0.009434405121680962,-1.57858062315098,0.013252823988464717,0.48732,0.0024621881265188402,5
cifar10,width128,5,2.050295093113726,0.007659901431774311,1.2716329311782664,0.007659901431774589,2.2532634576161703,0.02336892492320405,1.0686645666758219,0.023368924923204207,2.0502526044718428,0.007641192814113497,2.252022644882202,0.020118806789812434,0.45156,0.009538763022530762,-1.5609831560611283,0.013945313032672645,0.5058355555555556,0.0026528624186613514,5
cifar10,width128,6,1.9896164220842447,0.008843388036503004,1.3323116022077475,0.008843388036503004,2.2309306144714354,0.01677527497270993,1.0909974098205566,0.016775274972709888,1.989721339547899,0.0088296778996331,2.2296466016387937,0.01383132834176124,0.45716,0.006864983612507755,-1.545473301359671,0.00958713065162902,0.5207555555555555,0.004204876651498944,5
cifar10,width128,7,1.9351528402079237,0.008913898650381677,1.3867751840840685,0.008913898650381677,2.206233008702596,0.013537553533229194,1.1156950155893963,0.013537553533229227,1.9351132148234051,0.00881311742505602,2.2073907778930666,0.01595900144649491,0.4636,0.009115920140062643,-1.5300467216096423,0.011061944334266315,0.5358577777777779,0.003521068861287146,5
cifar10,width128,8,1.885957613045519,0.009543684147642959,1.435970411246473,0.009543684147642959,2.1938031355539955,0.017782385198436855,1.1281248887379962,0.017782385198436765,1.885820183660719,0.009502416853447828,2.194211752700806,0.019900847591234228,0.47072,0.008833572323811012,-1.5209117523402755,0.013794256045624403,0.5481644444444445,0.0030336222898592795,5
cifar10,width128,9,1.8401761969382116,0.009410200751831584,1.4817518273537809,0.009410200751831584,2.1839922428131104,0.01450519115868477,1.1379357814788817,0.014505191158684814,1.840054446483188,0.009433960462422246,2.183132095718384,0.017611429989436763,0.47336,0.006781445273686135,-1.513231862500998,0.012207298151585654,0.5586933333333334,0.0032179818842571987,5
cifar10,width128,10,1.8002175473354078,0.008687327960472805,1.5217104769565843,0.008687327960472805,2.1770169893900553,0.01966036134950867,1.1449110349019367,0.019660361349508798,1.8001575957955254,0.008610647647266415,2.176535020446777,0.018932675859549025,0.47324,0.008411183032130488,-1.508659141525429,0.013123171513683633,0.5698933333333334,0.0033717197136121308,5
