experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,10,1,-0.1,default,0,transformer,best,,,3.3214422355998647,-1.5035737991333007,,,,,0.0004857721174961295,4.825501823425293,,1.0,0.5346,,,-0.00033672168812409384,-3.3423517654416366,,,,,,3.4742170463908804,3.437147855758667
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,10,1,-0.1,default,1,transformer,best,,,3.319790395823392,-1.6952501296997071,,,,,0.002137635009024631,5.017178153991699,,0.9998444444444444,0.5307,,,-0.0014821534295640735,-3.47943029049344,,,,,,3.292916037819602,3.2536492347717285
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,10,1,-0.1,default,2,transformer,best,,,3.320176872340116,-1.4162591934204098,,,,,0.0017511683241040867,4.738187217712404,,0.9998666666666668,0.5366,,,-0.0012139899308361726,-3.28385127159876,,,,,,3.247183843092485,3.204523468017578
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,0,transformer,best,,,3.3219264203851875,-3.801038932800293,,,,,1.602653422981927e-06,7.122966957092285,,1.0,0.5243,,,-1.1116014775617423e-06,-4.935009953648826,,,,,,60.54401033574885,60.246864318847656
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,1,transformer,best,,,3.3219244588505137,-2.8956658363342287,,,,,3.541726093978716e-06,6.217593860626222,,1.0,0.542,,,-2.454228401363107e-06,-4.30901294356107,,,,,,11.15156078338623,11.043871879577637
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,2,transformer,best,,,3.3219275908036665,-3.570537281036377,,,,,3.727376671556406e-07,6.892465305328369,,1.0,0.5348,,,-2.597690504562896e-07,-4.774451078510198,,,,,,19.8441313830289,19.696163177490234
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,10,1,-0.1,default,0,transformer,best,,,0.4216889034618031,0.4224666595458985,,,,,2.900239120830189,2.899461364746094,,0.2865555555555556,0.2881,,,-2.010298752549125,-2.0093853859461843,,,,,,1.0673519643870266,1.0741453409194943
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,10,1,-0.1,default,1,transformer,best,,,0.6187676949934526,0.6038533210754394,,,,,2.70316032929854,2.7180747032165526,,0.33786666666666665,0.3334,,,-1.8736873126765088,-1.8840905458442867,,,,,,0.8730924508788369,0.8712352752685547
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,10,1,-0.1,default,2,transformer,best,,,0.34869990565560083,0.3477152347564697,,,,,2.973228118636392,2.9742127895355224,,0.25651111111111113,0.2604,,,-2.0608779803382027,-2.0616021388620136,,,,,,1.0917956937443127,1.0887126922607422
QminimalityEpochs,cifar10,e50,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,10,1,-0.1,default,0,transformer,best,,,3.2819486748088487,-0.1500676155090332,,,,,0.03997934982180595,3.4719956398010248,,0.9999555555555556,0.4993,,,-0.02771197219307332,-2.4060927362908937,,,,,,1.157446259802038,1.1524237871170044
