datasize,beta,run,epochs,train_z_norm_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_d_DIQ_xz_toagg,train_H_Q_yCz_toagg,train_DIQ_yz_toagg,train_aux_loss_toagg,valid_z_norm_toagg,valid_H_Q_yCz_toagg,valid_DIQ_yz_toagg,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,valid_loglike_toagg,train_acc_toagg
e50,0.01,0,0,2.135030610317534,10.538216133009303,0.19402565696022728,1.6997433866966853,5.454237014055252,-2.13230898976326,-0.10324712821536443,2.1348342100779214,5.5136308670043945,-2.1917028427124023,5.350636298370361,5.4989082122802735,0.0958,-3.8115527684334665,0.1008
e50,0.01,0,1,2.1351335502483626,10.703224566849796,0.16358265269886363,1.5346792902458797,5.454615116119385,-2.1326870918273926,-0.10489710974930362,2.134845733642578,5.51417334874471,-2.1922453244527182,5.349504138183594,5.49934144821167,0.097,-3.8118531500197945,0.10122222222222223
e50,0.01,0,2,2.1357112899422646,10.672987439415671,0.16123157848011363,1.5649159239097075,5.457295420494947,-2.1353673962029545,-0.10459416088732806,2.3230835596720376,5.083797136942546,-1.7618691126505535,5.352930996873644,5.100046250915527,0.1584,-3.5350828866524155,0.10146666666666666
e50,0.01,0,3,3.1130721514875237,11.345300197601318,0.10589732776988638,0.8925922187891874,2.4776109023527666,0.8443171219392256,-0.11033992723307827,2.49634059270223,2.2200600306193032,1.1018679936726887,2.3673991462707518,2.218397159576416,0.4616,-1.5376758175556549,0.40157777777777776
e50,0.01,0,4,2.35864075476473,11.306151281703603,0.11153830788352273,0.9318006865002892,1.9696100042624907,1.3523180200295015,-0.11070286986333402,2.2838714917500815,2.078746239344279,1.2431817849477131,1.85901261238522,2.076521174240112,0.496,-1.439334871165594,0.5251555555555556
e50,0.01,0,5,2.3369837579402057,11.255549105730923,0.11555641867897727,0.9823278879577463,1.672250291163271,1.6496777331287211,-0.11021850418976763,2.3074851830800376,2.055596192677816,1.2663318316141765,1.5621418131086562,2.0470788562774658,0.5058,-1.4189269818152184,0.6041777777777778
e50,0.01,0,6,2.4264520623467187,11.185500285842203,0.12046675248579546,1.0524241592396388,1.4072813933545893,1.9146466316147284,-0.10942854821173982,2.379632552464803,2.071510155995687,1.2504178682963054,1.2979942664676243,2.05738762588501,0.5172,-1.4260724354729521,0.6708
e50,0.01,0,7,2.584289930083535,11.113892441446131,0.12408025568181819,1.1240142238411037,1.15206370705908,2.1698643138462845,-0.10855463197962804,2.4709529876708984,2.078503370285034,1.243424654006958,1.0431948630650838,2.075178100967407,0.5184,-1.4384039318661772,0.7384888888888889
e50,0.01,0,8,2.679173464124853,11.102689759297805,0.12730513139204544,1.1352578029036522,0.9299381937492978,2.391989833929322,-0.10834772173653949,2.724493980407715,2.1032427151997886,1.2186853090922039,0.821579283703698,2.1032638988494874,0.5304,-1.4578714930229095,0.7975333333333333
e50,0.01,0,9,2.851964221759276,11.05956888740713,0.12960227272727273,1.1783459342338822,0.7137615402991121,2.6081664887341587,-0.10774372183633121,2.8317273457845054,2.146869738896688,1.1750582853953044,0.606003332455953,2.1395187397003173,0.534,-1.483001438537351,0.8550444444444445
e50,0.01,0,10,2.9693340185013684,11.007828549905257,0.1331003639914773,1.2300239449197596,0.5383956354450096,2.7835323959589005,-0.10710894904861396,2.964828888575236,2.332127332687378,0.9898006916046143,0.43112572882970174,2.3294141162872313,0.53,-1.6146269103295072,0.8980888888888889
e50,0.01,0,11,3.1361447152766315,10.95046603679657,0.13820245916193183,1.2874626815319061,0.3853496506132863,2.9365783618255095,-0.10636851343918931,3.200043201446533,2.366260608037313,0.9556674162546793,0.2789466821352641,2.36086697807312,0.5324,-1.6364282728164747,0.9345333333333333
e50,0.01,0,12,3.342721310528842,10.906234432350505,0.14249955610795453,1.3317120542580432,0.27390526133504783,3.0480227660049093,-0.10571962048892271,3.3540934721628823,2.5364423592885337,0.7854856650034586,0.16811864110098945,2.526097919464111,0.5382,-1.7509576903135202,0.9589555555555556
e50,0.01,0,13,3.491882014003667,10.852905804460699,0.14578169389204546,1.3849817351861433,0.19434924017299304,3.1275787841189993,-0.1050371735102751,3.4879446824391684,2.700181484222412,0.6217465400695801,0.0893054790271653,2.701664921569824,0.525,-1.8726514563029923,0.9742444444444445
e50,0.01,0,14,3.6204623986374247,10.80233131755482,0.15009987571022726,1.4355562336065553,0.13488249434158206,3.187045529484749,-0.10440284805372357,3.6318143208821616,2.823646148045858,0.49828187624613446,0.03046886386738883,2.8238745677947996,0.5346,-1.957360692737814,0.9857555555555556
e50,0.01,0,15,3.7283846031535757,10.721050013195384,0.15267777876420455,1.5168473293835467,0.09436808714897117,3.2275599430907858,-0.10348211347379467,3.7926759719848633,2.955090045928955,0.3668379783630371,-0.00910008915397856,2.952615650177002,0.536,-2.0465972161237085,0.9918666666666667
e50,0.01,0,16,3.876556072722782,10.67630278522318,0.15568226207386363,1.561613716185093,0.06556994736787271,3.2563580829988825,-0.10288646927272732,3.905187209447225,3.0600732962290444,0.2618547280629476,-0.037326930651399824,3.0646560379028323,0.5382,-2.1242577561691753,0.9952222222222222
e50,0.01,0,17,4.018635439601812,10.618398146195846,0.15992498224431817,1.6195321516557173,0.04056177969852632,3.2813662453131243,-0.10216534340923483,4.098467508951823,3.1662108103434243,0.15571721394856772,-0.06162806170450316,3.1675561630249023,0.5348,-2.1955827846832237,0.9983555555555556
