experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,,epochs,run_count,train_z_norm_mean,train_z_norm_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,train_aux_loss_mean,train_aux_loss_std,valid_z_norm_mean,valid_z_norm_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std,train_H_zCx_mean,train_H_zCx_std,train_I_xz_mean,train_I_xz_std,valid_H_zCx_mean,valid_H_zCx_std,valid_I_xz_mean,valid_I_xz_std,valid_aux_loss_mean,valid_aux_loss_std
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,0,3,2.0544790291424957,0.07017612585261543,10.488880398598583,0.047400018385964575,0.19944713245738635,0.0048154920573206025,1.7490371858531777,0.047364366363658573,5.568997633276564,0.4059170086822973,-2.2470696089845714,0.4059170086822972,,,2.0522340801027084,0.0725320081298388,5.590798748864067,0.37744319561362366,-2.2688707245720754,0.3774431956136235,5.5689081732008185,0.4059351177048782,5.581041771952311,0.3782116359177294,0.0924,0.010520456263869923,-3.8684834187889465,0.2621563394865324,0.09369629629629629,0.011902117942729086,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,1,3,2.0544734491091785,0.0702628660542975,10.714327971140543,0.009619558138525549,0.16296860203598484,0.0005381546835225196,1.5235639819593139,0.009630423263741032,5.569259014996615,0.4056693164284739,-2.247330990704623,0.40566931642847387,,,2.052215695381165,0.07255388525240179,5.589451842837863,0.37737852418983237,-2.2675238185458717,0.3773785241898322,5.5693819588272655,0.4057479407532269,5.580040204874675,0.3779407324979876,0.09293333333333335,0.010131798129322033,-3.8677892265194096,0.2619687228301215,0.09382962962962964,0.011911283857232693,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,2,3,2.055092231568062,0.07020875312765,10.652443894834228,0.06063107010067722,0.16246811375473483,0.004374070076218287,1.5854623577359952,0.06066115753830792,5.5628522020397755,0.3993375897970183,-2.240924177747784,0.39933758979701833,,,2.255016936196222,0.12444444790444233,4.782188309563531,0.4650408177648911,-1.4602602852715387,0.4650408177648913,5.563808883553964,0.3999361957018386,4.786411959584554,0.47018732301692906,0.17366666666666666,0.0160503374834716,-3.3176880179525967,0.3259090248356923,0.09428888888888888,0.011821783617594873,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,3,3,3.9263435340288915,0.826753506823443,11.401731059406742,0.06055907352423001,0.10364324396306818,0.00483812561392047,0.8361552120609717,0.06056830223802632,2.5025500745484326,0.026235704155566014,0.8193779497435597,0.026235704155566024,,,3.04350397321913,0.6815500795140188,2.2433054447174072,0.022750673620559967,1.078622579574585,0.022750673620559828,2.5027052462118644,0.02637799286050239,2.244575336329142,0.01843094116391559,0.4560666666666667,0.004225320500664229,-1.5558210576906644,0.012775389594533023,0.3941037037037037,0.00617527260690145,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,4,3,2.971804491046703,0.5622067773448259,11.383026607108839,0.05557548229539372,0.10542384292140151,0.004511690320628048,0.8548773387164781,0.05560662201248671,1.995450589918729,0.023264762887635276,1.3264774343732633,0.023264762887635203,,,2.882901218202379,0.4933164287159855,2.0993250475989447,0.02390266104396041,1.2226029766930473,0.02390266104396047,1.9955040701689544,0.023161808800910694,2.0961673806508383,0.016673993541597577,0.49219999999999997,0.002778488797889986,-1.4529525278089672,0.01155745482787723,0.5191185185185185,0.006969504413482173,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,5,3,2.9438996811707816,0.4809870815638019,11.315179976550015,0.08224863551593689,0.11196044921875,0.005961847561773082,0.9227273897691207,0.08222295310598597,1.7103295533946066,0.03011705610796288,1.6115984708973856,0.03011705610796288,,,2.828181001875136,0.4073214300090722,2.039616902669271,0.021489149235142706,1.2823111216227214,0.02148914923514261,1.7104221280557137,0.030178793841649232,2.038131483332316,0.012978916222149275,0.5068,0.004214261501141111,-1.412725149187863,0.008996284449996643,0.5928592592592592,0.008034872553733,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,6,3,3.0169205941034085,0.47141607835153143,11.251921662778566,0.07009634832687403,0.11584694602272727,0.005249467911342033,0.985995382747867,0.070099660758615,1.4600052255572695,0.03500072468872589,1.8619227991862728,0.03500072531853473,,,2.981180111567179,0.5387406163168997,2.0502779748704696,0.01163735935127898,1.2716500494215222,0.011637359351279087,1.4601034216209694,0.03493114372950639,2.048510282643636,0.0030610582506126133,0.5172666666666667,0.0035907288025320756,-1.4199191480075928,0.0021217420761471093,0.6560962962962963,0.01206503638124055,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,7,3,3.142457822958628,0.5048775903811544,11.193272261908561,0.0607976093492703,0.11975719105113636,0.004994251669964488,1.044613281885783,0.06081872134541931,1.216698971774542,0.04254541312713641,2.105229050372586,0.04254540674112665,,,3.0908715195126004,0.5184891377704473,2.0495642158720226,0.03826746214480849,1.2723638084199693,0.0382674621448088,1.216499470950939,0.04260889678999005,2.04851606464386,0.033620020481396166,0.5236666666666666,0.004636090306857061,-1.41992317793909,0.023303585885159316,0.7216740740740741,0.012420499449875746,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,8,3,3.329102828647151,0.5497329892291151,11.166781770460533,0.08154628122298213,0.12220703124999999,0.005618222320091627,1.0711378498059332,0.08156405131030135,0.985271039221323,0.0412552268480976,2.336656987215534,0.04125522506752945,,,3.3522512912750244,0.5171180221853616,2.0782246854570174,0.025569390951550128,1.2437033388349743,0.025569390951550194,0.9852908810721503,0.041202085853650754,2.071946185048421,0.02203874551319444,0.5258666666666666,0.0038175035472587326,-1.4361636820904042,0.015276109598901891,0.7829629629629631,0.011886590293544443,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,9,3,3.5240694103818946,0.558747905905674,11.096349770372564,0.0833029481151155,0.12797718394886365,0.006706212616027145,1.1415413367477332,0.08332551659017118,0.780007515892838,0.04249279739772195,2.5419205079476037,0.042492800650926345,,,3.4933910369873047,0.5914168449092407,2.1558735370635986,0.025635761981955735,1.1660544872283936,0.025635761981955954,0.7799291466642307,0.04242282985920728,2.1476194416046144,0.02258403881450587,0.53,0.007600000000000023,-1.4886163761322238,0.01565401783705733,0.8361333333333333,0.010180615810038464,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,10,3,3.6883043235901627,0.5649945948743557,11.072584901795244,0.07814034678336383,0.13017607717803029,0.0051807315830821165,1.1652996838092804,0.07809504504052711,0.6003397186710075,0.04262171045894739,2.7215883050001026,0.04262170489211278,,,3.682201623916626,0.5930424090375209,2.2793536716037326,0.038194033223562546,1.0425743526882594,0.03819403322356274,0.6002437656861764,0.042641351631918366,2.2692828857421876,0.03176528339773005,0.5267333333333334,0.0035232560697929793,-1.57294707316385,0.022018060673891324,0.8816,0.011754715365900361,,,,,,,,,,
QminimalityEpochs,cifar10,e100,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,10,1,-0.1,default,transformer,11,3,3.8881941686073938,0.600753610803298,11.023127537785156,0.09545407867650285,0.1338122928503788,0.006722377390794577,1.214770276438106,0.0954805878986034,0.4466860306195238,0.03940057874025657,2.8752419944062377,0.039400585213132826,,,3.8990908198886447,0.5698534793843297,2.3363895946078834,0.015524272076378375,0.9855384296841091,0.015524272076378352,0.4466622374887819,0.03942119264535873,2.3337176120758056,0.016434466889232904,0.5352,0.0039849717690342715,-1.6176098006261945,0.0113915194873479,0.9187407407407407,0.009058229552939393,,,,,,,,,,
