model,beta,mchead,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cdib,1.0,3,0,0,1.5806842526002365,2.1268256843566893,0.24,0.23453333333333334
cdib,1.0,3,0,1,1.4528540044784546,2.08287689743042,0.2748,0.3874
cdib,1.0,3,0,2,1.3701217612179843,2.027576671600342,0.3564,0.5209555555555555
cdib,1.0,3,0,3,1.2894004689129916,1.974419523048401,0.3756,0.6134444444444445
cdib,1.0,3,0,4,1.2021834208575162,1.925057463645935,0.3942,0.6885555555555556
cdib,1.0,3,0,5,1.115672814872048,1.8672397245407104,0.4096,0.744
cdib,1.0,3,0,6,1.027426832563227,1.8178747764587402,0.4306,0.7956666666666666
cdib,1.0,3,0,7,0.9405496812126853,1.7795135667800903,0.4456,0.8368222222222222
cdib,1.0,3,0,8,0.8556982062339783,1.7522644136428833,0.444,0.8702888888888889
cdib,1.0,3,0,9,0.7738925808993253,1.7096483596801757,0.4586,0.8964444444444445
cdib,1.0,3,0,10,0.6951828198086132,1.6771307605743409,0.467,0.9144888888888889
cdib,1.0,3,0,11,0.6214299097841436,1.6508690029144286,0.4768,0.9322666666666667
cdib,1.0,3,0,12,0.5520623938473788,1.6328650117874146,0.4756,0.946
cdib,1.0,3,0,13,0.48735364184379576,1.608455297088623,0.479,0.9554666666666667
cdib,1.0,3,0,14,0.42848414226011794,1.5920428270339966,0.4848,0.9643555555555555
cdib,1.0,3,0,15,0.3741460707144304,1.572631609916687,0.488,0.9688
cdib,1.0,3,0,16,0.327067177139629,1.565629096031189,0.491,0.9725777777777778
cdib,1.0,3,0,17,0.2827094959475777,1.556902347946167,0.4936,0.9779777777777777
cdib,1.0,3,0,18,0.2454598003322428,1.556435018348694,0.4934,0.9793555555555555
cdib,1.0,3,0,19,0.21067188519131053,1.5544361236572266,0.493,0.9819333333333333
cdib,1.0,3,0,20,0.17886841388615696,1.5546974895477295,0.4964,0.9848
cdib,1.0,3,0,21,0.15151573203476992,1.5541914058685302,0.4962,0.9853777777777778
cdib,1.0,3,0,22,0.12687835841937498,1.556934309577942,0.4944,0.9873777777777778
cdib,1.0,3,0,23,0.10414117353612726,1.5619210342407226,0.4952,0.9877777777777778
cdib,1.0,3,0,24,0.08339355147318407,1.5639299533843993,0.497,0.9886888888888888
cdib,1.0,3,0,25,0.06538002764853564,1.5742333095550538,0.4938,0.9899111111111111
cdib,1.0,3,0,26,0.04787266419692473,1.5762984899520873,0.4964,0.9904222222222222
cdib,1.0,3,0,27,0.031957374567877166,1.5812492517471313,0.4986,0.9915111111111111
cdib,1.0,3,0,28,0.01822871461321007,1.5923260625839233,0.4968,0.9914666666666667
cdib,1.0,3,0,29,0.005223832081664693,1.5998366220474243,0.4984,0.9927555555555555
cdib,1.0,3,0,30,-0.005988462080738761,1.6133010820388793,0.4944,0.9929111111111111
cdib,1.0,3,0,31,-0.016752968419681897,1.6205056098937989,0.497,0.9937111111111111
cdib,1.0,3,0,32,-0.026851375190778213,1.6376902740478516,0.495,0.9935777777777778
cdib,1.0,3,0,33,-0.03662537145289508,1.6334281686782837,0.499,0.994
cdib,1.0,3,0,34,-0.04579300368265672,1.6518230602264403,0.4996,0.9944
cdib,1.0,3,0,35,-0.0519786212368445,1.6562422279357911,0.495,0.9942888888888889
cdib,1.0,3,0,36,-0.06024481220082803,1.680995905685425,0.4982,0.9948666666666667
cdib,1.0,3,0,37,-0.06757276412356983,1.6808414012908937,0.5,0.9952222222222222
cdib,1.0,3,0,38,-0.07399348071705211,1.6994631164550782,0.4948,0.9953777777777778
cdib,1.0,3,0,39,-0.07956161980628967,1.716702724838257,0.4994,0.9954444444444445
cdib,1.0,3,0,40,-0.0854429178237915,1.7073426765441895,0.499,0.9953777777777778
cdib,1.0,3,0,41,-0.0906679393118078,1.73959359664917,0.5,0.9956444444444444
cdib,1.0,3,0,42,-0.0951684326637875,1.7423405223846435,0.4962,0.9955111111111111
cdib,1.0,3,0,43,-0.10102505697770552,1.753241069793701,0.4986,0.9960888888888889
cdib,1.0,3,0,44,-0.10469499702236869,1.7574183109283448,0.4984,0.9960888888888889
cdib,1.0,3,0,45,-0.1094329621840607,1.782776753425598,0.4996,0.9962222222222222
cdib,1.0,3,0,46,-0.11398950182091105,1.7756524873733521,0.5004,0.9961111111111111
cdib,1.0,3,0,47,-0.1172102558913556,1.778121939086914,0.5012,0.9960222222222223
cdib,1.0,3,0,48,-0.12037738924134861,1.822557119178772,0.5014,0.9962444444444445
cdib,1.0,3,0,49,-0.12440418312116103,1.805719034576416,0.5002,0.9965555555555555
cdib,1.0,3,0,50,-0.12764319046519018,1.8144082920074462,0.5012,0.9964222222222222
cdib,1.0,3,0,51,-0.13153142237446525,1.8347148420333863,0.4986,0.9966666666666667
cdib,1.0,3,0,52,-0.13370832514979622,1.8697412033081056,0.4942,0.9964
cdib,1.0,3,0,53,-0.13735018510601738,1.8613230310440063,0.4988,0.9963555555555555
cdib,1.0,3,0,54,-0.13984467100013387,1.8660269992828369,0.4994,0.9966666666666667
cdib,1.0,3,0,55,-0.1425866367145018,1.882979146003723,0.497,0.9966666666666667
cdib,1.0,3,0,56,-0.14436115451726048,1.8813794424057007,0.4972,0.9967333333333334
cdib,1.0,3,0,57,-0.14704565973932093,1.880155514526367,0.4982,0.9969333333333333
cdib,1.0,3,0,58,-0.14896864971030843,1.899587396621704,0.4986,0.997
cdib,1.0,3,0,59,-0.15148976171775297,1.929026379776001,0.498,0.9970666666666667
cdib,1.0,3,0,60,-0.1542306964115663,1.9292998683929443,0.4958,0.9969555555555556
cdib,1.0,3,0,61,-0.1555456290288405,1.9473179740905762,0.4982,0.9966444444444444
cdib,1.0,3,0,62,-0.1581353920958259,1.9205788120269776,0.499,0.9970222222222223
cdib,1.0,3,0,63,-0.15981450477079912,1.948190456390381,0.4964,0.9966
cdib,1.0,3,0,64,-0.16175613433447752,1.9711218238830566,0.4954,0.997
cdib,1.0,3,0,65,-0.1634383043256673,1.985572159576416,0.4958,0.9967111111111111
cdib,1.0,3,0,66,-0.16537527465386825,2.0051210823059082,0.5,0.9970222222222223
cdib,1.0,3,0,67,-0.16731532266356727,1.9993486583709716,0.4962,0.9970888888888889
cdib,1.0,3,0,68,-0.16888783607699653,2.015801628112793,0.4982,0.9969555555555556
cdib,1.0,3,0,69,-0.1696574905092066,2.0171480251312257,0.4976,0.9970888888888889
cdib,1.0,3,0,70,-0.17183774587024342,2.0166511825561524,0.4964,0.9972222222222222
cdib,1.0,3,0,71,-0.17301720949953253,2.0477974594116213,0.4986,0.9970222222222223
cdib,1.0,3,0,72,-0.1747288863398812,2.0276078411102296,0.4946,0.9970888888888889
cdib,1.0,3,0,73,-0.17657768737619572,2.053164583206177,0.4986,0.9972222222222222
cdib,1.0,3,0,74,-0.17753480842763728,2.0580714206695556,0.499,0.9974444444444445
cdib,1.0,3,0,75,-0.17853192007975144,2.050617317581177,0.4968,0.9973111111111111
cdib,1.0,3,0,76,-0.18014981408119202,2.077415927505493,0.4974,0.9973111111111111
cdib,1.0,3,0,77,-0.18217811894850297,2.0715827686309813,0.4978,0.9970444444444444
