model,beta,mchead,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdibsameidcs,100.0,1,1,0.3532,-1.8539080504775047,0.3496444444444444,-1.8536737981246576
cdibsameidcs,100.0,1,0,0.3691,-1.7774409388080241,0.3707111111111111,-1.7722208254476388
cdibsameidcs,0.1,1,2,0.4725,-4.168889403990782,0.9972888888888888,-0.011504160806339684
cdibsameidcs,0.1,1,1,0.478,-3.9043016699526136,0.9915555555555556,-0.028798396584984093
cdibsameidcs,0.1,1,0,0.4733,-3.644723133917217,0.9805111111111112,-0.058642121921332516
cdibsameidcs,0.1,3,1,0.4461,-4.209550256763037,0.9967111111111112,-0.01695783772280109
cdibsameidcs,0.1,3,0,0.4372,-4.223665164428044,0.9942888888888888,-0.02512039781577459
cdibsameidcs,0.1,3,2,0.4346,-4.161510581410779,0.9953111111111111,-0.01977192893694433
cdibsameidcs,0.1,5,0,0.4131,-4.565866544843876,0.9942444444444444,-0.02571464666350823
cdibsameidcs,0.1,5,1,0.4323,-4.1646242318041775,0.9967111111111112,-0.017742370058882104
cdibsameidcs,0.1,5,2,0.4227,-4.431614125248047,0.9959111111111112,-0.01857465113319909
cdibsameidcs,10.0,3,0,0.5121,-1.7075018750738775,0.9058888888888889,-0.33415984553355443
cdibsameidcs,10.0,3,1,0.5128,-1.7180877804437682,0.8902444444444444,-0.3756377177796372
cdibsameidcs,10.0,3,2,0.5044,-1.6477908271268042,0.8622444444444445,-0.4631102466306629
cdibsameidcs,10.0,1,2,0.5185,-1.4101732949558274,0.6667333333333333,-0.9474259396041128
cdibsameidcs,10.0,1,1,0.5276,-1.3685192691058592,0.6678,-0.9591674332922208
cdibsameidcs,10.0,1,0,0.5297,-1.4448611861292364,0.7355111111111111,-0.7666590777877579
cdibsameidcs,10.0,5,0,0.5069,-1.8868320276877888,0.9622888888888887,-0.17837522997896527
cdibsameidcs,10.0,5,1,0.5093,-1.8590566467000351,0.9517777777777776,-0.2107393800447866
cdibsameidcs,10.0,5,2,0.5075,-1.8291371574907087,0.9509555555555556,-0.21307481312309684
