experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_further_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_nofreeze_toagg,train_d_H_Q_xCz_maxep_toagg,train_d_H_Q_xCz_minep_toagg,train_H_Q_xCzy_toagg,test_d_H_Q_xCz_test_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,32,0,3,default,2,128,2,0,0,best,0.9479870928088506,-0.3185105145529151,0.9979979069026709,-0.005864824032723362,30705.534158826387,2.9844724025451796e-08,38.85407991919494,0.010448365472257136,12.914688043816145,,15.554202641627587,,,,,,16.071097647496895,8.072766507318777
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,32,0,3,default,3,128,2,0,0,best,0.9388829133374308,-0.33169569502809915,0.9964508349638258,-0.010502220846149516,33889.086731473304,2.9542498225509917e-08,34.942833126609266,0.018147805705666542,12.81267839623976,,15.397558907205743,,,,,,16.070310163867568,5.249862656112789
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,32,0,3,default,4,128,2,0,0,best,0.942762753534112,-0.3660176273467191,0.9972850404210464,-0.009050756659293398,38043.573696145126,2.1984060794011384e-08,35.867103265801774,0.0093388007953763,12.891912157221356,,15.529608172039651,,,,,,16.070007812145146,7.196949478267699
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,32,0,3,default,1,128,2,0,0,best,0.9456054087277196,-0.3429393582306651,0.9988624471037904,-0.003445021054811103,31036.58873858249,2.0318820403986134e-08,36.076582091304395,0.006953262258321047,12.878480164579642,,15.488477034162182,,,,,,16.069732991299887,7.002161761586981
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,32,0,3,default,0,128,2,0,0,best,0.9488706207744316,-0.3246299782721438,0.9992416314025268,-0.0024528636866018552,36294.68036776636,2.6928328011877053e-08,35.14684770104301,0.0060614412650465965,12.917448672213295,,15.54977864258049,,,,,,16.07021560964658,7.216227620146994
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,128,0,3,default,3,128,2,0,0,best,0.9423786109403812,-0.3604684757713743,0.9987714428720936,-0.0037820439102328775,29127.111111111113,1.852453301864898e-08,34.80124579644205,0.00734838331118226,13.143879173337949,,15.928963513337365,,,,,,16.06916942152866,13.245367900345675
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,128,0,3,default,2,128,2,0,0,best,0.9433773816840813,-0.3471637398402459,0.9981040785063172,-0.005792279903070653,29127.111111111113,1.88092990072164e-08,32.369570007956554,0.00917649269104004,13.093140077221301,,15.852396307065506,,,,,,16.06974446496298,12.62286538855974
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,128,0,3,default,0,128,2,0,0,best,0.940419483712354,-0.3606988015463955,0.99774006157953,-0.0075059154546762265,33140.17975308642,2.249129948950213e-08,33.7031123232475,0.011389343999326227,13.11983405712039,,15.87583285339119,,,,,,16.06931275360344,12.158960261086161
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,128,0,3,default,1,128,2,0,0,best,0.9420712968653964,-0.3318823641070925,0.997512551000288,-0.008144454002840895,34273.095981359125,2.2870450422374237e-08,34.76810033322571,0.0128258615732193,13.09586400763933,,15.866196994633636,,,,,,16.06975210914316,12.723174945328589
corrZdimnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,128,0,3,default,4,128,2,0,0,best,0.9393438844499078,-0.3910577510749345,0.9957683032260999,-0.013647482898426006,37594.68590035363,2.0297596492468983e-08,34.13940930329822,0.012930001132190228,13.119987073794816,,15.862563066704329,,,,,,16.069384537926016,12.29902159520822
