data,encoder,zdim,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std,run_count
cifar10,mlp,8,0.53756,0.0019907285098676253,-5.1064534992637745,0.19671897461985882,0.9975866666666668,0.0008824209124145738,-0.008084717665685292,0.002401503548004546,10107.408918344216,1175.0034123334106,3.965237738157157e-06,3.3971387409056856e-07,132.71122529288385,5.072523065364988,0.015583661384880543,0.0023571358536249886,11.741364299167287,0.03913125927127086,14.853826587850397,0.02878025279242758,15.555539777062156,0.0004632961064986295,8.442607479745693,0.35338220695669975,5
cifar10,mlp,32,0.5436799999999999,0.004874115304339855,-5.181975735346575,0.21131095439592582,0.9976133333333334,0.0009184796885459964,-0.007914855824179499,0.00236941930624312,11652.197308741393,1979.114321075769,5.0968491450476e-06,1.9628803767501426e-07,160.02899846446707,6.8480403638185425,0.015759766288101672,0.0033170272658167915,10.188102221488952,0.12550592045368583,12.944823249903592,0.15651491359684136,15.554549490321765,0.0007721773371044856,0.0035309510445751422,0.004497488514195358,5
cifar10,mlp,128,0.5452,0.002954657340538816,-5.4169008015803595,0.08117759345231505,0.9976799999999999,0.0007515580524303046,-0.007305179917801316,0.0027076877697872373,11654.934375466011,1140.8171853399303,4.665380583901424e-06,5.417804448846028e-07,171.4531881394387,5.68706852179017,0.013304352201521397,0.0017638367482800121,9.853300963748584,0.09894892348307784,12.585155820846559,0.2404508858456823,15.54527710351077,0.001979409917983135,0.010502184248021382,0.01127525689415952,5
cifar10,mlp,512,0.5463199999999999,0.002952456604253472,-5.481030494143035,0.24737549569917838,0.9986088888888889,0.00045259198642137656,-0.005011880615214612,0.0013123927436483737,10073.21280557431,1066.1399254387436,3.737903034561896e-06,3.571695144033968e-07,172.35673315207103,12.679410426986705,0.010174018889665603,0.002620215171404196,11.0023118279197,0.08299733408926457,14.118274452469564,0.2254491003242461,15.530875875733113,0.005853353023825048,3.815572159940546,1.602774584264677,5
cifar10,mlp,2048,0.5435,0.0051701063818842445,-5.780208190176363,0.32851072239219986,0.9986977777777778,0.0003949058334387867,-0.004477654825485549,0.0011353320539972801,11030.385035300826,1005.6326868013897,4.129520493734162e-06,8.109850628167668e-07,207.93972262687453,12.040655614857153,0.010946929082274437,0.0033509644092999343,11.709721608595414,0.07253864457009947,15.093394394354386,0.07838581739067203,15.5384506854144,0.006510159635765312,8.89165820641951,0.3237596285297804,5
cifar10,resnet18,8,0.82302,0.0018753666308217619,-1.1536543952183904,0.05913694169853749,0.9972533333333333,0.0007626464643788572,-0.008399200644315121,0.002294892746793563,147907.07475738216,23401.027218155956,1.601651234750534e-07,3.038236248132884e-08,69.00916434653395,4.0074289932405405,0.012843737192451955,0.0037359114272300796,11.871445902911102,0.02198890809128136,15.023195023970171,0.013018697332353207,15.555499289252541,0.0005211001113450892,9.600108363411644,0.3585844421966831,5
cifar10,resnet18,32,0.8311999999999999,0.006118823416311312,-1.0900713109163245,0.07470862890818694,0.9980177777777778,0.0005480380269766,-0.005847385229003795,0.0014944703257993627,144670.25973305764,16862.072144860824,1.2352453353514649e-07,7.744451462372545e-09,67.8459638722243,3.434318612837249,0.009388165734708308,0.001870540956131995,11.424743442101914,0.07236751401278708,14.510963892936706,0.046305406276848066,15.558036238496953,0.0009304855913585394,2.1299343672665687,0.4877287438703449,5
cifar10,resnet18,128,0.82614,0.003404115156689035,-1.0562742586660778,0.06299034757444139,0.9968222222222222,0.0013615532161813564,-0.009831349043549324,0.004651808130170772,142229.36307520137,13059.775551863315,1.1013727316822041e-07,1.1364607118054742e-08,60.091976754363216,3.6651590288778664,0.013379509188234806,0.0032795716772163657,11.90807671546936,0.10258204210212216,15.154316585714167,0.12228289677709785,15.556579930132084,0.0006687147941149511,8.780210028995167,1.8367941378612795,5
cifar10,resnet18,512,0.8261600000000001,0.005517517557742776,-1.0281553001383084,0.04173389357726132,0.9970933333333333,0.0013753024358748715,-0.008689237558253677,0.004161433951390061,143672.27208396912,6329.199716454595,9.557856799347064e-08,9.076742100853164e-09,43.95974720042869,1.4347273277912755,0.014211993850767612,0.0040189471074111366,12.187090867215938,0.008930881928040991,15.510172956640071,0.008262080917384505,15.556348276138305,0.0006722159712517084,14.676980655843561,0.21964353559504554,5
cifar10,resnet18,2048,0.8252,0.005365165421494469,-1.1031560124645152,0.027439595520439702,0.9977244444444444,0.000918479688546004,-0.0070011899337261135,0.0030878582746611573,147600.19692237602,24547.803081229686,1.449306409995188e-07,1.867703775422789e-08,42.3713337612446,9.41167838718381,0.011300514824688435,0.004134038425495396,12.13750524520874,0.04828693356778157,15.448709589784794,0.05879501816939725,15.55562111681158,0.0007236624234022565,14.646024829691106,0.2835972918503857,5
svhn,mlp,8,0.8248079287031347,0.004919920422400598,-2.1846646733956243,0.11632324487158073,0.9984256267916459,0.0003325426843427453,-0.005444717536705861,0.0010852352661886557,6945.27219031927,901.1388211267443,2.939878186225542e-06,2.130881024666553e-07,148.768489905984,5.706921356250069,0.011275755614042282,0.0014524892468880154,12.818695931841237,0.055083932205589214,15.437516054256943,0.03915891152399222,16.069008441304053,0.00040588419769846634,12.174159659156505,0.28379687013565214,5
svhn,mlp,32,0.8315688383527965,0.0023878100924720398,-2.1588622044648487,0.04085904807049088,0.9980676768136385,0.0006715395681448172,-0.0064651967749233315,0.001904862670031596,8833.827065872156,1024.969948191702,4.213035390421283e-06,3.1969768596023885e-07,178.78073962064576,8.764571577155882,0.012051387131214142,0.001933408394293492,11.859552897963413,0.05392902532664264,14.310293805321981,0.12151677000850473,16.06807001986245,0.0005542435379569708,0.218115272341195,0.15744438868115782,5
svhn,mlp,128,0.8331284572833436,0.0022933023289181875,-2.2061293454831903,0.016442573543680495,0.998361923829458,0.000630587022978204,-0.005604274191754137,0.0018489560575458658,7766.907396923084,747.2582008986801,4.181585791229736e-06,3.003424364926704e-07,181.7878120287606,8.540259046934809,0.010523648001253605,0.002005331743602989,11.842252283318098,0.17099071343979363,14.334083205230476,0.13463670907080977,16.061893522277355,0.0011081662977915625,0.8361242936216584,0.6809318262769998,5
