data,wdecay,encoder,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std,run_count
cifar10,1e-06,mlp,0.51194,0.004920162598939227,-5.746933155779965,0.09351908376883697,1.0,0.0,-5.157067708531965e-06,1.1085951867264993e-06,718815.5866963966,119559.96604895695,31.226405250247854,3.2840308920497767,9.632640867494047e-05,1.9193823011570194e-05,11.471744363958184,0.13917088459412078,14.717984927784315,0.09530968483658339,15.502884179895574,0.002248349683418297,0.8677175539969044,0.5668021793907646,5
cifar10,1e-06,resnet18,0.57504,0.0038894729720104506,-4.151268387244315,0.07012736519795243,1.0,0.0,-2.0537378187062435e-07,2.8987127922042526e-08,4722996.535135127,623393.2237440835,10116.319157179134,509.3548739464918,4.386975524539593e-06,5.807945481048182e-07,12.117232545939357,0.012476812821662292,15.431154320456764,0.018447314328049157,15.537104760516772,0.0029969360076570954,14.25515376437794,0.2605868124801029,5
cifar10,1e-05,mlp,0.50896,0.005420608821894422,-4.9649562793069135,0.08607556384115393,1.0,0.0,-3.9110675645262696e-05,2.726924455430412e-06,752946.3115144182,84113.14814257252,22.693640782284355,2.3942138420624026,0.0006226444616913796,3.9510661594137675e-05,11.520198468728498,0.08747946768329563,14.63234144340862,0.13011762683598646,15.507328616489062,0.0032046339297292594,0.8986321096731856,0.4675095121941257,5
cifar10,1e-05,resnet18,0.5764800000000001,0.00547238522035874,-3.7664361770462116,0.13482053790142876,1.0,0.0,-4.4018186538753277e-07,9.8140552438163e-08,4112888.263421784,683810.9156888077,7438.305433986179,420.57619810752703,9.149483867076924e-06,1.968263344810319e-06,12.10343558138067,0.01244001841284401,15.42978322289207,0.026204103715907756,15.539161582426592,0.0031612188853984407,14.281221467798408,0.2736619888091723,5
cifar10,0.0001,mlp,0.51402,0.006247959666963349,-3.9988734735652636,0.045818249403092294,1.0,0.0,-0.0003841210863493745,1.7332651039809468e-05,716817.7023173785,94146.87053112983,11.025207271126815,1.225807423229278,0.004933558776974678,0.00018720540597011662,11.593770549514076,0.13677329704632102,14.933268883011559,0.12314495467529407,15.513725716417483,0.0037013538889661434,2.278921722011133,0.820054444348036,5
cifar10,0.0001,resnet18,0.5787799999999999,0.006440263969745315,-2.2988393724461234,0.0992918150841689,1.0,0.0,-1.5917388384357685e-05,1.066046769419325e-06,2883643.734975779,200121.01190242628,846.978426278363,225.3516915818129,0.00029110985924489795,2.178199235301638e-05,12.193896529891276,0.013080605457443934,15.514079908891157,0.014201215397058037,15.55300810987299,0.002663830602847696,14.871483031186191,0.2130184923298726,5
cifar10,0.001,mlp,0.5219400000000001,0.004359816509900365,-2.633963845431427,0.019336459096258553,1.0,0.0,-0.00448789640370881,4.633953948418383e-05,370631.9851330715,37633.23594935661,1.2174773065981435,0.06504168097628947,0.044393739104270934,0.0004800624371005208,12.120357264171947,0.023072413169073998,15.424500458890742,0.01469762347618563,15.545125540820033,0.0031755842036093845,13.636209672147578,0.22048627130745002,5
cifar10,0.001,resnet18,0.58398,0.005018166996025555,-1.6665883850714258,0.032422495209570155,1.0,0.0,-0.00033818178084912815,1.0228959552835834e-05,3222272.0078609413,432347.30444922624,12.436368023084544,1.3211506464434635,0.005272449273616075,0.00013800916865442097,12.2300729599866,0.0008862248306226075,15.55075578256087,0.0008312477530641053,15.557236381010574,0.00038672086919346667,15.539893661845813,0.0030901075563752006,5
cifar10,0.01,mlp,0.5079,0.005262603918213841,-2.076394272936581,0.03818797038082003,0.9999688888888889,3.3701668640280305e-05,-0.041481227406828955,0.0009092642060990663,147693.9968290396,31010.387415298454,0.10400907348221419,0.005682673700331368,0.28047977685928344,0.004874836881231213,12.225226840105924,0.0015068402284717489,15.543718847361479,0.001944283532330854,15.55765993378379,0.0006400711223828058,15.464787032387473,0.02082694833626355,5
cifar10,0.01,resnet18,0.61036,0.004512538088481939,-1.4975810987368703,0.04310486047351357,1.0,0.0,-0.004429646823790713,9.681048742259194e-05,2110759.5615500845,251012.89690997294,0.8013827140607871,0.07719117718060554,0.05316016301512718,0.0008585305741690438,12.23210803378712,0.0005845269492161177,15.553063819625162,0.0004726069114323223,15.55739164352417,0.00027133138734435357,15.551775455474854,0.0004982435120965767,5
