data,lr,encoder,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
cifar10,0.0001,mlp,3,0.5248,-6.663528201102997,1.0,-1.4161140684526193e-07,580714.8858842618,39.67872688466076,3.4658326057979143e-06,11.522586909207432,14.730421575632963,15.499313961375847,0.2699904584071853
cifar10,0.0001,mlp,2,0.5276,-7.2843728624661015,1.0,-6.713683450556118e-07,985988.8191000919,39.59272640744762,1.3718858099309728e-05,11.899794741110368,15.255713473666797,15.5211722092195,10.175321253863247
cifar10,0.0001,mlp,4,0.5177,-7.121928330354781,1.0,-4.947531966949885e-07,679556.551718682,37.40723552377601,9.96246399154188e-06,11.888193780725652,15.146146308292042,15.50897035815499,3.28614418073134
cifar10,0.0001,mlp,0,0.5337,-6.391156831274916,1.0,-2.966392993296077e-07,442677.45069442654,38.72899506304999,6.701069196424213e-06,11.491456866264345,14.79839568788355,15.493249947374515,0.16332985333759675
cifar10,0.0001,mlp,1,0.5289,-6.069720513241072,1.0,-5.317905563755529e-07,429496.7296,38.311838863076154,1.1601358892221471e-05,11.237386020747097,14.2287348725579,15.491351680322127,0.09579500166529957
cifar10,0.0001,resnet18,2,0.6459,-3.663585143295356,1.0,-5.357271958593578e-08,2052001.4552838246,5635.39670298374,1.2617117590707492e-06,12.092789444056425,15.464788967912847,15.542762030254712,13.402392625808716
cifar10,0.0001,resnet18,3,0.6456,-3.7240328528593696,1.0,-4.87645973480413e-08,2350106.92985876,5092.203255959055,1.1450975989646395e-06,12.111067956144161,15.42731061848727,15.541879404674876,12.795886885036122
cifar10,0.0001,resnet18,1,0.6465,-3.6795380366696735,1.0,-4.69486236460802e-08,2555007.314693635,5877.5518713151305,1.1446588814578718e-06,12.129421147433193,15.431741313500838,15.539850982752712,12.888390909541734
cifar10,0.0001,resnet18,0,0.6455,-3.8828063662385657,1.0,-1.4352806103564337e-08,2406059.8976226323,5473.865544567203,3.929645231437462e-07,12.111061518842526,15.449041962623596,15.541476238857616,12.38665421442552
cifar10,0.0001,resnet18,4,0.6485,-3.61188936183903,1.0,-3.136662837764309e-08,2555007.314693635,5521.6483046278845,8.100917625597505e-07,12.11681032180786,15.435659907080913,15.544122219085693,13.433864864436062
cifar10,1e-06,mlp,3,0.4517,-1.5701219329383922,0.5450444444444444,-1.331545537705472,58915.87511659808,25.64425962584634,2.1121983528137207,11.38296086137945,14.664095239205794,15.506220080635764,0.9248475622047078
cifar10,1e-06,mlp,2,0.4487,-1.594295260073943,0.5444,-1.3323471876295114,99273.46745562131,25.857611816778196,2.125353574752808,11.249518697912043,14.597546490755947,15.513495813716542,1.6372782269662076
cifar10,1e-06,mlp,4,0.4454,-1.5812372245355977,0.5404666666666667,-1.345620119664844,81190.30805293005,24.29607489639209,2.1517653465271,11.420688705010848,14.700634945522655,15.504424409432845,1.2463383478197183
cifar10,1e-06,mlp,0,0.445,-1.5926992079852382,0.5411555555555555,-1.3444382373205657,63535.019171597625,25.89154673600657,2.1321749687194824,11.31506632674824,14.654621037569912,15.504328857768664,1.161278070373969
cifar10,1e-06,mlp,1,0.4499,-1.5795430962953716,0.5466222222222222,-1.3275655686776124,90374.7011194344,25.36707922674768,2.1057398319244385,11.565303997559981,14.789149208502335,15.511577140201222,1.8555885715918108
cifar10,1e-06,resnet18,3,0.4841,-1.427771389717597,0.7677777777777778,-0.7726074245774485,6233059.114376417,12395.921264674118,1.5988667011260986,12.128338618711991,15.422349474646829,15.522655443711715,14.68876238302751
cifar10,1e-06,resnet18,2,0.4938,-1.405685690456233,0.7713111111111111,-0.7671593016719213,5891587.5116598075,11895.23602119773,1.5993831157684326,12.137254292314706,15.446683482690293,15.534458637237547,14.785792914303867
cifar10,1e-06,resnet18,0,0.4949,-1.4284593930069822,0.7625777777777778,-0.7838375145853155,7228873.292412886,12644.24359145299,1.5999218225479126,12.102698055180635,15.473912954330444,15.532107602466235,14.785673921758478
cifar10,1e-06,resnet18,1,0.4961,-1.4196888713956506,0.7721111111111111,-0.7588257673829684,5577426.891973054,13470.243947308452,1.5767477750778198,12.10989983515306,15.480516401204195,15.534390254454179,14.919046781279825
cifar10,1e-06,resnet18,4,0.4848,-1.4548045259667095,0.7767555555555555,-0.7636522374870721,6002225.23678924,12835.658456035671,1.6148008108139038,12.136533282019876,15.44878334348852,15.527033469893716,14.95044021172957
cifar10,0.001,mlp,2,0.5449,-8.696343583799651,1.0,-1.6061550382775952e-07,12255.088385682979,202.87572204122898,2.9737625482084695e-06,11.4975402246822,14.849776712330904,15.517369692975825,7.654083614999597
cifar10,0.001,mlp,3,0.5512,-8.546870825171474,1.0,-7.95341511854354e-08,13695.686530612244,190.35110445897075,1.6149855355251932e-06,11.649685827168552,15.004776564511387,15.519557096741414,7.9281234470280735
cifar10,0.001,mlp,4,0.5467,-8.41130662638919,1.0,-8.482700575093026e-08,14095.539592522578,177.8734352970533,1.74860508650454e-06,11.297325199300593,14.516974178227512,15.510334188287908,8.05252515185963
cifar10,0.001,mlp,1,0.5536,-8.685569816738564,1.0,-9.1835419005785e-08,12422.391410986165,198.0037385221552,1.7904518472278141e-06,11.426917444575913,14.727760076522827,15.507001367482273,7.875735960223457
cifar10,0.001,mlp,0,0.555,-8.558298092101106,1.0,-1.137493164797042e-07,11618.570637119114,205.9134090613091,2.2096658085501986e-06,11.826909303665161,15.089586019515991,15.512249545617538,8.003634891726755
cifar10,0.001,resnet18,0,0.8503,-1.9011184661957152,1.0,-5.0028288718016894e-09,140243.83007346938,56.83073913082822,1.1765816054776225e-07,12.148638367652893,15.474743073636837,15.5557090585882,14.688273863358932
cifar10,0.001,resnet18,1,0.8449,-1.8364865098077323,1.0,-5.466413330168507e-09,99273.46745562131,51.17141698268307,1.3877766491532387e-07,12.173258943991227,15.490576007149436,15.555869178338485,14.901367133313961
cifar10,0.001,resnet18,4,0.8474,-1.9314280995626467,1.0,-1.5311778936519557e-09,129663.3044318319,48.45194089169056,4.689565002991003e-08,12.133068507367915,15.458695357496088,15.55630979754708,15.016735412857747
cifar10,0.001,resnet18,3,0.8478,-1.7768383811342894,1.0,-1.2246791869882951e-08,143505.20551973002,53.8345333630921,2.8325771950221684e-07,12.209504961967466,15.530151789838618,15.55517355962233,15.093509663235054
cifar10,0.001,resnet18,2,0.8477,-1.902236137614254,1.0,-2.903410850763066e-09,118974.16332409973,53.70853233251212,7.91489398466183e-08,12.20279365236109,15.531965981830249,15.556027596647091,15.082534074783325
