experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_further_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_nofreeze_toagg,train_d_H_Q_xCz_maxep_toagg,train_d_H_Q_xCz_minep_toagg,train_H_Q_xCzy_toagg,test_d_H_Q_xCz_test_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.946258451137062,-0.391135208035966,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.9479102642901044,-0.4114636168109157,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,4,128,2,0,0,best,0.9490626920712968,-0.40813368987126536,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,0,128,2,0,0,best,0.9484864781807006,-0.37526963517166334,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,1,128,2,0,0,best,0.9474108789182544,-0.42905396919130345,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,1,128,2,0,0,best,0.8482636754763369,-0.5550668801450993,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,0,128,2,0,0,best,0.8517593730792871,-0.5450323193712996,0.9484461027437776,-0.20074414013807265,9510.89342403628,,230.7080981727776,0.467023104429245,13.234928005425505,,16.059408705363907,,,,,,16.069327805393428,16.06004577459291
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,4,128,2,0,0,best,0.8571757836508912,-0.5251720591240471,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.8525660725261217,-0.5530469589805427,,,,,,,,,,,,,,,,
corrDropnewBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0.4,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.8539489858635525,-0.5359446907274301,,,,,,,,,,,,,,,,
