data,dropout,encoder,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,run_count
cifar10,0.9,mlp,0.4218625632199374,0.04848755801365582,0.40388552665710453,0.06284676411605025,2.900065461072055,0.04848755801365575,2.918042497634888,0.06284676411605045,0.1878,0.0013617345510980909,0.18622,0.0013367871932360802,-2.006371191650629,0.028583504151637563,-2.016363146016151,0.03317488675066328,5
cifar10,0.9,resnet18,3.1512922893870963,0.11017025539506113,-16.552104339599605,4.776401389705672,0.17063573602248322,0.11017025175064094,19.874032287597657,4.776401244718553,0.9651555555555555,0.033085728526039214,0.73694,0.04162286631168016,-0.11785357218955475,0.07581773446290045,-3.1976468442886636,0.34126706989808436,5
svhn,0.0,mlp,3.2166824109626546,0.0037457509411033835,-0.4958970069885254,0.09129763902393893,0.009762074731671335,0.0037457521875113886,3.7223414897918703,0.09129763902393898,0.9979493713124328,0.000786907463351095,0.831822372464659,0.002781521321047982,-0.006816186711547906,0.002653098409170801,-2.2563988237625274,0.04616494580630829,5
svhn,0.0,resnet18,3.218035671927712,0.0033995156707546555,2.6943531953371487,0.05731363597885378,0.008408815226037845,0.003399515796001869,0.5320912925096659,0.0573136450706944,0.9980858776599778,0.0008113764324237574,0.9438460356484327,0.0013517235002633028,-0.005910264977400458,0.0023660228431138124,-0.36715912196224715,0.038088371095774634,5
svhn,0.2,mlp,3.224529584248861,0.0002334477846243148,1.3618438427264874,0.05672959845343238,0.0019148990617726337,0.00023344863535350123,1.8646006400768573,0.05672959845343253,0.9999120292426932,1.2689933817723153e-05,0.8614628149969269,0.0014528006775699146,-0.001341934106175441,0.00017387251775421317,-0.9978036017750158,0.0215504594970079,5
svhn,0.2,resnet18,3.220398908672911,0.00186772849825984,2.57072160427387,0.04570412976968571,0.006045576113727734,0.0018677308635673528,0.6557228844899398,0.04570412774657448,0.9988472797318408,0.0004451823913314794,0.9456976029502151,0.0014744771912933278,-0.004265683211379263,0.0013092166062800847,-0.43067243644834274,0.02866313739374087,5
svhn,0.4,mlp,2.945272835818204,0.024226451199210148,2.4262959957122803,0.02562080006444764,0.2811716454498695,0.024226448994144285,0.8001484980949989,0.025620807290320995,0.9510488237703054,0.006172622858675575,0.8527427781192378,0.003246811743503035,-0.19472858191289327,0.016510053165188776,-0.5428525816696838,0.012431668303242483,5
svhn,0.4,resnet18,3.219193529360222,0.002866865280943788,2.5840811179234433,0.029174347734904776,0.007250951218884439,0.0028668520223599893,0.6423633685478797,0.029174341807664442,0.9986258361013787,0.0005048251901193973,0.9478257529194837,0.0010726455404676516,-0.005010825316189982,0.0020196822681347476,-0.4030112238162228,0.020533769039255433,5
svhn,0.6,mlp,2.1186609145366786,0.05466819345699631,1.8528113768650936,0.056639610014153276,1.107783561403101,0.054668196519321706,1.3736331041042622,0.056639611452995044,0.7540549968906887,0.013620163199559472,0.7107713583282114,0.014279758838370286,-0.768224891716258,0.03810633633968412,-0.9462758809401584,0.03700418923492291,5
svhn,0.6,resnet18,3.223220494299224,0.000834611322931445,2.3340304943231436,0.0422448207303036,0.0032239769828844482,0.0008346143652152718,0.8924139962746548,0.04224482504398215,0.9994539746098194,0.00013859691861561898,0.9481253841425937,0.002299824205212693,-0.002103318656418989,0.0005731681110056815,-0.5091474295258404,0.02632034223448922,5
svhn,0.8,mlp,0.5363463777484316,0.006422205552312563,0.5023863865778997,0.008154772775879886,2.6900981050549135,0.006422205552312691,2.7240580962254453,0.008154772775879986,0.30085088956636485,0.001078836306006432,0.3145897357098955,0.0016964582449333662,-1.8652734842279042,0.005059037857677911,-1.8883531062098444,0.005637645604364126,5
svhn,0.8,resnet18,3.224611116178108,0.0006111776751265971,-0.20408916473388666,0.5445871819687056,0.0018333602489678234,0.0006111781487341392,3.4305336475372314,0.5445871819687054,0.9997633889975883,5.098583766048148e-05,0.9479025814382298,0.0020214808237913823,-0.0012666711847482146,0.00039367544850466756,-0.9366530238670489,0.05892892729249729,5
svhn,0.9,mlp,0.0005717956658565637,0.000643260407179734,0.017763955776508036,2.8906930570235253e-05,3.225872687137488,0.000643260407179657,3.208680527026837,2.8906930570204184e-05,0.1892129650695424,0.0,0.1958743085433313,0.0,-2.236384991640403,9.779288482186118e-06,-2.2239602022646907,2.0658305493496817e-05,5
svhn,0.9,resnet18,3.20569199070786,0.011314605141902426,-24.07278021298922,3.728498938246152,0.02075249810392658,0.011314606131080488,27.299224464709944,3.728498939614346,0.9988472797318408,0.0005246463896021468,0.9303472649047327,0.002705738566338534,-0.014297632078241907,0.007560889020628863,-1.2955465064582627,0.11422297440877999,5
