data,dropout,encoder,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,run_count
cifar10,0.0,mlp,3.312369331446561,0.0032233961048367316,-5.399671878814698,0.47062796774175464,0.009558695897629314,0.0032234083185982594,8.72159990310669,0.470627967741756,0.9980844444444443,0.0006871663050995424,0.5457799999999999,0.004872576320592623,-0.0066246249136671116,0.0022312390580906476,-5.794680501402169,0.25959567830642927,5
cifar10,0.0,resnet18,3.311632427302274,0.0024314926050592383,1.7082899427413942,0.07540206802124494,0.01029559605204585,0.002431498951353736,1.613638081550598,0.07540206802124493,0.9978400000000001,0.00046118473307856926,0.83086,0.003079448002483509,-0.007136902864476598,0.001683258096330822,-1.1189265789321077,0.05217227349062935,5
cifar10,0.2,mlp,3.3188252817500725,0.00013841334730818519,-1.5548957443237303,0.08244556997372075,0.0031027400135909297,0.0001384246872392354,4.876823768615723,0.08244556997372003,0.9997955555555557,3.651483716698003e-05,0.57842,0.0016694310408040414,-0.0021510013705577937,9.606008140119945e-05,-3.0949393593908288,0.037181292003764,5
cifar10,0.2,resnet18,3.3097859837792134,0.00575298348464313,1.7256744480133057,0.1231881072374311,0.012142044495240869,0.005752977009329009,1.5962535715103148,0.12318811269514401,0.9974444444444446,0.0011048713684138995,0.83064,0.00429569551993622,-0.008413894669154275,0.0039869261941109,-1.1060049064513382,0.0847802927447985,5
cifar10,0.4,mlp,3.0278051614761354,0.01068001632171983,0.7713115501403808,0.03323487067042599,0.29412285468795085,0.010680019217079208,2.5506164741516115,0.0332348706704261,0.9408577777777778,0.004384276056911892,0.5705199999999999,0.002618587405453607,-0.20386473230279342,0.007404793256092963,-1.734467417644309,0.02301895885206045,5
cifar10,0.4,resnet18,3.314355620470914,0.0037963215749234965,1.5801429414749144,0.15324362382199685,0.007572406410789964,0.003796319870797148,1.7417850828170778,0.15324362382199683,0.9986133333333334,0.0007094772897643473,0.83742,0.006907025408958663,-0.005144158744186742,0.0024753748476103133,-1.202929152863048,0.10481306679085958,5
cifar10,0.6,mlp,1.5808125886050137,0.01751531717671068,1.1657051944732664,0.00959429617526052,1.7411154356869782,0.017515317176710815,2.156222829818726,0.009594296175260654,0.5447466666666666,0.006621580878712682,0.4567,0.003793415347678117,-1.2068466596590368,0.012144980560853011,-1.4942152190243718,0.006656431354231283,5
cifar10,0.6,resnet18,3.3191741639917547,0.000839950318450821,1.1296262788772584,0.03928179401028032,0.0027538589041796514,0.0008399611088451345,2.192301745414734,0.0392817940102805,0.9995244444444445,0.0001338877362790633,0.8404599999999999,0.0027978563222581347,-0.0019080538666280782,0.0005814983401185566,-1.4686264792684471,0.025804568144125857,5
cifar10,0.8,mlp,0.6319282748482444,0.007114832108907056,0.5703122329711914,0.003188923279001283,2.6899997494437478,0.007114832108906929,2.7516157913208006,0.0031889232790012815,0.23833777777777776,0.002365461351915824,0.23291999999999996,0.0034127701358280848,-1.864570192033251,0.004929255266388983,-1.9074296487122777,0.002175476630677212,5
cifar10,0.8,resnet18,3.3200409238988704,0.0012770920378539351,-5.30645975112915,1.8910277102081132,0.0018871030321778645,0.0012770860113415772,8.628387775421142,1.891027710208114,0.9998577777777777,0.00012629575323000727,0.82538,0.006008910050916063,-0.0013084919978734657,0.0008855197061717467,-3.2934798783153503,0.3463961335508547,5
