model,beta,minimax,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdibhigher,0.01,0,1,0.3815,-8.385858573825699,0.9998444444444444,-0.0033651506167299804
cdibhigher,0.01,0,2,0.3836,-8.32698367267642,0.9998,-0.003348994337701906
cdibhigher,0.01,0,0,0.3844,-8.310520005725818,0.9997555555555556,-0.0036787087498351273
cdibhigher,0.01,1,1,0.3904,-8.293183498501591,0.9992888888888888,-0.005116366293370209
cdibhigher,0.01,1,0,0.4119,-8.058823388233554,0.9995333333333334,-0.003776635111899864
cdibhigher,0.01,5,1,0.4586,-5.489603477611484,0.9977777777777778,-0.010850829899813676
cdibhigher,0.01,10,1,0.4636,-5.815381783259699,0.9976,-0.01131193326257245
cdibhigher,0.01,10,2,0.4517,-4.663830356084388,0.9730666666666666,-0.08255935694993806
cdibhigher,0.01,10,0,0.4811,-4.466250277540052,0.9852,-0.047370177847599684
cdibhigher,0.001,1,1,0.4385,-7.060109880817037,0.9990888888888888,-0.004863322048995569
cdibhigher,0.001,1,0,0.4328,-7.025143494444027,0.9991555555555556,-0.005198270705511502
cdibhigher,0.001,10,1,0.4116,-7.916305996881827,0.9995777777777778,-0.0043898740490507055
cdibhigher,0.001,5,1,0.4113,-7.851108866239956,0.9996,-0.0039882069597975715
cdibhigher,0.001,5,0,0.4074,-7.961162877247872,0.9994888888888888,-0.004451281932089622
cdibhigher,0.001,0,1,0.3979,-8.150563055555995,0.9998,-0.003569624400956175
cdibhigher,0.001,0,0,0.3936,-8.150514670344396,0.9997777777777778,-0.003906089148772237
cdibhigher,1.0,1,0,0.4219,-7.376895256779427,0.9992888888888888,-0.005342789480247429
cdibhigher,1.0,0,2,0.3892,-8.004913388101714,0.9998,-0.006088332993972967
cdibhigher,1.0,0,0,0.4045,-7.7062867835787054,0.9996222222222222,-0.00674152630580828
cdibhigher,1.0,10,2,0.4898,-1.6746649001430332,0.7596222222222222,-0.7053597083205089
cdibhigher,1.0,10,0,0.5125,-1.5537644209775958,0.8663555555555555,-0.4849087160877901
cdibhigher,1.0,5,0,0.4625,-2.533306028136956,0.9479777777777778,-0.1750559897112179
cdibhigher,0.1,10,0,0.4819,-2.087475898895617,0.8876222222222222,-0.3370232705331457
cdibhigher,0.1,1,0,0.4207,-7.484174384235213,0.9991555555555556,-0.005784646867109455
cdibhigher,0.1,0,0,0.3938,-8.165528685124855,0.9998666666666668,-0.003826250548815556
cdibhigher,100.0,1,1,0.406,-6.600990256034359,0.9985555555555556,-0.01436005471290871
cdibhigher,100.0,1,2,0.387,-7.50134946235219,0.9993333333333332,-0.006895393191947772
cdibhigher,100.0,1,0,0.4192,-5.4560600202426635,0.9856444444444444,-0.05282758152828409
cdibhigher,100.0,5,2,0.368,-1.804030569455028,0.3665777777777778,-1.7979621556229062
