model,beta,minimax,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
cdib,0.1,10,3,0.39786666666666665,0.0021361959960016284,-8.105534117650137,0.054533884238136245,0.999688888888889,0.00016024672335398875,-0.003967060158024171,0.0010053741878128279
cdib,1.0,0,3,0.40070000000000006,0.005574943945906567,-7.867849477897866,0.14394161043877945,0.9997259259259259,0.00011184939904102356,-0.006001820545444393,0.0007103231314110314
cdib,1.0,1,3,0.3900666666666666,0.0047173438854225406,-8.34515702229776,0.07738737768610263,0.9996518518518519,0.00021923923832520555,-0.003859830264896297,0.000890598230786798
cdib,1.0,5,3,0.4062333333333333,0.004833563212924125,-7.877292005383314,0.044929320773617325,0.9996,0.00011758894715845177,-0.004149179796428955,0.0006284221312768859
cdib,1.0,10,3,0.4058,0.0037802116342871735,-7.916492936413202,0.019661406149050563,0.9996222222222221,0.00017638342073764094,-0.003983805978888485,0.00040065390546325277
cdib,10.0,0,3,0.4418,0.0027784887978899438,-6.16101066357914,0.13747331274670133,0.9983185185185185,0.00024578755589690926,-0.012736671195230009,0.0013144801923425683
cdib,10.0,1,3,0.38186666666666663,0.012009301950293942,-8.48972633445152,0.23862378245482727,0.9995925925925926,0.00014286890016294263,-0.003918803755747369,0.0006541717675622011
cdib,10.0,5,3,0.40430000000000005,0.010905503197927189,-7.804989495026535,0.18728259891240667,0.9995851851851851,0.0002575605726032677,-0.0047213767831492635,0.000620727398482687
cdib,10.0,10,3,0.40376666666666666,0.0022590558499809986,-7.877128231195194,0.06938191084826772,0.9996074074074074,0.00014796284707737349,-0.0042448910115187284,0.0006583984826144628
cdib,100.0,0,3,0.4846,0.006646051459325306,-2.4087668105506963,0.17484871456899673,0.8553259259259259,0.017500410342043932,-0.4214604098415067,0.04887107856051462
cdib,100.0,1,3,0.3787666666666667,0.004660829682935563,-7.996976175330762,0.0644476809274501,0.9995111111111111,0.00018189672826387265,-0.005426274941656688,0.0005918443731732274
cdib,100.0,5,3,0.3967333333333333,0.005838949677239325,-7.623133360225677,0.1478222390197473,0.9994518518518518,0.00012636090451283565,-0.005579416847690848,0.0006215365191056371
cdib,100.0,10,3,0.3917333333333333,0.0015502687938977937,-7.692790278541833,0.13465184267225686,0.9995185185185186,8.413197549337904e-05,-0.005597818760174835,0.000383312094492878
cdib,1000.0,0,3,0.4469,0.001311487704860406,-1.5524789305576743,0.00944539532090907,0.4708962962962963,0.006809083741530692,-1.4900753404966558,0.01673549921499485
cdib,1000.0,1,3,0.3759666666666666,0.0029263173671584784,-7.5788380907826385,0.2409146099062085,0.9993925925925925,5.132002392803052e-05,-0.0083039229634014,0.0014936150119478993
cdib,1000.0,5,3,0.408,0.00020000000000001267,-6.25964298742992,0.152641761433005,0.9982814814814814,0.0005588053100012702,-0.017595522982320772,0.002726555254780679
cdib,1000.0,10,3,0.3967333333333333,0.005551876559626783,-7.211047319312347,0.3838182782098312,0.9994592592592593,0.00013394919496323383,-0.008498680977709873,0.0026318580624970305
cdibhigher,0.001,0,2,0.39575,0.0030405591591021333,-8.150538862950196,3.4213511230877556e-05,0.9997888888888888,1.571348402635291e-05,-0.003737856774864206,0.00023791650481095887
cdibhigher,0.001,1,2,0.43565,0.004030508652763289,-7.042626687630532,0.024724968917944477,0.9991222222222222,4.7140452079137234e-05,-0.005030796377253535,0.00023684446637174024
cdibhigher,0.001,5,2,0.40935,0.0027577164466275456,-7.906135871743914,0.07781993748047651,0.9995444444444443,7.856742013192156e-05,-0.004219744445943597,0.0003274434531054813
cdibhigher,0.001,10,1,0.4116,,-7.916305996881827,,0.9995777777777778,,-0.0043898740490507055,
cdibhigher,0.01,0,3,0.38316666666666666,0.0014977761292440748,-8.341120750742647,0.0396089345100707,0.9998,4.4444444444374787e-05,-0.0034642845680890044,0.00018587241222443152
cdibhigher,0.01,1,2,0.40115,0.015202795795510746,-8.176003443367573,0.16571762321015665,0.999411111111111,0.000172848324290196,-0.004446500702635036,0.0009473330033847458
cdibhigher,0.01,5,1,0.4586,,-5.489603477611484,,0.9977777777777778,,-0.010850829899813676,
cdibhigher,0.01,10,3,0.4654666666666667,0.01478862175232478,-4.981820805628046,0.7286133401414457,0.9852888888888889,0.012266908210182328,-0.04708048935337006,0.03562459522702698
cdibhigher,0.1,0,1,0.3938,,-8.165528685124855,,0.9998666666666668,,-0.003826250548815556,
cdibhigher,0.1,1,1,0.4207,,-7.484174384235213,,0.9991555555555556,,-0.005784646867109455,
cdibhigher,0.1,10,1,0.4819,,-2.087475898895617,,0.8876222222222222,,-0.3370232705331457,
cdibhigher,1.0,0,2,0.39685000000000004,0.010818733752154183,-7.85560008584021,0.21116089710093333,0.9997111111111111,0.00012570787221098027,-0.006414929649890624,0.0004618774202244487
cdibhigher,1.0,1,1,0.4219,,-7.376895256779427,,0.9992888888888888,,-0.005342789480247429,
cdibhigher,1.0,5,1,0.4625,,-2.533306028136956,,0.9479777777777778,,-0.1750559897112179,
cdibhigher,1.0,10,2,0.50115,0.016051323932934587,-1.6142146605603145,0.08548954866658365,0.8129888888888889,0.07547186377864418,-0.5951342122041495,0.15588239152705835
cdibhigher,10.0,0,2,0.4425,0.0035355339059327407,-6.095327030185648,0.10914112543162055,0.9983333333333333,0.0003456966485801565,-0.011978434726904234,7.861997664103965e-05
cdibhigher,10.0,1,3,0.4079,0.008772684879784548,-7.322318151664039,0.42593978262956667,0.9991037037037037,0.0003530000757762334,-0.006849236591241699,0.001697906315617565
cdibhigher,10.0,5,3,0.5214,0.007295889253545424,-1.408792381505102,0.03677870968956682,0.6715851851851852,0.061643372310364715,-0.9387214035213085,0.16787939171445795
cdibhigher,10.0,10,2,0.442,0.020788939366884484,-1.6183032029023394,0.07603646402963084,0.45706666666666673,0.020898933755069092,-1.5845184846151414,0.08956266412875727
cdibhigher,100.0,0,1,0.4859,,-2.377005962790007,,0.8537111111111111,,-0.4198312134620864,
cdibhigher,100.0,1,3,0.40406666666666674,0.016186825919040873,-6.519466579543071,1.0250789276307783,0.9945111111111111,0.007688599866115711,-0.024694343144380192,0.024648318794185567
cdibhigher,100.0,5,2,0.36855,0.0007778174593051951,-1.790735754131526,0.01880170813974212,0.36864444444444444,0.0029227080289043884,-1.7850914905352724,0.018201869123693374
cdibhigher,100.0,10,1,0.2398,,-2.1237497032761574,,0.2340888888888889,,-2.129011344856686,
cdibhigher,1000.0,0,1,0.4467,,-1.5583093100312166,,0.4696444444444444,,-1.48930816011374,
cdibhigher,1000.0,1,2,0.4138,0.008061017305526618,-6.152906820905429,0.17696319395411267,0.9945999999999999,0.0004085505846854504,-0.02565734799052269,0.000913421690926653
cdibhigher,1000.0,5,2,0.24180000000000001,0.01626345596729061,-2.102171838745475,0.009156291170916233,0.23465555555555556,0.015823478414552294,-2.1056671769440176,0.010388727221225453
cdibhigher,1000.0,10,2,0.2037,0.0036769552621700443,-2.159286482289433,0.00636817648681761,0.20202222222222221,0.0022313147317442033,-2.162146771239572,0.005185169698483454
