model,beta,minimax,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
cdib,0.001,0,3,0.3981333333333333,0.004654388610046776,-8.109837531824546,0.07049677759643871,0.9997629629629629,4.625924443250378e-05,-0.0036536622470893566,0.0002226393656845552
cdib,0.001,1,3,0.39103333333333334,0.004501481237696473,-8.370085338770187,0.09821179456156426,0.9996518518518519,0.00028138399871456814,-0.003917028711167448,0.0013257207145807694
cdib,0.001,5,3,0.39126666666666665,0.0014571661996262836,-8.315680569085716,0.07156869710794743,0.9996222222222221,0.00024037008503090615,-0.003858260614360884,0.001159948708700504
cdib,0.001,10,3,0.39146666666666663,0.002272296928953893,-8.337913672813013,0.05047583384867086,0.9996148148148148,0.0001223904566064121,-0.004053224437366371,0.0008779256996191895
cdib,0.01,0,3,0.3875,0.00801311425102625,-8.256349689070847,0.16347021665657754,0.9998222222222223,5.879447357922064e-05,-0.0032211707731520725,0.0005440105162381703
cdib,0.01,1,3,0.3815,0.01683775519479959,-8.513388773350824,0.30347972881253893,0.999688888888889,8.012336167698668e-05,-0.004060589763314289,0.0006943598451732127
cdib,0.01,5,3,0.3939333333333333,0.0022007574453658677,-8.238140572171213,0.058954504121689864,0.9995333333333334,0.0003006166501881947,-0.0038883186079708434,0.0008012270487574835
cdib,0.01,10,3,0.3931,0.005957348403442565,-8.253197170743997,0.11556294497436238,0.9995925925925926,0.00026042067898145914,-0.003928467656516486,0.00103863895322293
cdib,0.1,0,3,0.3915666666666667,0.006066575090883944,-8.221964238837407,0.06773654497133302,0.9998444444444444,5.879447357923112e-05,-0.003549358243907222,0.000280880439250573
cdib,0.1,1,3,0.39466666666666667,0.00557882902886741,-8.30705990599823,0.1056679695478471,0.9996518518518519,0.00016075951417935581,-0.0038966303019384355,0.0008712244358356963
cdib,0.1,5,3,0.4009333333333333,0.002302896726588787,-8.055595464719092,0.08722326593005986,0.9996074074074075,0.0002900262511178932,-0.0038109022434387207,0.0006657273856000018
