model,beta,minimax,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
cdib,0.001,0,0,3,0.9850598529497782,0.03534842364257301,1.7256059513727824,0.018075773955444727,0.4542,0.00438634243989225,0.5270814814814814,0.01716891151569443
cdib,0.001,0,1,3,0.1510301413699533,0.018722818117373887,1.7871665301005046,0.015395404914594464,0.49,0.0029461839725312554,0.9115925925925925,0.00926984579981049
cdib,0.001,0,2,3,-0.04019440873897437,0.013226896398408614,1.9304613346735637,0.018304137070159248,0.4963333333333333,0.0047258156262526075,0.9717111111111111,0.0056003968113379245
cdib,0.001,0,3,3,-0.12234829602024773,0.010245104328806836,2.0862429636001587,0.030125289494984896,0.49913333333333326,0.005913825608972046,0.987125925925926,0.003348877337835571
cdib,0.001,0,4,3,-0.17171548083876118,0.008562807654076104,2.2423280351003014,0.03489091366301189,0.5017999999999999,0.007922120928135304,0.9931777777777778,0.0021668660876886987
cdib,0.001,0,5,3,-0.20760483631040114,0.007646870660847913,2.393323050308228,0.04228862627226253,0.5036,0.005702630971753271,0.9957777777777778,0.0015116012277069104
cdib,0.001,0,6,3,-0.23680318254665897,0.007271147554114191,2.5524807034810384,0.04902537925822686,0.503,0.005702630971753339,0.9972444444444445,0.001000987167071512
cdib,0.001,0,7,3,-0.2625986768834519,0.006979201749429724,2.7086716963450113,0.06611170174557715,0.5032666666666666,0.0062364519827650235,0.9979333333333334,0.0005991763894538782
cdib,0.001,0,8,3,-0.287489040648576,0.007923324856500371,2.8680955732981364,0.08308485468865012,0.5008666666666667,0.008403174003513971,0.9984370370370371,0.0004940801820934494
cdib,0.001,0,9,3,-0.3107979611859177,0.008325064749557978,3.023275432713826,0.09547083111833449,0.4998,0.005902541825349492,0.9987925925925927,0.00036537370237443975
cdib,0.001,0,10,3,-0.3337066231640902,0.009231944145491063,3.1997899201711015,0.12073463687832772,0.49866666666666665,0.007114304838375553,0.9987777777777778,0.00038936478817631676
cdib,0.001,0,11,3,-0.3565937950625564,0.00997663305092889,3.343941044743856,0.12579115929101295,0.4968000000000001,0.007989993742175301,0.9987925925925927,0.00035300007577608486
cdib,0.001,0,12,3,-0.37835480631192525,0.010989922824984207,3.505400749588013,0.13128672968958083,0.4956,0.006023288138550233,0.9986222222222222,0.0003576328208762419
cdib,0.001,0,13,3,-0.3993512271129724,0.011550541143709785,3.6533510209401445,0.13649217179502718,0.49173333333333336,0.00617197969320491,0.9984444444444444,0.000367171369819117
cdib,0.001,0,14,3,-0.4200441116809845,0.01197501685919605,3.7957072217305505,0.13290150907968304,0.4909333333333333,0.006963715483370449,0.9984148148148148,0.0002556360581738953
cdib,0.001,0,15,3,-0.4405123179854769,0.012260732714376084,3.9178743226369224,0.14101216250713672,0.48899999999999993,0.007408103670980845,0.998311111111111,0.0004656072631056919
cdib,0.001,0,16,3,-0.45979446313308947,0.011868861723057109,4.044089154307048,0.1350317773882495,0.4878,0.005922837157984349,0.9982074074074073,0.00031137554899233257
cdib,0.001,0,17,3,-0.47785682563348253,0.012476178076787359,4.156213804244995,0.14115779613072146,0.4866,0.005963220606350229,0.9980592592592593,0.0002778518419779156
cdib,0.001,0,18,3,-0.4958555773995139,0.012333175628343808,4.261902593231201,0.13486952317992817,0.4849333333333334,0.005412331598611939,0.9980074074074073,0.0002052800957118817
cdib,0.001,0,19,3,-0.5120913453607848,0.011401732411361443,4.352035331726075,0.14916822788350645,0.48313333333333336,0.006438426308760028,0.9980592592592593,0.00033652790197335726
cdib,0.001,0,20,3,-0.5288965395436142,0.011708159342029161,4.445664106750488,0.14187897835952332,0.48293333333333327,0.007305705532892314,0.9979111111111111,0.000278443646358748
cdib,0.001,0,21,3,-0.5430733945413069,0.012218498441184954,4.546156520080566,0.143353660396906,0.4812666666666667,0.0058045958802774005,0.9976888888888888,0.0002320068113091372
cdib,0.001,0,22,3,-0.5586909756530415,0.012459099679429904,4.614214598083496,0.1622293678212515,0.48046666666666665,0.007100234737903618,0.9977925925925927,0.00023761503603474257
cdib,0.001,0,23,3,-0.5732076820676978,0.013404689548773682,4.695027532958984,0.13542283512797323,0.47973333333333334,0.005601190349678652,0.9977851851851852,0.0001357800205912803
cdib,0.001,0,24,3,-0.5857071251739155,0.01333933656655736,4.7875744913736975,0.15200979226907355,0.47806666666666664,0.005300314456080262,0.9975999999999999,0.00024444444444440827
cdib,0.001,0,25,3,-0.598221397337769,0.01267772948341291,4.80932426401774,0.13873852917977797,0.4782,0.0067999999999999935,0.9975925925925925,0.0003192068359469484
cdib,0.001,0,26,3,-0.6107676066514217,0.012709168836104913,4.878764183807372,0.14071337144609342,0.4775333333333333,0.005205125678918158,0.9978074074074074,0.0002632497132431664
cdib,0.001,0,27,3,-0.6216927182891152,0.012034673800403232,4.929197238413494,0.1411405805403366,0.47573333333333334,0.006543189843901323,0.9977333333333332,0.00015555555555557543
cdib,0.001,0,28,3,-0.6325964733672864,0.012512496251096709,4.990215248870849,0.15435398853252572,0.4764,0.007400000000000003,0.9977999999999999,0.00013877773329774244
cdib,0.001,0,29,3,-0.6432721803462866,0.01321758525969409,5.052410477956136,0.14855069664241707,0.47433333333333333,0.0055075705472861,0.9976592592592594,0.0002934118862272316
cdib,0.001,0,30,3,-0.6537910847779477,0.01318713681218389,5.092695418548584,0.15806450303841213,0.4736,0.006102458520956959,0.9976444444444444,6.666666666665932e-05
cdib,0.001,0,31,3,-0.6635682583779999,0.014180008453552878,5.147566517639159,0.1624243409853262,0.474,0.006755738301621831,0.9976444444444444,0.00017356110390904727
cdib,0.001,0,32,3,-0.6723891210064744,0.01298786629952342,5.175628616841634,0.14891030912629455,0.4734,0.006954135460285483,0.9974666666666666,0.00026666666666666505
cdib,0.001,0,33,3,-0.681754835807916,0.013783228019613441,5.227876115926107,0.14500153587090706,0.47313333333333335,0.006204299584428015,0.9976814814814815,0.00017962008374790652
cdib,0.001,0,34,3,-0.690339705733097,0.013577841227268855,5.256844864654541,0.1423767683678001,0.47213333333333335,0.006771508940652225,0.9978444444444444,0.00013517250067329864
cdib,0.001,0,35,3,-0.6982727673964066,0.014863824956791744,5.291839084116618,0.14301734700489543,0.47206666666666663,0.00748954827298236,0.9978370370370371,0.0001512635396789517
cdib,0.001,0,36,3,-0.7059690689578201,0.013599918994955428,5.316762462361653,0.16038883178356259,0.4719333333333333,0.008403174003514015,0.9977777777777778,0.00020367003088694316
cdib,0.001,0,37,3,-0.713930266195355,0.01339118672611046,5.350947469584146,0.14489516682856798,0.4712,0.006808817812219694,0.9978370370370371,0.00010264004785597291
cdib,0.001,0,38,3,-0.7208646013115391,0.015066472961082194,5.388502737935384,0.16482855201693114,0.47026666666666667,0.007700216447174267,0.9978814814814815,0.0002594708131575346
cdib,0.001,0,39,3,-0.7279797585718559,0.01328626044111059,5.414646569569906,0.1446939918775843,0.4704,0.008301807032206898,0.9977925925925927,0.0003401766667616472
cdib,0.001,0,40,3,-0.7348729327042899,0.012905040910175644,5.442840083312988,0.14919126461028856,0.4702,0.00743236167042483,0.9976074074074074,2.5660011963959173e-05
cdib,0.001,0,41,3,-0.7420789640773426,0.014383533285241553,5.476301024881998,0.15558222066326527,0.47013333333333335,0.007770027884977835,0.9977333333333332,0.0003227964232518679
