model,beta,minimax,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cdibhigher,0.01,0,1,0,0.9741352103840221,1.7827244144439698,0.4372,0.5302666666666667
cdibhigher,0.01,0,1,1,0.14313415078791705,1.858684010696411,0.47,0.9142444444444444
cdibhigher,0.01,0,1,2,-0.04646047686500983,2.0273536407470703,0.479,0.9715777777777778
cdibhigher,0.01,0,1,3,-0.128417838083614,2.1981675510406493,0.482,0.9868444444444444
cdibhigher,0.01,0,1,4,-0.178225536255403,2.352886636734009,0.4826,0.9931777777777778
cdibhigher,0.01,0,1,5,-0.21490767718228426,2.5211623512268067,0.4828,0.9962666666666666
cdibhigher,0.01,0,1,6,-0.24449554455497047,2.6829842670440676,0.4818,0.9971777777777778
cdibhigher,0.01,0,1,7,-0.2710058366168629,2.8506962776184084,0.481,0.9981555555555556
cdibhigher,0.01,0,1,8,-0.2964592643759467,3.0095299098968504,0.4778,0.9986222222222222
cdibhigher,0.01,0,1,9,-0.3195263325474479,3.170357606124878,0.4776,0.9988444444444444
cdibhigher,0.01,0,1,10,-0.34307071297818964,3.3421260898590086,0.4774,0.9988444444444444
cdibhigher,0.01,0,1,11,-0.36708530543934215,3.487985894393921,0.475,0.9987555555555555
cdibhigher,0.01,0,1,12,-0.38901029687794775,3.6573778270721435,0.4736,0.9986888888888888
cdibhigher,0.01,0,1,13,-0.4101085010918704,3.8205374057769776,0.4736,0.9987111111111111
cdibhigher,0.01,0,1,14,-0.43033015259395946,3.9294222236633303,0.4696,0.9987777777777778
cdibhigher,0.01,0,1,15,-0.4519024809707295,4.085124157714843,0.4668,0.9984222222222222
cdibhigher,0.01,0,1,16,-0.471904101302407,4.181731149291992,0.4664,0.9984
cdibhigher,0.01,0,1,17,-0.49055532080043446,4.289115644073486,0.4642,0.9986222222222222
cdibhigher,0.01,0,1,18,-0.5079679428967563,4.386350611877441,0.463,0.9984444444444445
cdibhigher,0.01,0,1,19,-0.5247865118460222,4.502644732666016,0.4628,0.9981333333333333
cdibhigher,0.01,0,1,20,-0.5414007673783736,4.597571852874756,0.4624,0.9982666666666666
cdibhigher,0.01,0,1,21,-0.5570582525600086,4.684686350250244,0.4614,0.9980666666666667
cdibhigher,0.01,0,1,22,-0.5717176081570712,4.74481989364624,0.4612,0.9981333333333333
