model,enc_zx_nhid,beta,run,gamma,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdibS,2,0.01,0,-0.55,0.4067,-7.892277843312532,0.9994,-0.004655075058867243
cdibS,2,0.01,0,-0.15000000000000002,0.4076,-2.0597408540722544,0.8398,-0.5933872099658555
cdibS,2,0.01,1,-0.55,0.4053,-7.843629252258053,0.9995555555555556,-0.004601983083483765
cdibS,2,0.01,1,-0.15000000000000002,0.3974,-2.080079609558472,0.8374,-0.597720526583322
cdibS,2,0.01,4,-0.55,0.414,-7.762935989369982,0.9996666666666668,-0.003567571640836042
cdibS,2,0.01,4,-0.15000000000000002,0.3993,-2.0263230400468477,0.8278,-0.6267713412856696
cdibS,2,0.01,3,-0.55,0.4091,-7.811374414185918,0.9995333333333334,-0.005201641679149272
cdibS,2,0.01,3,-0.15000000000000002,0.3908,-2.0734051921781282,0.8346,-0.6279481390156095
cdibS,2,0.01,2,-0.55,0.4113,-7.781003359839978,0.9997555555555556,-0.003443498131840735
cdibS,2,0.01,2,-0.15000000000000002,0.3995,-2.062982441240181,0.8382,-0.6013567252730514
cdibS,2,0.1,3,-0.55,0.4244,-7.337116513382185,0.9994222222222222,-0.005577783083349536
cdibS,2,0.1,3,-0.15000000000000002,0.4067,-1.9640839148881168,0.8118,-0.6600586682210764
cdibS,2,0.1,2,-0.55,0.4203,-7.446188301237832,0.9995777777777778,-0.005093630312628414
cdibS,2,0.1,2,-0.15000000000000002,0.4081,-2.064637696355845,0.8220000000000001,-0.6281856813332072
cdibS,2,0.1,4,-0.55,0.4183,-7.465826837454835,0.9995777777777778,-0.0049346416823009215
cdibS,2,0.1,4,-0.15000000000000002,0.395,-2.0019811163401573,0.8158,-0.647892392526802
cdibS,2,0.1,0,-0.55,0.429,-7.344311852670153,0.9995555555555556,-0.00503138638686715
cdibS,2,0.1,0,-0.15000000000000002,0.4099,-2.0101563450198383,0.8146,-0.6455565959719519
cdibS,2,0.1,1,-0.55,0.4166,-7.534654102325707,0.9993555555555556,-0.00557672034696883
cdibS,2,0.1,1,-0.15000000000000002,0.4117,-2.0003721869438302,0.8338,-0.615346486687311
cdibS,2,0.001,3,-0.15000000000000002,0.3903,-2.0449715630566767,0.8346,-0.6189120927230204
cdibS,2,0.001,2,-0.15000000000000002,0.4065,-2.110489341583869,0.841,-0.5852645033123742
cdibS,2,0.001,0,-0.15000000000000002,0.4069,-2.061632002528469,0.8394,-0.6023831418047629
cdibS,2,0.001,1,-0.15000000000000002,0.4057,-2.06491103648248,0.8436,-0.5774079403889227
cdibS,2,0.001,4,-0.15000000000000002,0.3945,-2.065496605129568,0.8292,-0.6277268376816711
cdibS,2,1000.0,2,-0.55,0.4048,-1.64639895780012,0.41517777777777776,-1.6269135879668095
cdibS,2,1000.0,2,-0.15000000000000002,0.3345,-1.983909914582968,0.3488,-1.9673553420841692
cdibS,2,1000.0,3,-0.55,0.3974,-1.6849578575529158,0.3995111111111111,-1.6707493763719996
cdibS,2,1000.0,3,-0.15000000000000002,0.2984,-2.01308446790576,0.3084,-2.000787756514549
cdibS,2,1000.0,4,-0.55,0.3969,-1.6793325729720294,0.4030222222222222,-1.6627641121933858
cdibS,2,1000.0,4,-0.15000000000000002,0.3194,-2.0269492041528223,0.3162,-2.021853490781784
cdibS,2,1000.0,1,-0.55,0.4112,-1.642231679446995,0.4152666666666667,-1.628556497703741
cdibS,2,1000.0,1,-0.15000000000000002,0.3344,-1.956209248209,0.3414,-1.942229111158848
cdibS,2,1000.0,0,-0.55,0.3973,-1.67176954995133,0.408,-1.6523731381732556
cdibS,2,1000.0,0,-0.15000000000000002,0.3111,-2.0063203312188387,0.327,-1.9837807498157023
cdibS,2,0.0,4,-0.55,0.4022,-8.249547730079055,0.9997555555555556,-0.003209889105348079
cdibS,2,0.0,4,-0.15000000000000002,0.3958,-2.063943178566288,0.8316,-0.6134599355232496
cdibS,2,0.0,0,-0.55,0.3928,-8.423447363638129,0.9997333333333334,-0.003729034665311904
cdibS,2,0.0,0,-0.15000000000000002,0.4132,-2.050542232400585,0.8278,-0.6004117469967674
cdibS,2,0.0,1,-0.55,0.3822,-8.42891741062219,0.9992888888888888,-0.005037828217206177
cdibS,2,0.0,1,-0.15000000000000002,0.4027,-2.062864159864835,0.8334,-0.5910630448497762
cdibS,2,0.0,3,-0.55,0.3887,-8.547005444265961,0.9997777777777778,-0.0036190149244076436
cdibS,2,0.0,3,-0.15000000000000002,0.4015,-2.0761603242961852,0.835,-0.6131683165735907
cdibS,2,0.0,2,-0.55,0.3857,-8.397576387418821,0.9995333333333334,-0.0033329679163239113
cdibS,2,0.0,2,-0.15000000000000002,0.4123,-2.0857038970842936,0.845,-0.5780985048921251
cdibS,2,0.0001,4,-0.15000000000000002,0.3969,-2.0467353965553907,0.8348,-0.610934000791313
cdibS,2,0.0001,0,-0.15000000000000002,0.4035,-2.067998040994856,0.8366,-0.5986300273440649
cdibS,2,0.0001,1,-0.15000000000000002,0.4018,-2.0748507181873346,0.8502,-0.5813481290861424
cdibS,2,0.0001,3,-0.15000000000000002,0.3844,-2.090956360712393,0.836,-0.606046590181405
cdibS,2,0.0001,2,-0.15000000000000002,0.409,-2.067434389247254,0.8376,-0.5918345747553067
cdibS,2,100.0,3,-0.55,0.5014,-1.5784752236243844,0.6996444444444444,-0.8488653589151832
cdibS,2,100.0,3,-0.15000000000000002,0.4539,-1.558160015171021,0.5024,-1.4939750896692277
cdibS,2,100.0,2,-0.55,0.498,-1.5662663814422548,0.6783111111111111,-0.9109003646520808
cdibS,2,100.0,2,-0.15000000000000002,0.4557,-1.549741856869217,0.4984,-1.4743494282696397
cdibS,2,100.0,4,-0.55,0.4882,-1.4855117981944448,0.6254888888888889,-1.056007996804364
cdibS,2,100.0,4,-0.15000000000000002,0.4439,-1.570840810017474,0.4912,-1.493607039614767
cdibS,2,100.0,0,-0.55,0.4939,-1.6139872823556891,0.7068222222222222,-0.8308461702011438
cdibS,2,100.0,0,-0.15000000000000002,0.4529,-1.5448902184300124,0.5154,-1.4366870010618118
cdibS,2,100.0,1,-0.55,0.5042,-1.4719281901644978,0.6395111111111111,-1.0231408689214183
cdibS,2,100.0,1,-0.15000000000000002,0.4529,-1.5643884991955013,0.4898,-1.5026526008421557
cdibS,2,1.0,4,-0.55,0.436,-6.371265215646008,0.9985777777777778,-0.00868877770766733
cdibS,2,1.0,4,-0.15000000000000002,0.4195,-1.7398910450622898,0.7286,-0.8522828338479798
cdibS,2,1.0,0,-0.55,0.436,-6.4910705350440345,0.9982888888888888,-0.009015236767089142
cdibS,2,1.0,0,-0.15000000000000002,0.4348,-1.7526599246682593,0.7394,-0.8221165187263119
cdibS,2,1.0,1,-0.55,0.4314,-6.604830065123438,0.9988222222222222,-0.008424352932145714
cdibS,2,1.0,1,-0.15000000000000002,0.4207,-1.7799877739832075,0.7464,-0.8178156621798378
cdibS,2,1.0,3,-0.55,0.43200000000000005,-6.41693684914759,0.9982888888888888,-0.009463288228765413
cdibS,2,1.0,3,-0.15000000000000002,0.436,-1.718220059924835,0.741,-0.8467297952324414
cdibS,2,1.0,2,-0.55,0.4295,-6.509198436128025,0.9988222222222222,-0.00882174682055927
cdibS,2,1.0,2,-0.15000000000000002,0.4138,-1.8617230619137344,0.755,-0.7893654097059627
cdibS,2,10.0,1,-0.55,0.474,-4.723434700251038,0.9966,-0.015247464160537197
cdibS,2,10.0,1,-0.15000000000000002,0.4734,-1.4713848519226072,0.5824,-1.221093858566531
cdibS,2,10.0,0,-0.55,0.4619,-4.771802249258903,0.9962,-0.01804902741178809
cdibS,2,10.0,0,-0.15000000000000002,0.45799999999999996,-1.5367076724146729,0.6192,-1.1383497223482002
