model,enc_zx_nhid,beta,run,gamma,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdibS,2,10.0,4,-0.55,0.4714,-4.607924975982956,0.9962,-0.018282758151058492
cdibS,2,10.0,4,-0.15000000000000002,0.4648,-1.5170441944336983,0.5918,-1.1990626533563482
cdibS,2,10.0,2,-0.55,0.4668,-4.565579588587728,0.9970888888888888,-0.016159444295500446
cdibS,2,10.0,2,-0.15000000000000002,0.4732,-1.486078575329692,0.5842,-1.2123173816723982
cdibS,2,10.0,3,-0.55,0.4654,-4.7776202068542215,0.9964,-0.016577659002013398
cdibS,2,10.0,3,-0.15000000000000002,0.4733,-1.489843764024554,0.5786,-1.2346466201951494
vib,128,1.0,1,-0.55,0.4624,-3.476418167321568,1.0,-0.0119093299715843
vib,128,1.0,1,-0.15000000000000002,0.5041,-1.5047037321243435,0.5046,-1.4904512326175348
vib,128,1.0,0,-0.55,0.4673,-3.337455767275332,1.0,-0.009799740459440513
vib,128,1.0,0,-0.15000000000000002,0.5028,-1.5059993350585923,0.5102,-1.4839657157311217
vib,128,1.0,4,-0.55,0.4584,-3.4410491503158487,1.0,-0.009205617669909944
vib,128,1.0,4,-0.15000000000000002,0.4945,-1.5223072428127284,0.5038,-1.4997414605014026
vib,128,1.0,2,-0.55,0.4685,-3.3839929829897577,1.0,-0.008857944883646041
vib,128,1.0,2,-0.15000000000000002,0.4915,-1.5160152597699317,0.5128,-1.4877447494091467
vib,128,1.0,3,-0.55,0.4638,-3.3691374000422347,1.0,-0.010720155842094231
vib,128,1.0,3,-0.15000000000000002,0.5025,-1.521721157593653,0.519,-1.4961322946753353
vib,128,10.0,4,-0.55,0.4441,-2.92501739571471,1.0,-0.0167752663687657
vib,128,10.0,4,-0.15000000000000002,0.4379,-1.7396780128136278,0.4478,-1.7307191140189766
vib,128,10.0,1,-0.55,0.4551,-2.7856529417495453,1.0,-0.016279151123421615
vib,128,10.0,1,-0.15000000000000002,0.4519,-1.7123047054305671,0.4528,-1.7061990580618382
vib,128,10.0,0,-0.55,0.4562,-2.7887134565185,1.0,-0.016493716607724303
vib,128,10.0,0,-0.15000000000000002,0.4486,-1.7278866064913572,0.4582,-1.7167557473994792
vib,128,10.0,2,-0.55,0.4498,-2.9176527713584934,1.0,-0.017025905405442052
vib,128,10.0,2,-0.15000000000000002,0.4467,-1.7216951030753551,0.4584,-1.715278611958772
vib,128,10.0,3,-0.55,0.4506,-2.863140393250123,1.0,-0.0167534197583601
vib,128,10.0,3,-0.15000000000000002,0.4532,-1.7398795748278502,0.4534,-1.7330804212540387
vib,128,0.0,4,-0.55,0.3855,-8.481830056808608,0.9997111111111112,-0.003569770691534819
vib,128,0.0,4,-0.15000000000000002,0.3942,-2.0806476376385734,0.8376,-0.6103465220326559
vib,128,0.0,1,-0.55,0.3646,-8.79591582588197,0.9995777777777778,-0.004531495917665379
vib,128,0.0,1,-0.15000000000000002,0.3939,-2.115931009073784,0.848,-0.5881105142141594
vib,128,0.0,0,-0.55,0.3822,-8.498620180154708,0.9995777777777778,-0.0046896284051808
vib,128,0.0,0,-0.15000000000000002,0.4006,-2.110812784750185,0.8354,-0.6093567914990486
vib,128,0.0,2,-0.55,0.3749,-8.657938700476087,0.9997555555555556,-0.0032900553929616386
vib,128,0.0,2,-0.15000000000000002,0.3925,-2.1394206854276248,0.8488,-0.5891402794343263
vib,128,0.0,3,-0.55,0.381,-8.545165267720924,0.9995111111111112,-0.0045163031168924525
vib,128,0.0,3,-0.15000000000000002,0.3923,-2.1025188829668506,0.8512,-0.5914802604646171
vib,128,0.0001,4,-0.15000000000000002,0.4284,-1.776571195451495,0.7654,-0.7848088120599579
vib,128,0.0001,0,-0.15000000000000002,0.4315,-1.813205211323002,0.7744,-0.7667808169878954
vib,128,0.0001,1,-0.15000000000000002,0.4294,-1.7683019983006951,0.7812,-0.7501393011519656
vib,128,0.0001,3,-0.15000000000000002,0.4285,-1.7605492317136682,0.7754,-0.7762757755503545
vib,128,0.0001,2,-0.15000000000000002,0.4204,-1.8307069485201308,0.772,-0.7608117580267786
vib,128,100.0,1,-0.55,0.3866,-1.7546795835040234,0.7694444444444445,-0.8560463551472666
vib,128,100.0,1,-0.15000000000000002,0.3323,-1.932306413525343,0.342,-1.9315999868631364
vib,128,100.0,0,-0.55,0.3816,-1.8146332546164865,0.7741555555555556,-0.8182029337375942
vib,128,100.0,0,-0.15000000000000002,0.3381,-1.9519989153206347,0.3344,-1.9476529115855692
vib,128,100.0,4,-0.55,0.3844,-1.8296700096162732,0.7821111111111111,-0.7993439006853331
vib,128,100.0,4,-0.15000000000000002,0.3385,-1.9560719534546136,0.3258,-1.949967681312561
vib,128,100.0,2,-0.55,0.3582,-1.8751863153568,0.8036,-0.8128347143365587
vib,128,100.0,2,-0.15000000000000002,0.311,-1.9554852890610692,0.3198,-1.9535548452079297
vib,128,100.0,3,-0.55,0.3877,-1.8057225734871347,0.7891777777777778,-0.7694901767981549
vib,128,100.0,3,-0.15000000000000002,0.3303,-1.9712386297762396,0.3336,-1.9763750429391864
vib,128,1000.0,3,-0.55,0.1037,-2.3078196898221965,0.09753333333333332,-2.3084733720355564
vib,128,1000.0,3,-0.15000000000000002,0.1062,-2.3222759794712067,0.1046,-2.3249105130910874
vib,128,1000.0,2,-0.55,0.0976,-2.3114814857959747,0.0971111111111111,-2.307600107248624
vib,128,1000.0,2,-0.15000000000000002,0.0951,-2.33068816498518,0.10099999999999999,-2.3266330855131154
vib,128,1000.0,0,-0.55,0.0988,-2.3107936988115307,0.09902222222222222,-2.3073253248347183
vib,128,1000.0,0,-0.15000000000000002,0.1035,-2.3260179181694984,0.0994,-2.326494120812416
vib,128,1000.0,1,-0.55,0.1014,-2.3071569134354597,0.09633333333333334,-2.3081036685281333
vib,128,1000.0,1,-0.15000000000000002,0.1062,-2.31966507781744,0.1034,-2.3240498818397524
vib,128,1000.0,4,-0.55,0.094,-2.3116326807379717,0.09986666666666667,-2.3066991220023896
vib,128,1000.0,4,-0.15000000000000002,0.0967,-2.3284309524416917,0.0954,-2.322073875451088
vib,128,0.1,1,-0.55,0.4673,-4.16309041205936,0.9998444444444444,-0.008677765248841736
vib,128,0.1,1,-0.15000000000000002,0.5199,-1.3932881536071071,0.5662,-1.2982982987591531
vib,128,0.1,0,-0.55,0.4723,-4.1472905310041135,0.9999111111111112,-0.008205832186251262
vib,128,0.1,0,-0.15000000000000002,0.5153,-1.3957906021032191,0.5579999999999999,-1.2962090413937346
vib,128,0.1,4,-0.55,0.4664,-4.147881289176787,0.9998666666666668,-0.007830509873892309
vib,128,0.1,4,-0.15000000000000002,0.5054,-1.4103916817928663,0.5538,-1.322729187050875
vib,128,0.1,2,-0.55,0.4708,-4.050047391045556,0.9999111111111112,-0.007771014993301839
vib,128,0.1,2,-0.15000000000000002,0.5126,-1.4012626891442108,0.568,-1.2954073616362642
vib,128,0.1,3,-0.55,0.4573,-4.119762799610819,0.9998888888888888,-0.009372065077593968
vib,128,0.1,3,-0.15000000000000002,0.5219,-1.3966564832759556,0.562,-1.2916103017042389
vib,128,0.001,2,-0.15000000000000002,0.4439,-1.6570347708077724,0.7266,-0.8755888361805905
vib,128,0.001,3,-0.15000000000000002,0.4568,-1.6374263482955251,0.7214,-0.8799206856457007
vib,128,0.001,1,-0.15000000000000002,0.4547,-1.6097305296388875,0.725,-0.8797300406567389
vib,128,0.001,0,-0.15000000000000002,0.4553,-1.6431160778502412,0.7162,-0.8825095408122754
vib,128,0.001,4,-0.15000000000000002,0.4525,-1.6123858670718576,0.7128,-0.9129841895261838
vib,128,0.01,2,-0.55,0.4552,-5.0286302927963415,0.9996444444444444,-0.007472365289140809
vib,128,0.01,2,-0.15000000000000002,0.4983,-1.4446293315481744,0.6318,-1.0973962133441062
vib,128,0.01,3,-0.55,0.4469,-5.021607290859938,0.9992666666666666,-0.008458938909091641
vib,128,0.01,3,-0.15000000000000002,0.4965,-1.4352719937828948,0.6338,-1.100113299136941
vib,128,0.01,4,-0.55,0.4538,-5.04488400139208,0.9996888888888888,-0.00687819310276234
vib,128,0.01,4,-0.15000000000000002,0.4934,-1.4417295390432787,0.6146,-1.1314431297819567
vib,128,0.01,1,-0.55,0.4559,-5.031667088666111,0.9993777777777778,-0.007693898569892326
vib,128,0.01,1,-0.15000000000000002,0.4971,-1.4183168008940237,0.626,-1.097362586132251
vib,128,0.01,0,-0.55,0.4613,-4.999519855752915,0.9994,-0.007526817520871873
vib,128,0.01,0,-0.15000000000000002,0.5019,-1.4265666803298285,0.6296,-1.103121181240544
cdibL,8192,0.01,3,-0.55,0.3116,-1.9232904561281203,0.3190444444444445,-1.9166077859332165
cdibL,8192,0.01,3,-0.15000000000000002,0.2371,-2.1244983350694184,0.2328,-2.113970849382877
cdibL,8192,0.01,2,-0.55,0.4762,-3.215009988003115,0.9013555555555556,-0.2849547609178333
cdibL,8192,0.01,2,-0.15000000000000002,0.4414,-1.5733831328423344,0.602,-1.1844170561346574
cdibL,8192,0.01,0,-0.55,0.4669,-1.5306150201004958,0.5920888888888889,-1.1723839403747438
cdibL,8192,0.01,0,-0.15000000000000002,0.3884,-1.7408474544901398,0.4784,-1.5301155999625102
cdibL,8192,0.01,1,-0.55,0.4785,-1.5431743836185574,0.6350888888888889,-1.0455631575772124
cdibL,8192,0.01,1,-0.15000000000000002,0.3992,-1.69815119709149,0.489,-1.5095190928772089
cdibL,8192,0.01,4,-0.55,0.48700000000000004,-1.5182986276511266,0.6419333333333334,-1.0273960414524046
cdibL,8192,0.01,4,-0.15000000000000002,0.4041,-1.662482851722464,0.4946,-1.468612360203266
cdibL,8192,0.001,4,-0.15000000000000002,0.3924,-1.9898879129055385,0.8028,-0.6821076377806162
cdibL,8192,0.001,1,-0.15000000000000002,0.4054,-2.004405464481269,0.82,-0.63935640464493
cdibL,8192,0.001,0,-0.15000000000000002,0.4039,-1.9878529353405288,0.8126,-0.6626981026347551
cdibL,8192,0.001,2,-0.15000000000000002,0.4089,-1.9853349079959928,0.8104,-0.6653805302252053
cdibL,8192,0.001,3,-0.15000000000000002,0.4068,-1.9562060613032437,0.809,-0.6755303900003011
cdibL,8192,0.1,4,-0.55,0.299,-1.983073369315267,0.2952444444444444,-1.9824489033692412
cdibL,8192,0.1,4,-0.15000000000000002,0.2273,-2.1359110893398525,0.2284,-2.1403932762026785
cdibL,8192,0.1,1,-0.55,0.3147,-1.9172712616413832,0.311,-1.9180395750549104
cdibL,8192,0.1,1,-0.15000000000000002,0.2554,-2.0678929076075554,0.2572,-2.049290455442667
cdibL,8192,0.1,0,-0.55,0.2682,-2.0304803457438947,0.26597777777777776,-2.0305623134149444
cdibL,8192,0.1,0,-0.15000000000000002,0.2337,-2.1152924273729323,0.2482,-2.087313027286529
cdibL,8192,0.1,2,-0.55,0.3061,-1.9436707765460013,0.30406666666666665,-1.9401158655593795
cdibL,8192,0.1,2,-0.15000000000000002,0.2436,-2.1067542109936475,0.247,-2.093395372182131
cdibL,8192,0.1,3,-0.55,0.2668,-2.0477793483406304,0.2650666666666667,-2.048955110071765
cdibL,8192,0.1,3,-0.15000000000000002,0.2068,-2.1665456730127333,0.209,-2.1592124054551123
cdibL,8192,1000.0,4,-0.55,0.2605,-2.0580828130334616,0.2600888888888889,-2.0569184171994532
cdibL,8192,1000.0,4,-0.15000000000000002,0.218,-2.159864882260561,0.21899999999999997,-2.1480555841088296
cdibL,8192,1000.0,1,-0.55,0.2346,-2.1092261706650257,0.23157777777777774,-2.109575491650899
cdibL,8192,1000.0,1,-0.15000000000000002,0.201,-2.162044979721308,0.2096,-2.139952519583702
cdibL,8192,1000.0,0,-0.55,0.2624,-2.052398291257024,0.2591111111111111,-2.055552625576655
cdibL,8192,1000.0,0,-0.15000000000000002,0.2124,-2.1526485584914683,0.214,-2.120619620680809
cdibL,8192,1000.0,2,-0.55,0.2908,-1.987381375475228,0.2868,-1.9855461247639523
cdibL,8192,1000.0,2,-0.15000000000000002,0.2423,-2.1191604697048665,0.243,-2.1115432769834994
cdibL,8192,1000.0,3,-0.55,0.3035,-1.952659197896719,0.30035555555555554,-1.9468261060807444
cdibL,8192,1000.0,3,-0.15000000000000002,0.2466,-2.078325582057237,0.245,-2.0644006136715407
cdibL,8192,100.0,1,-0.55,0.2104,-2.163046941226721,0.21257777777777775,-2.1640249560395874
cdibL,8192,100.0,1,-0.15000000000000002,0.1821,-2.216684599804878,0.1886,-2.2063990234136583
cdibL,8192,100.0,0,-0.55,0.3214,-1.8965123061835767,0.32355555555555554,-1.8889907860239348
cdibL,8192,100.0,0,-0.15000000000000002,0.2583,-2.0686503789663315,0.2678,-2.0114503657102585
cdibL,8192,100.0,4,-0.55,0.2373,-2.1283384326457977,0.23575555555555555,-2.1251767032384867
cdibL,8192,100.0,4,-0.15000000000000002,0.1898,-2.2149306606024504,0.1916,-2.2047434760689737
cdibL,8192,100.0,2,-0.55,0.2595,-2.053739057230949,0.2610666666666667,-2.054080560212665
cdibL,8192,100.0,2,-0.15000000000000002,0.2063,-2.181432689836621,0.2072,-2.1721687006235118
cdibL,8192,100.0,3,-0.55,0.2926,-1.9849867413461209,0.2908888888888889,-1.9796463060372405
cdibL,8192,100.0,3,-0.15000000000000002,0.2264,-2.128468513983488,0.2308,-2.107478397732973
cdibL,8192,0.0,0,-0.55,0.3928,-8.423447363638129,0.9997333333333334,-0.003729034665311904
cdibL,8192,0.0,0,-0.15000000000000002,0.4132,-2.050542232400585,0.8278,-0.6004117469967674
cdibL,8192,0.0,1,-0.55,0.3822,-8.42891741062219,0.9992888888888888,-0.005037828217206177
cdibL,8192,0.0,1,-0.15000000000000002,0.4027,-2.062864159864835,0.8334,-0.5910630448497762
cdibL,8192,0.0,4,-0.55,0.4022,-8.249547730079055,0.9997555555555556,-0.003209889105348079
cdibL,8192,0.0,4,-0.15000000000000002,0.3958,-2.063943178566288,0.8316,-0.6134599355232496
cdibL,8192,0.0,3,-0.55,0.3887,-8.547005444265961,0.9997777777777778,-0.0036190149244076436
cdibL,8192,0.0,3,-0.15000000000000002,0.4015,-2.0761603242961852,0.835,-0.6131683165735907
cdibL,8192,0.0,2,-0.55,0.3857,-8.397576387418821,0.9995333333333334,-0.0033329679163239113
cdibL,8192,0.0,2,-0.15000000000000002,0.4123,-2.0857038970842936,0.845,-0.5780985048921251
cdibL,8192,0.0001,0,-0.15000000000000002,0.3951,-2.0776998222080554,0.8394,-0.6037414415512343
cdibL,8192,0.0001,1,-0.15000000000000002,0.3947,-2.083948772186433,0.8442,-0.5934442440772123
cdibL,8192,0.0001,4,-0.15000000000000002,0.3962,-2.064599068553288,0.8332,-0.62873271872676
cdibL,8192,0.0001,3,-0.15000000000000002,0.3949,-2.0677452017512965,0.8426,-0.6138820891291478
cdibL,8192,0.0001,2,-0.15000000000000002,0.3833,-2.1638886222244103,0.8456,-0.5956287866612805
cdibL,8192,10.0,3,-0.55,0.2592,-2.059367960813641,0.2570666666666667,-2.0521825870911283
cdibL,8192,10.0,3,-0.15000000000000002,0.21,-2.1442170611679554,0.2234,-2.108769167172909
cdibL,8192,10.0,2,-0.55,0.2383,-2.1035651037096983,0.2368666666666667,-2.104030501463678
cdibL,8192,10.0,2,-0.15000000000000002,0.207,-2.164899752563238,0.2108,-2.152606430530548
cdibL,8192,10.0,4,-0.55,0.244,-2.09056106659174,0.2382888888888889,-2.0910881968829367
cdibL,8192,10.0,4,-0.15000000000000002,0.2038,-2.186304395854473,0.2,-2.185598299467564
cdibL,8192,10.0,0,-0.55,0.2073,-2.1749517360389232,0.20422222222222225,-2.1760020217908758
cdibL,8192,10.0,0,-0.15000000000000002,0.1754,-2.230184712702036,0.1848,-2.2180953094363214
cdibL,8192,10.0,1,-0.55,0.2425,-2.099964086139202,0.2381111111111111,-2.1029812289913496
cdibL,8192,10.0,1,-0.15000000000000002,0.2108,-2.1476711155653,0.2178,-2.138404454600811
cdibL,8192,1.0,4,-0.55,0.281,-2.0013776457130907,0.2782444444444445,-2.0002052856908903
cdibL,8192,1.0,4,-0.15000000000000002,0.2307,-2.10803888078928,0.2318,-2.0981406589031217
cdibL,8192,1.0,1,-0.55,0.257,-2.0749430222690104,0.2486888888888889,-2.0773343026598297
cdibL,8192,1.0,1,-0.15000000000000002,0.2118,-2.143193049603701,0.2176,-2.1274753580451007
cdibL,8192,1.0,0,-0.55,0.1951,-2.1987431084513664,0.19526666666666667,-2.203771091249254
cdibL,8192,1.0,0,-0.15000000000000002,0.1526,-2.2446136583447456,0.1596,-2.23701986207962
cdibL,8192,1.0,2,-0.55,0.2512,-2.0683793055415154,0.2485111111111111,-2.071667623946402
cdibL,8192,1.0,2,-0.15000000000000002,0.2197,-2.1509440258860586,0.2222,-2.1406452114224432
cdibL,8192,1.0,3,-0.55,0.2764,-2.0054805406749248,0.2746888888888889,-2.004775171397792
cdibL,8192,1.0,3,-0.15000000000000002,0.2264,-2.133922206819057,0.222,-2.119678596627712
cdib,128,0.01,2,-0.55,0.4583,-5.422302907410982,0.9979555555555556,-0.009136520359369585
cdib,128,0.01,2,-0.15000000000000002,0.4955,-1.4369394160318916,0.6064,-1.157459252073936
cdib,128,0.01,3,-0.55,0.4575,-5.524507027505523,0.9970222222222224,-0.011119989874071071
cdib,128,0.01,3,-0.15000000000000002,0.494,-1.4418585311688017,0.6026,-1.1666977952195332
cdib,128,0.01,4,-0.55,0.4537,-5.461170209036256,0.9970222222222224,-0.012572983518232292
cdib,128,0.01,4,-0.15000000000000002,0.4951,-1.4186688567832229,0.5906,-1.2012551093058776
cdib,128,0.01,1,-0.55,0.4586,-5.489603477611484,0.9977777777777778,-0.010850829899813676
cdib,128,0.01,1,-0.15000000000000002,0.498,-1.4147546322041613,0.5954,-1.1724390518802568
cdib,128,0.01,0,-0.55,0.4596,-5.410296659007965,0.9967111111111112,-0.01264247702431335
cdib,128,0.01,0,-0.15000000000000002,0.4988,-1.4244168864330016,0.5992,-1.1603738303108957
cdib,128,0.001,2,-0.15000000000000002,0.3991,-2.072002104224924,0.8402,-0.6002725661856538
cdib,128,0.001,3,-0.15000000000000002,0.3836,-2.0902016767930047,0.8312,-0.627405142625342
cdib,128,0.001,1,-0.15000000000000002,0.3984,-2.05295914440394,0.8412,-0.5873909098532772
cdib,128,0.001,0,-0.15000000000000002,0.4018,-2.119801506576639,0.8442,-0.5888506054142301
cdib,128,0.001,4,-0.15000000000000002,0.4047,-2.0306477390484257,0.8348,-0.616798254765325
cdib,128,0.1,2,-0.55,0.4725,-4.168889403990782,0.9972888888888888,-0.011504160806339684
cdib,128,0.1,2,-0.15000000000000002,0.4859,-1.4932725621414367,0.523,-1.428064082371816
cdib,128,0.1,3,-0.55,0.4623,-4.05761359223439,0.9957777777777778,-0.0167675079675972
cdib,128,0.1,3,-0.15000000000000002,0.4844,-1.5701182079088871,0.5094,-1.5328890127159656
cdib,128,0.1,1,-0.55,0.478,-3.9043016699526136,0.9915555555555556,-0.028798396584984093
cdib,128,0.1,1,-0.15000000000000002,0.4773,-1.5312116365079769,0.508,-1.4745348273703829
cdib,128,0.1,0,-0.55,0.4733,-3.644723133917217,0.9805111111111112,-0.058642121921332516
cdib,128,0.1,0,-0.15000000000000002,0.4551,-1.5733187024418265,0.4938,-1.4937751464374365
cdib,128,0.1,4,-0.55,0.46799999999999997,-4.0501053579575546,0.9954666666666668,-0.018113922266622246
cdib,128,0.1,4,-0.15000000000000002,0.4722,-1.5669289371584545,0.5004,-1.5229633468966932
cdib,128,1000.0,2,-0.55,0.2533,-2.0956973631680014,0.24584444444444445,-2.098321237477992
cdib,128,1000.0,2,-0.15000000000000002,0.1879,-2.1946153589248656,0.2004,-2.1883419058799745
cdib,128,1000.0,3,-0.55,0.2254,-2.110716005140543,0.22404444444444446,-2.1124964702222084
cdib,128,1000.0,3,-0.15000000000000002,0.1731,-2.1628291869044305,0.1732,-2.159928444933892
cdib,128,1000.0,4,-0.55,0.2408,-2.0959965909302234,0.2447111111111111,-2.0972783748586967
