model,enc_zx_nhid,beta,gamma,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,run_count
cdibL,8192,0.01,-0.55,0.44404000000000005,0.07438120058186745,-1.9460776951002832,0.7294936026964531,0.6179022222222222,0.2068821932321465,-1.0893811372510822,0.5796674382783574,5
cdibL,8192,0.01,-0.15000000000000002,0.37404000000000004,0.07910874161557623,-1.7598725942431692,0.21294746936973175,0.45936000000000005,0.13616030258485767,-1.561326991712104,0.3390171622538753,5
cdibL,8192,0.1,-0.55,0.29096,0.022131267473870536,-1.984455020317435,0.055468959854909544,0.2882711111111111,0.02150679134771325,-1.984024353494048,0.05627213609953963,5
cdibL,8192,0.1,-0.15000000000000002,0.23336,0.018254396730650952,-2.1184792616653443,0.03647211420664873,0.23796,0.019279730288569902,-2.1059209073138234,0.04398431055367667,5
cdibL,8192,1.0,-0.55,0.25214,0.03427649340291391,-2.069784724529981,0.07980194940482063,0.24908000000000005,0.03317654087148828,-2.071550694988834,0.08225696772323385,5
cdibL,8192,1.0,-0.15000000000000002,0.20823999999999998,0.03191415046652503,-2.1561423642885686,0.052032580821215965,0.21064,0.028999793102710242,-2.1445919374156,0.05392093985124562,5
cdibL,8192,10.0,-0.55,0.23826,0.019025850835113784,-2.105681990658641,0.04245322417855243,0.23491111111111115,0.019092865967795355,-2.1052569072439935,0.04480287331155056,5
cdibL,8192,10.0,-0.15000000000000002,0.20140000000000002,0.014793917669096308,-2.1746554075706004,0.035245639474250155,0.20736,0.015339752279616512,-2.160694732241631,0.042348421849109454,5
cdibL,8192,100.0,-0.55,0.26424000000000003,0.043927588142305296,-2.0453246957266336,0.10794258323610251,0.26476888888888894,0.04392470437374608,-2.042383862310383,0.11096560250157082,5
cdibL,8192,100.0,-0.15000000000000002,0.21258,0.03069490185682305,-2.162033368638754,0.06326175079815721,0.21719999999999998,0.032858180107851374,-2.1404479927098747,0.08248792776262312,5
cdibL,8192,1000.0,-0.55,0.27036,0.02718185056246171,-2.0319495696654917,0.06193960097205578,0.26758666666666664,0.026775193974006576,-2.030883753054341,0.06442036806351556,5
cdibL,8192,1000.0,-0.15000000000000002,0.22406,0.019654465141539713,-2.1344088944470885,0.0357851165117296,0.22611999999999996,0.016672492315187915,-2.116914323005676,0.03279025647553804,5
cdibS,2,0.0,-0.55,0.39032,0.007700454532038986,-8.409298867204832,0.1063085261260206,0.9996177777777777,0.0002081072847723803,-0.0037857469657195434,0.0007306408936449401,5
cdibS,2,0.0,-0.15000000000000002,0.4051,0.007460898069267544,-2.0678427584424375,0.013486136804578329,0.83456,0.006422460587656427,-0.5992403097671019,0.015094725654423675,5
cdibS,2,0.0001,-0.15000000000000002,0.39912000000000003,0.009294998655190859,-2.0695949811394456,0.015919408686267702,0.83904,0.006320443022447066,-0.5977586644316464,0.011698707017960944,5
cdibS,2,0.001,-0.15000000000000002,0.40077999999999997,0.007804614019924358,-2.0695001097562122,0.024396523744005045,0.8375600000000001,0.005708590018559718,-0.6023389031821502,0.021402732439314877,5
cdibS,2,0.01,-0.55,0.40928000000000003,0.0034959977116697173,-7.818244171793293,0.051522940318651664,0.9995822222222224,0.0001355373393953939,-0.004293953918835412,0.000758303002384227,5
cdibS,2,0.01,-0.15000000000000002,0.39892,0.006001416499460776,-2.0605062274191766,0.02076480381801639,0.8355599999999999,0.004729482001234379,-0.6094367884247016,0.01660801014846665,5
cdibS,2,0.1,-0.55,0.42172,0.005002699271393382,-7.425619521414143,0.08421989406974918,0.9994977777777778,0.00010255982897080737,-0.0052428323624229695,0.0003104936872261106,5
cdibS,2,0.1,-0.15000000000000002,0.40628000000000003,0.0065804255181561005,-2.0082462519095574,0.03617736964046528,0.8196,0.008770404779712308,-0.6394079649480696,0.01761488792259084,5
cdibS,2,1.0,-0.55,0.43298,0.002907232360854564,-6.478660220217819,0.08992898566622498,0.99856,0.0002668517875960921,-0.008882680491245375,0.0003892466648111952,5
cdibS,2,1.0,-0.15000000000000002,0.42496,0.009889539928631666,-1.7704963731104653,0.055677718520934484,0.74208,0.009690820398707212,-0.8256620439385067,0.025219529695910077,5
cdibS,2,10.0,-0.55,0.4678999999999999,0.004819751030914356,-4.6892723441869695,0.09708358350199478,0.9964977777777777,0.0003697179438770486,-0.016863270604179522,0.001285373489100669,5
cdibS,2,10.0,-0.15000000000000002,0.46853999999999996,0.006947517542259269,-1.5002118116250451,0.026236974628876607,0.59124,0.01635200293542046,-1.2010940472277254,0.03739220409399258,5
cdibS,2,100.0,-0.55,0.49714,0.006307772982598509,-1.5432337751562542,0.06163366064674917,0.6699555555555555,0.036105903898064846,-0.9339521518988381,0.10155570788623117,5
cdibS,2,100.0,-0.15000000000000002,0.45186000000000004,0.004594344349305993,-1.5576042799366452,0.010547573864037582,0.49944000000000005,0.010312516666653174,-1.4802542318915204,0.026463260626200878,5
cdibS,2,1000.0,-0.55,0.40152,0.0063361660331781216,-1.6649381235446783,0.01945470110855001,0.40819555555555553,0.007088251451661071,-1.6482713424818383,0.019855451971196866,5
cdibS,2,1000.0,-0.15000000000000002,0.31955999999999996,0.015514283741120634,-1.997294633213878,0.027736867322546852,0.32836,0.01685194350809425,-1.9832012900710105,0.03055088258857368,5
vib,128,0.0,-0.55,0.37764,0.008237293244749762,-8.595894006208459,0.13124829439713676,0.9996266666666667,0.00010231879496198883,-0.004119450704847018,0.0006407847541731687,5
vib,128,0.0,-0.15000000000000002,0.3947,0.0034022051672408004,-2.1098661999714032,0.02132400639383115,0.8442000000000001,0.007169379331573925,-0.5976868735289614,0.011177283432712905,5
vib,128,0.0001,-0.15000000000000002,0.42763999999999996,0.004234737299998674,-1.7898669170617982,0.03047102212358386,0.77368,0.0057316664243481285,-0.7677632927553903,0.013443458125156469,5
vib,128,0.001,-0.15000000000000002,0.45264,0.005124256043563752,-1.6319387187328567,0.020373861536988103,0.7203999999999999,0.005830951894845272,-0.8861466585642978,0.015205961259592348,5
vib,128,0.01,-0.55,0.45461999999999997,0.005168849001470231,-5.025261705893477,0.016683887322182112,0.9994755555555555,0.00018230350490661728,-0.007606042678351797,0.0005676843120825062,5
vib,128,0.01,-0.15000000000000002,0.49744,0.0030802597293085546,-1.43330286911964,0.010875815479323935,0.62716,0.0075939449563451515,-1.1058872819271597,0.01448154199252988,5
vib,128,0.1,-0.55,0.46681999999999996,0.005850384602741957,-4.1256144845793274,0.04504091073177827,0.9998844444444446,2.897423291200929e-05,-0.008371437475976223,0.000666263319178318,5
vib,128,0.1,-0.15000000000000002,0.51502,0.006512065724484097,-1.3994779219846718,0.006748437297401329,0.5616,0.005832666628567103,-1.3008508381088533,0.012467385807154579,5
vib,128,1.0,-0.55,0.46407999999999994,0.004033236913448073,-3.4016106935889483,0.056196759439690123,1.0,0.0,-0.010098557765335005,0.0012340010403650461,5
vib,128,1.0,-0.15000000000000002,0.49908,0.005682605036424725,-1.51414934547185,0.008411414049474368,0.5100800000000001,0.006253958746266178,-1.491607090586908,0.006349994934115934,5
vib,128,10.0,-0.55,0.45115999999999995,0.004820062240262053,-2.8560353917182746,0.06725256801509884,1.0,0.0,-0.016665491852742752,0.00028655086104267374,5
vib,128,10.0,-0.15000000000000002,0.44765999999999995,0.00603597548040083,-1.7282888005277512,0.011865813368466002,0.45411999999999997,0.004392265930018362,-1.7204065905386208,0.01127445036971643,5
vib,128,100.0,-0.55,0.37970000000000004,0.012242957159118037,-1.8159783473161437,0.04346715343837438,0.7836977777777777,0.013443008187745863,-0.8111836161409816,0.031397388594532394,5
vib,128,100.0,-0.15000000000000002,0.33004,0.011227555388418272,-1.95342024022758,0.013933815507014833,0.33112,0.008540023419171665,-1.9518300935816768,0.016090400506724955,5
vib,128,1000.0,-0.55,0.09910000000000001,0.0037013511046643513,-2.3097768937206267,0.0021259360282396044,0.09797333333333333,0.0014414841460140561,-2.3076403189298844,0.0006883604148068325,5
vib,128,1000.0,-0.15000000000000002,0.10154,0.005295564181463577,-2.3254156185770034,0.004477186658021945,0.10076,0.0036177340974704072,-2.324832295341492,0.00188624483656412,5
