model,enc_zx_nhid,beta,gamma,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,run_count
cdib,128,0.0,-0.55,0.38746,0.003905508929704308,-8.455085610560554,0.05913899958397764,0.9995955555555556,0.00019525229010220043,-0.003844136977419292,0.0006832438911447035,5
cdib,128,0.0,-0.15000000000000002,0.40700000000000003,0.0054350712966804715,-2.0581597872773036,0.027296049853010908,0.83664,0.006891153749554574,-0.5998582119855154,0.015865862853600286,5
cdib,128,0.0001,-0.15000000000000002,0.40194,0.004870626243102634,-2.064457936323696,0.009421746862064566,0.84124,0.005636310850192679,-0.59733781202133,0.012693572680359418,5
cdib,128,0.001,-0.15000000000000002,0.39752,0.008168659620770104,-2.073122434209387,0.03421457821004942,0.8383199999999998,0.0052318256851695165,-0.6041434957687656,0.017541043767619308,5
cdib,128,0.01,-0.55,0.45754,0.002274423003752831,-5.461576056114443,0.04721748882706648,0.9972977777777778,0.0005383101130182403,-0.011264560135159994,0.001443195521937478,5
cdib,128,0.01,-0.15000000000000002,0.49627999999999994,0.002031501907456632,-1.4273276645242157,0.011673266196752251,0.59884,0.00614719448203812,-1.1716450077580998,0.01753666613852636,5
cdib,128,0.1,-0.55,0.47081999999999996,0.005938602529215099,-3.9651266316105116,0.20226997214112377,0.9921200000000001,0.006826086491550081,-0.026765221909375147,0.01889424389327848,5
cdib,128,0.1,-0.15000000000000002,0.47498000000000007,0.01241277567669695,-1.5469700092317165,0.034497078408093705,0.50692,0.010960474442285765,-1.490445283158459,0.0418764237144813,5
cdib,128,1.0,-0.55,0.48536,0.016537774941025152,-2.399355586334366,0.10901358089724279,0.9688666666666667,0.02670299839824711,-0.11794849194736065,0.07655349504172508,5
cdib,128,1.0,-0.15000000000000002,0.39720000000000005,0.01566508857300206,-1.8312443684781343,0.02091672291488603,0.42444,0.014251596401807046,-1.7984272977390883,0.03341524570384159,5
cdib,128,10.0,-0.55,0.52324,0.005713405289317377,-1.4146058951708809,0.030849320151434642,0.6893466666666666,0.032200362700204065,-0.8979464008080804,0.08604141876543346,5
cdib,128,10.0,-0.15000000000000002,0.41742,0.008725938344957518,-1.8196763435950873,0.035111279427697886,0.43592000000000003,0.014139731256286312,-1.7993538802528384,0.04154016047805773,5
cdib,128,100.0,-0.55,0.36497999999999997,0.008487166782855148,-1.8098507828488946,0.03571941667902242,0.36171555555555557,0.011188854683827226,-1.8055736396262383,0.038386445955196156,5
cdib,128,100.0,-0.15000000000000002,0.24918,0.020947959327819978,-2.138260778836012,0.016567480718586568,0.25339999999999996,0.024125090673404726,-2.1321853764653205,0.015640904515054167,5
cdib,128,1000.0,-0.55,0.24580000000000002,0.0215245209005915,-2.087606911458969,0.03459898594634519,0.24252888888888888,0.020904122105165117,-2.0897086317986915,0.03560897820136072,5
cdib,128,1000.0,-0.15000000000000002,0.18678,0.013060321588689916,-2.180060373134613,0.014513951134551934,0.19204000000000002,0.013877607863028843,-2.174712913913727,0.014209492381173892,5
cdibL,8192,0.0,-0.55,0.39032,0.007700454532039003,-8.409298867204832,0.1063085261260204,0.9996177777777777,0.00020810728477236006,-0.0037857469657195434,0.0007306408936449404,5
cdibL,8192,0.0,-0.15000000000000002,0.4051,0.0074608980692675506,-2.0678427584424375,0.013486136804578587,0.83456,0.006422460587656424,-0.5992403097671019,0.015094725654423664,5
cdibL,8192,0.0001,-0.15000000000000002,0.39283999999999997,0.005364513025429272,-2.0915762973846967,0.04115671276417972,0.841,0.0049335585534175845,-0.607085856029127,0.014519973935463835,5
cdibL,8192,0.001,-0.15000000000000002,0.40347999999999995,0.006461965645219693,-1.9847374564053148,0.017588784833708276,0.8109599999999999,0.006228001284521397,-0.6650146130571616,0.01632939706289698,5
