data,wdecay,encoder,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
svhn,1e-06,mlp,3,0.8251382913337431,-2.352549455960669,0.9973305425368948,-0.009617149521080677,8285.044938271605,210.4527485565346,0.012831495143473148,12.91597386293633,15.816573061684306,16.04711281236752,9.47775571660478
svhn,1e-06,mlp,2,0.8329363859864782,-2.229252239630628,0.9977552289514796,-0.006801181423597646,8568.273995339781,212.7305550749586,0.011741561815142632,13.040112037067265,15.815614131069925,16.05114577537359,9.661551756452221
svhn,1e-06,mlp,0,0.8321681007990166,-2.2862328597320767,0.9980434090185194,-0.006361479241337973,7759.1471846456225,258.75940502231026,0.01022583805024624,13.118434181509091,15.89652142783468,16.05169917261878,9.1868044535319
svhn,1e-06,mlp,1,0.8344345421020283,-2.215253203225533,0.9987107733842956,-0.004312458700336171,7594.93707559982,225.02067613332784,0.008617391809821129,12.973782117976699,15.780103942220526,16.04757397673851,8.54528447823931
svhn,1e-06,mlp,4,0.8322449293177627,-2.2365443803498293,0.9978765679270752,-0.006559838370901689,8015.63068470244,185.5909901503842,0.013005322776734829,13.003329949785572,15.77020336860834,16.050185802371008,9.677935859029608
svhn,1e-06,resnet18,1,0.9424938537185004,-0.33537295748836005,0.9974670488844398,-0.00823449338035903,34663.669421487604,25.317007459398088,0.015127941034734247,13.188779209935387,15.96226241976716,16.068651317626006,14.717300052790678
svhn,1e-06,resnet18,0,0.9430700676090964,-0.39799337825914144,0.9982709195977612,-0.006180958642485231,35060.957518367344,25.514400230862275,0.0072353282012045375,13.218971363333766,16.028219991876174,16.0690465675768,15.165790432183318
svhn,1e-06,resnet18,4,0.9480639213275968,-0.35957569926150884,0.9988927818476891,-0.003895543592353731,29127.111111111113,25.43302829437848,0.0061279376968741426,13.208778403526127,16.019412853921107,16.06888737050138,15.06889503686003
svhn,1e-06,resnet18,2,0.9458358942839582,-0.3696330201159032,0.998816944987942,-0.0034423412659433557,26843.5456,25.40682175709656,0.0072054797783494,13.180911685145178,15.985920307248136,16.068799617678618,14.588088087333267
svhn,1e-06,resnet18,3,0.942263368162262,-0.3530418644270385,0.9980130742746204,-0.006287492314328092,23890.660021359923,26.25591102532021,0.010993738658726215,13.195233345031738,16.023799933204355,16.069502231686613,15.113254295763118
svhn,0.01,mlp,2,0.8284035033804549,-0.6358280313397348,0.907251520529038,-0.3379922350940203,4227.0637440161245,0.3259756903068161,0.6571608781814575,13.211142451264136,15.995775644169298,16.068947015806685,15.339646561201226
svhn,0.01,mlp,3,0.8310156730178242,-0.6282293627715771,0.9076155374558249,-0.33701324172198843,5861.548082801992,0.3581741837153076,0.6595858335494995,13.171225569969002,15.954792887665505,16.069499215414353,14.552583613136942
svhn,0.01,mlp,1,0.8257529194837123,-0.6344299558445727,0.9004868726395777,-0.35905641413271355,5349.877551020408,0.3611765363104874,0.6845253109931946,13.190976490346037,15.977874526681829,16.069100801334823,15.072395760883653
svhn,0.01,mlp,0,0.8304010448678549,-0.6244358021417795,0.9043393851147412,-0.34517411730912656,3970.9386982248525,0.3475731310975472,0.6646275520324707,13.19756086482558,15.982547087262768,16.069636071375175,15.196588006130485
svhn,0.01,mlp,4,0.8228334357713584,-0.6507797108456904,0.9005930442432241,-0.36018206924044543,5255.608426658313,0.3457796583212286,0.6831057071685791,13.201747184575991,15.989486154659774,16.069972385731777,15.279592772786932
svhn,0.01,resnet18,1,0.9443761524277812,-0.2594243003363467,0.9999544978841516,-0.010365196209371878,7206.514429917582,25.00968318331297,0.10821523517370224,13.245545653409733,16.067053890967554,16.070621253908147,16.065717253574107
svhn,0.01,resnet18,0,0.9446066379840196,-0.25172026168811035,0.9999696652561012,-0.010032818103785326,7514.7799893619995,26.008909606253198,0.10571543127298356,13.248214692108393,16.067436218261722,16.070580889088234,16.06610132557477
svhn,0.01,resnet18,4,0.9450291948371236,-0.2546913220506838,0.9999696652561012,-0.009975249269865958,7132.411946009141,20.142034109938788,0.10424812138080597,13.249386499094408,16.06795173467592,16.07069388101267,16.06683182531549
svhn,0.01,resnet18,2,0.9444913952059004,-0.2773410536316138,0.9999848326280504,-0.009094006747495385,7676.383539706597,24.389990632765862,0.09640248864889144,13.246501353359964,16.06790130082951,16.07082705534706,16.06638492909513
svhn,0.01,resnet18,3,0.9464889366933006,-0.24968366973641526,0.9999544978841516,-0.0104127523756668,6578.655425938633,21.880546171913767,0.1085815131664276,13.248346676198087,16.066764343616573,16.07026447621427,16.06556299490522
