experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,128,1,0,-0.55,best,3,0.3981333333333333,0.004654388610046776,-8.109837531824546,0.07049677759643871,0.9997629629629629,4.625924443250378e-05,-0.0036536622470893566,0.0002226393656845552,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,128,1,0,-0.55,best,3,0.3915666666666667,0.006066575090883944,-8.221964238837407,0.06773654497133302,0.9998444444444444,5.879447357923112e-05,-0.003549358243907222,0.000280880439250573,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,128,1,0,-0.55,best,3,0.40070000000000006,0.005574943945906567,-7.867849477897866,0.14394161043877945,0.9997259259259259,0.00011184939904102356,-0.006001820545444393,0.0007103231314110314,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,128,1,0,-0.55,best,3,0.4418,0.0027784887978899438,-6.16101066357914,0.13747331274670133,0.9983185185185185,0.00024578755589690926,-0.012736671195230009,0.0013144801923425683,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,128,1,0,-0.55,best,3,0.4846,0.006646051459325306,-2.4087668105506963,0.17484871456899673,0.8553259259259259,0.017500410342043932,-0.4214604098415067,0.04887107856051462,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,128,1,0,-0.55,best,3,0.4469,0.001311487704860406,-1.5524789305576743,0.00944539532090907,0.4708962962962963,0.006809083741530692,-1.4900753404966558,0.01673549921499485,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,128,1,0,-0.55,best,3,0.3814,0.0017435595774162526,-1.738860744357854,0.01542153964897001,0.39034814814814817,0.0022026172236103295,-1.7202418798638714,0.015862462525014245,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,128,1,0,-0.55,best,3,0.3895666666666666,0.008857388629462632,-8.406061184418752,0.1706486251060011,0.9995481481481482,0.00034450417642171185,-0.003840674275188572,0.0009653167709948639,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,128,1,0,-0.55,best,3,0.44933333333333336,0.005300314456080247,-6.230962035845914,0.09321920552150761,0.9970074074074073,0.00036129624883726025,-0.00926354958346759,0.0011143545399322087,,,,,,,,
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,128,1,0,-0.55,best,3,0.4782666666666667,0.007950052410728721,-5.9117395724250175,0.09001214327717424,0.9978888888888889,0.0003449816599168717,-0.006612296158173427,0.0005848247980122348,,,,,,,,
