datasize,beta,run_count,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std
b256,0.1,3,3.3185998485846953,0.00013808417873358586,-0.547247060139974,0.054731595255286467,0.18907250434329562,0.02560062844024192,0.0033281777595579056,0.0001380776508096158,3.869175084431966,0.05473159525528583,1.0,0.0,0.5103000000000001,0.001216552506059624,-0.0023069804455549824,9.578310792377231e-05,-2.6820199322108507,0.05663492744420104,12.048833446069196,0.025611579940996256,0.039208096590909104,0.00021594779008982012,1.4053260614023066,0.03139253777001197,1.4078578770160677,0.030602697838059665
b256,1.0,3,3.30934712471384,0.0005027656975829752,-0.014862227439880369,0.042149940633762095,0.03791143091847047,0.003521434986923358,0.012580902428563795,0.0005027634933813679,3.336790251731873,0.042149940633762706,1.0,0.0,0.4924,0.0025059928172283348,-0.00872022014708673,0.0003488676078040831,-2.3146779189779814,0.014091961171375527,12.199994457490517,0.0035085447886656997,0.012958491161616166,0.000760863547557109,0.4418779380732413,0.014771031635324486,0.44321969871719674,0.015058586197481572
b256,10.0,3,3.254679865457795,0.0038469029643317895,0.3859397133191427,0.09738827731492665,0.012730516398733016,0.002010000749634316,0.06724815971613156,0.003846904162830345,2.9359883109728497,0.09738827731492669,0.9999925925925925,1.2830005982075735e-05,0.4716,0.007000000000000006,-0.04661230745354585,0.00266618559355879,-2.0346162217719774,0.053728710830779194,12.225175461985849,0.00200966891042762,0.004973045888573234,0.0003975249909561347,0.16170787026710584,0.004278765537421881,0.16214283406734467,0.004157193532515032
b256,100.0,3,2.6125045978661743,0.0970035800503999,0.8678556104501087,0.21006105708582504,0.00507957620737381,0.0005911588620879329,0.7094234269902562,0.09700358231345446,2.4540724138418835,0.21006105708582495,0.8742222222222221,0.027350410202986085,0.4849666666666667,0.010608644274049969,-0.4917605048992241,0.06725588258412982,-1.6970050127389873,0.13231121497260892,12.232826388243472,0.0006037257014545337,0.001393821022727273,0.0002937036130530663,0.01253604249337293,0.0008168988997343222,0.012475052336230875,0.0008022401516486884
b4096,0.01,3,3.2255165215694546,0.010534065352946653,0.5802301830715603,0.06260095984429596,9.595003937229967,0.10748597739094123,0.09641150656071577,0.010534035541447944,2.7416978412204323,0.0626009598442956,0.9990148148148149,0.00047885322544874074,0.5149,0.004570557952810605,-0.06682686843261983,0.007304378301608349,-1.8957075052341832,0.04207004387197312,2.6428839004401006,0.10748570955367907,0.723609475205333,0.007043701737579937,5.2776529861219,0.2363735974410151,5.266096062130398,0.23446711106049986
b4096,0.1,3,3.1917226314544678,0.010572972159317663,0.7023467222849528,0.04680387768488562,4.843047402121804,0.2357941537714154,0.13020540141698086,0.010572988128015532,2.6195813020070395,0.046803877684885704,0.9984814814814816,0.0005847161739812235,0.5175666666666667,0.0036115555282084477,-0.09025190478281091,0.007332988212507643,-1.812895995343973,0.031177688887513447,7.394840471672289,0.23579377105602703,0.4149764231794273,0.013959127899600717,5.511793020999793,0.10562738012021557,5.490193843841553,0.10292003457382849
b4096,1.0,3,2.844120834812973,0.0064815792440498,1.018035650253296,0.022752098751761533,1.740509553389116,0.042646424384325074,0.4778072075410323,0.006481579155395128,2.3038923740386963,0.02275209875176145,0.9432592592592592,0.0004299487958794462,0.5106999999999999,0.002986636904613671,-0.33118946250669085,0.004503598060338873,-1.5925683281578145,0.014959396170224348,10.497378089211203,0.04264611954259038,0.18170060902574633,0.0033876469528879025,2.1873932173757846,0.06571973118393222,2.179623524347941,0.06521948719448152
b4096,10.0,3,1.6598062443010733,0.04517238965604216,1.2343290911780462,0.004643837220087537,0.16008782431934818,0.02043647963264053,1.6621217799909187,0.04517238965604222,2.087598933113946,0.004643837220087492,0.6237925925925927,0.012784642278503597,0.4925,0.0035085609585697804,-1.15208670661576,0.03132976484863376,-1.4440881644935637,0.0036371221564493136,12.077800288344875,0.020435929533994673,0.031705400764685844,0.0030774087768427167,0.21094971759752792,0.004402984458383622,0.2105757428540124,0.004537206843616245
b4096,100.0,3,0.5828281460386333,0.03425839735781859,0.5746034516228571,0.036850630663915494,0.009423639060872973,0.000571851952922514,2.739099878253359,0.034258397357818604,2.7473245726691347,0.036850630663915675,0.33028888888888885,0.005496036731417181,0.32086666666666663,0.004046397574798269,-1.8985898782110875,0.023744128125595988,-1.90682756554087,0.02520992743268908,12.228464328881465,0.0005721737544193744,0.006263888107560755,0.0005796739021708382,0.03705606440251524,0.0004822683741086215,0.03696886450052262,0.0004955422518592535
b64,0.01,3,3.321623130165266,5.525151308864453e-06,-1.6473914746772458,0.09033016334410512,0.21271576688079882,0.011353973654940541,0.00030489561988195584,5.523921873209454e-06,4.969319498969239,0.09033016334410542,1.0,0.0,0.5346666666666667,0.003547299442298779,-0.0002113252884723398,3.6560746648324238e-06,-3.4464074720082354,0.06565938339055324,12.02509120242162,0.011415620320157848,0.05148284603851011,0.001441881063767608,2.368215853969256,0.038708042345301064,2.3470242792886786,0.03867027612693159
b64,0.1,3,3.320646585501505,6.535590985085128e-05,-0.5782088648741412,0.07152889803880066,0.052320631081370673,0.0038879813057709546,0.0012814379793560486,6.535382605863778e-05,3.900136889166133,0.0715288980388009,1.0,0.0,0.5125000000000001,0.00255147016443457,-0.0008879777441278075,4.5639844940078524e-05,-2.7041211714133233,0.05101192749060835,12.185486355062686,0.003922556366902056,0.012085577454229798,0.0009735142751317638,0.7437539244860862,0.01077402355328435,0.7397521309032561,0.009687461425486796
b64,1.0,3,3.3157957635368356,0.00047499298485065874,0.04012540748418011,0.03810596447956757,0.024967618411816755,0.0006099531609517243,0.0061322592426387755,0.0004749928300498938,3.2818026168078123,0.038105964479567586,1.0,0.0,0.49933333333333335,0.006132971003790337,-0.004247021940355999,0.0003221702056395158,-2.2750123933411346,0.026350362688968707,12.212839355071386,0.0005151394937738302,0.00376568418560606,0.00037502110138447174,0.2014310005135044,0.021491184520515183,0.20062446733442332,0.021589306891101206
b64,10.0,3,3.2997050458057355,0.001531874919273301,0.1786562237263738,0.011140039257331393,0.01681709048791342,0.0009015706348499248,0.022222978791625905,0.0015318731103942584,3.143271800565619,0.011140039257331112,0.9999703703703705,5.132002392791835e-05,0.4836666666666667,0.0033501243758006127,-0.015399415377716582,0.0010869523003802508,-2.177609968201862,0.011658964583491133,12.220989893331671,0.0009855832596941515,0.0017416597616792928,0.0005341721675891962,0.03330886488776852,0.007880491844163855,0.033013228168849475,0.007906489301139734
b64,100.0,3,2.872899503644669,0.049248073425140974,0.6550677002362132,0.08272857992452368,0.013650651040961748,0.0006110187583893253,0.449028516710369,0.04924807600994636,2.6668603240557793,0.08272857992452347,0.966925925925926,0.007437985036229714,0.44826666666666665,0.0018717193521822033,-0.3111705461830565,0.034346592612560664,-1.8454312035454257,0.05655846424713866,12.224156318288863,0.0006995710924140907,0.0011584349352904047,0.0001489356917406017,0.017163444815334074,0.0027127672635944163,0.017164518617710487,0.002718032265771701
