datasize,beta,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_d_DIQ_xz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg
b64,10.0,2,3.3013546361841937,0.1913505580015243,0.015777231002764645,0.020573390237669544,3.130577466290468,1.0,0.4857,-0.014224006193429612,-2.164234841852768,12.222127774899654,0.0019198330965909086,0.029147940267152575,0.028846762540518857
b64,10.0,0,3.2994332239031787,0.17050881142828875,0.017294022579583478,0.02249480071093951,3.1514192128637037,0.9999111111111112,0.4855,-0.015605970077531213,-2.185624539861096,12.22040382027626,0.0011411724668560605,0.02838096209399572,0.02806133509963561
b64,10.0,1,3.2983272773298347,0.1741093017493084,0.017380017881392137,0.02360074542626865,3.1478187225426835,1.0,0.4798,-0.016368269862188922,-2.182970522891722,12.2204380848191,0.002163973721590909,0.042397692302157265,0.04213158686639397
b64,100.0,2,2.9172226244753063,0.5597827738257729,0.012945252911218962,0.4047053926201029,2.762145250466219,0.9726222222222224,0.4475,-0.28012600799596404,-1.9105472841492912,12.224959762258965,0.0010986328125000002,0.014413447987118903,0.014411238455183948
b64,100.0,0,2.8198839571665637,0.7085927679280567,0.014015761069541359,0.502044065432115,2.613335256363936,0.9585111111111112,0.4504,-0.3480672371554706,-1.8085393527852431,12.223682083866812,0.0010486949573863644,0.01723950354260689,0.01723644200261611
b64,100.0,1,2.8815919292921364,0.6968275589548099,0.013990939142124924,0.44033609207888896,2.6251004653371823,0.9696444444444444,0.4469,-0.3053183933977348,-1.817206973701743,12.223827108740807,0.0013279770359848494,0.019837382916276427,0.01984587539533141
b64,0.01,2,3.3216169446029444,-1.7479738445039008,0.2002870921953052,0.0003110801415625081,5.069901868795894,1.0,0.534,-0.00021544051094728647,-3.520015190628805,12.037617887962947,0.05060184363162883,2.4126373055306347,2.391464647973419
b64,0.01,1,3.3216248696500603,-1.621015317880424,0.22254379374102096,0.0003031552028005535,4.942943342172416,1.0,0.5385,-0.00021008351419229108,-3.4253383655347114,12.015274270014329,0.053146824692234834,2.35029039633545,2.328569792638159
b64,0.01,0,3.321627576242794,-1.573185261647413,0.21531641470607032,0.00030045151528280587,4.895113285939406,1.0,0.5315,-0.00020845184027744182,-3.3938688598611897,12.022381449287588,0.05069986979166665,2.3417198600416835,2.321038397254458
b64,0.1,2,3.3206638324667113,-0.6447968938548094,0.0536047700102658,0.0012641880248338564,3.9667249181468014,1.0,0.5096,-0.0008756450767646361,-2.7503757530240827,12.18430019915104,0.011197176846590908,0.7415882173756306,0.7371503471568891
b64,0.1,1,3.3205743357539177,-0.5025957169806122,0.04795302285823378,0.0013536864733561574,3.824523741272604,1.0,0.5144,-0.0009385166417756149,-2.6494090423731627,12.189865093339574,0.013126257694128791,0.7554462958465923,0.7504748033869798
b64,0.1,0,3.3207015882838857,-0.5872339837870021,0.055404100375612456,0.0012264394398781324,3.9091620080789937,1.0,0.5135,-0.0008497715138431715,-2.712578718842725,12.182293772697447,0.011933297821969696,0.7342272602360357,0.7316312421658996
