model,enc_zx_nhid,beta,test_I_xz_mean,test_I_xz_std,train_I_xz_mean,train_I_xz_std,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_zCx_mean,train_H_zCx_std,test_H_zCx_mean,test_H_zCx_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,test_z_mean_norm_mean,test_z_mean_norm_std,train_z_std_mean,train_z_std_std,test_z_std_mean,test_z_std_std,run_count
cdib,128,0.0,,,,,3.3219266696409746,1.0887754211119258e-06,-1.9741563606262207,0.14302120631928653,12.227674414894798,0.0012884254670785993,,,,,1.3626172114362073e-06,1.0756259507350798e-06,5.296084384918212,0.143021206319287,1.0,0.0,0.53684,0.002736421020237907,-9.380963696577284e-07,7.449196749374851e-07,-3.669647855178062,0.09927968480855542,0.01021529886956242,0.0012892897700417156,0.866635313448396,1.6184064862364885e-05,1.0007547541098163,0.003346242497722577,0.9760143685340882,0.0032789072869367102,0.5151447843421589,0.0060273204428913625,0.5099339938163758,0.005809981003659481,0.006102447901767763,6.318276936312873e-05,0.006100468058139086,6.214663223464282e-05,5
cdib,128,0.0001,,,,,3.3219244480133057,6.347866335165417e-07,-1.77568883895874,0.09385542762972489,12.2182091366161,0.014025852279100234,,,,,3.572411353822893e-06,6.477634653838186e-07,5.097616863250732,0.09385542762972461,1.0,0.0,0.53766,0.002276620302114534,-2.4693308003994863e-06,4.4860545419625247e-07,-3.531495074506071,0.06569155240291494,0.019680510702627625,0.014030227918651984,0.8665797021537855,9.587190277597018e-05,1.0009371248158543,0.0031571774781677317,0.9786409902572633,0.0029203238078378655,0.5238106662576849,0.003650889986888723,0.5191056895256042,0.0035153810719364023,0.006089012134312228,0.00011168666930301063,0.006086139939725399,0.00011165970882209327,5
cdib,128,0.001,,,,,3.32189660505815,3.827992778323682e-06,-1.4215951919555665,0.026557358525523437,12.143165319616143,0.030094765162371678,,,,,3.1424666221110705e-05,3.837640232030038e-06,4.743523216247558,0.026557358525523867,1.0,0.0,0.53556,0.005147135125484879,-2.177399583756233e-05,2.6609669383832245e-06,-3.2857881832783855,0.0190816890726191,0.09472436325793916,0.030089253109912457,0.8659755098162538,0.00033843968065227055,1.0015311978080057,0.0043027689063045126,0.9817310333251953,0.005128167405287868,0.5261533330787311,0.004499153625172541,0.521907479763031,0.004484337450729911,0.0065769734284417194,0.00011800243594122287,0.006572288647294045,0.00011864623084483614,5
cdib,128,0.01,,,,,3.3190982515161687,0.0002154816932160438,-0.26268385887146,0.06979178897007908,3.4313390276648783,0.2893542773956556,,,,,0.0028297654649412085,0.00021548557588081207,3.584611883163452,0.06979178897007952,1.0,0.0,0.5290600000000001,0.004955098384492482,-0.0019614336477675265,0.00014941400577567793,-2.4836480360983684,0.048169086191363356,8.806550632823598,0.28934956878756946,0.3193241449462624,0.01945546416840598,0.999161856282841,0.023917174109519553,1.0019617247581483,0.024463509579541697,2.1483665065331894,0.11952498077697071,2.1669257974624636,0.11707166682836989,0.07446697249331258,0.022268285609383973,0.07574233159422875,0.022482136160724808,5
cdib,128,0.1,,,,,3.2043175220489504,0.17209552838977885,0.013149385452270512,0.42850681443898436,0.9576815442605453,0.25556604879469985,,,,,0.11761049091477285,0.1720955306355804,3.308778638839722,0.4285068144389843,0.9791022222222221,0.03537263921363899,0.49363999999999997,0.029741267625977192,-0.08151578952155891,0.11927397043364706,-2.2920463837653755,0.29581224634551706,11.280208067460494,0.25556972331831235,0.11942376662188528,0.01679250078147672,0.9953451665964993,0.02273800943658064,1.0033503150939942,0.022574290695410684,5.846033330397172,0.7420583522857332,5.9218323707580565,0.7480228523678251,0.011037036234682256,0.0025196057812522355,0.011008886247873306,0.002453442369105867,5
cdib,128,1.0,,,,,2.8318702827800406,0.42148419563680223,0.48537282943725585,0.5441471420502422,0.6294424989006735,0.5995478531395942,,,,,0.490057741647417,0.4214841913266583,2.8365551948547365,0.5441471420502423,0.9211777777777778,0.09243361047627109,0.47212,0.04534574952517601,-0.33968907054465447,0.2921592978978611,-1.9649752398913545,0.37684796339058574,11.60844711823897,0.5995445792681697,0.08567246614298102,0.044443785158451085,0.9980580167336898,0.024059966233963278,1.0118743872642517,0.024387953536983933,10.827861187674781,1.6126290084833106,10.971962623596193,1.6436044830084546,0.007430858524854889,0.0011537094549549437,0.007476970553398132,0.0011359727584052599,5
cdib,128,10.0,,,,,1.986577968163924,0.11419663422785999,1.3884385299682618,0.013351881883003038,0.010830452225425027,0.004988896925282508,,,,,1.33535005829551,0.11419663255953878,1.9334894943237306,0.013351881883003078,0.7040977777777777,0.030171651317252704,0.533,0.005146357935472402,-0.9255853796231918,0.07913909523657645,-1.3401673406106656,0.009274110717483828,12.227059190923516,0.004986954665733507,0.012766598175371943,0.0025749388920152864,1.0091367954557593,0.020224689295554227,1.012770848274231,0.01880644078901953,20.778424141623756,1.9770415948016409,21.067746887207033,1.9811999547647936,0.004026062130420045,0.0003541295138560298,0.003972597699612379,0.00035812322734938293,5
cdib,128,100.0,,,,,0.7581147345629605,0.05931287559030508,0.7522972679138183,0.055330745301744186,0.005888778513128108,0.0033363806333007073,,,,,2.563813289729032,0.05931287559030493,2.569630756378174,0.05533074530174421,0.3781377777777778,0.01332828052407342,0.3818,0.011264102272262995,-1.7771014849657152,0.0411156970756061,-1.781020612858534,0.03849543555036645,12.232000810449772,0.0033362533877257694,0.00879060899136318,0.0011620262876950052,1.009729221192273,0.0156745409209221,1.0107559442520142,0.016169202810998092,42.83233320062811,5.556166866863483,43.61696655273438,5.809669420764005,0.009067634433846582,0.0038358513363281393,0.009029485005885362,0.003918755064188147,5
cdib,128,1000.0,,,,,0.3152256358753552,0.03954102938158013,0.31841499328613276,0.038236456538374985,0.005219732631336559,0.0018848301996005025,,,,,3.0067023884166373,0.03954102938158019,3.003513031005859,0.03823645653837522,0.24900444444444442,0.014993672739599943,0.25051999999999996,0.014671639308543542,-2.0840862547018792,0.027403275741669435,-2.082130226137638,0.026588891266707097,12.232669899680397,0.0018909610993069958,0.0087153478972709,0.0013010922360449802,1.0022838733413004,0.017798173467365175,1.0068636202812193,0.014780770259539012,49.962074279785156,4.862152109915349,50.91982650756837,5.076909979456028,0.007338643840260127,0.0032929193597161554,0.007309092674404383,0.0033704115966443357,5
cdibL,8192,0.0,,,,,3.321926437724721,1.049996286718608e-06,-1.9217868804931642,0.15296306672318796,11.907913702184505,0.015254397901557576,,,,,1.571328709815134e-06,1.0432477088945937e-06,5.243714904785156,0.15296306672318874,1.0,0.0,0.53746,0.0031816662301379015,-1.0824789522434092e-06,7.225430439436476e-07,-3.633424878971291,0.10701440442974663,0.32997589300979263,0.015254665055883358,0.8628910795882392,0.00020001386465032267,1.001255160028284,0.0031764889868701436,0.9764321303367615,0.003244435415435869,0.5183882003480738,0.005773782407730218,0.5131702041625976,0.005769678806655636,0.006099144026467746,6.683861015518519e-05,0.0060969053208827974,6.623442339995121e-05,5
