data,lr,encoder,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
cifar10,1e-05,resnet18,2,0.4955,-2.5426373887407783,1.0,-0.002513561245087011,8483886.016790124,13665.639831343427,0.025902291759848598,12.142287113449788,15.462676069953226,15.533876234834844,14.819391358982433
cifar10,1e-05,resnet18,3,0.4877,-2.7656853911174664,1.0,-0.0019090677371290047,11441328.072591053,13967.8671242248,0.019964993000030518,12.132257331501355,15.397264513102446,15.536461645906622,14.809793884103946
cifar10,1e-05,resnet18,4,0.483,-2.7681866282132965,1.0,-0.0017838162751186038,11590399.179625567,14678.401002834062,0.019066335633397102,12.113132281736894,15.469154466282234,15.539477846839214,14.80147047476335
cifar10,1e-05,resnet18,1,0.4986,-2.6988421670194462,1.0,-0.0019792260825356412,10737418.24,15323.799006773745,0.02074895240366459,12.10746211355383,15.44861906225031,15.530512473799966,15.0426058660854
cifar10,1e-05,resnet18,0,0.4933,-2.827082962885024,1.0,-0.0019165473563518133,14645314.451702274,14517.219568498645,0.01958170346915722,12.079215298999438,15.468062400817873,15.533366723494096,14.58517074584961
cifar10,1e-05,mlp,2,0.4972,-2.146501093371758,0.9946222222222222,-0.09887942373982783,773833.1239133372,30.873445170554238,0.4475403130054474,11.48990628936074,14.807066213000903,15.51201623136347,2.159176329320127
cifar10,1e-05,mlp,3,0.5044,-2.0204508792125964,0.9934666666666668,-0.10983068531742696,784325.6566837108,30.586048251715198,0.4823186993598938,11.317840652032332,14.695293957536869,15.49920298836448,1.3409531573680311
cifar10,1e-05,mlp,1,0.4932,-2.1029454482334833,0.9935111111111112,-0.10413666333994084,679556.551718682,30.145341898601746,0.4664033055305481,11.489793289791455,14.861987352371216,15.509456580335446,1.7248269827528433
cifar10,1e-05,mlp,0,0.4905,-2.094223250425571,0.9931555555555556,-0.1071437839269882,784325.6566837108,30.79242936266457,0.4711900949478149,11.310663981871171,14.698342713442715,15.50347719409249,0.9263616973026232
cifar10,1e-05,mlp,4,0.4931,-2.019795955555141,0.9896666666666668,-0.13016659217141707,679556.551718682,28.970574544753603,0.5372650027275085,11.472145654938435,14.805209105665035,15.502302104776554,1.554555284706029
cifar10,0.001,mlp,4,0.5438,-5.6561142441931835,0.9970666666666668,-0.00962941099618026,10752.902419484057,162.6753801190426,0.013609003275632858,11.105324322527103,14.409474849700928,15.516104849902066,7.909609101035378
cifar10,0.001,mlp,0,0.5473,-5.528914980109684,0.9976888888888888,-0.00837291944227557,9741.452170126287,186.93684177416716,0.012809732928872108,11.56835482337258,14.781703569672324,15.514297767118974,7.99927014654333
cifar10,0.001,mlp,1,0.5536,-5.9922337843878415,0.9985777777777778,-0.004876165733799537,9398.671475088408,180.81328853958718,0.007738390937447549,11.188969525423916,14.716038877313787,15.511305505579168,7.886875824494795
cifar10,0.001,mlp,3,0.5426,-5.653813969172753,0.9984222222222222,-0.00548109916200269,8866.278768661647,179.21886170441158,0.009963121265172958,11.445075837048616,14.718575011600148,15.516630747101527,7.568799414417961
cifar10,0.001,mlp,2,0.5416,-6.1423255291473815,0.9986666666666668,-0.004763529234077503,9073.67009194159,189.33085294003197,0.008818178437650205,11.35319033536044,14.622153423049236,15.519632664593784,6.932811932130293
cifar10,0.001,resnet18,4,0.8233,-1.1632986185725869,0.9950444444444444,-0.01431311015144503,167772.16,47.141875708466465,0.016122778877615932,12.066399032419376,15.362817395817151,15.555970820513638,14.217340967871928
cifar10,0.001,resnet18,1,0.8274,-1.077090119586019,0.9971555555555556,-0.009338092662621384,134045.98158609282,39.06867294975204,0.010472540743649006,12.004485282030974,15.281101822853088,15.555044932798905,13.421990903941069
cifar10,0.001,resnet18,0,0.8298,-1.0558654412917432,0.9989777777777776,-0.0038326969256772866,125492.10506939373,54.239186980419184,0.009040558710694313,12.128088734366678,15.470741315321488,15.554601788520813,14.463889620520852
cifar10,0.001,resnet18,2,0.8339,-1.0540768255580537,0.9978222222222224,-0.006801330545153822,148614.78532871974,52.55061501706592,0.010918214917182922,12.153230255300349,15.48880864273418,15.555541157722473,14.80359604141929
cifar10,0.001,resnet18,3,0.8355,-1.143202454377,0.9966,-0.01023140858745479,174245.09294494704,51.18996579073139,0.011292694136500359,12.159327561205087,15.442541978575967,15.555481693961404,14.64132745699449
cifar10,1e-06,resnet18,3,0.4848,-1.4278674970906693,0.7680444444444444,-0.7725832128682245,6233059.114376417,12398.173413854156,1.5988918542861938,12.09340809692036,15.441718925129285,15.530532923611727,14.848514827814968
cifar10,1e-06,resnet18,2,0.4941,-1.4055912408125122,0.7716222222222222,-0.7671353362995641,5891587.5116598075,11894.669058027634,1.599354863166809,12.132969054308806,15.446194486184554,15.532834432341836,14.907994248650288
cifar10,1e-06,resnet18,4,0.4854,-1.4548324280884466,0.7768,-0.7635518860624896,6002225.23678924,12836.810818891116,1.6147191524505615,12.137479836290533,15.419981479644775,15.530555248260498,14.91693697192452
cifar10,1e-06,resnet18,0,0.4949,-1.4285131496096959,0.7626222222222222,-0.7837150774363765,7228873.292412886,12647.068909435102,1.599950671195984,12.152097582817078,15.461744666099547,15.53310641375455,14.731527707793493
cifar10,1e-06,resnet18,1,0.4958,-1.4196538849856897,0.7723333333333333,-0.7588163573345633,5577426.891973054,13468.419951872602,1.5767326354980469,12.121721430258315,15.469303217801182,15.541215853257613,14.801017988811841
cifar10,1e-06,mlp,3,0.4517,-1.5701219522704837,0.5450444444444444,-1.331545540938465,55573.82247295688,25.64425962584634,2.1121983528137207,11.323861208829017,14.593395309014756,15.509429173036056,0.914094127714634
cifar10,1e-06,mlp,2,0.4487,-1.594295260073943,0.5444,-1.3323471876295114,99273.46745562131,25.857611816778196,2.125353574752808,11.249518697912043,14.597546490755947,15.513495813716542,1.6372782269662076
cifar10,1e-06,mlp,0,0.445,-1.5926992079852382,0.5411555555555555,-1.3444382373205657,63535.019171597625,25.89154673600657,2.1321749687194824,11.31506632674824,14.654621037569912,15.504328857768664,1.161278070373969
cifar10,1e-06,mlp,1,0.4499,-1.5795430962953716,0.5466222222222222,-1.3275655686776124,90374.7011194344,25.36707922674768,2.1057398319244385,11.565303997559981,14.789149208502335,15.511577140201222,1.8555885715918108
cifar10,1e-06,mlp,4,0.4454,-1.5812372245355977,0.5404666666666667,-1.345620119664844,81190.30805293005,24.29607489639209,2.1517653465271,11.420688705010848,14.700634945522655,15.504424409432845,1.2463383478197183
cifar10,0.0001,resnet18,4,0.6285,-2.890208285546989,0.9984666666666666,-0.004607488536059677,2823778.629848784,5958.177573721683,0.009657716378569605,12.114356929605654,15.422305605628276,15.533722140572287,12.980045459487224
cifar10,0.0001,resnet18,0,0.6211,-2.735825969196721,0.9985111111111112,-0.0045347837801211965,2974354.083102493,6987.459051758372,0.01058060210198164,12.115178227424623,15.44222955270247,15.539767395366322,13.527375568043102
cifar10,0.0001,resnet18,1,0.6249,-2.887835295466394,0.9977777777777778,-0.006266879007195146,3314017.975308642,6373.280787788971,0.01241228822618723,12.128177523612974,15.449153293262828,15.537434816360474,13.622121269052679
cifar10,0.0001,resnet18,3,0.6092,-2.8816864736066696,0.9974222222222222,-0.0077602686962161965,2897599.7949063918,6475.34894812627,0.014609692618250847,12.098599661480296,15.449884934858842,15.540299643169751,12.706963907588612
cifar10,0.0001,resnet18,2,0.6242,-2.9540973032697986,0.9950666666666668,-0.014369074117420113,4852727.684203093,6013.243384397476,0.021533934399485588,12.094700737433,15.460425051775847,15.536116654222662,13.338527354327116
cifar10,0.0001,mlp,1,0.5293,-2.9660246296001564,0.9998444444444444,-0.00533936461911735,293352.0453520934,33.563376530686305,0.039266817271709435,10.798724542964587,13.936502250758085,15.49308653311296,0.025658288229764858
cifar10,0.0001,mlp,0,0.5345,-3.010116319067628,0.9997777777777778,-0.007298320309871689,204279.06282996433,34.43853680664747,0.04762005805969238,10.860474185510117,13.902409932830118,15.488617084243081,0.01010847606018863
cifar10,0.0001,mlp,4,0.5298,-2.8611846054317884,0.9999777777777776,-0.005789795386830273,196081.4141709277,32.1464525131419,0.04423937574028969,10.900803099979054,14.117267868735574,15.492859797044234,0.019822409588166258
cifar10,0.0001,mlp,2,0.5357,-2.845618551304435,0.9999333333333332,-0.006410631149536283,188367.49686417266,33.942046196421344,0.04724106565117836,10.566214593974026,13.814925063740125,15.483319022438742,0.009838877134660091
cifar10,0.0001,mlp,3,0.5366,-2.8761428954674195,0.9999111111111112,-0.004976089599255188,228833.03830784804,34.041326202844054,0.03807027637958527,10.763596469705755,13.902816230600529,15.483544046228582,0.005404472784985873
svhn,1e-06,resnet18,3,0.6856177012907191,-0.9737741630487509,0.8620982542354886,-0.4889620364007972,4004398.1548860786,12999.198129115503,1.0360918045043943,13.174322424008865,15.984122993410097,16.051560705022293,15.0124316178551
svhn,1e-06,resnet18,2,0.7196911493546404,-0.8879529475004727,0.8778723210629295,-0.4407801093532687,4398046.511104,11513.425554542837,0.9445024132728576,13.09812463716019,15.996791225995205,16.05306264596392,15.207906678665516
