data,lr,encoder,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,run_count
cifar10,1e-06,mlp,1.3940549622882497,0.011822293771160093,1.0364276790618896,0.014550288024823107,1.9278730620037425,0.011822293771160116,2.2855003452301026,0.014550288024823261,0.5435377777777777,0.0026284013824301295,0.44814,0.0028918851982746513,-1.3363033308461998,0.008179477044863305,-1.583579348232127,0.010011006289245516,5
cifar10,1e-06,resnet18,2.2122342413122,0.013782681354602408,1.2616499423980714,0.025800737202579097,1.1096937840635128,0.013782703463877874,2.060278081893921,0.02580073720257929,0.7702844444444444,0.005295453442387538,0.491,0.005423559716643672,-0.7691603740002436,0.009566998137437315,-1.4272916401174027,0.01795523135609175,5
cifar10,1e-05,mlp,3.1631854967637496,0.017275577206518837,0.323190860748291,0.08049377226187565,0.15874253538521851,0.017275580733056572,2.998737163543701,0.08049377226187555,0.9928844444444446,0.0018827613028359908,0.49567999999999995,0.005431114066193021,-0.11003142969912019,0.011967863965045004,-2.07678332535971,0.05538519577086279,5
cifar10,1e-05,resnet18,3.3190130797299475,0.00041067117245944607,-0.6053816890716552,0.15846958308641118,0.0029149506727910853,0.0004106674870683299,3.9273097133636474,0.1584695830864112,1.0,0.0,0.49162,0.006250359989632598,-0.002020443739244415,0.00028462931981657085,-2.7204869075952023,0.10929299087138362,5
cifar10,0.0001,mlp,3.3133247180418537,0.0013247205638870945,-0.8814435863494874,0.10205853330457064,0.00860330614853989,0.0013247229933884147,4.2033716106414785,0.1020585333045705,0.9998888888888888,7.856742013181361e-05,0.53318,0.003401029255975293,-0.005962840212922156,0.0009187446481125281,-2.9118174001742854,0.07214523365898513,5
cifar10,0.0001,resnet18,3.311093735694885,0.0058585563478225034,-0.820718059539795,0.11629606232982917,0.010834299144335091,0.005858541939627615,4.142646083831787,0.11629606232982927,0.9974488888888888,0.0014096142542124864,0.62158,0.007403850349649174,-0.007507698827402466,0.004059905782394422,-2.8699306654173142,0.08052646949499216,5
cifar10,0.001,mlp,3.312369331446562,0.0032233961048365764,-5.399671878814698,0.47062796774175514,0.009558695897629314,0.00322340831859826,8.72159990310669,0.4706279677417552,0.9980844444444443,0.0006871663050995678,0.5457799999999999,0.0048725763205926505,-0.006624624913667112,0.002231239058090648,-5.794680501402168,0.25959567830642916,5
cifar10,0.001,resnet18,3.309083140980113,0.005655260290291741,1.7374719524383546,0.07390031742469103,0.012844880630092865,0.005655257569182612,1.5844560718536378,0.07390031742469085,0.99712,0.001459798734647682,0.8299799999999999,0.004928184249802343,-0.008903327774470463,0.00391625631428787,-1.0987066918770807,0.051103971938762885,5
svhn,1e-06,mlp,2.0833308566700333,0.007984541039719384,1.7553540009718673,0.01202068180491969,1.143113621075948,0.007984552959921998,1.4710904818314774,0.012020681804919752,0.764711592422381,0.0027900833162458533,0.6985325752919485,0.0029921724510480804,-0.7924853258347484,0.005366050718693974,-1.0208820706409498,0.00818530282816364,5
svhn,1e-06,resnet18,2.534138955491962,0.06137592163759523,1.8641564075763408,0.06394420555471936,0.6923055179191357,0.06137592760270155,1.3622880770609929,0.06394420259789498,0.8644704312083844,0.013720539974004633,0.6980485556238476,0.01603648335792025,-0.4797011722148773,0.04351149003665188,-0.9450141101048535,0.0444664115036112,5
svhn,1e-05,mlp,3.1436752507180876,0.0069042308922559305,1.7173152483426608,0.038103802880834876,0.08276923569765958,0.006904230784891277,1.509129234460684,0.03810380288083489,0.994949265140829,0.0009203483312115962,0.7951290719114936,0.002524755096945079,-0.05748596127999285,0.0048710269455001995,-1.0462255632547848,0.026747401562336605,5
svhn,1e-05,resnet18,3.2233827720988883,0.00047852185427950655,1.5506994999372041,0.1152614924263188,0.0030617121988060795,0.0004785153449474117,1.6757449828661408,0.11526149242631886,0.9999787656792707,8.307511754641282e-06,0.7656499692685925,0.008305550208248339,-0.0021193716992497394,0.0003347122703032489,-1.1626625019122663,0.07972120943466314,5
svhn,0.0001,mlp,3.21826157280893,0.0018481891170887648,0.9733570098876954,0.038170392304484414,0.0081828996242786,0.0018481934314007688,2.2530874729156496,0.03817039230448431,0.9989352504891477,0.0002527541394788677,0.8215350338045482,0.0009780182925113118,-0.005675562985209078,0.0012826156378271695,-1.5270817081653356,0.022379849027839877,5
svhn,0.0001,resnet18,3.2103203527855158,0.012515133009864753,2.3132600454183727,0.0855715161445138,0.016124133978772798,0.01251512778702576,0.9131844327999994,0.08557150994015449,0.996220290910194,0.0030618825721748172,0.8976183159188691,0.006304878922465287,-0.011212878528344662,0.008705629750125937,-0.6342387553463522,0.05887682618897281,5
svhn,0.001,mlp,3.2166824109626537,0.003745750941103484,-0.4958970069885253,0.09129763902393892,0.009762074731671335,0.0037457521875113886,3.7223414897918703,0.09129763902393905,0.9979493713124328,0.0007869074633511476,0.831822372464659,0.0027815213210479308,-0.006816186711547906,0.0026530984091708,-2.2563988237625274,0.046164945806308234,5
svhn,0.001,resnet18,3.219060290943492,0.004330694294106552,2.6858529567718508,0.02210714196661831,0.0073841922412005555,0.004330694119769322,0.540591525572997,0.02210716079483343,0.9984134928940863,0.0010310243514583294,0.9446220036877688,0.004387187604475323,-0.005169515362918297,0.003090534081764156,-0.37364441005843885,0.015172760075457224,5
