experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,4,1024,1,0,-0.6,best,0.9159999999999999,-1.5473086119890236,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,3,1024,1,0,-0.6,best,0.9079999999999999,-1.682529551625252,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,2,1024,1,0,-0.6,best,0.882,-2.15615134335124,1.0,-1.183649946682408e-06,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,0,1024,1,0,-0.6,best,0.902,-1.7486994894742969,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1,1024,1,0,-0.6,best,0.9059999999999999,-1.6954798352979183,1.0,-2.598776046625062e-08,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXL,0,mlp,1024,1,0,8192,1,0,0.1,0,2,5,1,default,1,1024,1,0,-0.6,best,0.914,-1.453468939993982,1.0,-4.1723296817508515e-09,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXL,0,mlp,1024,1,0,8192,1,0,0.1,0,2,5,1,default,3,1024,1,0,-0.6,best,0.9059999999999999,-1.5302188222328577,1.0,-1.7881400395935993e-09,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXL,0,mlp,1024,1,0,8192,1,0,0.1,0,2,5,1,default,2,1024,1,0,-0.6,best,0.902,-1.6796928623631535,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXL,0,mlp,1024,1,0,8192,1,0,0.1,0,2,5,1,default,4,1024,1,0,-0.6,best,0.914,-1.5748679944276844,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXL,0,mlp,1024,1,0,8192,1,0,0.1,0,2,5,1,default,0,1024,1,0,-0.6,best,0.862,-2.203862554251692,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXS,0,mlp,1024,1,0,1,1,0,0.1,0,2,5,1,default,4,1024,1,0,-0.6,best,0.868,-1.891828498025444,0.998,-0.0034204795692332085,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXS,0,mlp,1024,1,0,1,1,0,0.1,0,2,5,1,default,2,1024,1,0,-0.6,best,0.878,-1.9121636406406752,1.0,-3.9100810980130516e-08,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXS,0,mlp,1024,1,0,1,1,0,0.1,0,2,5,1,default,1,1024,1,0,-0.6,best,0.836,-1.9161344367933475,0.996,-0.016164259760376554,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXS,0,mlp,1024,1,0,1,1,0,0.1,0,2,5,1,default,0,1024,1,0,-0.6,best,0.9059999999999999,-1.5628960506076537,1.0,0.0,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,cdibXS,0,mlp,1024,1,0,1,1,0,0.1,0,2,5,1,default,3,1024,1,0,-0.6,best,0.898,-1.6096903381300571,1.0,-2.8261683881282814e-05,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,erm,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,0,1024,1,0,-0.6,best,0.6579999999999999,-6.6785721104633256,0.998,-0.0031611681164572477,,,,
Qminimality2DFinal,binmnist,2dsmall,False,False,decay,adam,5e-05,last,0,erm,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1,1024,1,0,-0.6,best,0.28800000000000003,-10.133334895123472,0.9940000000000001,-0.01623385732395866,,,,
