experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,train_acc_mean,train_acc_std,valid_acc_mean,valid_acc_std
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,0,5,-1.3625315808534624,0.6198468861820368,7.016548347473145,1.6545207386705048,0.9372,0.059086377448613316,0.518,0.024248711305964305
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,1,5,-2.6919254158020016,0.7239686297083179,7.934191417694092,0.8754981755908076,1.0,0.0,0.518,0.024248711305964305
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,2,5,-2.9798942417144776,0.6765842880649923,8.193417644500732,0.6819290252434779,1.0,0.0,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,3,5,-3.2009901968002326,0.6457644467347183,8.33903865814209,0.6015346183976278,1.0,0.0,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,4,5,-3.3767087791442867,0.7226039838431078,8.493376445770263,0.4639814805331516,1.0,0.0,0.5173333333333333,0.024440403706431166
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,5,5,-3.4836184518814086,0.7169877337933767,8.551640701293945,0.40551550984539236,0.9996,0.0008944271909999219,0.518,0.024248711305964305
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,6,5,-3.5701925775527954,0.6729188120346465,8.579019165039062,0.3754579741348817,0.9992000000000001,0.0017888543819998349,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,7,5,-3.518428659439087,0.6510324346750038,8.568548393249511,0.37113572585101295,1.0,0.0,0.518,0.02553429066960743
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,8,5,-3.569519746398926,0.6385885079686158,8.599345207214355,0.35058447231120865,1.0,0.0,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,9,5,-3.6431063908100128,0.6409269676371278,8.654634284973145,0.35145037885984803,0.9987999999999999,0.0017888543819997993,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,10,5,-3.8023388719558717,0.7599478246012434,8.643076133728027,0.36305309016753606,0.9996,0.0008944271909999219,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,11,5,-3.9091324539422985,0.8360521173781499,8.701610374450684,0.361600608142283,0.9996,0.0008944271909999219,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,12,5,-3.925227338132262,0.8123708587743818,8.731409645080566,0.3611371718034601,0.9987999999999999,0.0017888543819998574,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,13,5,-4.020605360794067,0.8224851939913863,8.755966758728027,0.3541012629625953,0.9984,0.0016733200530681426,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,14,5,-4.062672921180725,0.9294776583903145,8.736994552612305,0.3607118270999063,0.9987999999999999,0.0026832815729997644,0.518,0.02553429066960743
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,15,5,-4.146998703575134,0.875243078739003,8.661520385742188,0.41454094423747234,1.0,0.0,0.5186666666666667,0.025324559884296795
Qminimality2DFinal,bincifar100,2dsmall,False,False,decay,adam,5e-05,last,0,cdib,0,mlp,1024,1,0,1024,1,0,0.1,0,2,5,1,default,1024,1,0,-0.6,16,5,-4.147943654632568,0.9055055198829751,8.73700122833252,0.3523567972651192,1.0,0.0,0.518,0.02553429066960743
