data,model,enc_zx_nhid,run,epochs,train_loss_toagg,valid_loss_toagg,train_acc_toagg,valid_acc_toagg
binmnist,cdib,1024,4,0,-0.15437599619070533,0.9615230560302734,0.978,
binmnist,cdib,1024,4,1,-0.35606620500089003,1.2416468858718872,0.998,
binmnist,cdib,1024,4,2,-0.40498849161561,1.298304557800293,0.998,
binmnist,cdib,1024,4,3,-0.4441958921432495,1.3400095701217651,1.0,
binmnist,cdib,1024,4,4,-0.478817560172081,1.4179761409759521,1.0,
binmnist,cdib,1024,4,5,-0.5660901603743437,1.4353386163711548,1.0,
binmnist,cdib,1024,4,6,-0.5626187121391311,1.471000075340271,1.0,
binmnist,cdib,1024,4,7,-0.5812849828243314,1.4750652313232422,1.0,
binmnist,cdib,1024,4,8,-0.5596985305786106,1.4877249002456665,1.0,
binmnist,cdib,1024,4,9,-0.5728473866999152,1.49323570728302,1.0,
binmnist,cdib,1024,4,10,-0.6216918456569315,1.4983662366867065,1.0,
binmnist,cdib,1024,4,11,-0.598368399143219,1.4853748083114624,1.0,
binmnist,cdib,1024,4,12,-0.5913755000136793,1.5002039670944214,1.0,
binmnist,cdib,1024,4,13,-0.638508390712738,1.5163190364837646,1.0,
binmnist,cdib,1024,4,14,-0.6771254835128784,1.5228787660598755,1.0,
binmnist,cdib,1024,4,15,-0.6257660616636276,1.5181527137756348,1.0,
binmnist,cdib,1024,4,16,-0.6569127613067632,1.5281641483306885,1.0,
binmnist,cdib,1024,4,17,-0.6819296099662752,1.5336291790008545,1.0,
binmnist,cdib,1024,4,18,-0.6523337828636172,1.5245977640151978,1.0,
binmnist,cdib,1024,4,19,-0.8203587775230408,1.530542016029358,1.0,
binmnist,cdib,1024,4,20,-0.7881131477355957,1.523361325263977,1.0,
binmnist,cdib,1024,4,21,-0.7898841240406036,1.5323461294174194,1.0,
binmnist,cdib,1024,4,22,-0.8008737990856171,1.534921407699585,1.0,
binmnist,cdib,1024,4,23,-0.778808871269226,1.5279147624969482,1.0,
binmnist,cdib,1024,4,24,-0.8133958849906922,1.5273746252059937,1.0,
binmnist,cdib,1024,4,25,-0.7761166242137552,1.5264414548873901,1.0,
binmnist,cdib,1024,4,26,-0.8061497552871763,1.5442618131637573,1.0,
binmnist,cdib,1024,4,27,-0.8405620675504178,1.5312317609786987,1.0,
binmnist,cdib,1024,4,28,-0.7877089176177978,1.5353419780731201,1.0,
binmnist,cdib,1024,4,29,-0.8520001828193665,1.5291985273361206,1.0,
binmnist,cdib,1024,4,30,-0.8512267226576805,1.5455811023712158,1.0,
binmnist,cdib,1024,4,31,-0.7941761072635709,1.5460491180419922,1.0,
binmnist,cdib,1024,4,32,-0.8788917551040649,1.5462208986282349,1.0,
binmnist,cdib,1024,4,33,-0.8335378437042237,1.546561598777771,1.0,
binmnist,cdib,1024,4,34,-0.8577020739801228,1.5431084632873535,1.0,
binmnist,cdib,1024,4,35,-0.8374659996032715,1.5388987064361572,0.998,
binmnist,cdib,1024,4,36,-0.8193792325973518,1.542513370513916,1.0,
binmnist,cdib,1024,4,37,-0.7860626875400544,1.539605975151062,1.0,
binmnist,cdib,1024,4,38,-0.780542462182042,1.5334798097610474,1.0,
binmnist,cdib,1024,4,39,-0.8465488023757934,1.544296145439148,1.0,
binmnist,cdib,1024,4,40,-0.8250847797393799,1.5434290170669556,1.0,
binmnist,cdib,1024,4,41,-0.8165748188018807,1.5453184843063354,1.0,
binmnist,cdib,1024,4,42,-0.8412430783271789,1.5460399389266968,1.0,
binmnist,cdib,1024,4,43,-0.8933393657684328,1.546336054801941,1.0,
binmnist,cdib,1024,4,44,-0.9227494065286591,1.5455358028411865,1.0,
binmnist,cdib,1024,4,45,-0.8613353128433228,1.546634554862976,1.0,
binmnist,cdib,1024,4,46,-0.8336062930107118,1.5455398559570312,1.0,
binmnist,cdib,1024,4,47,-0.9352974466800574,1.5436545610427856,1.0,
binmnist,cdib,1024,4,48,-0.8583356663703922,1.5459476709365845,1.0,
binmnist,cdib,1024,4,49,-0.9738672218322754,1.546567678451538,1.0,
binmnist,cdib,1024,4,50,-0.8790274291038513,1.5451128482818604,1.0,
binmnist,cdib,1024,4,51,-0.9295109665870666,1.5417535305023193,1.0,
binmnist,cdib,1024,4,52,-0.9169043731689454,1.5442920923233032,1.0,
binmnist,cdib,1024,4,53,-0.8667801026344386,1.544905662536621,0.998,
binmnist,cdib,1024,4,54,-0.8808056936264038,1.5467454195022583,1.0,
binmnist,cdib,1024,4,55,-0.9498262405395508,1.5460975170135498,1.0,
binmnist,cdib,1024,4,56,-0.9324508171081543,1.5425405502319336,0.998,
binmnist,cdib,1024,4,57,-0.8704928702354445,1.5429826974868774,1.0,
binmnist,cdib,1024,4,58,-0.8622562308311462,1.5415650606155396,1.0,
binmnist,cdib,1024,4,59,-0.8596653638839721,1.5457842350006104,0.998,
binmnist,cdib,1024,4,60,-0.907005811214447,1.5436389446258545,1.0,
binmnist,cdib,1024,4,61,-0.8909873215675355,1.5469118356704712,0.998,
binmnist,cdib,1024,4,62,-0.9472890024185181,1.5458645820617676,1.0,
binmnist,cdib,1024,4,63,-0.8542829366684018,1.5466113090515137,1.0,
binmnist,cdib,1024,4,64,-0.8710866944313049,1.5469154119491577,1.0,
binmnist,cdib,1024,4,65,-0.8985338764190673,1.5469576120376587,1.0,
binmnist,cdib,1024,4,66,-0.9057856967926025,1.5467517375946045,1.0,
binmnist,cdib,1024,4,67,-0.9109428544044494,1.5464600324630737,1.0,
binmnist,cdib,1024,4,68,-0.9214860909462441,1.5458177328109741,1.0,
binmnist,cdib,1024,4,69,-0.9048330001831054,1.5469427108764648,1.0,
binmnist,cdib,1024,4,70,-0.8830680111885085,1.5466053485870361,1.0,
binmnist,cdib,1024,4,71,-0.8999207351684599,1.5465197563171387,1.0,
binmnist,cdib,1024,4,72,-0.9222297549247742,1.546938180923462,1.0,
binmnist,cdib,1024,4,73,-0.9171611495018005,1.5466270446777344,1.0,
binmnist,cdib,1024,4,74,-0.8985168635845184,1.5433666706085205,0.998,
binmnist,cdib,1024,4,75,-0.8577760353088378,1.5464588403701782,1.0,
binmnist,cdib,1024,4,76,-0.9123978296279965,1.5465809106826782,1.0,
binmnist,cdib,1024,4,77,-0.9222754720210913,1.5465341806411743,1.0,
binmnist,cdib,1024,4,78,-0.8665873141288757,1.545680046081543,1.0,
binmnist,cdib,1024,4,79,-0.8953057079315185,1.5468759536743164,1.0,
binmnist,cdib,1024,4,80,-0.9423464523315431,1.545310378074646,1.0,
binmnist,cdib,1024,4,81,-0.8969431450366974,1.5470508337020874,1.0,
binmnist,cdib,1024,4,82,-0.8709487892150882,1.5468827486038208,1.0,
binmnist,cdib,1024,4,83,-0.9590122050762176,1.5455809831619263,1.0,
binmnist,cdib,1024,4,84,-0.9362521653175354,1.5464537143707275,1.0,
binmnist,cdib,1024,4,85,-0.8789209388732916,1.546617031097412,1.0,
binmnist,cdib,1024,4,86,-0.8862948455810546,1.5462429523468018,1.0,
binmnist,cdib,1024,4,87,-0.8744789457321167,1.5469119548797607,1.0,
binmnist,cdib,1024,4,88,-0.9202739871978761,1.546996831893921,1.0,
binmnist,cdib,1024,4,89,-0.9386356156110778,1.5470436811447144,1.0,
binmnist,cdib,1024,4,90,-0.9313997016906739,1.5469415187835693,1.0,
binmnist,cdib,1024,4,91,-0.8904800063133241,1.546823263168335,1.0,
binmnist,cdib,1024,4,92,-0.9590463209152221,1.5469666719436646,1.0,
binmnist,cdib,1024,4,93,-0.9593706722259522,1.5437818765640259,1.0,
binmnist,cdib,1024,4,94,-0.9359241018295288,1.5470941066741943,1.0,
binmnist,cdib,1024,4,95,-0.9724919003486634,1.5470430850982666,1.0,
binmnist,cdib,1024,4,96,-0.9524606911912561,1.5470796823501587,1.0,
binmnist,cdib,1024,4,97,-0.9151278916358934,1.5453462600708008,1.0,
binmnist,cdib,1024,4,98,-0.9625366764068604,1.5468953847885132,1.0,
binmnist,cdib,1024,4,99,-0.9070473103523254,1.5472468137741089,1.0,
binmnist,cdib,1024,4,100,-0.9559325351715088,1.547208547592163,1.0,
binmnist,cdib,1024,4,101,-0.9776011295318604,1.547289252281189,1.0,
binmnist,cdib,1024,4,102,-0.9418861322402954,1.5472739934921265,1.0,
binmnist,cdib,1024,4,103,-1.0118704018127174,1.5472466945648193,1.0,
binmnist,cdib,1024,4,104,-0.9332847072601321,1.5470237731933594,1.0,
binmnist,cdib,1024,4,105,-1.0040966176986694,1.5467125177383423,1.0,
binmnist,cdib,1024,4,106,-1.0365573604581877,1.547283411026001,1.0,
binmnist,cdib,1024,4,107,-0.9117268401145994,1.547288417816162,1.0,
binmnist,cdib,1024,4,108,-0.988171362400055,1.5472183227539062,1.0,
binmnist,cdib,1024,4,109,-1.0252001916639506,1.5472352504730225,1.0,
binmnist,cdib,1024,4,110,-1.0172066987037658,1.5471839904785156,1.0,
binmnist,cdib,1024,4,111,-0.9556965600013734,1.5472818613052368,1.0,
binmnist,cdib,1024,4,112,-1.0232626465798822,1.5471397638320923,1.0,
binmnist,cdib,1024,4,113,-0.957868241453194,1.5473072528839111,1.0,
binmnist,cdib,1024,4,114,-0.960667994260788,1.5473179817199707,1.0,
binmnist,cdib,1024,4,115,-1.0510811085700988,1.5472822189331055,1.0,
binmnist,cdib,1024,4,116,-0.992048747241497,1.5471206903457642,0.998,
binmnist,cdib,1024,4,117,-1.0088346052169799,1.5472949743270874,1.0,
binmnist,cdib,1024,4,118,-0.9856201696395874,1.5473079681396484,1.0,
binmnist,cdib,1024,4,119,-1.0163513140678406,1.5473130941390991,1.0,
binmnist,cdib,1024,4,120,-1.0154515278816223,1.5473051071166992,1.0,
binmnist,cdib,1024,4,121,-1.0659627468585968,1.5472853183746338,1.0,
binmnist,cdib,1024,4,122,-0.9402989597320557,1.5472140312194824,1.0,
binmnist,cdib,1024,4,123,-1.0357916622161865,1.5472502708435059,1.0,
binmnist,cdib,1024,4,124,-1.0349350375175477,1.5472989082336426,1.0,
binmnist,cdib,1024,4,125,-1.0523313491344453,1.5472602844238281,1.0,
binmnist,cdib,1024,4,126,-1.0112858812332162,1.5472698211669922,1.0,
binmnist,cdib,1024,4,127,-1.0552187259673955,1.5472253561019897,1.0,
binmnist,cdib,1024,4,128,-1.0189945833684178,1.5467281341552734,1.0,
binmnist,cdib,1024,4,129,-0.9936664686203003,1.5472166538238525,1.0,
binmnist,cdib,1024,4,130,-1.0161319427490234,1.54701566696167,1.0,
binmnist,cdib,1024,4,131,-0.9621635066986084,1.5472489595413208,0.998,
binmnist,cdib,1024,4,132,-1.027538945198059,1.5472930669784546,1.0,
