experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,,epochs,run_count,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,0,5,2.71422024003484,0.025099272264673324,0.6077077842571519,0.025099272264673574,2.38148463567098,0.027403983556995744,0.9404433886210125,0.027403983556995692,2.7146141188642714,0.025067239496168417,2.383593367080689,0.032398428063313896,0.41596,0.009841138145560183,-1.6521810850042626,0.022456851277564784,0.36124000000000006,0.0055050907977396745
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,1,5,2.2782649909230797,0.028130887278347044,1.0436630333689125,0.028130887278346985,2.2587298711140953,0.02944628481470009,1.0631981531778973,0.02944628481470008,2.2782578663465713,0.02816116431137044,2.258370687332153,0.03071786441866104,0.44676,0.012325907674487914,-1.5653832741223852,0.021291995082089333,0.44230222222222226,0.009877304075630628
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,2,5,2.137793578952551,0.03351698518490469,1.1841344453394413,0.03351698518490476,2.220933310190837,0.02362240318712073,1.1009947141011558,0.0236224031871205,2.137795772374471,0.033492481577778684,2.2170167752075196,0.02719612954861278,0.46188,0.006188053005590716,-1.5367189569265525,0.01885091793046418,0.47782666666666673,0.007600412594388422
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,3,5,2.017878845469518,0.035581510778863554,1.3040491788224737,0.03558151077886347,2.169242763519287,0.042451551783073325,1.1526852607727052,0.04245155178307338,2.0178014355723066,0.03559972272331053,2.1671123829650876,0.04793556638459757,0.47691999999999996,0.00821048110648821,-1.5021278929169948,0.033226387967224796,0.5062666666666666,0.00921228380150689
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,4,5,1.9103096799416974,0.040230545740470046,1.4116183443502948,0.040230545740470046,2.1652650356292726,0.047904761376990755,1.1566629886627198,0.04790476137699088,1.9101436507542928,0.04012172695803456,2.162888197402954,0.04523875039944773,0.48388,0.01165641454307458,-1.4991998933634292,0.03135713581062627,0.5327688888888888,0.011701246108591478
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,5,5,1.8125804468989373,0.04206917967251087,1.509347577393055,0.04206917967251087,2.112255080540975,0.01982183136283878,1.2096729437510172,0.019821831362838833,1.8127229048156739,0.04203879291448241,2.107834669265747,0.02144898599862266,0.49604,0.006018970011555123,-1.4610396598291877,0.01486728514808102,0.5561333333333334,0.009853795408400649
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,6,5,1.7176347535442222,0.04171805480652029,1.6042932708155024,0.04171805473263539,2.119043477376302,0.02679379050553189,1.2028845469156901,0.0267937905055321,1.7177150286102296,0.04186521919872469,2.1129890375518796,0.020722098656785995,0.50316,0.008905503916118364,-1.464612447054329,0.014363456824373044,0.5803333333333334,0.01090587111107401
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,7,5,1.618207673728466,0.05228757505983042,1.703720350698991,0.052287575229490124,2.0951613426208495,0.024693015356022547,1.2267666816711427,0.02469301535602267,1.6179940684000649,0.05234423121301185,2.0890367112731933,0.022727495973651052,0.5127200000000001,0.006012653324448357,-1.448009938997262,0.015753476809190693,0.6049200000000001,0.014392810276465148
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,8,5,1.5291841099885377,0.05377723769590667,1.7927439147098496,0.05377723796489765,2.184593884150187,0.03862978034813201,1.137334140141805,0.03862978034813211,1.5291268317243787,0.053708076731603514,2.178871171188354,0.042750889899383485,0.50732,0.01353853758719897,-1.5102784280904242,0.029632632502003278,0.6247244444444444,0.013456657446395456
corrBatchnewBob,cifar10,b128,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,9,5,1.4313197801058943,0.05133132959341341,1.89060824371197,0.051331329456641164,2.1841445287068684,0.038232633792610736,1.1377834955851236,0.038232633792610625,1.4312648499298097,0.05141985891692834,2.1783431471252444,0.03063763511442051,0.5170399999999999,0.005857303133695561,-1.5099123918358153,0.02123639246325879,0.6499733333333333,0.01315667600333724
