data,model,dropout,beta,minimax,mchead,run,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
mnist,erm,0.0,1.0,0,3,3,,,3.3198695341746007,3.1306850433349616,,,,1.4380917339925263e-06,0.1891858980059624,1.0,0.9834,-1.276190880687267e-06,-0.13172527522032815,,,,,,,,
mnist,erm,0.0,1.0,0,3,4,,,3.3198694944381715,3.131981420516968,,,,1.4498966928992256e-06,0.1878894872963429,1.0,0.9847,-1.2180537907504177e-06,-0.1315776058177061,,,,,,,,
mnist,erm,0.0,1.0,0,3,0,,,3.3198695262273152,3.1213435173034667,,,,1.4176499632867487e-06,0.1985274776816368,1.0,0.9816,-1.2620153020608409e-06,-0.13869345702857652,,,,,,,,
mnist,erm,0.0,1.0,0,3,1,,,3.319869780540466,3.128601884841919,,,,1.1654464477336054e-06,0.1912690982222557,1.0,0.982,-1.0673262714000486e-06,-0.1333390967285555,,,,,,,,
mnist,erm,0.0,1.0,0,3,2,,,3.3198700904846192,3.127409315109253,,,,8.278927888720015e-07,0.19246166050434116,1.0,0.9827,-8.070524728874298e-07,-0.1343244524256172,,,,,,,,
mnist,vib001,0.0,0.01,0,3,2,88.75882873535156,89.21075948079425,3.3197635491689046,3.2527820110321044,,483.09385986328124,484.2544860839844,0.00010739649005699902,0.06708898060023785,1.0,0.986,-7.441521726047698e-05,-0.046785311007566326,,,1.261507252852122,1.2647810220718383,0.4999487628539404,0.4954380095005035,0.9187725087006888,0.9226015090942384
mnist,vib001,0.0,0.01,0,3,4,90.77005920410156,91.20287475585936,3.3197683890660605,3.251307964324951,,480.66265258789065,481.60792236328126,0.00010256104894021216,0.06856294088065625,1.0,0.9877,-7.127132181127429e-05,-0.047878140155242895,,,1.2588752428690593,1.2616702795028687,0.5030253142118454,0.4988562285900116,0.913691419363022,0.9169371247291564
mnist,vib001,0.0,0.01,0,3,3,90.84217681884766,90.97675196329752,3.3197692712148035,3.2560582637786863,,478.15983784993483,479.9028747558594,0.0001016880082412778,0.06381269507110117,1.0,0.986,-7.040940319112407e-05,-0.044549266015955935,,,1.243919293085734,1.2531496047973634,0.5024585783481598,0.4984834015369416,0.9074862142403921,0.9130916118621826
mnist,vib001,0.0,0.01,0,3,0,90.44388427734377,90.9522654215495,3.319777822494507,3.256096935272217,,476.24601949055983,477.4223876953125,9.31390260423844e-05,0.06377401538193225,1.0,0.9869,-6.436575954235823e-05,-0.0443622605854266,,,1.2337721864382425,1.2372777938842774,0.5013042688369751,0.4964496493339538,0.9028760969638824,0.90684095621109
mnist,vib001,0.0,0.01,0,3,1,89.75023193359375,90.15704091389972,3.3197651624679567,3.2559755802154533,,480.397998046875,481.94171752929685,0.00010579886293271556,0.0638953797519207,1.0,0.9871,-7.32423405146425e-05,-0.04455555160775519,,,1.2517159740130106,1.2582541227340698,0.5015551795562109,0.4971616983413696,0.9125883062680562,0.9174571990966796
