datasize,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
b64,10.0,2,0.3869,-5.987109333979348,0.9864888888888887,-0.037472407491524536
b64,10.0,0,0.3714,-6.630161039181628,0.985,-0.044537873312222274
b64,10.0,1,0.3634,-6.430807238289528,0.9870444444444444,-0.03751144050665297
b64,100.0,2,0.4078,-3.971546570631176,0.9676888888888888,-0.101403124421254
b64,100.0,0,0.4205,-3.6041598300623887,0.9557333333333332,-0.1399051927360161
b64,100.0,1,0.4019,-3.858506282793381,0.9636,-0.11567229180593636
b64,0.01,2,0.4621,-7.123815488956588,0.9971111111111112,-0.008786490014127677
b64,0.01,1,0.46799999999999997,-7.08122697568612,0.9972666666666666,-0.007929559791280431
b64,0.01,0,0.4575,-7.0389464813897975,0.9966888888888888,-0.0099078169692069
b64,0.1,2,0.4156,-6.609242185501341,0.9927111111111112,-0.02123540822095786
b64,0.1,1,0.4206,-6.715956229427366,0.9928222222222224,-0.020502982662015317
b64,0.1,0,0.4101,-6.8731548728067935,0.9933777777777778,-0.02040901513543604
b64,1.0,2,0.3472,-6.7376149459517105,0.9874444444444443,-0.03897190653409505
b64,1.0,1,0.3813,-6.327963764179615,0.9888222222222224,-0.036803347121781
b64,1.0,0,0.3604,-6.454322171152325,0.9876666666666668,-0.03813891458478566
b16,0.01,2,0.4273,-8.519673158635229,0.9970444444444444,-0.008390359536536234
b16,0.01,0,0.4151,-8.581940643914344,0.9960666666666668,-0.010605071615458914
b16,0.01,1,0.3958,-8.896745810344235,0.9953111111111111,-0.013887688703553449
b16,10.0,0,0.3298,-6.94217343266984,0.9932666666666666,-0.035444236853095085
b16,10.0,1,0.3346,-7.015867815993928,0.9903333333333332,-0.037671806517154495
b16,10.0,2,0.3102,-7.353212344113455,0.9906444444444444,-0.03887419056580474
b16,0.1,0,0.3652,-8.926340452507073,0.9935555555555556,-0.01926131206901788
b16,0.1,1,0.3235,-9.953956988311141,0.9942888888888888,-0.018527003957197315
b16,0.1,2,0.35200000000000004,-9.157891340282069,0.9928444444444444,-0.021529064418925242
b16,1.0,0,0.3616,-8.236239941497884,0.9931777777777778,-0.02133254733840533
b16,1.0,1,0.3549,-8.289676663918081,0.9938,-0.020452421847362026
b16,1.0,2,0.3381,-8.631863379042487,0.9921333333333332,-0.02515795331692053
b16,100.0,0,0.2685,-2.16415675368607,0.4027333333333333,-1.5498104186606076
b16,100.0,1,0.387,-3.9025770857052087,0.8528222222222223,-0.3825597249140231
