experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,0,1.499126097800515,2.082838341522217,0.4224,0.6641777777777778
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,1,1.0866423380071466,1.8145834226608277,0.4414,0.9821777777777778
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,2,0.624989593627236,1.6545969055175782,0.4488,0.9956444444444444
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,3,0.31336646607138896,1.6201836982727051,0.4564,0.9970888888888889
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,4,0.13013566323193637,1.6438086820602418,0.4556,0.9979333333333333
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,5,0.02108376954739744,1.6936893621444702,0.4584,0.9985333333333334
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,6,-0.04666127561655912,1.7699217844009398,0.457,0.9988
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,7,-0.09164690973216837,1.8439959884643555,0.4592,0.9988888888888889
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,8,-0.12342441303567453,1.9434527355194091,0.4558,0.9986444444444444
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,9,-0.14966268332763152,2.051877082824707,0.4516,0.9987333333333334
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,10,-0.16898179224675353,2.1647332725524904,0.449,0.9978666666666667
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,11,-0.18556684333194387,2.3183463329315184,0.4412,0.9972888888888889
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,12,-0.20223200065601957,2.390443376159668,0.4414,0.9963333333333333
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,13,-0.21529591939070009,2.5787306453704835,0.4266,0.9957111111111111
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,14,-0.22867761797146363,2.624453511428833,0.4336,0.9942888888888889
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,15,-0.24172454192909326,2.779359757232666,0.4248,0.9938
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,16,-0.25349007945656776,2.8715539627075195,0.4248,0.9926222222222222
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,17,-0.2644226493662054,3.0133896492004393,0.4168,0.9923111111111111
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,18,-0.27580992593223397,3.0209581115722655,0.4212,0.9908666666666667
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,19,-0.28631538674723017,3.1683931789398194,0.4128,0.9903777777777778
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,20,-0.29621859691034663,3.2849797550201414,0.412,0.9894666666666667
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,21,-0.3055222128440033,3.411102258682251,0.4092,0.9896444444444444
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,22,-0.3158787332973697,3.47181400680542,0.407,0.9887555555555556
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,23,-0.32524340363334525,3.4485774055480958,0.412,0.9884
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,24,-0.3343904204173522,3.64535053062439,0.4068,0.9887111111111111
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,25,-0.3438530248186805,3.680263802719116,0.4066,0.9873555555555555
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,26,-0.35251191222938627,3.788577105331421,0.4046,0.9877777777777778
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,27,-0.3606729740023613,3.8361890396118166,0.405,0.9867333333333334
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,28,-0.36705846584059976,3.9072990272521975,0.4042,0.9871555555555556
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,29,-0.37580195160995833,3.9981982971191408,0.4036,0.9873111111111111
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,30,-0.3823986342289231,4.075719418334961,0.3994,0.9869333333333333
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,31,-0.388628096302531,4.111410289764405,0.4014,0.9867777777777778
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,32,-0.39569494676048106,4.157932430267334,0.4016,0.9864888888888889
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,33,-0.4018658780943264,4.211764975738525,0.3998,0.9864666666666667
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,34,-0.408530677605759,4.28701911315918,0.398,0.9864444444444445
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,35,-0.4135035167943348,4.266814653778076,0.3978,0.9859777777777777
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,36,-0.41897997289137406,4.446848811340332,0.3942,0.9866
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,37,-0.42565459175218234,4.415143908691406,0.3954,0.9857555555555556
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,38,-0.4299326369426467,4.410899801635742,0.399,0.9860666666666666
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,39,-0.4360803853446787,4.476557349395752,0.3962,0.9864666666666667
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,40,-0.44080668626048347,4.465800762939453,0.4006,0.9861111111111112
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,41,-0.4450900564117865,4.658451382446289,0.3918,0.9864444444444445
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,42,-0.44968398271257226,4.645070053863526,0.3922,0.9857111111111111
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,43,-0.45504631433486936,4.640326693725586,0.3944,0.9861111111111112
